PEP_ID,National_ID,LON,LAT,ALT,NAME
1,11110000,9.43333,54.7667,25,Flensburg
2,11120000,10.15,54.4,25,Kiel-Pries
3,11120001,10.15,54.3333,29,Kiel-DÃ_sternbrook
4,11120002,10.05,54.3167,30,Kiel-Mettenhof
5,11130000,10.6833,53.8833,10,LÃ_beck-Schlutup
6,11130001,10.7167,53.8333,13,LÃ_beck-Sankt Lorenz (Nord)
7,11130002,10.6333,53.8333,10,LÃ_beck-Sankt JÃ_rgen
8,11140000,9.98333,54.0833,25,NeumÃ_nster
9,11311140,9.7,54.4333,25,Ascheffel
10,11311180,9.7,54.3333,15,Borgstedt b. Rendsburg
11,11311220,10.1167,54.4333,15,DÃ_nischenhagen
12,11311221,10.1,54.4333,20,Sturenhagen
13,11311251,9.98333,54.6167,10,Schuby
14,11311260,9.83333,54.4667,5,EckernfÃ¶rde (PH)
15,11311280,9.7,54.4833,35,Fleckeby
16,11311300,9.96667,54.4,25,Gettorf
17,11311310,9.7,54.4833,12,GÃ¶theby-Holm
18,11311350,9.85,54.4,15,Holtsee
19,11311351,9.88333,54.4167,18,Hohenlieth
20,11311451,9.93333,54.4,18,Revensdorf
21,11311470,9.81667,54.4333,25,Goosefeld
22,11311500,10.0333,54.3667,20,Neuwittenbek
23,11311520,10,54.6667,15,Olpenitz b. Kappeln
24,11311530,10.0167,54.4333,20,Osdorf b. Kiel
25,11311531,9.98333,54.4333,20,Osdorf-Borghorst
26,11311532,10.05,54.4333,25,Osdorf-BorghorsterhÃ_tten
27,11311550,9.6,54.4,15,Owschlag
28,11311560,9.81667,54.55,25,Rieseby
29,11311591,10.1167,54.4833,35,DÃ_nisch Nienhof
30,11321120,8.78333,54.3333,4,Garding (PH)
31,11321201,8.9,54.3667,1,HochbrÃ_cksiel
32,11321221,8.8,54.4,2,Norder-Hever-Koog
33,11321230,8.76667,54.3667,5,PoppenbÃ_ll
34,11321240,8.63333,54.3,13,Sankt Peter-Ording
35,11321250,8.7,54.3167,3,Tating (PH)
36,11321280,8.95,54.3167,1,TÃ¶nning
37,11331110,10.5667,54.0167,60,AhrensbÃ¶k (PH)
38,11331111,10.4833,54,40,Gnissau
39,11331120,10.7,53.9167,5,Schwartau
40,11331121,10.6833,53.95,72,Pariner Berg
41,11331140,10.6167,54.1333,40,Eutin (PH)
42,11331150,10.6667,54.0333,20,Gleschendorf
43,11331152,10.6667,54,20,Sarkwitz
44,11331161,10.6167,54.2167,60,Malente-Benz
45,11331162,10.5667,54.1667,55,GremsmÃ_hlen
46,11331163,10.55,54.1833,35,Neversfelde
47,11331164,10.55,54.2167,50,Malente-Neukirchen
48,11331170,10.7333,53.95,20,Ratekau
49,11331180,10.65,53.9,20,Stockelsdorf
50,11331181,10.6667,53.9333,30,Horsdorf
51,11331191,10.6667,54.1167,60,SÃ_sel-RÃ¶bel
52,11331192,10.6833,54.15,70,Zarnekau
53,11331193,10.6333,54.0833,25,Gothendorf
54,11331200,10.8,53.9833,1,Timmendorfer Strand (PH)
55,11331201,10.85,53.9833,20,Niendorf
56,11341120,9.56667,54.7333,45,Ausacker
57,11341170,9.55,54.7,40,Bistoft
58,11341230,9.71667,54.8,40,Dollerupholz
59,11341240,9.36667,54.6167,20,Eggebek (Ph)
60,11341290,9.63333,54.7167,40,Flatzby
61,11341320,9.9,54.75,12,Gelting
62,11341340,9.56667,54.8333,20,GlÃ_cksburg
63,11341341,9.6,54.8333,15,Bockholm
64,11341370,9.25,54.7167,20,GroÃŸenwiehe
65,11341460,9.31667,54.7667,40,Handewitt
66,11341491,9.95,54.7167,11,Hasselberg-Kieholm
67,11341530,9.1,54.7333,10,HÃ¶rup
68,11341550,9.51667,54.75,60,HÃ_rup
69,11341650,9.51667,54.7333,40,Freienwill-Kleinsolt
70,11341670,9.5,54.7333,50,Kleinwolstrup
71,11341710,9.63333,54.8,35,Langballing
72,11341730,9.21667,54.7,20,LÃ_ngerau
73,11341740,9.16667,54.7167,10,Linnau
74,11341751,9.71667,54.7333,45,Dingholz
75,11341770,9.53333,54.7833,8,MaasbÃ_ll
76,11341771,9.53333,54.7833,50,RÃ_llschau
77,11341780,10,54.6833,5,Maasholm
78,11341830,9.56667,54.8,40,Munkbrarup
79,11341850,9.73333,54.8,10,Quern-Neukirchen
