chillutah,chillports,gdd,siteslist,year,lat,long,lat.long,cc,lo,mat
3012,132.3124182,26.53645096,1,1951,49.2667,8.75,49.2667 8.75,1950-1960,84,6.04131134
2556,123.9342345,129.0729101,1,1952,49.2667,8.75,49.2667 8.75,1950-1960,106,8.148032605
2268,110.5072913,8.425335954,1,1953,49.2667,8.75,49.2667 8.75,1950-1960,79,8.174753916
2544,122.7993647,55.77456428,1,1954,49.2667,8.75,49.2667 8.75,1950-1960,106,6.635081819
1800,104.7915086,120.3976279,1,1955,49.2667,8.75,49.2667 8.75,1950-1960,119,5.397540863
2088,104.2348183,77.73321923,1,1956,49.2667,8.75,49.2667 8.75,1950-1960,112,5.948524457
2808,133.4649422,78.68971068,1,1957,49.2667,8.75,49.2667 8.75,1950-1960,92,8.333278502
2268,112.3582436,240.1601269,1,1958,49.2667,8.75,49.2667 8.75,1950-1960,138,3.556885166
2628,120.9519345,201.0043278,1,1959,49.2667,8.75,49.2667 8.75,1950-1960,117,8.964426029
2700,127.8349327,47.26711859,1,1960,49.2667,8.75,49.2667 8.75,1950-1960,88,7.846065398
2568,128.0694713,23.67379562,2,1951,49.9167,11,49.9167 11,1950-1960,97,4.862458908
2124,111.9992522,68.35502044,2,1952,49.9167,11,49.9167 11,1950-1960,104,6.322622809
2100,107.5904068,33.72543676,2,1953,49.9167,11,49.9167 11,1950-1960,92,6.983770336
2232,112.8576718,29.94628729,2,1954,49.9167,11,49.9167 11,1950-1960,113,5.146885131
1704,98.93427877,90.80810715,2,1955,49.9167,11,49.9167 11,1950-1960,120,3.792294997
2016,100.9683088,38.26136063,2,1956,49.9167,11,49.9167 11,1950-1960,116,3.798196636
2628,125.234209,59.89352999,2,1957,49.9167,11,49.9167 11,1950-1960,95,6.717376899
2172,111.1670489,31.91359732,2,1958,49.9167,11,49.9167 11,1950-1960,118,2.18180323
2640,118.2748966,43.46845438,2,1959,49.9167,11,49.9167 11,1950-1960,91,7.623278518
2532,116.3417257,31.33797133,2,1960,49.9167,11,49.9167 11,1950-1960,97,5.990327735
2784,132.4509855,35.29197767,3,1951,50.15,10.4333,50.15 10.4333,1950-1960,108,4.976557266
2280,118.9770932,58.12904667,3,1952,50.15,10.4333,50.15 10.4333,1950-1960,102,7.185081807
2232,110.9648253,86.54183358,3,1953,50.15,10.4333,50.15 10.4333,1950-1960,107,7.396721146
2424,118.8144584,35.44463196,3,1954,50.15,10.4333,50.15 10.4333,1950-1960,110,5.794262166
1764,101.3478211,47.99530913,3,1955,50.15,10.4333,50.15 10.4333,1950-1960,114,4.420491704
2028,99.42706231,76.5271889,3,1956,50.15,10.4333,50.15 10.4333,1950-1960,120,4.946393332
2772,130.6682365,171.0849798,3,1957,50.15,10.4333,50.15 10.4333,1950-1960,123,7.649344091
2196,111.0251367,124.4186875,3,1958,50.15,10.4333,50.15 10.4333,1950-1960,128,2.802786823
2556,117.1619701,156.6634934,3,1959,50.15,10.4333,50.15 10.4333,1950-1960,112,8.52704899
2520,121.6309493,75.00042627,3,1960,50.15,10.4333,50.15 10.4333,1950-1960,100,7.076721153
2904,132.6157049,47.59077678,4,1951,49.4167,9.28333,49.4167 9.28333,1950-1960,108,5.543934302
2412,120.6363927,52.7043491,4,1952,49.4167,9.28333,49.4167 9.28333,1950-1960,101,7.576393273
2340,111.1448406,44.82071187,4,1953,49.4167,9.28333,49.4167 9.28333,1950-1960,92,7.506721144
2496,123.5282766,60.57063047,4,1954,49.4167,9.28333,49.4167 9.28333,1950-1960,117,6.030983472
1692,102.5956706,66.39162041,4,1955,49.4167,9.28333,49.4167 9.28333,1950-1960,116,4.672622846
2112,105.0492049,79.64933659,4,1956,49.4167,9.28333,49.4167 9.28333,1950-1960,118,5.319180209
2652,129.8019651,85.8726026,4,1957,49.4167,9.28333,49.4167 9.28333,1950-1960,102,7.569180159
2304,112.2643768,93.13878572,4,1958,49.4167,9.28333,49.4167 9.28333,1950-1960,125,2.908852394
2640,119.7190712,89.08839756,4,1959,49.4167,9.28333,49.4167 9.28333,1950-1960,102,8.378524403
2664,126.1981781,94.42177833,4,1960,49.4167,9.28333,49.4167 9.28333,1950-1960,108,7.081311317
2892,133.2503361,38.73643138,5,1951,50.5167,8.81667,50.5167 8.81667,1950-1960,109,4.879672022
2364,120.3797849,101.322158,5,1952,50.5167,8.81667,50.5167 8.81667,1950-1960,106,7.199508036
2328,112.1578879,51.33014751,5,1953,50.5167,8.81667,50.5167 8.81667,1950-1960,92,7.603278519
2604,120.1922878,62.82687752,5,1954,50.5167,8.81667,50.5167 8.81667,1950-1960,119,5.993278555
1692,101.9329211,106.7009262,5,1955,50.5167,8.81667,50.5167 8.81667,1950-1960,120,4.392622853
2112,105.2782332,58.60430895,5,1956,50.5167,8.81667,50.5167 8.81667,1950-1960,115,5.143934311
2844,134.865459,78.84627426,5,1957,50.5167,8.81667,50.5167 8.81667,1950-1960,96,7.677704746
2244,114.9013038,37.36632026,5,1958,50.5167,8.81667,50.5167 8.81667,1950-1960,112,2.819999937
2544,118.7603758,67.73794735,5,1959,50.5167,8.81667,50.5167 8.81667,1950-1960,96,8.396721124
2676,125.0809806,49.74231646,5,1960,50.5167,8.81667,50.5167 8.81667,1950-1960,97,6.794917881
3084,134.5483318,76.46564465,6,1951,50,8.71667,50 8.71667,1950-1960,109,6.449508053
2688,130.6613965,102.8137394,6,1952,50,8.71667,50 8.71667,1950-1960,103,8.666229314
2232,109.7605158,90.58502376,6,1953,50,8.71667,50 8.71667,1950-1960,93,8.713606363
2556,121.1401169,86.64109451,6,1954,50,8.71667,50 8.71667,1950-1960,113,7.371475245
1812,106.6090044,125.0747576,6,1955,50,8.71667,50 8.71667,1950-1960,118,6.033770357
2148,105.1429956,103.4927512,6,1956,50,8.71667,50 8.71667,1950-1960,115,6.580655591
2736,134.988604,116.1012936,6,1957,50,8.71667,50 8.71667,1950-1960,98,8.92590144
2268,111.3296176,82.85466115,6,1958,50,8.71667,50 8.71667,1950-1960,120,4.268524495
2568,119.5216161,120.6991271,6,1959,50,8.71667,50 8.71667,1950-1960,103,9.142950615
2688,129.178243,99.31633634,6,1960,50,8.71667,50 8.71667,1950-1960,99,8.195245718
2784,129.7051995,64.89808376,7,1951,48.7167,9.21667,48.7167 9.21667,1950-1960,110,5.531475286
2460,122.4807282,37.10398143,7,1952,48.7167,9.21667,48.7167 9.21667,1950-1960,99,7.464426063
2124,106.4142102,63.80623893,7,1953,48.7167,9.21667,48.7167 9.21667,1950-1960,94,7.454262128
2472,121.7786043,56.88993425,7,1954,48.7167,9.21667,48.7167 9.21667,1950-1960,118,5.669835939
1776,107.1642493,88.38720663,7,1955,48.7167,9.21667,48.7167 9.21667,1950-1960,118,4.651803175
2136,106.5252971,71.01018721,7,1956,48.7167,9.21667,48.7167 9.21667,1950-1960,115,5.132131033
