"chillport","siteslist","year","lat","long","lat.long","winter","lo","cc","mat","num.years","chillutah"
133.780569316515,1,1951,49.0833,9.15,"49.0833 9.15","0",114,"apre",12.7765931210143,6,414.838575431545
145.18413942191,1,1952,49.0833,9.15,"49.0833 9.15","0",106,"apre",14.4191205568284,6,673.344287499519
144.790572077706,1,1953,49.0833,9.15,"49.0833 9.15","0",102,"apre",13.8103293616447,6,535.408573071872
132.25959862662,1,1955,49.0833,9.15,"49.0833 9.15","0",121,"apre",12.1830766507639,6,736.452142473443
126.627871872068,1,1956,49.0833,9.15,"49.0833 9.15","0",121,"apre",11.7482414956481,6,719.817858719533
144.678621014114,1,1958,49.0833,9.15,"49.0833 9.15","0",107,"apre",12.4376920296882,6,581.944287602657
137.786772995614,2,1951,51.1333,9.01667,"51.1333 9.01667","0",103,"apre",10.9035162398039,10,414.838575431545
150.35352404619,2,1952,51.1333,9.01667,"51.1333 9.01667","0",109,"apre",12.506263456727,10,673.344287499519
150.106700765938,2,1953,51.1333,9.01667,"51.1333 9.01667","0",91,"apre",12.5631865323777,10,535.408573071872
148.076599267405,2,1954,51.1333,9.01667,"51.1333 9.01667","0",118,"apre",11.1361535972414,10,568.516431326712
129.895685868494,2,1955,51.1333,9.01667,"51.1333 9.01667","0",127,"apre",10.5083514134717,10,736.452142473443
128.8967488106,2,1956,51.1333,9.01667,"51.1333 9.01667","0",124,"apre",10.3510986697338,10,719.817858719533
152.121585947284,2,1957,51.1333,9.01667,"51.1333 9.01667","0",108,"apre",11.1565931572241,10,431.677859747649
142.815767729823,2,1958,51.1333,9.01667,"51.1333 9.01667","0",124,"apre",10.8184612966501,10,581.944287602657
151.168657344181,2,1959,51.1333,9.01667,"51.1333 9.01667","0",107,"apre",12.8946150963983,10,493.051431073674
148.743367184956,2,1960,51.1333,9.01667,"51.1333 9.01667","0",100,"apre",11.8940656682128,10,486.039287918247
130.686244946747,3,1951,49.1333,10.1833,"49.1333 10.1833","0",114,"apre",10.9937360180071,8,414.838575431545
154.342375250437,3,1952,49.1333,10.1833,"49.1333 10.1833","0",106,"apre",12.4956041163059,8,673.344287499519
139.491257642525,3,1953,49.1333,10.1833,"49.1333 10.1833","0",100,"apre",12.3606590643771,8,535.408573071872
138.560846020935,3,1955,49.1333,10.1833,"49.1333 10.1833","0",121,"apre",10.3951646028148,8,736.452142473443
119.731855189701,3,1956,49.1333,10.1833,"49.1333 10.1833","0",122,"apre",9.93527450320403,8,719.817858719533
147.890915510722,3,1957,49.1333,10.1833,"49.1333 10.1833","0",114,"apre",10.8434063510376,8,431.677859747649
143.550665218811,3,1959,49.1333,10.1833,"49.1333 10.1833","0",117,"apre",12.2125271995562,8,493.051431073674
157.061018829764,3,1960,49.1333,10.1833,"49.1333 10.1833","0",107,"apre",11.9389008320459,8,486.039287918247
119.65067068099,4,1951,48.8833,12.6,"48.8833 12.6","0",117,"apre",12.4619777434311,10,414.838575431545
144.557866989983,4,1952,48.8833,12.6,"48.8833 12.6","0",107,"apre",13.3767029977107,10,673.344287499519
126.977723738048,4,1953,48.8833,12.6,"48.8833 12.6","0",100,"apre",13.4599996991456,10,535.408573071872
132.597005969165,4,1954,48.8833,12.6,"48.8833 12.6","0",114,"apre",12.0274722586376,10,568.516431326712
131.915504940233,4,1955,48.8833,12.6,"48.8833 12.6","0",121,"apre",11.4576920515929,10,736.452142473443
125.370334380084,4,1956,48.8833,12.6,"48.8833 12.6","0",110,"apre",11.4354942498913,10,719.817858719533
149.146590554706,4,1957,48.8833,12.6,"48.8833 12.6","0",105,"apre",12.1799997277558,10,431.677859747649
131.580223149128,4,1958,48.8833,12.6,"48.8833 12.6","0",118,"apre",12.4648348862244,10,581.944287602657
128.323689186433,4,1959,48.8833,12.6,"48.8833 12.6","0",95,"apre",13.3074722300273,10,493.051431073674
141.93446898478,4,1960,48.8833,12.6,"48.8833 12.6","0",100,"apre",13.1604392662808,10,486.039287918247
137.76054850403,5,1951,50.8833,9.35,"50.8833 9.35","0",114,"apre",10.5083514134717,8,414.838575431545
