"lat","long","lat.long","x","y"
53.3333,8.48333,"53.3333 8.48333",8.48333,53.3333
51.3833,9.51667,"51.3833 9.51667",9.51667,51.3833
54.1667,10.05,"54.1667 10.05",10.05,54.1667
50.5667,6.26667,"50.5667 6.26667",6.26667,50.5667
48.4333,10.4167,"48.4333 10.4167",10.4167,48.4333
50.1667,10.1667,"50.1667 10.1667",10.1667,50.1667
50.5667,9.35,"50.5667 9.35",9.35,50.5667
49.3833,9.7,"49.3833 9.7",9.7,49.3833
49.3667,9.61667,"49.3667 9.61667",9.61667,49.3667
52.2333,10.2333,"52.2333 10.2333",10.2333,52.2333
48.8667,8.86667,"48.8667 8.86667",8.86667,48.8667
51.6333,6.18333,"51.6333 6.18333",6.18333,51.6333
