chillutah,chillports,gdd,siteslist,year,lat,long,lat.long,cc,lo
3012,132.3124182,26.53645096,1,1951,49.2667,8.75,49.2667 8.75,1950-1960,84
2556,123.9342345,129.0729101,1,1952,49.2667,8.75,49.2667 8.75,1950-1960,106
2268,110.5072913,8.425335954,1,1953,49.2667,8.75,49.2667 8.75,1950-1960,79
2544,122.7993647,55.77456428,1,1954,49.2667,8.75,49.2667 8.75,1950-1960,106
1800,104.7915086,120.3976279,1,1955,49.2667,8.75,49.2667 8.75,1950-1960,119
2088,104.2348183,77.73321923,1,1956,49.2667,8.75,49.2667 8.75,1950-1960,112
2808,133.4649422,78.68971068,1,1957,49.2667,8.75,49.2667 8.75,1950-1960,92
2268,112.3582436,240.1601269,1,1958,49.2667,8.75,49.2667 8.75,1950-1960,138
2628,120.9519345,201.0043278,1,1959,49.2667,8.75,49.2667 8.75,1950-1960,117
2700,127.8349327,47.26711859,1,1960,49.2667,8.75,49.2667 8.75,1950-1960,88
2568,128.0694713,23.67379562,2,1951,49.9167,11,49.9167 11,1950-1960,97
2124,111.9992522,68.35502044,2,1952,49.9167,11,49.9167 11,1950-1960,104
2100,107.5904068,33.72543676,2,1953,49.9167,11,49.9167 11,1950-1960,92
2232,112.8576718,29.94628729,2,1954,49.9167,11,49.9167 11,1950-1960,113
1704,98.93427877,90.80810715,2,1955,49.9167,11,49.9167 11,1950-1960,120
2016,100.9683088,38.26136063,2,1956,49.9167,11,49.9167 11,1950-1960,116
2628,125.234209,59.89352999,2,1957,49.9167,11,49.9167 11,1950-1960,95
2172,111.1670489,31.91359732,2,1958,49.9167,11,49.9167 11,1950-1960,118
2640,118.2748966,43.46845438,2,1959,49.9167,11,49.9167 11,1950-1960,91
2532,116.3417257,31.33797133,2,1960,49.9167,11,49.9167 11,1950-1960,97
2784,132.4509855,35.29197767,3,1951,50.15,10.4333,50.15 10.4333,1950-1960,108
2280,118.9770932,58.12904667,3,1952,50.15,10.4333,50.15 10.4333,1950-1960,102
2232,110.9648253,86.54183358,3,1953,50.15,10.4333,50.15 10.4333,1950-1960,107
2424,118.8144584,35.44463196,3,1954,50.15,10.4333,50.15 10.4333,1950-1960,110
1764,101.3478211,47.99530913,3,1955,50.15,10.4333,50.15 10.4333,1950-1960,114
2028,99.42706231,76.5271889,3,1956,50.15,10.4333,50.15 10.4333,1950-1960,120
2772,130.6682365,171.0849798,3,1957,50.15,10.4333,50.15 10.4333,1950-1960,123
2196,111.0251367,124.4186875,3,1958,50.15,10.4333,50.15 10.4333,1950-1960,128
2556,117.1619701,156.6634934,3,1959,50.15,10.4333,50.15 10.4333,1950-1960,112
2520,121.6309493,75.00042627,3,1960,50.15,10.4333,50.15 10.4333,1950-1960,100
2904,132.6157049,47.59077678,4,1951,49.4167,9.28333,49.4167 9.28333,1950-1960,108
2412,120.6363927,52.7043491,4,1952,49.4167,9.28333,49.4167 9.28333,1950-1960,101
2340,111.1448406,44.82071187,4,1953,49.4167,9.28333,49.4167 9.28333,1950-1960,92
