"warming","sprwarm","winwarm","bothwarm","lat","lon"
0,25.7058347893361,25.7058347893361,25.7058347893361,46.8167,12.8
1,24.778501309191,23.7910923875651,22.856162338233,46.8167,12.8
2,23.8451059266096,23.1500048618623,21.2753713896654,46.8167,12.8
3,22.9121151712855,22.6120325537432,19.8665000941321,46.8167,12.8
4,21.9646080769801,22.1688242761046,18.5037124938752,46.8167,12.8
5,21.0272494145024,21.8114033124305,17.2563358630691,46.8167,12.8
6,20.1113491766274,21.5522672572,16.1203995339216,46.8167,12.8
7,19.2135027647165,21.3705174052025,15.0679348534793,46.8167,12.8
0,15.4758090094303,15.4758090094303,15.4758090094303,48.3167,15.8167
1,14.6305139387082,15.4224403238572,14.5819538921595,48.3167,15.8167
2,13.7847541644918,15.4368710899103,13.7512096997974,48.3167,15.8167
3,12.9915206818573,15.5640415498367,13.0776803237511,48.3167,15.8167
4,12.2034290622354,15.7605861781228,12.4790423833019,48.3167,15.8167
5,11.456961266167,16.0269527061023,11.9858903913113,48.3167,15.8167
6,10.7361551995668,16.3653514494797,11.6129378739457,48.3167,15.8167
7,10.0311469718806,16.7712717757355,11.3013175697973,48.3167,15.8167
