model,winternosp_2level_negbin.stan,exponentiated... (exp(Intercept) - exp(Intercept-maineffect)),nointer_2level_negbin.stan,exponentiated... (exp(Intercept) - exp(Intercept-maineffect)),winternosp_2level_negbin.stan,exponentiated... (exp(Intercept) - exp(Intercept-maineffect)),nointer_2level_negbin.stan,exponentiated... (exp(Intercept) - exp(Intercept-maineffect)),nointer_2level_negbin.stan,exponentiated... (exp(Intercept) - exp(Intercept-maineffect)),winternosp_2level_negbin.stan,exponentiated... (exp(Intercept) - exp(Intercept-maineffect)),nointer_2level_negbin.stan,exponentiated... (exp(Intercept) - exp(Intercept-maineffect)),winternosp_2level_negbin.stan,exponentiated... (exp(Intercept) - exp(Intercept-maineffect))
,,,,,,,,,,,,,,,,
data info,exp & ramped for: photo and force,,exp & ramped for: photo and force,,exp & ramped for: photo and force,,exp & ramped for: photo and force,,exp & ramped for: photo and force,,exp & ramped for: photo and force,,exp & ramped for: photo and force,,exp & ramped for: photo and force,
spcomplex,"yes, regular",,"yes, one cue",,"yes, one cue",,"yes, regular",,No,,No,,"yes, no crops",,"yes, no crops",
diganostics,fine,,fine,,fine,,fine,,fine,,fine,,fine,,fine,
model notes,struggling with PPCs...,,struggling with PPCs...,,struggling with PPCs...,,struggling with PPCs...,,struggling with PPCs...,,struggling with PPCs...,,struggling with PPCs...,,struggling with PPCs...,
,,,,,,,,,,,,,,,,
N,,,,,,,,,,,,,,,,
sp_n,38,,41,,41,,38,,200,,200,,35,,35,
study_n,,,,,,,,,,,,,,,,
preds centered,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,
,,,,,,,,,,,,,,,,
mu_a_sp,3.291,26.86184827,3.288645222,26.80652216,3.295180574,26.98228593,3.287018435,26.7629491,3.28748405,26.77541323,3.292284723,26.90426228,3.279729225,26.56857762,3.284364346,26.69201205
mu_a_study,,,,,,,,,,,,,,,,
mu_b_force_sp,-0.224,-6.739,-0.221340543,-6.643626082,-0.236453994,-7.196205688,-0.208213246,-6.194859481,-0.161227886,-4.682163713,-0.201331178,-5.991075931,-0.180989381,-5.27269851,-0.201333591,-5.951022798
mu_b_photo_sp,-0.095,-2.663,-0.096263291,-2.709731355,-0.092737554,-2.621496451,-0.096349708,-2.706863853,-0.049843629,-1.367741357,-0.059792711,-1.649606897,-0.09316174,-2.594838598,-0.095206222,-2.665177815
mu_b_chill_sp,-0.335,-10.708,-0.366889918,-11.88591314,-0.344101767,-11.08022268,-0.354929247,-11.40294048,-0.297557199,-9.27494105,-0.28084876,-8.713645917,-0.329683493,-10.37858195,-0.312005615,-9.770049915
sigma_a_sp,0.373,8.369,0.372642785,8.342165804,0.368848986,8.321727423,0.37693718,8.404503954,0.44657609,9.639433115,0.447862181,9.717535529,0.37071422,8.232080242,0.365562262,8.169944956
sigma_a_study,,,,,,,,,,,,,,,,
sigma_b_force_sp,0.274,6.43,0.288603577,6.722533344,0.284690118,6.683726465,0.28019912,6.539853942,0.268205628,6.295854032,0.256208012,6.086811177,0.258755497,6.058963671,0.25248405,5.953656325
sigma_b_photo_sp,0.146,3.656,0.155577093,3.863625,0.145698608,3.657646554,0.157067315,3.890015913,0.10575484,2.685741489,0.099169891,2.547006018,0.157725435,3.877823769,0.146438021,3.634680922
sigma_b_chill_sp,0.191,4.675,0.178772048,4.389878314,0.177182602,4.380408549,0.194238312,4.72460005,0.213045687,5.135200993,0.216931034,5.252894665,0.166001969,4.064908847,0.170515371,4.182978967
sigma_y,5.011,26.691,4.936677375,26.62353772,5.024258828,26.79999821,4.925680858,26.56821964,7.259216713,26.74362409,7.437506238,26.88843431,4.826202275,26.36271713,4.915648673,26.48668186
alpha,,,,,,,,,,,,,,,,
b_cf,-0.045,-1.237,,,-0.057237314,-1.589160536,,,,,-0.025412175,-0.684593214,,,-0.042384748,-1.155231231
b_cp,0.057,1.492,,,0.057571262,1.509261888,,,,,0.049831136,1.315108722,,,0.057452285,1.489753807
