datasetID,study,Entered.By,genus,species,varetc,woody,population,population.detail,provenance.lat,provenance.long,population.altitude.m,continent,year,material,fieldchill,fieldsample.date,chilltemp,chillphotoperiod,chilldays,forcetemp,forcetemp_night,photoperiod_day,photoperiod_night,respvar,response,response.time,n,error.type,resp_error,figure.table..if.applicable.,growing.lat,growing.long,field.chill.units,cu.model,other.treatment,irradiance,irradiance.units,humidity,number.longdays,dormancy_induction_temp_day,dormancy_induction_temp_night,dormancy_induction_days,dormancy_induction_photoperiod_day,dormancy_induction_photoperiod_night,dormancy_induction_days,freeze.treatment.time,freeze.treatment.photoperiod_day,freeze.treatment.photoperiod_night,freeze.treatment.temp_day,freeze.treatment.temp_night,response..pre.treatment.,response..post.treatment
fu19,exp1,DL,Fagus,sylvatica,,yes ,,,,,,Europe,2016,saplings,,,,,,ambient,,ambient,,meanleafout,NA,NA,,,,,51.317,4.35,,,,,,,,,,,,,,,,,,,,
fu19,exp1,DL,Fagus,sylvatica,,yes ,,,,,,Europe,2016,saplings,,,,,,ambient+0,,ambient,,meanleafout,1,130,,SD,3,S1,51.317,4.35,,,,,,,,,,,,,,,,,,,,
fu19,exp1,DL,Fagus,sylvatica,,yes ,,,,,,Europe,2016,saplings,,,,,,ambient+1,,ambient,,meanleafout,1,126,,SD,4,S1,51.317,4.35,,,,,,,,,,,,,,,,,,,,
fu19,exp1,DL,Fagus,sylvatica,,yes ,,,,,,Europe,2016,saplings,,,,,,ambient+2,,ambient,,meanleafout,1,128,,SD,2,S1,51.317,4.35,,,,,,,,,,,,,,,,,,,,
fu19,exp1,DL,Fagus,sylvatica,,yes ,,,,,,Europe,2016,saplings,,,,,,ambient+3,,ambient,,meanleafout,1,124,,SD,4,S1,51.317,4.35,,,,,,,,,,,,,,,,,,,,
fu19,exp1,DL,Fagus,sylvatica,,yes ,,,,,,Europe,2016,saplings,,,,,,ambient+4,,ambient,,meanleafout,1,122,,SD,1,S1,51.317,4.35,,,,,,,,,,,,,,,,,,,,
fu19,exp1,DL,Fagus,sylvatica,,yes ,,,,,,Europe,2016,saplings,,,,,,ambient+5,,ambient,,meanleafout,1,116,,SD,3,S1,51.317,4.35,,,,,,,,,,,,,,,,,,,,
fu19,exp1,DL,Fagus,sylvatica,,yes ,,,,,,Europe,2016,saplings,,,,,,ambient,,short,,meanleafout,NA,NA,,,,S1,51.317,4.35,,,,,,,,,,,,,,,,,,,,
fu19,exp1,DL,Fagus,sylvatica,,yes ,,,,,,Europe,2016,saplings,,,,,,ambient+0,,short,,meanleafout,1,129,,SD,1,S1,51.317,4.35,,,,,,,,,,,,,,,,,,,,
fu19,exp1,DL,Fagus,sylvatica,,yes ,,,,,,Europe,2016,saplings,,,,,,ambient+1,,short,,meanleafout,1,125,,SD,3,S1,51.317,4.35,,,,,,,,,,,,,,,,,,,,
fu19,exp1,DL,Fagus,sylvatica,,yes ,,,,,,Europe,2016,saplings,,,,,,ambient+2,,short,,meanleafout,1,127,,SD,1,S1,51.317,4.35,,,,,,,,,,,,,,,,,,,,
fu19,exp1,DL,Fagus,sylvatica,,yes ,,,,,,Europe,2016,saplings,,,,,,ambient+3,,short,,meanleafout,1,123,,SD,3,S1,51.317,4.35,,,,,,,,,,,,,,,,,,,,
fu19,exp1,DL,Fagus,sylvatica,,yes ,,,,,,Europe,2016,saplings,,,,,,ambient+4,,short,,meanleafout,1,117,,SD,3,S1,51.317,4.35,,,,,,,,,,,,,,,,,,,,
fu19,exp1,DL,Fagus,sylvatica,,yes ,,,,,,Europe,2016,saplings,,,,,,ambient+5,,short,,meanleafout,1,109,,SD,4,S1,51.317,4.35,,,,,,,,,,,,,,,,,,,,
fu19,exp1,DL,Aesculus ,hippocastanum,,yes ,,,,,,Europe,2016,saplings,,,,,,ambient,,ambient,,meanleafout,NA,NA,,,,S1,51.317,4.35,,,,,,,,,,,,,,,,,,,,
fu19,exp1,DL,Aesculus ,hippocastanum,,yes ,,,,,,Europe,2016,saplings,,,,,,ambient+0,,ambient,,meanleafout,1,100,,SD,1,S1,51.317,4.35,,,,,,,,,,,,,,,,,,,,
fu19,exp1,DL,Aesculus ,hippocastanum,,yes ,,,,,,Europe,2016,saplings,,,,,,ambient+1,,ambient,,meanleafout,1,96,,SD,4,S1,51.317,4.35,,,,,,,,,,,,,,,,,,,,
fu19,exp1,DL,Aesculus ,hippocastanum,,yes ,,,,,,Europe,2016,saplings,,,,,,ambient+2,,ambient,,meanleafout,1,94,,SD,2,S1,51.317,4.35,,,,,,,,,,,,,,,,,,,,
fu19,exp1,DL,Aesculus ,hippocastanum,,yes ,,,,,,Europe,2016,saplings,,,,,,ambient+3,,ambient,,meanleafout,1,89,,SD,1,S1,51.317,4.35,,,,,,,,,,,,,,,,,,,,
fu19,exp1,DL,Aesculus ,hippocastanum,,yes ,,,,,,Europe,2016,saplings,,,,,,ambient+4,,ambient,,meanleafout,1,89,,SD,2,S1,51.317,4.35,,,,,,,,,,,,,,,,,,,,
fu19,exp1,DL,Aesculus ,hippocastanum,,yes ,,,,,,Europe,2016,saplings,,,,,,ambient+5,,ambient,,meanleafout,1,81,,SD,2,S1,51.317,4.35,,,,,,,,,,,,,,,,,,,,
fu19,exp1,DL,Aesculus ,hippocastanum,,yes ,,,,,,Europe,2016,saplings,,,,,,ambient,,short,,meanleafout,NA,NA,,,,S1,51.317,4.35,,,,,,,,,,,,,,,,,,,,
fu19,exp1,DL,Aesculus ,hippocastanum,,yes ,,,,,,Europe,2016,saplings,,,,,,ambient+0,,short,,meanleafout,1,100,,SD,2,S1,51.317,4.35,,,,,,,,,,,,,,,,,,,,
fu19,exp1,DL,Aesculus ,hippocastanum,,yes ,,,,,,Europe,2016,saplings,,,,,,ambient+1,,short,,meanleafout,1,96,,SD,1,S1,51.317,4.35,,,,,,,,,,,,,,,,,,,,
fu19,exp1,DL,Aesculus ,hippocastanum,,yes ,,,,,,Europe,2016,saplings,,,,,,ambient+2,,short,,meanleafout,1,94,,SD,2,S1,51.317,4.35,,,,,,,,,,,,,,,,,,,,
fu19,exp1,DL,Aesculus ,hippocastanum,,yes ,,,,,,Europe,2016,saplings,,,,,,ambient+3,,short,,meanleafout,1,91,,SD,1,S1,51.317,4.35,,,,,,,,,,,,,,,,,,,,
fu19,exp1,DL,Aesculus ,hippocastanum,,yes ,,,,,,Europe,2016,saplings,,,,,,ambient+4,,short,,meanleafout,1,91,,SD,1,S1,51.317,4.35,,,,,,,,,,,,,,,,,,,,
fu19,exp1,DL,Aesculus ,hippocastanum,,yes ,,,,,,Europe,2016,saplings,,,,,,ambient+5,,short,,meanleafout,1,80,,SD,2,S1,51.317,4.35,,,,,,,,,,,,,,,,,,,,
