"key","freq","V1","V2"
" de wit van den putte",1," de wit"," van den putte"
" de witbellen",1,"bellen"," de wit"
" de witcook",1," de wit","cook"
" de witcronje",1,"cronje"," de wit"
" de witkeulemans",1," de wit","keulemans"
" de witsteyn",1," de wit","steyn"
" powell jrswartz",1," powell jr","swartz"
" van den puttebellen",1,"bellen"," van den putte"
" van den puttecook",1," van den putte","cook"
" van den puttecronje",1,"cronje"," van den putte"
" van den puttekeulemans",1,"keulemans"," van den putte"
" van den puttesteyn",1,"steyn"," van den putte"
"amegliobonhomme",1,"ameglio","bonhomme"
"amegliocharrier",1,"ameglio","charrier"
"amegliolacointe",1,"ameglio","lacointe"
"andersenandersen",1,"andersen","andersen"
"andersenpagter",2,"andersen","pagter"
"ankerstestrella",1,"ankerst","estrella"
"ankersthofler",1,"ankerst","hofler"
"ankerstlaube",1,"ankerst","laube"
"ankerstmenzel",1,"ankerst","menzel"
"ankerstsparks",1,"ankerst","sparks"
"ashbyothers",1,"others","ashby"
"baslerkorner",2,"korner","basler"
"beckthielges",1,"beck","thielges"
"bellencook",1,"bellen","cook"
"bellencronje",1,"bellen","cronje"
"bellenkeulemans",1,"bellen","keulemans"
"bellensteyn",1,"bellen","steyn"
"benitoheide",1,"heide","benito"
"benitomyrheim",1,"myrheim","benito"
"benitoopstad",1,"opstad","benito"
"benitorenner",1,"renner","benito"
"benitosonsteby",1,"benito","sonsteby"
"benitosvenning",1,"benito","svenning"
"benitozohner",1,"benito","zohner"
"bernierhavelange",1,"havelange","bernier"
"bernierhoussa",1,"houssa","bernier"
"bernierlejeune",1,"lejeune","bernier"
"bernierpetitjean",1,"petitjean","bernier"
"biasicarvalho",1,"carvalho","biasi"
"biasizanette",1,"zanette","biasi"
"bigrascalme",1,"bigras","calme"
"bigrashebert",1,"bigras","hebert"
"bigrasmargolis",1,"bigras","margolis"
"biranhalevy",1,"halevy","biran"
"black-samuelssonfalusi",1,"black-samuelsson","falusi"
"black-samuelssonghelardini",1,"black-samuelsson","ghelardini"
"black-samuelssonmyking",1,"black-samuelsson","myking"
"black-samuelssonsantini",1,"black-samuelsson","santini"
"blackburnokie",1,"blackburn","okie"
"boekengutterman",1,"boeken","gutterman"
"bonhommecharrier",1,"bonhomme","charrier"
"bonhommedantec",1,"bonhomme","dantec"
"bonhommedelzon",1,"bonhomme","delzon"
"bonhommekremer",1,"bonhomme","kremer"
"bonhommelacointe",1,"bonhomme","lacointe"
"bonhommelouvet",1,"bonhomme","louvet"
"bonhommevitasse",1,"bonhomme","vitasse"
"boyersouth",1,"south","boyer"
"bradfordhancock",1,"hancock","bradford"
"bradfordwarner",1,"warner","bradford"
"brennangordon",1,"brennan","gordon"
"brennanhillis",1,"brennan","hillis"
"brennanjones",1,"brennan","jones"
"bylundheino",1,"bylund","heino"
"bylundkarlsson",1,"bylund","karlsson"
"bylundneuvonen",1,"bylund","neuvonen"
"bylundtjus",1,"bylund","tjus"
"caffarrachuine",1,"chuine","caffarra"
"caffarradonnelly",2,"donnelly","caffarra"
"caffarrajones",1,"jones","caffarra"
"calamassifalusi",4,"calamassi","falusi"
"calmehebert",1,"hebert","calme"
"calmemargolis",1,"margolis","calme"
"campbellsugano",1,"sugano","campbell"
"campiolideckmyn",1,"campioli","deckmyn"
"campiolifu",1,"campioli","fu"
"campiolijanssens",1,"campioli","janssens"
"campionedwards",1,"campion","edwards"
"campiongunderson",1,"campion","gunderson"
"campionhanson",1,"campion","hanson"
"campionohara",1,"campion","ohara"
"campionwalker",1,"campion","walker"
"cannellcannell",1,"cannell","cannell"
"cannellsmith",4,"smith","cannell"
"carvalhozanette",1,"carvalho","zanette"
"castro-d\iezsanz-perez",1,"castro-d\iez","sanz-perez"
"castro-diezsanz-perez",1,"castro-diez","sanz-perez"
"castro-diezvalladares",1,"castro-diez","valladares"
"charrierlacointe",1,"lacointe","charrier"
"chavarriaherter",1,"herter","chavarria"
"chavarriaraseira",1,"raseira","chavarria"
"chavarriareisser",1,"reisser","chavarria"
"chavarriarodrigues",1,"rodrigues","chavarria"
"chavarriasilva",1,"silva","chavarria"
"chuinedonnelly",1,"chuine","donnelly"
"chuinejones",1,"chuine","jones"
"chuinemorin",1,"chuine","morin"
"chuineroy",1,"chuine","roy"
"chuinesonie",1,"chuine","sonie"
"cookcronje",2,"cronje","cook"
"cookjacobs",2,"jacobs","cook"
"cookkeulemans",1,"keulemans","cook"
"cooksadie",1,"cook","sadie"
"cooksteyn",1,"steyn","cook"
"cronjejacobs",1,"jacobs","cronje"
"cronjekeulemans",1,"cronje","keulemans"
"cronjesadie",1,"sadie","cronje"
"cronjesteyn",1,"cronje","steyn"
"dantecdelzon",1,"delzon","dantec"
"danteckremer",1,"kremer","dantec"
"danteclouvet",1,"louvet","dantec"
"dantecvitasse",1,"vitasse","dantec"
"darnellspann",1,"darnell","spann"
"darnellwilliamson",1,"darnell","williamson"
"de vriesdubois",1,"dubois","de vries"
"de vriessmeets",1,"smeets","de vries"
"deckmynfu",1,"deckmyn","fu"
"deckmynjanssens",1,"deckmyn","janssens"
"delzonkremer",1,"delzon","kremer"
"delzonlouvet",1,"delzon","louvet"
"delzonvitasse",1,"delzon","vitasse"
"dharhawkins",1,"dhar","hawkins"
"dietrichsonothers",1,"dietrichson","others"
"dietrichsonskuterud",1,"dietrichson","skuterud"
"donnellyjones",1,"donnelly","jones"
"draperspiers",1,"draper","spiers"
"duboissmeets",1,"dubois","smeets"
"durnerpoling",1,"poling","durner"
"edwardsgunderson",1,"edwards","gunderson"
"edwardshanson",1,"edwards","hanson"
"edwardsohara",1,"edwards","ohara"
"edwardswalker",1,"edwards","walker"
"estrellahofler",1,"estrella","hofler"
"estrellalaube",2,"estrella","laube"
"estrellamenzel",2,"estrella","menzel"
"estrellasparks",2,"estrella","sparks"
"falusighelardini",1,"falusi","ghelardini"
"falusimyking",1,"falusi","myking"
"falusisantini",1,"falusi","santini"
"floistadgranhus",1,"floistad","granhus"
"floistadsogaard",1,"floistad","sogaard"
"foffovagomory",1,"foffova","gomory"
"foffovakrajmerova",1,"foffova","krajmerova"
"foffovalongauer",1,"foffova","longauer"
