"","datasetID","latitude.count","longitude.count"
"1","ashby62",3,3
"2","ashby62",3,3
"3","ashby62",3,3
"4","ashby62",3,3
"5","ashby62",3,3
"6","basler12",2,2
"7","basler12",2,2
"8","basler12",2,2
"9","basler12",2,2
"10","basler12",2,2
"11","basler12",2,2
"12","basler12",2,2
"13","basler12",2,2
"14","basler12",2,2
"15","basler12",2,2
"16","basler12",2,2
"17","basler12",2,2
"18","basler12",2,2
"19","basler12",2,2
"20","basler12",2,2
"21","basler12",2,2
"22","basler12",2,2
"23","basler12",2,2
"24","basler12",2,2
"25","basler12",2,2
"26","basler12",2,2
"27","basler12",2,2
"28","basler12",2,2
"29","basler12",2,2
"30","basler12",2,2
"31","basler12",2,2
"32","basler12",2,2
"33","basler12",2,2
"34","biasi12",2,2
"35","biasi12",2,2
"36","boyer",3,4
"37","boyer",3,4
"38","boyer",3,4
"39","boyer",3,4
"40","calme94",3,3
"41","calme94",3,3
"42","calme94",3,3
"43","campbell75",6,6
"44","campbell75",6,6
"45","cannell83",2,2
"46","cannell83",2,2
"47","cannell83",2,2
"48","charrier11",2,2
"49","charrier11",2,2
"50","cook00b",2,2
"51","cook05",2,2
"52","dantec14",3,3
"53","dantec14",3,3
"54","falusi96",5,4
"55","falusi96",5,4
"56","falusi96",5,4
"57","falusi97",3,3
"58","falusi97",3,3
"59","gunderson12",2,2
"60","gunderson12",2,2
"61","gunderson12",2,2
"62","gunderson12",2,2
"63","gunderson12",2,2
"64","gunderson12",2,2
"65","gunderson12",2,2
"66","gunderson12",2,2
"67","hawkins12",17,18
"68","heide05",4,4
"69","heide05",4,4
"70","heide05",4,4
"71","heide05",4,4
"72","heide05",4,4
"73","heide08",4,4
"74","heide08",4,4
"75","heide08",4,4
"76","heide08",4,4
"77","heide08",4,4
"78","heide08",4,4
"79","heide12",3,3
"80","heide12",3,3
"81","heide12",3,3
"82","heide12",3,3
"83","heide12",3,3
"84","heide12",3,3
"85","heide12",3,3
"86","heide12",3,3
"87","heide12",3,3
"88","heide12",3,3
"89","heide12",3,3
"90","heide12",3,3
"91","heide12",3,3
"92","heide12",3,3
"93","heide12",3,3
"94","heide12",3,3
"95","heide12",3,3
"96","heide12",3,3
"97","heide93a",4,4
"98","heide93a",4,4
"99","heide93a",4,4
"100","heide93a",4,4
"101","heide93a",4,4
"102","heide93a",4,4
"103","heide93a",4,4
"104","heide93a",4,4
"105","howe95",2,2
"106","howe95",2,2
"107","howe95",2,2
"108","jones12",8,8
"109","jones12",8,8
"110","jones12",8,8
"111","jones12",8,8
"112","jones12",8,8
"113","jones12",8,8
"114","junttila12",4,4
"115","junttila12",4,4
"116","junttila12",4,4
"117","junttila12",4,4
"118","junttila12",4,4
"119","karlsson03",2,2
"120","li05",4,4
"121","li05",4,4
"122","morin10",3,3
"123","morin10",3,3
"124","morin10",3,3
"125","myking95",3,3
"126","myking95",3,3
"127","nienstaedt66",12,14
"128","nienstaedt66",12,14
"129","nienstaedt66",12,14
"130","nienstaedt66",12,14
"131","nienstaedt66",12,14
"132","nienstaedt66",12,14
"133","nienstaedt66",12,14
"134","pagter15",2,2
"135","partanen01",3,3
"136","partanen98",3,3
"137","partanen98",3,3
"138","partanen98",3,3
"139","schnabel87",2,2
"140","skre08",5,5
"141","skuterud94",3,6
"142","skuterud94",3,6
"143","sonsteby13",8,8
"144","sonsteby13",8,8
"145","sonsteby13",8,8
"146","sonsteby13",8,8
"147","sonsteby14",5,5
"148","sonsteby14",5,5
"149","sonsteby14",5,5
"150","sonsteby14",5,5
"151","sonsteby14",5,5
"152","sonsteby14",5,5
"153","sonsteby14",5,5
"154","sonsteby14",5,5
"155","sonsteby14",5,5
"156","sonsteby14",5,5
"157","sonsteby14",5,5
"158","sonsteby14",5,5
"159","sonsteby14",5,5
"160","sonsteby14",5,5
"161","sonsteby14",5,5
"162","sonsteby14",5,5
"163","sonsteby14",5,5
"164","sonsteby14",5,5
"165","sonsteby14",5,5
"166","sonsteby14",5,5
"167","viheraaarnio06",2,1
"168","viheraaarnio06",2,1
"169","viheraaarnio06",2,1
"170","worrall67",12,2
"171","worrall67",12,2
"172","worrall67",12,2
"173","worrall67",12,2
"174","worrall67",12,2
