"datasetID","genus","species","provenance.lat","provenance.long","prov","sample","force","photo","chill","spp"
"basler12","Acer","pseudoplatanus",46.2,7.033,2,"1","1","2",2,"15"
"basler12","Acer","pseudoplatanus",46.85,9.53,2,"1","1","2",2,"15"
"basler12","Betula","pendula",46.2,7.033,2,"1","1","2",2,"15"
"basler12","Betula","pendula",46.85,9.53,2,"1","1","2",2,"15"
"basler12","Aesculus","hippocastanum",46.2,7.033,2,"1","1","2",2,"15"
"basler12","Aesculus","hippocastanum",46.85,9.53,2,"1","1","2",2,"15"
"basler12","Syringa","vulgaris",46.2,7.033,2,"1","1","2",2,"15"
"basler12","Syringa","vulgaris",46.85,9.53,2,"1","1","2",2,"15"
"basler12","Corylus","avellana",46.2,7.033,2,"1","1","2",2,"15"
"basler12","Corylus","avellana",46.85,9.53,2,"1","1","2",2,"15"
"basler12","Fraxinus","excelsior",46.2,7.033,2,"1","1","2",2,"15"
"basler12","Fraxinus","excelsior",46.85,9.53,2,"1","1","2",2,"15"
"basler12","Fagus","sylvatica",46.2,7.033,2,"1","1","2",2,"15"
"basler12","Fagus","sylvatica",46.85,9.53,2,"1","1","2",2,"15"
"basler12","Picea","abies",46.2,7.033,2,"1","1","2",2,"15"
"basler12","Picea","abies",46.85,9.53,2,"1","1","2",2,"15"
"basler12","Larix","decidua",46.2,7.033,2,"1","1","2",2,"15"
"basler12","Larix","decidua",46.85,9.53,2,"1","1","2",2,"15"
"basler12","Prunus","avium",46.2,7.033,2,"1","1","2",2,"15"
"basler12","Prunus","avium",46.85,9.53,2,"1","1","2",2,"15"
"basler12","Quercus","patraea",46.2,7.033,2,"1","1","2",2,"15"
"basler12","Quercus","patraea",46.85,9.53,2,"1","1","2",2,"15"
"basler12","Tilia","cordata",46.2,7.033,2,"1","1","2",2,"15"
"basler12","Tilia","cordata",46.85,9.53,2,"1","1","2",2,"15"
"basler12","Sorbus","aucuparia",46.2,7.033,2,"1","1","2",2,"15"
"basler12","Sorbus","aucuparia",46.85,9.53,2,"1","1","2",2,"15"
"basler12","Abies","alba",46.2,7.033,2,"1","1","2",2,"15"
"basler12","Abies","alba",46.85,9.53,2,"1","1","2",2,"15"
"basler12","Quercus","petraea",46.2,7.033,2,"1","1","2",2,"15"
"basler12","Quercus","petraea",46.85,9.53,2,"1","1","2",2,"15"
"heide93a","Fagus","sylvatica",59.67,10.83,4,"7","3","6",8,"2"
"heide93a","Fagus","sylvatica",47.5,7.6,4,"7","3","6",8,"2"
"heide93a","Fagus","sylvatica",49.3,22.5,4,"7","3","6",8,"2"
"heide93a","Fagus","sylvatica",55.75,12.5,4,"7","3","6",8,"2"
"myking95","Betula","pubescens",64,11.5,3,"1","1","2",5,"2"
"myking95","Betula","pendula",64,11.5,3,"1","1","2",5,"2"
"myking95","Betula","pubescens",56.1,9.15,3,"1","1","2",5,"2"
"myking95","Betula","pubescens",69,18.6,3,"1","1","2",5,"2"
"myking95","Betula","pendula",56.1,9.15,3,"1","1","2",5,"2"
"myking95","Betula","pendula",69,18.6,3,"1","1","2",5,"2"
"nienstaedt66","Picea","abies",53,60,2,"1","1","2",5,"7"
"nienstaedt66","Picea","abies",47.5,13,2,"1","1","2",5,"7"
