"datasetIDstudy","diff.treat"
"ashby62 exp1",NA
"ashby62 exp2",NA
"basler12 exp1",NA
"basler14 exp1",15
"basler14 exp1",12
"basler14 exp1",3
"biasi12 exp1",NA
"boyer exp1",NA
"boyer exp2",NA
"caffarra11a exp1",NA
"caffarra11a exp2",6
"caffarra11a exp2",12
"caffarra11a exp2",18
"caffarra11a exp2",26
"caffarra11a exp2",20
"caffarra11a exp2",14
"caffarra11a exp2",8
"caffarra11a exp3",NA
"caffarra11b exp2",NA
"caffarra11b exp3",NA
"calme94 exp1",NA
"campbell75 exp1",NA
"campbell75 exp3",4
"campbell75 exp3",8
"campbell75 exp3",12
"cannell83 exp1",NA
"cannell83 exp2",NA
"charrier11 exp1",NA
"charrier11 exp2",5
"charrier11 exp2",10
"charrier11 exp2",15
"charrier11 exp2",20
"chavarria09 exp1",NA
"chavarria09 exp2",NA
"cook00b exp1",NA
"cook05 exp1",NA
"cronje03 exp1",NA
"dantec14 exp2",NA
"devries82 exp1",4
"devries82 exp1",8
"falusi03 exp1",10
"falusi90 exp1",1.83333333333333
"falusi96 exp1",NA
"falusi96 exp2",NA
"falusi96 exp3",1.83333333333333
"falusi97 exp1",10
"falusi97 exp2",10
"fu13 exp1",NA
"gansert02 exp1",NA
"gansert02 exp2",NA
"ghelardini10 exp1",NA
"ghelardini10 exp2",12
"gianfagna85 exp1",10
"gianfagna85 exp1",5
"gomory15 exp1",4.3
"granhus09 exp1",NA
"guak98 exp1",NA
"guerriero90 exp3",NA
"guerriero90 exp2",NA
"guerriero90 exp1",NA
"gunderson12 exp1",NA
"hawerroth13 ",NA
"hawkins12 ",NA
"Heide03 exp1",NA
"heide05 exp1",12
"heide05 exp1",6
"heide05 exp1",9
"heide05 exp1",3
"heide05 exp2",6
"heide05 exp2",9
"heide05 exp2",12
"heide05 exp2",7
"heide05 exp2",3
"heide05 exp2",1
"heide05 exp2",2
"heide05 exp2",5
"heide08 exp1",3
"heide08 exp1",6
"heide08 exp1",12
"heide08 exp1",9
"heide08 exp2",NA
"heide08 exp3",6
"heide08 exp3",9
"heide08 exp3",12
"heide08 exp3",3
"heide11 exp1",6
"heide11 exp1",12
"heide11 exp2",6
"heide11 exp2",12
"heide11 exp3",6
"heide11 exp3",12
"heide12 exp1",NA
"heide12 exp2",6
"heide12 exp3",6
"heide12 exp3",12
"heide15 exp2",NA
"heide93 exp1",6
"heide93 exp1",12
"heide93 exp2",6
"heide93 exp2",12
"heide93 exp3",NA
"heide93a exp1",NA
"heide93a exp2",6
"heide93a exp2",12
"heide93a exp3",NA
"howe95 exp1",NA
"jones12 exp1",NA
"jones12 exp2",NA
"junttila12 exp1",3
"junttila12 exp1",6
"junttila12 exp1",9
"junttila12 exp1",12
"karlsson03 exp1",6.5
"karlsson03 exp1",11.5
"karlsson03 exp1",5
"lamb37 exp1",NA
"laube14a exp1",NA
"laube14b exp1",NA
"li05 exp1",NA
"linkosalo06 exp1",NA
"man10 exp1",NA
"man10 exp1",5
"man10 exp1",10
"man10 exp1",5
"manson91 exp1",NA
"morin10 exp1",NA
"myking95 exp1",NA
