Lat	Lon	MeanFitness
52.1800	-10.2500	 0.549
52.0100	-10.0900	 0.533
52.1800	-10.0900	 0.619
52.3400	-10.0900	 0.250
51.8400	-9.9200	 0.510
52.0100	-9.9200	 0.473
52.1800	-9.9200	 0.429
52.3400	-9.9200	 0.248
53.5100	-9.9200	 0.880
53.6700	-9.9200	 0.765
54.0000	-9.9200	 0.499
54.3400	-9.9200	 0.706
51.8400	-9.7600	 0.492
52.0100	-9.7600	 0.216
52.1800	-9.7600	 0.615
52.3400	-9.7600	 0.358
53.5100	-9.7600	 0.664
53.6700	-9.7600	 0.338
53.8400	-9.7600	 0.664
54.0000	-9.7600	 0.492
54.1700	-9.7600	 0.625
54.3400	-9.7600	 0.659
51.6800	-9.5900	 0.607
51.8400	-9.5900	 0.375
52.0100	-9.5900	 0.223
52.1800	-9.5900	 0.579
52.3400	-9.5900	 0.603
52.5100	-9.5900	 0.778
52.6700	-9.5900	 0.839
53.5100	-9.5900	 0.609
53.6700	-9.5900	 0.233
53.8400	-9.5900	 0.336
54.0000	-9.5900	 0.387
54.1700	-9.5900	 0.388
54.3400	-9.5900	 0.490
51.6800	-9.4200	 0.636
51.8400	-9.4200	 0.471
52.0100	-9.4200	 0.456
52.1800	-9.4200	 0.669
52.3400	-9.4200	 0.706
52.5100	-9.4200	 0.766
52.6700	-9.4200	 0.858
52.8400	-9.4200	 0.887
53.3400	-9.4200	 0.904
53.5100	-9.4200	 0.568
53.6700	-9.4200	 0.165
53.8400	-9.4200	 0.400
54.0000	-9.4200	 0.394
54.1700	-9.4200	 0.240
54.3400	-9.4200	 0.239
38.9000	-9.2600	 0.796
39.0600	-9.2600	 0.796
39.2300	-9.2600	 0.796
51.6800	-9.2600	 0.686
51.8400	-9.2600	 0.523
52.0100	-9.2600	 0.260
52.1800	-9.2600	 0.655
52.3400	-9.2600	 0.620
52.5100	-9.2600	 0.800
52.6700	-9.2600	 0.890
52.8400	-9.2600	 0.885
53.0100	-9.2600	 0.822
53.3400	-9.2600	 0.740
53.5100	-9.2600	 0.536
53.6700	-9.2600	 0.534
53.8400	-9.2600	 0.424
54.0000	-9.2600	 0.450
54.1700	-9.2600	 0.401
54.3400	-9.2600	 0.250
38.7300	-9.0900	 0.549
38.9000	-9.0900	 0.749
39.0600	-9.0900	 0.795
39.2300	-9.0900	 0.797
39.4000	-9.0900	 0.895
39.5600	-9.0900	 0.892
43.0500	-9.0900	 0.563
43.2100	-9.0900	 0.602
51.6800	-9.0900	 0.750
51.8400	-9.0900	 0.423
52.0100	-9.0900	 0.309
52.1800	-9.0900	 0.480
52.3400	-9.0900	 0.370
52.5100	-9.0900	 0.764
52.6700	-9.0900	 0.900
52.8400	-9.0900	 0.832
53.0100	-9.0900	 0.834
53.1700	-9.0900	 0.614
53.3400	-9.0900	 0.752
53.5100	-9.0900	 0.814
53.6700	-9.0900	 0.715
53.8400	-9.0900	 0.649
54.0000	-9.0900	 0.593
54.1700	-9.0900	 0.699
54.3400	-9.0900	 0.586
38.5600	-8.9300	 0.155
38.7300	-8.9300	 0.100
38.9000	-8.9300	 0.100
39.0600	-8.9300	 0.549
39.2300	-8.9300	 0.547
39.4000	-8.9300	 0.596
39.5600	-8.9300	 0.644
39.7300	-8.9300	 0.641
42.7200	-8.9300	 0.509
42.8800	-8.9300	 0.473
43.0500	-8.9300	 0.381
43.2100	-8.9300	 0.532
51.6800	-8.9300	 0.797
51.8400	-8.9300	 0.729
52.0100	-8.9300	 0.580
52.1800	-8.9300	 0.710
52.3400	-8.9300	 0.470
52.5100	-8.9300	 0.862
52.6700	-8.9300	 0.929
52.8400	-8.9300	 0.920
53.0100	-8.9300	 0.863
53.1700	-8.9300	 0.751
53.3400	-8.9300	 0.933
53.5100	-8.9300	 0.883
53.6700	-8.9300	 0.625
53.8400	-8.9300	 0.559
54.0000	-8.9300	 0.556
54.1700	-8.9300	 0.545
54.3400	-8.9300	 0.547
37.2400	-8.7600	 0.050
37.4000	-8.7600	 0.050
38.7300	-8.7600	 0.100
38.9000	-8.7600	 0.050
