Lat	Lon	MeanFitness
52.1800	-10.2500	 0.701
52.0100	-10.0900	 0.698
52.1800	-10.0900	 0.737
52.3400	-10.0900	 0.625
51.8400	-9.9200	 0.696
52.0100	-9.9200	 0.678
52.1800	-9.9200	 0.678
52.3400	-9.9200	 0.655
53.5100	-9.9200	 0.959
53.6700	-9.9200	 0.946
54.0000	-9.9200	 0.918
54.3400	-9.9200	 0.941
51.8400	-9.7600	 0.726
52.0100	-9.7600	 0.646
52.1800	-9.7600	 0.783
52.3400	-9.7600	 0.704
53.5100	-9.7600	 0.947
53.6700	-9.7600	 0.890
53.8400	-9.7600	 0.947
54.0000	-9.7600	 0.915
54.1700	-9.7600	 0.956
54.3400	-9.7600	 0.944
51.6800	-9.5900	 0.798
51.8400	-9.5900	 0.717
52.0100	-9.5900	 0.677
52.1800	-9.5900	 0.803
52.3400	-9.5900	 0.810
52.5100	-9.5900	 0.893
52.6700	-9.5900	 0.933
53.5100	-9.5900	 0.946
53.6700	-9.5900	 0.855
53.8400	-9.5900	 0.897
54.0000	-9.5900	 0.902
54.1700	-9.5900	 0.905
54.3400	-9.5900	 0.917
51.6800	-9.4200	 0.833
51.8400	-9.4200	 0.763
52.0100	-9.4200	 0.783
52.1800	-9.4200	 0.862
52.3400	-9.4200	 0.880
52.5100	-9.4200	 0.919
52.6700	-9.4200	 0.945
52.8400	-9.4200	 0.972
53.3400	-9.4200	 0.985
53.5100	-9.4200	 0.953
53.6700	-9.4200	 0.870
53.8400	-9.4200	 0.921
54.0000	-9.4200	 0.915
54.1700	-9.4200	 0.878
54.3400	-9.4200	 0.875
38.9000	-9.2600	 0.593
39.0600	-9.2600	 0.000
39.2300	-9.2600	 0.000
51.6800	-9.2600	 0.457
51.8400	-9.2600	 0.832
52.0100	-9.2600	 0.779
52.1800	-9.2600	 0.896
52.3400	-9.2600	 0.893
52.5100	-9.2600	 0.944
52.6700	-9.2600	 0.975
52.8400	-9.2600	 0.959
53.0100	-9.2600	 0.964
53.3400	-9.2600	 0.979
53.5100	-9.2600	 0.967
53.6700	-9.2600	 0.965
53.8400	-9.2600	 0.946
54.0000	-9.2600	 0.934
54.1700	-9.2600	 0.924
54.3400	-9.2600	 0.897
38.7300	-9.0900	 0.351
38.9000	-9.0900	 0.000
39.0600	-9.0900	 0.000
39.2300	-9.0900	 0.000
39.4000	-9.0900	 0.000
39.5600	-9.0900	 0.000
43.0500	-9.0900	 0.508
43.2100	-9.0900	 0.763
51.6800	-9.0900	 0.784
51.8400	-9.0900	 0.880
52.0100	-9.0900	 0.881
52.1800	-9.0900	 0.911
52.3400	-9.0900	 0.884
52.5100	-9.0900	 0.961
52.6700	-9.0900	 0.984
52.8400	-9.0900	 0.974
53.0100	-9.0900	 0.977
53.1700	-9.0900	 0.965
53.3400	-9.0900	 0.990
53.5100	-9.0900	 0.997
53.6700	-9.0900	 0.994
53.8400	-9.0900	 0.986
54.0000	-9.0900	 0.976
54.1700	-9.0900	 0.983
54.3400	-9.0900	 0.868
38.5600	-8.9300	 0.000
38.7300	-8.9300	 0.000
38.9000	-8.9300	 0.000
39.0600	-8.9300	 0.000
39.2300	-8.9300	 0.000
39.4000	-8.9300	 0.000
39.5600	-8.9300	 0.000
39.7300	-8.9300	 0.000
42.7200	-8.9300	 0.000
42.8800	-8.9300	 0.281
43.0500	-8.9300	 0.454
43.2100	-8.9300	 0.505
51.6800	-8.9300	 0.720
51.8400	-8.9300	 0.976
52.0100	-8.9300	 0.969
52.1800	-8.9300	 0.977
52.3400	-8.9300	 0.957
52.5100	-8.9300	 0.991
52.6700	-8.9300	 0.997
52.8400	-8.9300	 0.995
53.0100	-8.9300	 0.995
53.1700	-8.9300	 0.990
53.3400	-8.9300	 0.998
53.5100	-8.9300	 0.998
53.6700	-8.9300	 0.996
53.8400	-8.9300	 0.989
54.0000	-8.9300	 0.986
54.1700	-8.9300	 0.976
54.3400	-8.9300	 0.972
37.2400	-8.7600	 0.000
37.4000	-8.7600	 0.000
38.7300	-8.7600	 0.000
38.9000	-8.7600	 0.000
39.0600	-8.7600	 0.000
39.2300	-8.7600	 0.000
39.4000	-8.7600	 0.000
39.5600	-8.7600	 0.000
39.7300	-8.7600	 0.000
39.8900	-8.7600	 0.000
40.0600	-8.7600	 0.000
40.2300	-8.7600	 0.000
40.3900	-8.7600	 0.000
42.0500	-8.7600	 0.000
42.7200	-8.7600	 0.142
42.8800	-8.7600	 0.186
43.0500	-8.7600	 0.373
43.2100	-8.7600	 0.488
43.3800	-8.7600	 0.386
51.6800	-8.7600	 0.640
51.8400	-8.7600	 0.990
52.0100	-8.7600	 0.989
52.1800	-8.7600	 0.989
52.3400	-8.7600	 0.998
52.5100	-8.7600	 0.998
52.6700	-8.7600	 0.998
52.8400	-8.7600	 0.998
53.0100	-8.7600	 0.998
53.1700	-8.7600	 0.998
53.3400	-8.7600	 0.948
53.5100	-8.7600	 0.998
53.6700	-8.7600	 0.998
53.8400	-8.7600	 0.992
54.0000	-8.7600	 0.987
54.1700	-8.7600	 0.901
54.3400	-8.7600	 0.926
70.9400	-8.7600	 0.000
37.2400	-8.5900	 0.050
37.4000	-8.5900	 0.000
37.5700	-8.5900	 0.000
37.7300	-8.5900	 0.000
37.9000	-8.5900	 0.000
38.0700	-8.5900	 0.000
38.2300	-8.5900	 0.000
38.4000	-8.5900	 0.000
38.5600	-8.5900	 0.000
38.7300	-8.5900	 0.000
38.9000	-8.5900	 0.000
39.0600	-8.5900	 0.000
39.2300	-8.5900	 0.000
39.4000	-8.5900	 0.000
39.5600	-8.5900	 0.000
39.7300	-8.5900	 0.000
39.8900	-8.5900	 0.000
40.0600	-8.5900	 0.000
40.2300	-8.5900	 0.000
40.3900	-8.5900	 0.000
40.5600	-8.5900	 0.000
40.7200	-8.5900	 0.000
41.3900	-8.5900	 0.000
41.5500	-8.5900	 0.000
41.7200	-8.5900	 0.100
41.8800	-8.5900	 0.396
42.0500	-8.5900	 0.050
42.2200	-8.5900	 0.139
42.3800	-8.5900	 0.100
42.5500	-8.5900	 0.100
42.7200	-8.5900	 0.050
42.8800	-8.5900	 0.141
43.0500	-8.5900	 0.358
43.2100	-8.5900	 0.436
43.3800	-8.5900	 0.291
51.6800	-8.5900	 0.645
51.8400	-8.5900	 0.995
52.0100	-8.5900	 0.998
52.1800	-8.5900	 0.998
52.3400	-8.5900	 0.998
52.5100	-8.5900	 0.998
52.6700	-8.5900	 0.998
52.8400	-8.5900	 0.998
53.0100	-8.5900	 0.997
53.1700	-8.5900	 0.997
53.3400	-8.5900	 0.998
53.5100	-8.5900	 0.994
53.6700	-8.5900	 0.997
53.8400	-8.5900	 0.996
54.0000	-8.5900	 0.982
54.1700	-8.5900	 0.879
54.3400	-8.5900	 0.838
54.8300	-8.5900	 0.257
70.9400	-8.5900	 0.000
37.2400	-8.4300	 0.000
37.4000	-8.4300	 0.000
37.5700	-8.4300	 0.000
37.7300	-8.4300	 0.000
37.9000	-8.4300	 0.000
38.0700	-8.4300	 0.000
38.2300	-8.4300	 0.000
38.4000	-8.4300	 0.000
38.5600	-8.4300	 0.000
38.7300	-8.4300	 0.000
38.9000	-8.4300	 0.000
39.0600	-8.4300	 0.000
39.2300	-8.4300	 0.000
39.4000	-8.4300	 0.000
39.5600	-8.4300	 0.000
39.7300	-8.4300	 0.000
39.8900	-8.4300	 0.000
40.0600	-8.4300	 0.000
40.2300	-8.4300	 0.000
40.3900	-8.4300	 0.000
40.5600	-8.4300	 0.000
40.7200	-8.4300	 0.000
40.8900	-8.4300	 0.000
41.0500	-8.4300	 0.000
41.2200	-8.4300	 0.000
41.3900	-8.4300	 0.000
41.5500	-8.4300	 0.000
41.7200	-8.4300	 0.050
41.8800	-8.4300	 0.349
42.0500	-8.4300	 0.194
42.2200	-8.4300	 0.050
42.3800	-8.4300	 0.100
42.5500	-8.4300	 0.139
42.7200	-8.4300	 0.273
42.8800	-8.4300	 0.149
43.0500	-8.4300	 0.243
43.2100	-8.4300	 0.447
43.3800	-8.4300	 0.349
51.8400	-8.4300	 0.549
52.0100	-8.4300	 0.998
52.1800	-8.4300	 0.998
52.3400	-8.4300	 0.998
52.5100	-8.4300	 0.998
52.6700	-8.4300	 0.998
52.8400	-8.4300	 0.993
53.0100	-8.4300	 0.996
53.1700	-8.4300	 0.995
53.3400	-8.4300	 0.997
53.5100	-8.4300	 0.979
53.6700	-8.4300	 0.995
53.8400	-8.4300	 0.995
54.0000	-8.4300	 0.985
54.1700	-8.4300	 0.960
54.3400	-8.4300	 0.921
54.5000	-8.4300	 0.884
54.6700	-8.4300	 0.576
54.8300	-8.4300	 0.385
37.2400	-8.2600	 0.000
37.4000	-8.2600	 0.000
37.5700	-8.2600	 0.000
37.7300	-8.2600	 0.000
37.9000	-8.2600	 0.000
38.0700	-8.2600	 0.000
38.2300	-8.2600	 0.000
38.4000	-8.2600	 0.000
38.5600	-8.2600	 0.000
38.7300	-8.2600	 0.000
38.9000	-8.2600	 0.000
39.0600	-8.2600	 0.000
39.2300	-8.2600	 0.000
39.4000	-8.2600	 0.000
39.5600	-8.2600	 0.000
39.7300	-8.2600	 0.000
39.8900	-8.2600	 0.000
40.0600	-8.2600	 0.000
40.2300	-8.2600	 0.000
40.3900	-8.2600	 0.000
40.5600	-8.2600	 0.000
40.7200	-8.2600	 0.000
40.8900	-8.2600	 0.000
41.0500	-8.2600	 0.000
41.2200	-8.2600	 0.000
41.3900	-8.2600	 0.000
41.5500	-8.2600	 0.100
41.7200	-8.2600	 0.050
41.8800	-8.2600	 0.349
42.0500	-8.2600	 0.291
42.2200	-8.2600	 0.050
42.3800	-8.2600	 0.320
42.5500	-8.2600	 0.346
42.7200	-8.2600	 0.467
42.8800	-8.2600	 0.474
43.0500	-8.2600	 0.371
43.2100	-8.2600	 0.393
43.3800	-8.2600	 0.200
51.8400	-8.2600	 0.549
52.0100	-8.2600	 0.998
52.1800	-8.2600	 0.998
52.3400	-8.2600	 0.998
52.5100	-8.2600	 0.998
52.6700	-8.2600	 0.945
52.8400	-8.2600	 0.997
53.0100	-8.2600	 0.982
53.1700	-8.2600	 0.997
53.3400	-8.2600	 0.947
53.5100	-8.2600	 0.994
53.6700	-8.2600	 0.997
53.8400	-8.2600	 0.997
54.0000	-8.2600	 0.990
54.1700	-8.2600	 0.909
54.3400	-8.2600	 0.847
54.5000	-8.2600	 0.706
54.6700	-8.2600	 0.724
54.8300	-8.2600	 0.542
55.0000	-8.2600	 0.615
71.1000	-8.2600	 0.000
37.2400	-8.1000	 0.000
37.4000	-8.1000	 0.000
37.5700	-8.1000	 0.000
37.7300	-8.1000	 0.000
37.9000	-8.1000	 0.000
38.0700	-8.1000	 0.000
38.2300	-8.1000	 0.000
38.4000	-8.1000	 0.000
38.5600	-8.1000	 0.000
38.7300	-8.1000	 0.000
38.9000	-8.1000	 0.000
39.0600	-8.1000	 0.000
39.2300	-8.1000	 0.000
39.4000	-8.1000	 0.000
39.5600	-8.1000	 0.000
39.7300	-8.1000	 0.000
39.8900	-8.1000	 0.000
40.0600	-8.1000	 0.000
40.2300	-8.1000	 0.000
40.3900	-8.1000	 0.000
40.5600	-8.1000	 0.000
40.7200	-8.1000	 0.000
40.8900	-8.1000	 0.050
41.0500	-8.1000	 0.250
41.2200	-8.1000	 0.050
41.3900	-8.1000	 0.050
41.5500	-8.1000	 0.100
41.7200	-8.1000	 0.299
41.8800	-8.1000	 0.521
42.0500	-8.1000	 0.140
42.2200	-8.1000	 0.387
42.3800	-8.1000	 0.227
42.5500	-8.1000	 0.341
42.7200	-8.1000	 0.303
42.8800	-8.1000	 0.432
43.0500	-8.1000	 0.434
43.2100	-8.1000	 0.492
43.3800	-8.1000	 0.050
43.5500	-8.1000	 0.000
43.7100	-8.1000	 0.050
52.0100	-8.1000	 0.799
52.1800	-8.1000	 0.998
52.3400	-8.1000	 0.998
52.5100	-8.1000	 0.942
52.6700	-8.1000	 0.996
52.8400	-8.1000	 0.984
53.0100	-8.1000	 0.998
53.1700	-8.1000	 0.898
53.3400	-8.1000	 0.997
53.5100	-8.1000	 0.938
53.6700	-8.1000	 0.996
53.8400	-8.1000	 0.997
54.0000	-8.1000	 0.993
54.1700	-8.1000	 0.925
54.3400	-8.1000	 0.820
54.5000	-8.1000	 0.561
54.6700	-8.1000	 0.686
54.8300	-8.1000	 0.452
55.0000	-8.1000	 0.447
55.1600	-8.1000	 0.617
71.1000	-8.1000	 0.000
37.2400	-7.9300	 0.010
37.4000	-7.9300	 0.000
37.5700	-7.9300	 0.000
37.7300	-7.9300	 0.000
37.9000	-7.9300	 0.000
38.0700	-7.9300	 0.000
38.2300	-7.9300	 0.000
38.4000	-7.9300	 0.000
38.5600	-7.9300	 0.000
38.7300	-7.9300	 0.000
38.9000	-7.9300	 0.000
39.0600	-7.9300	 0.000
39.2300	-7.9300	 0.000
39.4000	-7.9300	 0.000
39.5600	-7.9300	 0.000
39.7300	-7.9300	 0.000
39.8900	-7.9300	 0.000
40.0600	-7.9300	 0.000
40.2300	-7.9300	 0.000
40.3900	-7.9300	 0.000
40.5600	-7.9300	 0.000
40.7200	-7.9300	 0.000
40.8900	-7.9300	 0.050
41.0500	-7.9300	 0.200
41.2200	-7.9300	 0.250
41.3900	-7.9300	 0.050
41.5500	-7.9300	 0.250
41.7200	-7.9300	 0.438
41.8800	-7.9300	 0.416
42.0500	-7.9300	 0.523
42.2200	-7.9300	 0.491
42.3800	-7.9300	 0.499
42.5500	-7.9300	 0.399
42.7200	-7.9300	 0.537
42.8800	-7.9300	 0.787
43.0500	-7.9300	 0.794
43.2100	-7.9300	 0.742
43.3800	-7.9300	 0.649
43.5500	-7.9300	 0.599
43.7100	-7.9300	 0.549
52.0100	-7.9300	 0.848
52.1800	-7.9300	 0.998
52.3400	-7.9300	 0.993
52.5100	-7.9300	 0.995
52.6700	-7.9300	 0.997
52.8400	-7.9300	 0.992
53.0100	-7.9300	 0.996
53.1700	-7.9300	 0.943
53.3400	-7.9300	 0.939
53.5100	-7.9300	 0.997
53.6700	-7.9300	 0.948
53.8400	-7.9300	 0.947
54.0000	-7.9300	 0.995
54.1700	-7.9300	 0.949
54.3400	-7.9300	 0.699
54.5000	-7.9300	 0.776
54.6700	-7.9300	 0.480
54.8300	-7.9300	 0.304
55.0000	-7.9300	 0.350
55.1600	-7.9300	 0.443
71.1000	-7.9300	 0.000
37.2400	-7.7600	 0.005
37.4000	-7.7600	 0.000
37.5700	-7.7600	 0.000
37.7300	-7.7600	 0.000
37.9000	-7.7600	 0.000
38.0700	-7.7600	 0.000
38.2300	-7.7600	 0.000
38.4000	-7.7600	 0.000
38.5600	-7.7600	 0.000
38.7300	-7.7600	 0.000
38.9000	-7.7600	 0.000
39.0600	-7.7600	 0.000
