Lat	Lon	MeanFitness
52.1800	-10.2500	 0.754
52.0100	-10.0900	 0.746
52.1800	-10.0900	 0.790
52.3400	-10.0900	 0.574
51.8400	-9.9200	 0.733
52.0100	-9.9200	 0.689
52.1800	-9.9200	 0.696
52.3400	-9.9200	 0.636
53.5100	-9.9200	 0.978
53.6700	-9.9200	 0.971
54.0000	-9.9200	 0.912
54.3400	-9.9200	 0.929
51.8400	-9.7600	 0.759
52.0100	-9.7600	 0.618
52.1800	-9.7600	 0.826
52.3400	-9.7600	 0.677
53.5100	-9.7600	 0.921
53.6700	-9.7600	 0.840
53.8400	-9.7600	 0.928
54.0000	-9.7600	 0.861
54.1700	-9.7600	 0.936
54.3400	-9.7600	 0.931
51.6800	-9.5900	 0.822
51.8400	-9.5900	 0.714
52.0100	-9.5900	 0.679
52.1800	-9.5900	 0.835
52.3400	-9.5900	 0.844
52.5100	-9.5900	 0.915
52.6700	-9.5900	 0.950
53.5100	-9.5900	 0.924
53.6700	-9.5900	 0.617
53.8400	-9.5900	 0.747
54.0000	-9.5900	 0.853
54.1700	-9.5900	 0.758
54.3400	-9.5900	 0.764
51.6800	-9.4200	 0.854
51.8400	-9.4200	 0.755
52.0100	-9.4200	 0.776
52.1800	-9.4200	 0.885
52.3400	-9.4200	 0.904
52.5100	-9.4200	 0.933
52.6700	-9.4200	 0.960
52.8400	-9.4200	 0.982
53.3400	-9.4200	 0.996
53.5100	-9.4200	 0.926
53.6700	-9.4200	 0.719
53.8400	-9.4200	 0.858
54.0000	-9.4200	 0.857
54.1700	-9.4200	 0.737
54.3400	-9.4200	 0.691
38.9000	-9.2600	 0.908
39.0600	-9.2600	 0.499
39.2300	-9.2600	 0.499
51.6800	-9.2600	 0.898
51.8400	-9.2600	 0.854
52.0100	-9.2600	 0.728
52.1800	-9.2600	 0.914
52.3400	-9.2600	 0.914
52.5100	-9.2600	 0.956
52.6700	-9.2600	 0.983
52.8400	-9.2600	 0.980
53.0100	-9.2600	 0.974
53.3400	-9.2600	 0.989
53.5100	-9.2600	 0.933
53.6700	-9.2600	 0.935
53.8400	-9.2600	 0.925
54.0000	-9.2600	 0.867
54.1700	-9.2600	 0.862
54.3400	-9.2600	 0.703
38.7300	-9.0900	 0.733
38.9000	-9.0900	 0.300
39.0600	-9.0900	 0.449
39.2300	-9.0900	 0.399
39.4000	-9.0900	 0.399
39.5600	-9.0900	 0.399
43.0500	-9.0900	 0.745
43.2100	-9.0900	 0.917
51.6800	-9.0900	 0.948
51.8400	-9.0900	 0.853
52.0100	-9.0900	 0.853
52.1800	-9.0900	 0.884
52.3400	-9.0900	 0.814
52.5100	-9.0900	 0.969
52.6700	-9.0900	 0.988
52.8400	-9.0900	 0.980
53.0100	-9.0900	 0.983
53.1700	-9.0900	 0.973
53.3400	-9.0900	 0.995
53.5100	-9.0900	 0.997
53.6700	-9.0900	 0.997
53.8400	-9.0900	 0.992
54.0000	-9.0900	 0.942
54.1700	-9.0900	 0.944
54.3400	-9.0900	 0.890
38.5600	-8.9300	 0.405
38.7300	-8.9300	 0.000
38.9000	-8.9300	 0.000
39.0600	-8.9300	 0.000
39.2300	-8.9300	 0.050
39.4000	-8.9300	 0.050
39.5600	-8.9300	 0.050
39.7300	-8.9300	 0.050
42.7200	-8.9300	 0.666
42.8800	-8.9300	 0.687
43.0500	-8.9300	 0.635
43.2100	-8.9300	 0.741
51.6800	-8.9300	 0.975
51.8400	-8.9300	 0.980
52.0100	-8.9300	 0.975
52.1800	-8.9300	 0.980
52.3400	-8.9300	 0.917
52.5100	-8.9300	 0.993
52.6700	-8.9300	 0.998
52.8400	-8.9300	 0.996
53.0100	-8.9300	 0.996
53.1700	-8.9300	 0.993
53.3400	-8.9300	 0.997
53.5100	-8.9300	 0.997
53.6700	-8.9300	 0.997
53.8400	-8.9300	 0.945
54.0000	-8.9300	 0.944
54.1700	-8.9300	 0.942
54.3400	-8.9300	 0.942
37.2400	-8.7600	 0.055
37.4000	-8.7600	 0.000
38.7300	-8.7600	 0.000
38.9000	-8.7600	 0.000
39.0600	-8.7600	 0.000
39.2300	-8.7600	 0.000
39.4000	-8.7600	 0.000
39.5600	-8.7600	 0.050
39.7300	-8.7600	 0.150
39.8900	-8.7600	 0.050
40.0600	-8.7600	 0.250
40.2300	-8.7600	 0.350
40.3900	-8.7600	 0.499
42.0500	-8.7600	 0.556
42.7200	-8.7600	 0.648
42.8800	-8.7600	 0.658
43.0500	-8.7600	 0.625
43.2100	-8.7600	 0.702
43.3800	-8.7600	 0.821
51.6800	-8.7600	 0.991
51.8400	-8.7600	 0.991
52.0100	-8.7600	 0.991
52.1800	-8.7600	 0.990
52.3400	-8.7600	 0.997
52.5100	-8.7600	 0.998
52.6700	-8.7600	 0.998
52.8400	-8.7600	 0.998
53.0100	-8.7600	 0.998
53.1700	-8.7600	 0.997
53.3400	-8.7600	 0.997
53.5100	-8.7600	 0.997
53.6700	-8.7600	 0.997
53.8400	-8.7600	 0.897
54.0000	-8.7600	 0.944
54.1700	-8.7600	 0.562
54.3400	-8.7600	 0.766
70.9400	-8.7600	 0.001
37.2400	-8.5900	 0.276
37.4000	-8.5900	 0.000
37.5700	-8.5900	 0.000
37.7300	-8.5900	 0.000
37.9000	-8.5900	 0.000
38.0700	-8.5900	 0.000
38.2300	-8.5900	 0.000
38.4000	-8.5900	 0.000
38.5600	-8.5900	 0.000
38.7300	-8.5900	 0.000
38.9000	-8.5900	 0.000
39.0600	-8.5900	 0.000
39.2300	-8.5900	 0.000
39.4000	-8.5900	 0.000
39.5600	-8.5900	 0.050
39.7300	-8.5900	 0.150
39.8900	-8.5900	 0.150
40.0600	-8.5900	 0.250
40.2300	-8.5900	 0.250
40.3900	-8.5900	 0.250
40.5600	-8.5900	 0.349
40.7200	-8.5900	 0.449
41.3900	-8.5900	 0.748
41.5500	-8.5900	 0.794
41.7200	-8.5900	 0.826
41.8800	-8.5900	 0.836
42.0500	-8.5900	 0.708
42.2200	-8.5900	 0.577
42.3800	-8.5900	 0.598
42.5500	-8.5900	 0.623
42.7200	-8.5900	 0.703
42.8800	-8.5900	 0.635
43.0500	-8.5900	 0.651
43.2100	-8.5900	 0.686
43.3800	-8.5900	 0.830
51.6800	-8.5900	 0.945
51.8400	-8.5900	 0.996
52.0100	-8.5900	 0.998
52.1800	-8.5900	 0.998
52.3400	-8.5900	 0.997
52.5100	-8.5900	 0.998
52.6700	-8.5900	 0.998
52.8400	-8.5900	 0.997
53.0100	-8.5900	 0.997
53.1700	-8.5900	 0.997
53.3400	-8.5900	 0.997
53.5100	-8.5900	 0.947
53.6700	-8.5900	 0.995
53.8400	-8.5900	 0.896
54.0000	-8.5900	 0.891
54.1700	-8.5900	 0.573
54.3400	-8.5900	 0.344
54.8300	-8.5900	 0.051
70.9400	-8.5900	 0.000
37.2400	-8.4300	 0.183
37.4000	-8.4300	 0.000
37.5700	-8.4300	 0.000
37.7300	-8.4300	 0.000
37.9000	-8.4300	 0.000
38.0700	-8.4300	 0.000
38.2300	-8.4300	 0.000
38.4000	-8.4300	 0.000
38.5600	-8.4300	 0.000
38.7300	-8.4300	 0.000
38.9000	-8.4300	 0.000
39.0600	-8.4300	 0.000
39.2300	-8.4300	 0.000
39.4000	-8.4300	 0.000
39.5600	-8.4300	 0.000
39.7300	-8.4300	 0.050
39.8900	-8.4300	 0.100
40.0600	-8.4300	 0.300
40.2300	-8.4300	 0.250
40.3900	-8.4300	 0.250
40.5600	-8.4300	 0.300
40.7200	-8.4300	 0.399
40.8900	-8.4300	 0.499
41.0500	-8.4300	 0.699
41.2200	-8.4300	 0.749
41.3900	-8.4300	 0.796
41.5500	-8.4300	 0.844
41.7200	-8.4300	 0.832
41.8800	-8.4300	 0.790
42.0500	-8.4300	 0.609
42.2200	-8.4300	 0.727
42.3800	-8.4300	 0.594
42.5500	-8.4300	 0.642
42.7200	-8.4300	 0.646
42.8800	-8.4300	 0.725
43.0500	-8.4300	 0.703
43.2100	-8.4300	 0.652
43.3800	-8.4300	 0.832
51.8400	-8.4300	 0.948
52.0100	-8.4300	 0.998
52.1800	-8.4300	 0.998
52.3400	-8.4300	 0.997
52.5100	-8.4300	 0.998
52.6700	-8.4300	 0.998
52.8400	-8.4300	 0.997
53.0100	-8.4300	 0.989
53.1700	-8.4300	 0.945
53.3400	-8.4300	 0.996
53.5100	-8.4300	 0.896
53.6700	-8.4300	 0.945
53.8400	-8.4300	 0.941
54.0000	-8.4300	 0.893
54.1700	-8.4300	 0.787
54.3400	-8.4300	 0.813
54.5000	-8.4300	 0.844
54.6700	-8.4300	 0.231
54.8300	-8.4300	 0.097
37.2400	-8.2600	 0.017
37.4000	-8.2600	 0.000
37.5700	-8.2600	 0.000
37.7300	-8.2600	 0.000
37.9000	-8.2600	 0.000
38.0700	-8.2600	 0.000
38.2300	-8.2600	 0.000
38.4000	-8.2600	 0.000
38.5600	-8.2600	 0.000
38.7300	-8.2600	 0.000
38.9000	-8.2600	 0.000
39.0600	-8.2600	 0.000
39.2300	-8.2600	 0.000
39.4000	-8.2600	 0.000
39.5600	-8.2600	 0.000
39.7300	-8.2600	 0.050
39.8900	-8.2600	 0.050
40.0600	-8.2600	 0.300
40.2300	-8.2600	 0.399
40.3900	-8.2600	 0.300
40.5600	-8.2600	 0.399
40.7200	-8.2600	 0.449
40.8900	-8.2600	 0.597
41.0500	-8.2600	 0.745
41.2200	-8.2600	 0.749
41.3900	-8.2600	 0.843
41.5500	-8.2600	 0.844
41.7200	-8.2600	 0.838
41.8800	-8.2600	 0.798
42.0500	-8.2600	 0.627
42.2200	-8.2600	 0.761
42.3800	-8.2600	 0.590
42.5500	-8.2600	 0.475
42.7200	-8.2600	 0.590
42.8800	-8.2600	 0.739
43.0500	-8.2600	 0.715
43.2100	-8.2600	 0.786
43.3800	-8.2600	 0.796
51.8400	-8.2600	 0.948
52.0100	-8.2600	 0.998
52.1800	-8.2600	 0.997
52.3400	-8.2600	 0.998
52.5100	-8.2600	 0.997
52.6700	-8.2600	 0.894
52.8400	-8.2600	 0.897
53.0100	-8.2600	 0.896
53.1700	-8.2600	 0.942
53.3400	-8.2600	 0.946
53.5100	-8.2600	 0.897
53.6700	-8.2600	 0.994
53.8400	-8.2600	 0.946
54.0000	-8.2600	 0.795
54.1700	-8.2600	 0.814
54.3400	-8.2600	 0.696
54.5000	-8.2600	 0.263
54.6700	-8.2600	 0.510
54.8300	-8.2600	 0.260
55.0000	-8.2600	 0.508
71.1000	-8.2600	 0.000
37.2400	-8.1000	 0.175
37.4000	-8.1000	 0.000
37.5700	-8.1000	 0.000
37.7300	-8.1000	 0.000
37.9000	-8.1000	 0.000
38.0700	-8.1000	 0.000
38.2300	-8.1000	 0.000
