,datasetID,study,response,n,error.type,resp_error,figure.table..if.applicable.
4,falusi03,exp1,87.45,,,,fig 1
5,falusi03,exp1,100.26,,,,fig 1
6,falusi03,exp1,67.01,,,,fig 1
7,falusi03,exp1,100.13,,,,fig 1
8,falusi03,exp1,66.49,,,,fig 1
9,falusi03,exp1,93.08,,,,fig 1
10,falusi03,exp1,93.22,,,,fig 1
11,falusi03,exp1,80.05,,,,fig 1
12,falusi03,exp1,99.46,,,,fig 1
13,falusi03,exp1,85.66,,,,fig 1
14,falusi03,exp1,86.33,,,,fig 1
15,falusi90,exp1,89.32,,,,fig 1
16,falusi90,exp1,89.79,,,,fig 1
17,falusi90,exp1,57.3,,,,Table 2
18,falusi90,exp1,62.7,,,,Table 2
19,falusi90,exp1,41.9,,,,Table 2
20,falusi90,exp1,62.5,,,,Table 2
21,falusi90,exp1,56.1,,,,Table 2
22,falusi90,exp1,71.9,,,,Table 2
23,falusi90,exp1,62.5,,,,Table 2
24,falusi90,exp1,61,,,,Table 2
25,falusi90,exp1,87.5,,,,Table 2
26,falusi90,exp1,73.9,,,,Table 2
27,falusi90,exp1,97.07,,,,fig 1
28,falusi90,exp1,93.78,,,,fig 1
29,falusi90,exp1,63.5,,,,Table 2
30,falusi90,exp1,62.5,,,,Table 2
31,falusi90,exp1,62.5,,,,Table 2
32,falusi90,exp1,62.5,,,,Table 2
33,falusi90,exp1,62.5,,,,Table 2
34,falusi90,exp1,62.5,,,,Table 2
35,falusi90,exp1,70.8,,,,Table 2
36,falusi90,exp1,87.5,,,,Table 2
37,falusi90,exp1,87.5,,,,Table 2
38,falusi90,exp1,87.5,,,,Table 2
39,falusi90,exp1,87.5,,,,Table 2
40,falusi90,exp1,87.5,,,,Table 2
41,falusi90,exp1,66.7,,,,Table 2
42,falusi90,exp1,95.7,,,,Table 2
43,falusi90,exp1,96.7,,,,Table 2
44,falusi90,exp1,96.7,,,,Table 2
45,falusi90,exp1,96.7,,,,Table 2
46,falusi90,exp1,99,,,,Table 2
47,falusi90,exp1,50,,,,Table 2
48,falusi90,exp1,100,,,,Table 2
49,falusi90,exp1,100,,,,Table 2
50,falusi90,exp1,100,,,,Table 2
51,falusi90,exp1,100,,,,Table 2
52,falusi90,exp1,100,,,,Table 2
53,falusi90,exp1,62.5,,,,Table 2
54,falusi90,exp1,86.4,,,,Table 2
55,falusi90,exp1,86.7,,,,Table 2
56,falusi90,exp1,86.7,,,,Table 2
57,falusi90,exp1,86.7,,,,Table 2
58,falusi90,exp1,87.3,,,,Table 2
59,falusi90,exp1,50,,,,Table 2
60,falusi90,exp1,88.1,,,,Table 2
61,falusi90,exp1,87.5,,,,Table 2
62,falusi90,exp1,71.1,,,,Table 2
63,falusi96,exp3,88.97,,,,fig4
64,falusi96,exp3,88.5,,,,fig4
65,falusi96,exp3,93.31,,,,fig4
66,falusi96,exp3,91.32,,,,fig4
67,falusi96,exp3,96.6,,,,fig4
68,falusi96,exp3,95.66,,,,fig4
69,falusi96,exp3,93.43,,,,fig4
70,falusi96,exp3,94.37,,,,fig4
556,basler14,exp1,timeonly,,,,fig 2
557,basler14,exp1,timeonly,,,,fig 2
558,basler14,exp1,timeonly,,,,fig 2
559,basler14,exp1,timeonly,,,,fig 2
560,basler14,exp1,timeonly,,,,fig 2
561,basler14,exp1,timeonly,,,,fig 2
562,basler14,exp1,timeonly,,,,fig 2
563,basler14,exp1,timeonly,,,,fig 2
564,basler14,exp1,timeonly,,,,fig 2
565,basler14,exp1,timeonly,,,,fig 2
566,basler14,exp1,timeonly,,,,fig 2
567,basler14,exp1,timeonly,,,,fig 2
580,basler14,exp1,timeonly,,,,fig 4
581,basler14,exp1,timeonly,,,,fig 4
582,basler14,exp1,timeonly,,,,fig 4
583,basler14,exp1,timeonly,,,,fig 4
584,basler14,exp1,timeonly,,,,fig 4
585,basler14,exp1,timeonly,,,,fig 4
586,basler14,exp1,timeonly,,,,fig 4
587,basler14,exp1,timeonly,,,,fig 4
588,basler14,exp1,timeonly,,,,fig 4
589,basler14,exp1,timeonly,,,,fig 4
590,basler14,exp1,timeonly,,,,fig 4
591,basler14,exp1,timeonly,,,,fig 4
592,basler14,exp1,timeonly,,,,fig 4
593,basler14,exp1,timeonly,,,,fig 4
594,basler14,exp1,timeonly,,,,fig 4
595,basler14,exp1,timeonly,,,,fig 4
596,basler14,exp1,timeonly,,,,fig 2
597,basler14,exp1,timeonly,,,,fig 2
598,basler14,exp1,timeonly,,,,fig 2
599,basler14,exp1,timeonly,,,,fig 2
600,basler14,exp1,timeonly,,,,fig 2
601,basler14,exp1,timeonly,,,,fig 2
602,basler14,exp1,timeonly,,,,fig 2
603,basler14,exp1,timeonly,,,,fig 2
604,basler14,exp1,timeonly,,,,fig 2
605,basler14,exp1,timeonly,,,,fig 2
606,basler14,exp1,timeonly,,,,fig 2
607,basler14,exp1,timeonly,,,,fig 2
620,basler14,exp1,timeonly,,,,fig 4
621,basler14,exp1,timeonly,,,,fig 4
622,basler14,exp1,timeonly,,,,fig 4
623,basler14,exp1,timeonly,,,,fig 4
624,basler14,exp1,timeonly,,,,fig 4
625,basler14,exp1,timeonly,,,,fig 4
626,basler14,exp1,timeonly,,,,fig 4
627,basler14,exp1,timeonly,,,,fig 4
628,basler14,exp1,timeonly,,,,fig 4
629,basler14,exp1,timeonly,,,,fig 4
630,basler14,exp1,timeonly,,,,fig 4
631,basler14,exp1,timeonly,,,,fig 4
632,basler14,exp1,timeonly,,,,fig 4
633,basler14,exp1,timeonly,,,,fig 4
634,basler14,exp1,timeonly,,,,fig 4
635,basler14,exp1,timeonly,,,,fig 4
636,basler14,exp1,timeonly,,,,fig 2
637,basler14,exp1,timeonly,,,,fig 2
638,basler14,exp1,timeonly,,,,fig 2
639,basler14,exp1,timeonly,,,,fig 2
640,basler14,exp1,timeonly,,,,fig 2
641,basler14,exp1,timeonly,,,,fig 2
642,basler14,exp1,timeonly,,,,fig 2
643,basler14,exp1,timeonly,,,,fig 2
