"","temp1","temp2","t1.chhr","t2.chhr","t1.utah","t2.utah","t1.chp","t2.chp","tdif.chp","tdif.utah","tdif.chhr"
"1",-5,-4,0,0,0,0,0,0.02,0.02,0,0
"2",-4,-3,0,0,0,0,0.02,0.12,0.1,0,0
"3",-3,-2,0,0,0,0,0.12,0.58,0.46,0,0
"4",-2,-1,0,0,0,0,0.58,2.69,2.11,0,0
"5",-1,0,0,2160,0,0,2.69,11.17,8.48,0,2160
"6",0,1,2160,2160,0,0,11.17,34.26,23.09,0,0
"7",1,2,2160,2160,0,1080,34.26,57.87,23.61,1080,0
"8",2,3,2160,2160,1080,2160,57.87,59.99,2.12,1080,0
"9",3,4,2160,2160,2160,2160,59.99,65.76,5.77,0,0
"10",4,5,2160,2160,2160,2160,65.76,72.17,6.41,0,0
"11",5,6,2160,2160,2160,2160,72.17,75.25,3.08,0,0
"12",6,7,2160,2160,2160,2160,75.25,76.65,1.40000000000001,0,0
"13",7,8,2160,0,2160,2160,76.65,75.24,-1.41000000000001,0,-2160
"14",8,9,0,0,2160,2160,75.24,74.25,-0.989999999999995,0,0
"15",9,10,0,0,2160,1080,74.25,69.94,-4.31,-1080,0
"16",10,11,0,0,1080,1080,69.94,65.14,-4.8,0,0
