"Season","End_year","Chilling_Hours","Utah_Model","Chill_portions","mntemp"
"1951/1952",1952,2091,1775.5,114.437889866244,3.56957738500246
"1952/1953",1953,1835,1673,112.555625054077,2.9488206888057
"1953/1954",1954,2311,2173.5,127.597222363752,2.41917447422912
"1954/1955",1955,2186,2026.5,123.519865480257,2.84374993643723
"1955/1956",1956,2285,1947,116.069513849958,1.85164315110081
"1956/1957",1957,2500,2363.5,129.666421163119,3.83254708414722
"1957/1958",1958,2682,2156,127.625496651958,2.44205183220834
"1958/1959",1959,2441,2051.5,127.410244358974,3.81667444299256
"1959/1960",1960,2425,2373.5,127.200976649747,3.3601642441433
"1960/1961",1961,2052,2049.5,118.302879743058,4.97615554915161
"1961/1962",1962,2113,1711,109.930354037738,2.98259427295646
"1962/1963",1963,1638,1785,109.972238007775,0.282570748401033
"1963/1964",1964,2342,2118,113.158159769975,2.16274643053209
"1964/1965",1965,2326,2088,126.353244771472,2.36238202266834
"1965/1966",1966,2254,2007.5,120.604753353598,4.09240556890496
"1966/1967",1967,2511,2245,126.46806469945,4.30702820561721
"1967/1968",1968,2103,1786.5,112.928322336628,4.03563371261346
"1968/1969",1969,2074,1810.5,109.294985029559,2.70636786403626
"1969/1970",1970,2152,1934,116.33176187999,2.15603768765786
"1970/1971",1971,2390,2063.5,125.969279900371,2.71679239210515
"1971/1972",1972,2508,2281.5,127.992464311177,4.21401399031649
"1972/1973",1973,2551,1954,122.033465936245,2.19919806405164
"1973/1974",1974,3315,2907.5,143.177793411498,4.39205178862244
"1974/1975",1975,2941,2497,135.082315486888,4.27179235734819
"1975/1976",1976,2461,2238.5,118.625201838899,3.22143185287801
"1976/1977",1977,2387,2318,125.874687012092,4.1776414160564
"1977/1978",1978,2547,2270.5,127.415590373597,3.90882066734803
"1978/1979",1979,2750,2320,130.469370415865,2.94124993425794
"1979/1980",1980,2648,2252.5,131.261996458136,3.87305155662304
"1980/1981",1981,1951,1819.5,118.953014995063,3.32146218991048
"1981/1982",1982,2525,2375,128.143852958977,2.77014144751647
"1982/1983",1983,2184,2147.5,124.036938174169,4.74323102605599
"1983/1984",1984,2501,2111.5,127.210168267623,2.81197176813345
"1984/1985",1985,2195,1838.5,113.387367421183,2.44110843600301
"1985/1986",1986,2251,2029.5,120.004277623639,2.69417446808239
"1986/1987",1987,2279,2195.5,123.691684611184,2.70216975092255
"1987/1988",1988,2735,2330.5,133.018822366924,4.49903745812412
"1988/1989",1989,2387,2385,127.963317292122,5.12964611175857
"1989/1990",1990,2425,2363.5,127.577459026519,4.73330178099491
"1990/1991",1991,2433,2149,125.16751376424,3.82658010314851
"1991/1992",1992,2880,2656,134.965503541035,3.86338019533686
"1992/1993",1993,2312,2124,122.842773344533,4.09792443670614
"1993/1994",1994,2672,2839,139.429339730052,4.75408008241727
"1994/1995",1995,2161,1976.5,116.108444907564,5.03004705738101
"1995/1996",1996,1830,1556.5,108.688394162127,2.49680745592909
"1996/1997",1997,2468,2282,125.779285981428,3.440707470264
"1997/1998",1998,2132,2250,126.841415183249,4.86801875911583
"1998/1999",1999,2337,2299,131.138121036398,4.11561311555605
"1999/2000",2000,2555,2513,133.069764090654,4.82791069020985
"2000/2001",2001,2205,2031.5,124.533978082198,4.76306593127303
"2001/2002",2002,2466,2763,138.866558678744,4.63889140574666
"2002/2003",2003,2332,1990.5,125.222183594426,3.72254708660591
"2003/2004",2004,2176,1873.5,119.754909733773,3.59483560040034
"2004/2005",2005,1963,1786,110.684374279155,3.58209897653762
"2005/2006",2006,1917,1829.5,115.993813982282,2.40870277634998
"2006/2007",2007,2698,2478,124.574812933189,6.69971683138173
"2007/2008",2008,2552,2505.5,137.356346929948,3.99896704676635
"2008/2009",2009,2402,2098.5,121.94182933294,4.12759424736372
"2009/2010",2010,1942,1837,114.890052006752,3.63726406964421
"2010/2011",2011,2407,2031.5,123.636181989847,3.87804236614918
"2011/2012",2012,2580,2466.5,128.599875678998,4.11950695017536
"2012/2013",2013,2327,2073.5,124.680426890877,3.39992916928868
