"Season","End_year","Chilling_Hours","Utah_Model","Chill_portions","mntemp"
"1951/1952",1952,2395,1929,114.766700962248,4.27187783878839
"1952/1953",1953,2388,2414,127.146249047705,2.8449291816939
"1953/1954",1954,2715,2527,135.159919253454,3.38931596197873
"1954/1955",1955,2211,2079.5,126.979170211231,3.02523578143731
"1955/1956",1956,2413,2235.5,125.12858423779,2.04192483698853
"1956/1957",1957,2640,2799.5,139.876795023588,4.48011782438986
"1957/1958",1958,2659,2487,132.694204681038,2.8304480499421
"1958/1959",1959,2898,2734.5,139.769231182593,4.58903291629504
"1959/1960",1960,2670,2872,135.160957847073,4.18053981266094
"1960/1961",1961,2529,2635,134.665856983451,4.91528290900279
"1961/1962",1962,2431,1908.5,116.37632096692,3.12525936410727
"1962/1963",1963,1910,2062,108.284447934619,1.1881367658959
"1963/1964",1964,2719,2427,127.338091828538,2.90523467684698
"1964/1965",1965,2562,2227.5,123.562186086589,2.63183956381531
"1965/1966",1966,2669,2475,131.894566951118,3.70745274732065
"1966/1967",1967,2928,2673,138.323449008802,3.78811312287624
"1967/1968",1968,2258,1855,119.756728388922,3.41558677811578
"1968/1969",1969,2131,1960,114.260026416171,2.74436314620587
"1969/1970",1970,2567,2300.5,126.539395658336,2.14933957460003
"1970/1971",1971,2810,2304,131.238266523463,3.19073106075707
"1971/1972",1972,3075,2657,136.430941803112,3.74575108998486
"1972/1973",1973,2774,2204,131.816251761476,2.96377351866016
"1973/1974",1974,3489,3222,149.169555820702,4.09370273868729
"1974/1975",1975,3069,2697.5,137.696723242877,3.89443387521677
"1975/1976",1976,2758,2467,128.955995026063,2.95938960521399
"1976/1977",1977,2718,2724.5,135.100660847814,3.68047161584825
"1977/1978",1978,2612,2375,128.658962545751,3.66556595580406
"1978/1979",1979,2340,2123,118.376692980927,2.06021221810161
"1979/1980",1980,2804,2416,132.45847860363,3.80722996185013
"1980/1981",1981,2214,2081.5,123.83914027553,3.0334669133288
"1981/1982",1982,2726,2632,140.257275665895,2.7387027689739
"1982/1983",1983,2614,2536,134.601299705493,4.05415085277889
"1983/1984",1984,2747,2287,131.747410282087,3.19410790982678
"1984/1985",1985,2110,2015.5,115.416515803276,2.79379710736509
"1985/1986",1986,2411,2137.5,121.169859368373,1.88264146735365
"1986/1987",1987,2201,2160,120.068869125443,2.92179238752304
"1987/1988",1988,3086,2864.5,142.013547336246,4.20218300466544
"1988/1989",1989,2786,2789.5,142.919236624707,4.76514140292475
"1989/1990",1990,2905,2715,138.147528055513,5.11733479127903
"1990/1991",1991,2541,2489,132.162152353581,3.83155651813162
"1991/1992",1992,3376,3050.5,146.535392044924,3.98746469960561
"1992/1993",1993,2513,2442,134.556467242233,4.1310612284183
"1993/1994",1994,2700,3030,145.379678006936,3.63405652254609
"1994/1995",1995,2646,2450.5,130.625921159673,5.02129705757658
"1995/1996",1996,2170,1985,117.078820555915,3.26974171095313
"1996/1997",1997,2709,2714,138.393956159205,3.51021218569159
"1997/1998",1998,2783,2906.5,137.734673901152,4.66424517876486
"1998/1999",1999,2835,2728.5,139.175178750933,3.80165085842271
"1999/2000",2000,3010,3207.5,146.407738855076,4.35516422190332
"2000/2001",2001,2432,2476.5,129.620404143435,4.74002347895788
"2001/2002",2002,2640,3265,146.615876248313,5.03547158556164
"2002/2003",2003,2545,2483.5,132.391475121911,4.55669801135741
"2003/2004",2004,2450,2392.5,133.498989949463,4.17760554042605
"2004/2005",2005,2170,2217.5,123.281327045485,3.91988198785551
"2005/2006",2006,2212,2197,125.906090311854,3.55832539216334
"2006/2007",2007,2931,2922,137.85596199626,6.69061305800031
"2007/2008",2008,2852,2801,141.080157325823,4.22596234685693
"2008/2009",2009,2418,2483.5,131.666707395603,3.59200463669357
"2009/2010",2010,1947,1790.5,105.316426438381,3.34691030254921
"2010/2011",2011,2642,2530,134.912282905105,4.0522404754631
"2011/2012",2012,2982,2904,134.304531280105,4.53748816149003
"2012/2013",2013,2352,2061,121.204731683224,2.8969103126075
