"Season","End_year","Chilling_Hours","Utah_Model","Chill_portions","mntemp"
"1951/1952",1952,2587,1931,118.473427027604,4.40727689679485
"1952/1953",1953,2273,2104.5,119.759592100101,3.15643860869338
"1953/1954",1954,2423,2208.5,125.490736612379,2.48705183120251
"1954/1955",1955,2261,2025,123.907601871793,2.33650938173721
"1955/1956",1956,2495,2158.5,117.083237190918,1.8840609907518
"1956/1957",1957,2476,2568,139.899104465608,4.25613198033973
"1957/1958",1958,2689,2248,129.136186139965,2.88471691665363
"1958/1959",1959,2593,2359,128.528477479078,4.64641499048415
"1959/1960",1960,2837,2691,136.825963071808,3.20744124286209
"1960/1961",1961,2420,2447,126.828870006831,5.23801875084568
"1961/1962",1962,2495,2234,121.940647690459,3.76521217999189
"1962/1963",1963,1545,1855,103.891109701265,0.716745266998362
"1963/1964",1964,2427,2252.5,118.224805107134,2.56208914461078
"1964/1965",1965,2455,2108.5,122.404305823171,3.06962257289802
"1965/1966",1966,2510,2170.5,120.82596927526,2.81915088038329
"1966/1967",1967,2754,2679.5,136.558903076238,4.65188668847506
"1967/1968",1968,2334,1908.5,115.087986386917,4.37206562997625
"1968/1969",1969,1729,1638.5,101.620972188192,2.09297165133164
"1969/1970",1970,2149,2005,119.056529212948,1.26721695280757
"1970/1971",1971,2699,2589,134.408327717052,3.76808953841814
"1971/1972",1972,2754,2632,128.664803390046,4.14877924999056
"1972/1973",1973,3072,2553,135.896877853524,3.71198104910623
"1973/1974",1974,3291,3446.5,152.287401099061,4.45707537207471
"1974/1975",1975,3196,3073,144.394545228588,4.86066026871427
"1975/1976",1976,2511,2282.5,124.477962380925,3.02187786672807
"1976/1977",1977,2747,2786,141.004238065337,4.02474047607777
"1977/1978",1978,2433,2490,130.467751729691,4.39018858111692
"1978/1979",1979,2410,2209,118.805877777536,2.49797164227919
"1979/1980",1980,2231,2053.5,124.809651172255,2.69410792100265
"1980/1981",1981,2262,2188.5,118.31867877445,3.78775934929924
"1981/1982",1982,2492,2475.5,133.124760509337,2.66804239319479
"1982/1983",1983,2566,2624.5,134.232462806525,5.32641497528497
"1983/1984",1984,2635,2243.5,128.449305578673,3.50488255076775
"1984/1985",1985,2217,2043.5,115.275973616218,2.44089617185681
"1985/1986",1986,2355,2509.5,127.192501677667,2.44450466234219
"1986/1987",1987,2046,2207,117.021568590922,2.59568390424609
"1987/1988",1988,2954,2891.5,145.104651538498,4.92105622803399
"1988/1989",1989,2581,2915.5,140.103143984036,5.54768855524478
"1989/1990",1990,2654,2904.5,139.327432547135,5.99129703589539
"1990/1991",1991,2738,2656.5,132.816663316778,4.33893858226245
"1991/1992",1992,3156,3009.5,140.354890767632,4.80131444667287
"1992/1993",1993,2558,2256.5,125.066244196788,3.98299519399199
"1993/1994",1994,2919,2948,141.777097793706,4.14747632239102
"1994/1995",1995,2491,2188.5,121.012496712467,4.96816026631145
"1995/1996",1996,1856,1521,104.813704208164,1.80920183749546
"1996/1997",1997,2557,2356.5,134.46979649221,3.51938671378841
"1997/1998",1998,2415,2790.5,134.881735535184,5.11502347057597
"1998/1999",1999,2635,2585.5,135.856326442628,4.27247631959705
"1999/2000",2000,2556,2840.5,134.816583123851,5.500469360623
"2000/2001",2001,2385,2200,124.893232070306,4.98290083201971
"2001/2002",2002,2563,2796,136.762704212859,5.33613195619985
"2002/2003",2003,2470,2382,134.121665533639,2.91436314240608
"2003/2004",2004,2608,2424.5,134.614030466639,4.33030506752939
"2004/2005",2005,2296,2161,125.887611146321,4.41238197684727
"2005/2006",2006,1988,2100.5,120.327657045486,3.08985842150232
"2006/2007",2007,2823,3025.5,138.139520770579,7.40068379684597
"2007/2008",2008,2985,3170,145.396541537309,4.96474167306693
"2008/2009",2009,2341,2366,122.302290678531,4.50731122000846
"2009/2010",2010,1741,1779.5,100.970016012872,3.04865559223459
"2010/2011",2011,2475,2428,128.693187822977,3.48200463915226
"2011/2012",2012,2515,2584,131.401253146151,4.86335669880724
"2012/2013",2013,2338,2223.5,120.271403768895,3.03514144159326
