"Season","End_year","Chilling_Hours","Utah_Model","Chill_portions","mntemp"
"1951/1952",1952,1365,1080.5,79.348446661207,-0.564976490841645
"1952/1953",1953,1798,1578,111.291817470717,-2.03181596996948
"1953/1954",1954,1539,1079,88.2068736681447,-1.29110843935577
"1954/1955",1955,1422,1045,90.4411168902635,-1.44837258678404
"1955/1956",1956,1261,838.5,82.9517791656011,-2.71870883706817
"1956/1957",1957,1858,1410,107.830781438425,-0.947051843272452
"1957/1958",1958,1473,1015,97.5675352985226,-1.49408013293221
"1958/1959",1959,1990,1500,111.552636392028,0.267476431467518
"1959/1960",1960,1822,1267,102.986054782579,-0.713990572017963
"1960/1961",1961,1866,1630,109.254125690675,0.273018884173823
"1961/1962",1962,1276,1043,78.4498349270133,-1.28469334515954
"1962/1963",1963,1795,1459.5,98.4496067860323,-2.46356124333809
"1963/1964",1964,1889,1175,100.204593095749,-0.153990584534938
"1964/1965",1965,1313,1000.5,91.1262756224019,-1.94169804745547
"1965/1966",1966,1418,1290.5,99.1118611934816,-0.647617887701171
"1966/1967",1967,1556,1310,101.089745429157,-1.20139146022903
"1967/1968",1968,1593,1405,99.1336544936006,-0.290891989925658
"1968/1969",1969,1397,1196,91.1874357440344,-0.828301845926721
"1969/1970",1970,1440,1025.5,92.3940222519387,-2.02169804566733
"1970/1971",1971,1860,1407,108.941475634343,-0.865660335657732
"1971/1972",1972,2181,1411,114.932392508911,0.621338036632769
"1972/1973",1973,1407,953,93.1326693630433,-1.29497636379762
"1973/1974",1974,1653,970.5,101.296768775817,0.0427358704531249
"1974/1975",1975,1786,1101.5,105.506892938966,-1.24606127055133
"1975/1976",1976,1594,1200,97.8440238124527,-0.690680713384049
"1976/1977",1977,1784,1463.5,105.665534538186,-0.348561290612023
"1977/1978",1978,1746,1286,99.7980500499843,-0.579740530727783
"1978/1979",1979,1580,1102.5,97.198244668367,-0.764787696402977
"1979/1980",1980,1275,867.5,88.6993720913195,-1.12633798064166
"1980/1981",1981,1503,1297,86.1233584949072,-1.56660371621684
"1981/1982",1982,1876,1366.5,106.552726790293,-1.72212258066525
"1982/1983",1983,1919,1460,112.636309257838,0.0695990773998552
"1983/1984",1984,1679,1364,85.1507263501134,-1.55525815884797
"1984/1985",1985,1477,1116,100.555562807161,-0.883938637135972
"1985/1986",1986,1543,1240.5,96.6584565110929,-1.41582541770021
"1986/1987",1987,1653,1336,98.3418688803799,-1.13988202764161
"1987/1988",1988,1520,1257,105.145345430358,0.0489906315853548
"1988/1989",1989,2509,1867.5,129.119577350058,1.28308961631396
"1989/1990",1990,1861,1408.5,113.606652054175,1.11950471430999
"1990/1991",1991,1793,1289,104.957414792692,-0.532499965745956
"1991/1992",1992,1891,1265,109.838523987179,-0.546572735384456
"1992/1993",1993,2020,1603.5,108.973333348906,-0.102924503649603
"1993/1994",1994,2230,1678,117.579024582255,-0.137948087772425
"1994/1995",1995,1496,1188.5,100.862833874348,-0.127146201221413
"1995/1996",1996,1901,1456.5,105.568497608232,-0.316150205323534
"1996/1997",1997,1931,1331.5,115.727760369125,0.230448130408372
"1997/1998",1998,1870,1445,106.218088421208,0.303679260847001
"1998/1999",1999,1695,1281.5,104.114596096224,-1.17127353637391
"1999/2000",2000,2002,1611.5,110.10840680565,-0.675680713719325
"2000/2001",2001,1562,1198,95.1982392055854,0.402028315252501
"2001/2002",2002,2374,1745,119.496276201773,0.124504736549977
"2002/2003",2003,1760,1339,102.676104321321,-0.507499966304749
"2003/2004",2004,1575,1413,106.255156061164,-0.816525780993728
"2004/2005",2005,1660,1542.5,87.3620928669649,-0.720872603044933
"2005/2006",2006,1801,1686,106.488928483933,-1.33165089127977
"2006/2007",2007,1918,1511.5,110.68495261563,2.48134430651202
"2007/2008",2008,1945,1467.5,105.251434818321,-0.484694802495236
"2008/2009",2009,1678,1287.5,96.9097472187326,-0.565731097078654
"2009/2010",2010,1601,1289.5,91.4310857914694,-1.19141504535768
"2010/2011",2011,2051,1762,115.720620960582,-0.178726388747751
"2011/2012",2012,1882,1482.5,104.303343902395,-0.13406100751561
"2012/2013",2013,1599,1345,95.8076455412165,-0.868749958230183
