"Season","End_year","Chilling_Hours","Utah_Model","Chill_portions","mntemp"
"1954/1955",1955,2320,2345,134.793877918244,8.51136782369137
"1955/1956",1956,2167,2477.5,125.282222018908,7.35929569956178
"1956/1957",1957,2243,2786,138.127822857994,9.8588677935724
"1957/1958",1958,2492,2865,141.420853565716,8.39827820357761
"1958/1959",1959,2534,2694,136.385551125488,9.89405647203115
"1959/1960",1960,2239,2870,139.126906449474,9.74152569326314
"1960/1961",1961,2028,2401.5,123.182877037853,10.7974055084435
"1961/1962",1962,2494,2428.5,128.134623004219,9.10294799914777
"1962/1963",1963,1584,1851.5,107.483946273769,6.56674522564764
"1963/1964",1964,2342,2635.5,134.135911429592,8.23908441229133
"1964/1965",1965,2672,2841,138.251376147009,8.68155649913264
"1965/1966",1966,2389,2654,127.631747444449,9.74386779614285
"1966/1967",1967,2343,2710.5,131.238751924029,9.97669797961793
"1967/1968",1968,2578,2259,121.470208201986,9.58859142438102
"1968/1969",1969,2263,2378.5,126.047506964233,8.41136782592655
"1969/1970",1970,2426,2552,130.638598170598,7.77268859491912
"1970/1971",1971,2634,2684,131.027797678773,8.84658008034974
"1971/1972",1972,2659,2956.5,144.454180901879,9.51478860912923
"1972/1973",1973,2921,2915,143.161239180483,8.29129707389335
"1973/1974",1974,2775,3596,150.865232590169,10.0069338279987
"1974/1975",1975,2994,3410,147.137270435418,9.8528300578583
"1975/1976",1976,2497,2750.5,133.71400101312,8.68171351037902
"1976/1977",1977,2465,2824,138.30233608793,9.72841968328059
"1977/1978",1978,2418,2830,139.516419427682,9.43346685968462
"1978/1979",1979,2501,2808.5,135.788269641438,7.89804236570215
"1979/1980",1980,2542,2929.5,141.904111428965,9.56145527475282
"1980/1981",1981,2179,2172.5,124.240225829415,8.81768857156155
"1981/1982",1982,2344,2960,139.123541445103,8.37617914746779
"1982/1983",1983,2199,2455.5,130.910877935475,10.1802121260124
"1983/1984",1984,3089,3134,140.689347869054,8.7431923822443
"1984/1985",1985,1980,2172.5,121.374139095711,8.31047160176666
"1985/1986",1986,2280,2714,131.149045262776,8.08924519161711
"1986/1987",1987,1947,2350.5,128.351647912309,8.66247631087987
"1987/1988",1988,2572,3181,144.625098253897,10.1122299103294
"1988/1989",1989,2236,2743.5,134.745242416161,10.5070989111588
"1989/1990",1990,2409,2771.5,137.200820173637,10.7031130577209
"1990/1991",1991,2227,2472,132.854138294539,9.478325349248
"1991/1992",1992,2708,3209,142.9275127998,9.28293415421769
"1992/1993",1993,2245,2477,128.964507366714,9.65606119433189
"1993/1994",1994,2133,2976,139.406557042057,9.72002345705317
"1994/1995",1995,2344,2567,128.607406486822,10.6114857012784
"1995/1996",1996,2344,2178.5,123.112966963329,8.4840374584594
"1996/1997",1997,2295,2689,136.249385403501,9.00530649189626
"1997/1998",1998,1959,2649.5,135.76589559957,10.2910847650437
"1998/1999",1999,2399,2851.5,138.089628786625,9.66603760920324
"1999/2000",2000,2133,2916.5,137.353060921265,10.2887322538021
"2000/2001",2001,2278,2489.5,131.614409247868,10.6472875872706
"2001/2002",2002,1672,2739.5,137.494714608244,10.2767451427227
"2002/2003",2003,2314,2561,131.742097070589,10.0283253369545
"2003/2004",2004,2287,2447.5,129.998980494147,9.64387311328622
"2004/2005",2005,2192,2142.5,120.759211161889,9.46011780248516
"2005/2006",2006,2070,2101,122.660797598148,8.64856121685127
"2006/2007",2007,2270,2762.5,134.396430946435,12.2615800040185
"2007/2008",2008,2435,2814.5,140.790241670052,9.63988250304678
"2008/2009",2009,2055,2390,124.473702586866,9.03676875534397
"2009/2010",2010,2016,1952,113.418444614046,9.04308950991967
"2010/2011",2011,2269,2521.5,127.788056492292,9.55304232871002
"2011/2012",2012,2261,2847.5,137.349897409674,9.76147874446035
"2012/2013",2013,2352,2375,126.55241936149,8.75886781815931
"1950/1951",1951,2635,3361.5,146.772222349808,9.16849988447502
"1951/1952",1952,2661,2716,131.143458667531,9.57485903032176
"1952/1953",1953,2419,2479.5,122.103288674281,8.51054235201171
"1953/1954",1954,2124,2739,132.148342030087,8.75974045964924
"1954/1955",1955,2432,2470.5,134.748239382001,8.51136782369137
"1955/1956",1956,2033,2484,126.426670482094,7.35929569956178
"1956/1957",1957,1997,2668.5,134.264358820355,9.8588677935724
"1957/1958",1958,2357,2850.5,139.518863806169,8.39827820357761
"1958/1959",1959,2383,2714.5,129.097965439816,9.89405647203115
"1959/1960",1960,1995,2793.5,130.661165352985,9.74152569326314
"1960/1961",1961,1871,2232.5,117.283242391073,10.7974055084435
"1961/1962",1962,2390,2559,127.91345302286,9.10294799914777
"1962/1963",1963,1558,1789,109.182019594451,6.56674522564764
"1963/1964",1964,2286,2658.5,135.20513085218,8.23908441229133
"1964/1965",1965,2578,2910,138.341677441279,8.68155649913264
"1965/1966",1966,2139,2586.5,123.377598979363,9.74386779614285
"1966/1967",1967,2143,2656,131.545412783679,9.97669797961793
"1967/1968",1968,2450,2404.5,120.792952218154,9.58859142438102
"1968/1969",1969,2191,2463,127.024320763098,8.41136782592655
"1969/1970",1970,2382,2655,129.700542122247,7.77268859491912
"1970/1971",1971,2367,2730.5,130.302880342354,8.84658008034974
"1971/1972",1972,2470,3003,143.997583543884,9.51478860912923
"1972/1973",1973,2800,3112.5,142.234784405655,8.29129707389335
"1973/1974",1974,2306,3458,147.966512236582,10.0069338279987
"1974/1975",1975,2640,3434,147.21667239779,9.8528300578583
"1975/1976",1976,2260,2785,131.983465148623,8.68171351037902
"1976/1977",1977,2251,2782,132.393759330857,9.72841968328059
"1977/1978",1978,2322,2884.5,139.515095421641,9.43346685968462
"1978/1979",1979,2298,2868.5,134.76770890986,7.89804236570215
"1979/1980",1980,2389,2987.5,141.071144108824,9.56145527475282
"1980/1981",1981,2159,2254,117.81594777168,8.81768857156155
"1981/1982",1982,2155,2878.5,135.880495822769,8.37617914746779
"1982/1983",1983,2051,2426.5,129.304000325981,10.1802121260124
"1983/1984",1984,2886,3230.5,137.079403804359,8.7431923822443
"1984/1985",1985,1987,2192,122.366896002737,8.31047160176666
"1985/1986",1986,2111,2640.5,130.617084278383,8.08924519161711
"1986/1987",1987,1895,2279.5,124.672778312334,8.66247631087987
"1987/1988",1988,2270,3076.5,136.974212405796,10.1122299103294
"1988/1989",1989,2044,2650.5,131.233441279527,10.5070989111588
"1989/1990",1990,2186,2737.5,133.663384686628,10.7031130577209
"1990/1991",1991,2088,2512.5,127.057914697834,9.478325349248
"1991/1992",1992,2370,3196,144.088901577367,9.28293415421769
"1992/1993",1993,2082,2443,128.089525232392,9.65606119433189
"1993/1994",1994,1868,2759.5,133.279046607843,9.72002345705317
"1994/1995",1995,2190,2582,127.39864035154,10.6114857012784
"1995/1996",1996,2373,2334,122.336126954656,8.4840374584594
"1996/1997",1997,2149,2665,130.614977314419,9.00530649189626
"1997/1998",1998,1871,2510.5,128.315492835681,10.2910847650437
"1998/1999",1999,2162,2760,133.731657329287,9.66603760920324
"1999/2000",2000,1851,2682,133.344757901749,10.2887322538021
"2000/2001",2001,2101,2446,124.739254002332,10.6472875872706
"2001/2002",2002,1438,2437.5,127.316978091451,10.2767451427227
"2002/2003",2003,2129,2516.5,126.956661194171,10.0283253369545
"2003/2004",2004,2299,2437.5,126.433568157506,9.64387311328622
"2004/2005",2005,2154,2144.5,116.596901656642,9.46011780248516
"2005/2006",2006,1996,2043.5,116.469616226018,8.64856121685127
"2006/2007",2007,2010,2612.5,130.833944038501,12.2615800040185
"2007/2008",2008,2207,2789.5,137.604838734814,9.63988250304678
