"Season","End_year","Chilling_Hours","Utah_Model","Chill_portions","mntemp"
"1954/1955",1955,2452,2242,129.374360739464,7.97240557158717
"1955/1956",1956,2302,2094.5,115.282041200229,6.94011730517527
"1956/1957",1957,2139,2410,126.917412986431,8.32502348823385
"1957/1958",1958,2320,2543.5,134.806525629528,8.09426877641049
"1958/1959",1959,2491,2608.5,133.527509563722,9.63691025136372
"1959/1960",1960,2079,2479,129.071879818184,8.62828628152626
"1960/1961",1961,1909,1869,114.033627953461,10.1661319376479
"1961/1962",1962,2050,1878,116.308394546293,7.69028293638367
"1962/1963",1963,1406,1466,91.0253125999927,5.49971694761079
"1963/1964",1964,1936,2055,122.596675220712,6.71882623030931
"1964/1965",1965,2326,2090.5,131.029409129452,7.79613199062153
"1965/1966",1966,2059,1722.5,111.479714319259,8.64721687725868
"1966/1967",1967,2045,2013,119.593750983847,8.88872630582279
"1967/1968",1968,1778,1517,109.619081744035,8.22572760507814
"1968/1969",1969,2014,1705,108.197318888045,6.99806597072385
"1969/1970",1970,2174,1952,122.372858292089,7.43339614967271
"1970/1971",1971,2013,1956.5,118.177537142141,8.01646217437602
"1971/1972",1972,2195,2294.5,123.011875651661,8.0713614113454
"1972/1973",1973,2392,2123.5,132.054665343212,7.40162728245827
"1973/1974",1974,2981,2850.5,143.462125880642,8.41490556169653
"1974/1975",1975,2568,2617.5,141.636040624516,8.71841970585585
"1975/1976",1976,2171,1870.5,119.400442255105,7.3717135396598
"1976/1977",1977,2181,2136,126.379308511462,9.21016497788336
"1977/1978",1978,2335,2108.5,128.136842658212,8.31908009214028
"1978/1979",1979,2475,2506,134.715069185479,7.2841980398
"1979/1980",1980,2431,2161,127.824595768337,7.92849756477339
"1980/1981",1981,1977,1721.5,114.853974223306,7.58212256144275
"1981/1982",1982,2180,2397.5,133.711414976931,7.33044803876623
"1982/1983",1983,2041,1919,121.677065966266,9.43745270865214
"1983/1984",1984,2525,2111,126.767122777739,7.30899053636693
"1984/1985",1985,2264,2035,118.723388125636,6.97695748062962
"1985/1986",1986,1989,1769,116.083053562187,7.39089615062266
"1986/1987",1987,2003,2060.5,118.999982055632,6.59073107416812
"1987/1988",1988,2393,2215.5,135.025585253896,9.22626748881762
"1988/1989",1989,2005,1959.5,124.838260997295,9.02879705740894
"1989/1990",1990,2097,2178,126.073895696356,9.51358478242215
"1990/1991",1991,2225,2236,128.529079339046,8.20087254761261
"1991/1992",1992,2259,2393.5,129.082004597716,8.64544590555586
"1992/1993",1993,1926,1763,117.4889338357,8.55507065290322
"1993/1994",1994,2167,2594.5,133.958259300152,9.49818383937016
"1994/1995",1995,2305,2191.5,122.842990537932,9.3919102568399
"1995/1996",1996,1767,1539.5,106.822347777176,7.07863842883965
"1996/1997",1997,2496,2125.5,127.026342543734,8.44191027807406
"1997/1998",1998,1911,1841,115.79028361185,9.54783006467558
"1998/1999",1999,1755,1754.5,118.691486123576,8.38497631708248
"1999/2000",2000,1720,1838,113.829290383543,9.13852101190567
"2000/2001",2001,1920,1900,116.220077264399,10.8860847517444
"2001/2002",2002,1841,2258,125.992842950068,9.3142923340465
"2002/2003",2003,2089,2060,124.013947239454,8.41245273156267
"2003/2004",2004,2140,1965.5,118.007940973526,8.59309848888554
"2004/2005",2005,1839,1689.5,117.709777158582,8.46030650407796
"2005/2006",2006,1876,1659.5,110.581984212968,7.76304236871964
"2006/2007",2007,2249,2460,120.684906764567,11.4789620969831
"2007/2008",2008,2230,2411,121.617790685788,9.38765246173621
"2008/2009",2009,2147,2099.5,119.220071587896,9.62299515733513
"2009/2010",2010,1830,1892,120.529066029765,8.92705177666426
"2010/2011",2011,1959,1834,118.180979706941,9.12823101745057
"2011/2012",2012,1750,1982.5,118.602838442991,9.01044589739748
"2012/2013",2013,2186,2007,122.653370162898,9.11490554605031
"1950/1951",1951,2614,2839,136.229501736139,9.05424988702871
"1951/1952",1952,2281,1917,117.451196146237,8.52884966403053
"1952/1953",1953,2157,1964,119.576456578337,8.15040085062754
"1953/1954",1954,2006,2353,125.546049424429,6.84778295521501
"1954/1955",1955,2544,2463.5,132.445100428925,7.97240557158717
"1955/1956",1956,2328,2256.5,116.008987336245,6.94011730517527
"1956/1957",1957,2051,2364,126.821960501726,8.32502348823385
"1957/1958",1958,2148,2535,135.645156215751,8.09426877641049
"1958/1959",1959,2315,2638,131.764871100755,9.63691025136372
"1959/1960",1960,1909,2388.5,123.967089076,8.62828628152626
"1960/1961",1961,1893,1840.5,114.369115027812,10.1661319376479
"1961/1962",1962,2133,2026,118.14129791997,7.69028293638367
"1962/1963",1963,1413,1398,91.2620181969036,5.49971694761079
"1963/1964",1964,1902,2090.5,122.733367890429,6.71882623030931
"1964/1965",1965,2383,2271.5,131.566172362285,7.79613199062153
"1965/1966",1966,1999,1794,112.645209040016,8.64721687725868
"1966/1967",1967,2036,2053.5,119.175963078937,8.88872630582279
"1967/1968",1968,1920,1601.5,106.842036661627,8.22572760507814
"1968/1969",1969,2175,1862,114.2816474638,6.99806597072385
"1969/1970",1970,2302,2128,126.266831204052,7.43339614967271
"1970/1971",1971,2015,2022.5,118.501228772763,8.01646217437602
"1971/1972",1972,2149,2364.5,125.111597972374,8.0713614113454
"1972/1973",1973,2490,2337.5,134.757108064093,7.40162728245827
"1973/1974",1974,2846,3092.5,146.350735608521,8.41490556169653
"1974/1975",1975,2486,2737,142.331887937619,8.71841970585585
"1975/1976",1976,2277,2020,120.175654248378,7.3717135396598
"1976/1977",1977,2145,2189,125.745717927133,9.21016497788336
"1977/1978",1978,2451,2246,133.112184262804,8.31908009214028
"1978/1979",1979,2462,2614.5,133.134295750083,7.2841980398
"1979/1980",1980,2475,2357.5,128.813402617515,7.92849756477339
"1980/1981",1981,2018,1795.5,119.193942692951,7.58212256144275
"1981/1982",1982,2099,2420,128.603354786965,7.33044803876623
"1982/1983",1983,2090,1972,122.693167262602,9.43745270865214
"1983/1984",1984,2648,2352.5,127.800070109075,7.30899053636693
"1984/1985",1985,2224,2222.5,119.584147760779,6.97695748062962
"1985/1986",1986,2092,1890,115.073548610407,7.39089615062266
"1986/1987",1987,2049,2082,118.742529687044,6.59073107416812
"1987/1988",1988,2523,2386,134.285867769185,9.22626748881762
"1988/1989",1989,1972,1974.5,118.044645122938,9.02879705740894
"1989/1990",1990,1992,2189.5,121.912536768097,9.51358478242215
"1990/1991",1991,2138,2272,125.818327918656,8.20087254761261
"1991/1992",1992,2189,2401,127.849504700396,8.64544590555586
"1992/1993",1993,1903,1803.5,117.537292016381,8.55507065290322
"1993/1994",1994,2029,2486,133.763647893012,9.49818383937016
"1994/1995",1995,2341,2279,117.637848826805,9.3919102568399
"1995/1996",1996,1958,1603,105.793331615225,7.07863842883965
"1996/1997",1997,2510,2340,129.142394546694,8.44191027807406
"1997/1998",1998,1920,1849.5,115.564564078993,9.54783006467558
"1998/1999",1999,1841,1719.5,113.174452391236,8.38497631708248
"1999/2000",2000,1703,1690.5,113.145260038728,9.13852101190567
"2000/2001",2001,1947,1874.5,114.472374834904,10.8860847517444
"2001/2002",2002,1706,2107,117.643444951915,9.3142923340465
"2002/2003",2003,2030,2080.5,119.767509803681,8.41245273156267
"2003/2004",2004,2175,2021.5,117.76722622751,8.59309848888554
"2004/2005",2005,1930,1745.5,113.839544150328,8.46030650407796
"2005/2006",2006,1867,1668.5,110.564318622998,7.76304236871964
"2006/2007",2007,2129,2412,117.105757787707,11.4789620969831
"2007/2008",2008,2096,2363,121.607324692688,9.38765246173621
"2008/2009",2009,1996,2146.5,113.536698759951,9.62299515733513
"2009/2010",2010,1854,1888,116.739247257305,8.92705177666426
"2010/2011",2011,2028,1936.5,115.901094407725,9.12823101745057
"2011/2012",2012,1606,1882.5,113.952291065609,9.01044589739748
"2012/2013",2013,2272,2101.5,123.027764973036,9.11490554605031
"1950/1951",1951,2378,2860,133.087022456928,9.05424988702871
"1951/1952",1952,2342,2067.5,121.53244932937,8.52884966403053
"1952/1953",1953,2221,1985.5,113.924170030145,8.15040085062754
"1953/1954",1954,1794,2296.5,123.488527871247,6.84778295521501
"1954/1955",1955,2568,2636,129.746311858263,7.97240557158717
"1955/1956",1956,2283,2346,117.952181666302,6.94011730517527
"1956/1957",1957,1961,2275.5,119.027095689823,8.32502348823385
"1957/1958",1958,1926,2455.5,130.163656695113,8.09426877641049
"1958/1959",1959,2050,2538,124.428011422136,9.63691025136372
"1959/1960",1960,1687,2180.5,117.631087065867,8.62828628152626
"1960/1961",1961,1758,1788,107.481694612433,10.1661319376479
"1961/1962",1962,2155,2119,121.363298029555,7.69028293638367
"1962/1963",1963,1413,1336,92.6966136385327,5.49971694761079
"1963/1964",1964,1858,2121.5,120.639912297403,6.71882623030931
"1964/1965",1965,2314,2379,129.393864826731,7.79613199062153
"1965/1966",1966,1944,1769.5,111.596525207152,8.64721687725868
"1966/1967",1967,1985,2039,116.536912109205,8.88872630582279
"1967/1968",1968,1923,1679,107.195474597982,8.22572760507814
"1968/1969",1969,2182,1951.5,113.989422894522,6.99806597072385
"1969/1970",1970,2353,2234,125.178119277198,7.43339614967271
"1970/1971",1971,1968,2073.5,115.813500088162,8.01646217437602
"1971/1972",1972,2028,2369.5,124.993023042832,8.0713614113454
"1972/1973",1973,2473,2517,135.365779042143,7.40162728245827
"1973/1974",1974,2675,3187.5,140.977772569761,8.41490556169653
"1974/1975",1975,2228,2746,138.016355328072,8.71841970585585
"1975/1976",1976,2283,2130,117.024484252009,7.3717135396598
"1976/1977",1977,2121,2157.5,117.693614250983,9.21016497788336
"1977/1978",1978,2412,2426.5,128.885977290663,8.31908009214028
"1978/1979",1979,2239,2627.5,130.961265045085,7.2841980398
"1979/1980",1980,2406,2551,127.870636186265,7.92849756477339
"1980/1981",1981,1985,1835.5,113.497109473683,7.58212256144275
"1981/1982",1982,1999,2334.5,121.460723565066,7.33044803876623
"1982/1983",1983,2019,2017,121.028746540763,9.43745270865214
"1983/1984",1984,2653,2550.5,126.833646629999,7.30899053636693
"1984/1985",1985,2121,2271.5,118.881063771208,6.97695748062962
"1985/1986",1986,2179,1993.5,118.655241053465,7.39089615062266
"1986/1987",1987,1968,2020.5,117.62809576781,6.59073107416812
"1987/1988",1988,2521,2507,129.154576882574,9.22626748881762
"1988/1989",1989,1906,1943.5,111.406949925471,9.02879705740894
"1989/1990",1990,1908,2108,117.012619196971,9.51358478242215
"1990/1991",1991,2018,2248.5,123.318008307495,8.20087254761261
"1991/1992",1992,2115,2385.5,128.789575396665,8.64544590555586
"1992/1993",1993,1927,1855.5,116.127196836954,8.55507065290322
"1993/1994",1994,1828,2298.5,124.783840203788,9.49818383937016
"1994/1995",1995,2308,2297.5,120.394556875367,9.3919102568399
"1995/1996",1996,2107,1666.5,106.239963176146,7.07863842883965
"1996/1997",1997,2438,2460,130.022664729522,8.44191027807406
"1997/1998",1998,1935,1793.5,111.82013932369,9.54783006467558
"1998/1999",1999,1839,1698.5,108.968705276056,8.38497631708248
"1999/2000",2000,1557,1487,107.740648551928,9.13852101190567
"2000/2001",2001,1890,1812.5,111.962124332809,10.8860847517444
"2001/2002",2002,1604,1871,111.620207177648,9.3142923340465
"2002/2003",2003,1985,2048.5,120.396740788633,8.41245273156267
"2003/2004",2004,2117,2047.5,116.593010741268,8.59309848888554
"2004/2005",2005,2023,1780,115.965950313668,8.46030650407796
"2005/2006",2006,1784,1655,104.133759392687,7.76304236871964
"2006/2007",2007,1918,2294,116.319596741357,11.4789620969831
"2007/2008",2008,1908,2202,119.138929955178,9.38765246173621
"2008/2009",2009,1873,2048.5,112.485739237533,9.62299515733513
"2009/2010",2010,1845,1873.5,112.703638821188,8.92705177666426
