"","lon","lat","minforce","minchill","minphoto","maxforce","maxchill","maxphoto","species"
"1",-52.35,-31.683,20,0,13,20,504,13,"Prunus_persica"
"2",11.557416,43.732105,5,-244.5,8,32,3005,24,"Fagus_sylvatica"
"3",-122.756,45.224,7,437,8,27.1675781272352,3048.5,16,"Pseudotsuga_menziesii"
"4",10.767,59.5,5,0,6,25.3,4032,24,"Betula_pendula"
"5",10.767,59.5,9,1067.5,8,21,2578,24,"Prunus_padus"
"6",10.767,59.5,7,868.5,8,25.3,2578,24,"Populus_tremula"
"7",10.767,59.5,9,1067.5,8,21,2578,24,"Alnus_incana"
"8",10.767,59.5,6,0,8,32,3264,24,"Betula_pubescens"
"9",10.767,59.5,9,1137,8,21,2578,24,"Alnus_glutinosa"
"10",-3.059781,56.46124,8,0,8,21,4238,24,"Ribes_nigrum"
"11",-85.323,51.254,6.66666666666667,348,16,22,348,16,"Picea_glauca"
"12",-4.804077,37.857154,20,-495,12,30,660,12,"Olea_europaea"
"13",-3.48,40.4,6.58903211078816,599.5,10,19,705.5,16,"Quercus_faginea"
"14",-3.48,40.4,6.21129159488871,599.5,10,19,881.5,16,"Quercus_ilex"
"15",-3.37,40.47,6.4549998557195,599.5,13,9.84136341639202,599.5,13,"Quercus_coccifera"
"16",-82.35,29.67,20,-657,16,20,-657,16,"Vaccinium_corymbosum"
"17",7.033,46.2,5,868.5,8,21,1850.5,16,"Acer_pseudoplatanus"
"18",7.033,46.2,5,868.5,8,16.6666666666667,2223.5,16,"Aesculus_hippocastanum"
"19",7.033,46.2,5,868.5,8,25.3,1801.5,16,"Syringa_vulgaris"
"20",7.033,46.2,5,868.5,8,21,2223.5,24,"Corylus_avellana"
"21",7.033,46.2,5,868.5,8,7,1801.5,16,"Fraxinus_excelsior"
"22",7.033,46.2,4.9,0,6,25.3,3048,16,"Picea_abies"
"23",7.033,46.2,4.9,868.5,8,25.3,1801.5,16,"Larix_decidua"
"24",7.033,46.2,5,868.5,8,7,1801.5,16,"Prunus_avium"
"25",7.033,46.2,5,1194.5,9.2,21,1850.5,16,"Quercus_petraea"
"26",7.033,46.2,5,384,8,32,2520,16,"Tilia_cordata"
"27",7.033,46.2,5,279.5,8,21,1234.5,24,"Sorbus_aucuparia"
"28",7.033,46.2,5,868.5,8,7,1801.5,16,"Abies_alba"
"29",-49.13,-23.38,23,-50,12,25,928,16,"Actinidia_deliciosa"
"30",-49.25,-23.32,-5.21428569698972,-50,9,25,1165,16,"Vitis_vinifera"
"31",-6.934,52.32,6,384,8,32,2520,16,"Salix_smithiana"
"32",-78.833,46.5,7,158,8,24.4,1801.5,16,"Quercus_rubra"
"33",-70.633,46.133,7,158,8,24.6666666666667,4724,16,"Acer_saccharum"
"34",-73.25,45.633,24.4,158,16,24.4,996,16,"Betula_alleghaniensis"
"35",19.41,-33.08,10,0,10,25,2585,24,"Malus_domestica"
"36",11.36667,43.71667,14,-178,8,26,1430.5,16,"Ulmus_pumila"
"37",11.36667,43.71667,14,-178,8,26,1430.5,16,"Ulmus_parvifolia"
"38",11.36667,43.71667,21,-178,8,21,1430.5,16,"Ulmus_macrocarpa"
"39",11.36667,43.71667,14,-178,8,26,1430.5,16,"Ulmus_villosa"
"40",11.36667,43.71667,21,-178,8,21,1430.5,16,"Ulmus_glabra"
"41",11.36667,43.71667,14,-178,8,26,1430.5,16,"Ulmus_minor"
"42",10.767,59.5,21,-50,8,21,1247.5,24,"Rubus_idaeus"
"43",10.83,59.67,7,868.5,8,21,2319,24,"Carpinus_betulus"
"44",11.711811,48.403008,7,868.5,8,7,1801.5,16,"Acer_tataricum"
"45",11.711811,48.403008,7,868.5,8,7,1801.5,16,"Amorpha_fruticosa"
"46",11.711811,48.403008,7,868.5,8,16.6666666666667,1801.5,16,"Cornus_alba"
"47",11.711811,48.403008,7,868.5,8,25.3,1801.5,16,"Cornus_mas"
"48",11.711811,48.403008,7,868.5,8,7,1801.5,16,"Fraxinus_chinensis"
"49",11.711811,48.403008,7,868.5,8,7,1801.5,16,"Fraxinus_pennsylvanica"
"50",11.711811,48.403008,7,868.5,8,7,1801.5,16,"Juglans_ailantifolia"
"51",11.711811,48.403008,7,868.5,8,7,1801.5,16,"Juglans_cinerea"
"52",11.711811,48.403008,7,868.5,8,7,1801.5,16,"Juglans_regia"
"53",11.711811,48.403008,7,868.5,8,7,1801.5,16,"Pinus_nigra"
"54",11.711811,48.403008,7,868.5,8,7,1801.5,16,"Pinus_strobus"
"55",11.711811,48.403008,7,868.5,8,7,1801.5,16,"Pinus_sylvestris"
"56",11.711811,48.403008,7,868.5,8,7,1801.5,16,"Pinus_wallichiana"
"57",11.711811,48.403008,7,868.5,8,7,1801.5,16,"Prunus_serotina"
"58",11.711811,48.403008,7,868.5,8,25.3,1801.5,16,"Robinia_pseudoacacia"
"59",11.711811,48.403008,7,868.5,8,7,1801.5,16,"Abies_homolepis"
"60",11.711811,48.403008,7,868.5,8,7,1801.5,16,"Acer_negundo"
"61",11.711811,48.403008,7,868.5,8,7,1801.5,16,"Quercus_bicolor"
"62",11.711811,48.403008,3.75952372549191,868.5,8,25.3,2223.5,16,"Quercus_robur"
"63",11.711811,48.403008,7,868.5,8,25.3,1801.5,16,"Symphoricarpos_albus"
