"Lat","Lon","MeanFitness","pres"
52.18,-10.25,0.171,1
52.01,-10.09,0.173,1
52.18,-10.09,0.211,1
52.34,-10.09,0.108,1
51.84,-9.92,0.176,1
52.01,-9.92,0.156,1
52.18,-9.92,0.152,1
52.34,-9.92,0.131,1
53.51,-9.92,0.678,1
53.67,-9.92,0.623,1
54,-9.92,0.537,1
54.34,-9.92,0.626,1
51.84,-9.76,0.209,1
52.01,-9.76,0.14,1
52.18,-9.76,0.282,1
52.34,-9.76,0.183,1
53.51,-9.76,0.608,1
53.67,-9.76,0.455,1
53.84,-9.76,0.641,1
54,-9.76,0.532,1
54.17,-9.76,0.681,1
54.34,-9.76,0.633,1
51.68,-9.59,0.291,1
51.84,-9.59,0.204,1
52.01,-9.59,0.171,1
52.18,-9.59,0.322,1
52.34,-9.59,0.345,1
52.51,-9.59,0.5,1
52.67,-9.59,0.624,1
53.51,-9.59,0.638,1
53.67,-9.59,0.382,1
53.84,-9.59,0.484,1
54,-9.59,0.498,1
54.17,-9.59,0.508,1
54.34,-9.59,0.542,1
51.68,-9.42,0.349,1
51.84,-9.42,0.249,1
52.01,-9.42,0.271,1
52.18,-9.42,0.424,1
52.34,-9.42,0.464,1
52.51,-9.42,0.569,1
52.67,-9.42,0.685,1
52.84,-9.42,0.801,1
53.34,-9.42,0.834,1
53.51,-9.42,0.676,1
53.67,-9.42,0.409,1
53.84,-9.42,0.557,1
54,-9.42,0.534,1
54.17,-9.42,0.438,1
54.34,-9.42,0.433,1
38.9,-9.26,0.053,0
39.06,-9.26,0.045,0
39.23,-9.26,0.047,0
51.68,-9.26,0.468,1
51.84,-9.26,0.354,1
52.01,-9.26,0.254,1
52.18,-9.26,0.499,1
52.34,-9.26,0.477,1
52.51,-9.26,0.672,1
52.67,-9.26,0.819,1
52.84,-9.26,0.802,1
53.01,-9.26,0.76,1
53.34,-9.26,0.811,1
53.51,-9.26,0.747,1
53.67,-9.26,0.732,1
53.84,-9.26,0.663,1
54,-9.26,0.602,1
54.17,-9.26,0.556,1
54.34,-9.26,0.482,1
38.73,-9.09,0,0
38.9,-9.09,0.025,0
39.06,-9.09,0,0
39.23,-9.09,0,0
39.4,-9.09,0,0
39.56,-9.09,0,0
43.05,-9.09,0.572,1
43.21,-9.09,0.654,1
51.68,-9.09,0.618,1
51.84,-9.09,0.473,1
52.01,-9.09,0.461,1
52.18,-9.09,0.535,1
52.34,-9.09,0.453,1
52.51,-9.09,0.74,1
52.67,-9.09,0.85,1
52.84,-9.09,0.808,1
53.01,-9.09,0.815,1
53.17,-9.09,0.765,1
53.34,-9.09,0.864,1
53.51,-9.09,0.891,1
53.67,-9.09,0.878,1
53.84,-9.09,0.817,1
54,-9.09,0.765,1
54.17,-9.09,0.802,1
54.34,-9.09,0.712,1
38.56,-8.93,0,0
38.73,-8.93,0,0
38.9,-8.93,0,0
39.06,-8.93,0,0
39.23,-8.93,0,0
39.4,-8.93,0,0
39.56,-8.93,0,0
39.73,-8.93,0,0
42.72,-8.93,0.388,1
42.88,-8.93,0.41,1
43.05,-8.93,0.321,1
43.21,-8.93,0.514,1
51.68,-8.93,0.742,1
51.84,-8.93,0.803,1
52.01,-8.93,0.751,1
52.18,-8.93,0.792,1
52.34,-8.93,0.689,1
52.51,-8.93,0.898,1
52.67,-8.93,0.944,1
52.84,-8.93,0.912,1
53.01,-8.93,0.901,1
53.17,-8.93,0.867,1
53.34,-8.93,0.961,1
53.51,-8.93,0.949,1
53.67,-8.93,0.893,1
53.84,-8.93,0.838,1
54,-8.93,0.815,1
54.17,-8.93,0.764,1
54.34,-8.93,0.753,1
37.24,-8.76,0,0
37.4,-8.76,0,0
38.73,-8.76,0,0
38.9,-8.76,0,0
39.06,-8.76,0,0
39.23,-8.76,0,0
39.4,-8.76,0,0
39.56,-8.76,0,0
39.73,-8.76,0,0
39.89,-8.76,0,0
40.06,-8.76,0,0
40.23,-8.76,0,0
40.39,-8.76,0,0
42.05,-8.76,0.315,1
42.72,-8.76,0.314,1
42.88,-8.76,0.325,1
43.05,-8.76,0.295,1
43.21,-8.76,0.429,1
43.38,-8.76,0.565,1
51.68,-8.76,0.917,1
51.84,-8.76,0.921,1
52.01,-8.76,0.914,1
52.18,-8.76,0.899,1
52.34,-8.76,0.965,1
52.51,-8.76,0.978,1
52.67,-8.76,0.988,1
52.84,-8.76,0.985,1
53.01,-8.76,0.953,1
53.17,-8.76,0.966,1
53.34,-8.76,0.967,1
53.51,-8.76,0.976,1
53.67,-8.76,0.941,1
53.84,-8.76,0.886,1
54,-8.76,0.825,1
54.17,-8.76,0.52,1
54.34,-8.76,0.577,1
70.94,-8.76,0,0
37.24,-8.59,0,0
37.4,-8.59,0,0
37.57,-8.59,0,0
37.73,-8.59,0,0
37.9,-8.59,0,0
38.07,-8.59,0,0
38.23,-8.59,0,0
38.4,-8.59,0,0
38.56,-8.59,0,0
38.73,-8.59,0,0
38.9,-8.59,0,0
39.06,-8.59,0,0
39.23,-8.59,0,0
39.4,-8.59,0,0
39.56,-8.59,0,0
39.73,-8.59,0.009,0
39.89,-8.59,0,0
40.06,-8.59,0,0
40.23,-8.59,0,0
40.39,-8.59,0,0
40.56,-8.59,0,0
40.72,-8.59,0,0
41.39,-8.59,0.248,1
41.55,-8.59,0.385,1
41.72,-8.59,0.495,1
41.88,-8.59,0.489,1
42.05,-8.59,0.314,1
42.22,-8.59,0.206,1
42.38,-8.59,0.252,1
42.55,-8.59,0.273,1
42.72,-8.59,0.332,1
42.88,-8.59,0.28,1
43.05,-8.59,0.284,1
43.21,-8.59,0.347,1
43.38,-8.59,0.535,1
51.68,-8.59,0.956,1
51.84,-8.59,0.947,1
52.01,-8.59,0.946,1
52.18,-8.59,0.967,1
52.34,-8.59,0.984,1
52.51,-8.59,0.984,1
52.67,-8.59,0.982,1
52.84,-8.59,0.974,1
53.01,-8.59,0.916,1
53.17,-8.59,0.962,1
53.34,-8.59,0.982,1
53.51,-8.59,0.955,1
53.67,-8.59,0.956,1
53.84,-8.59,0.902,1
54,-8.59,0.783,1
54.17,-8.59,0.537,1
54.34,-8.59,0.345,1
54.83,-8.59,0.099,0
70.94,-8.59,0,0
37.24,-8.43,0,0
37.4,-8.43,0,0
37.57,-8.43,0,0
37.73,-8.43,0,0
37.9,-8.43,0,0
38.07,-8.43,0,0
38.23,-8.43,0,0
38.4,-8.43,0,0
38.56,-8.43,0,0
38.73,-8.43,0,0
38.9,-8.43,0,0
39.06,-8.43,0,0
39.23,-8.43,0,0
39.4,-8.43,0,0
39.56,-8.43,0,0
39.73,-8.43,0,0
39.89,-8.43,0,0
40.06,-8.43,0,0
40.23,-8.43,0,0
40.39,-8.43,0,0
40.56,-8.43,0,0
40.72,-8.43,0,0
40.89,-8.43,0,0
41.05,-8.43,0.033,0
41.22,-8.43,0.154,1
41.39,-8.43,0.303,1
41.55,-8.43,0.393,1
41.72,-8.43,0.466,1
41.88,-8.43,0.524,1
42.05,-8.43,0.192,1
42.22,-8.43,0.307,1
42.38,-8.43,0.222,1
42.55,-8.43,0.282,1
42.72,-8.43,0.299,1
42.88,-8.43,0.395,1
43.05,-8.43,0.364,1
43.21,-8.43,0.322,1
43.38,-8.43,0.505,1
51.84,-8.43,0.96,1
52.01,-8.43,0.962,1
52.18,-8.43,0.97,1
52.34,-8.43,0.988,1
52.51,-8.43,0.975,1
52.67,-8.43,0.992,1
52.84,-8.43,0.974,1
53.01,-8.43,0.935,1
53.17,-8.43,0.893,1
53.34,-8.43,0.977,1
53.51,-8.43,0.942,1
53.67,-8.43,0.948,1
53.84,-8.43,0.941,1
54,-8.43,0.813,1
54.17,-8.43,0.698,1
54.34,-8.43,0.567,1
54.5,-8.43,0.463,1
54.67,-8.43,0.146,1
54.83,-8.43,0.105,1
37.24,-8.26,0,0
37.4,-8.26,0,0
37.57,-8.26,0,0
37.73,-8.26,0,0
37.9,-8.26,0,0
38.07,-8.26,0,0
38.23,-8.26,0,0
38.4,-8.26,0,0
38.56,-8.26,0,0
38.73,-8.26,0,0
38.9,-8.26,0,0
39.06,-8.26,0,0
39.23,-8.26,0,0
39.4,-8.26,0,0
39.56,-8.26,0,0
39.73,-8.26,0,0
39.89,-8.26,0,0
40.06,-8.26,0,0
40.23,-8.26,0,0
40.39,-8.26,0,0
40.56,-8.26,0,0
40.72,-8.26,0,0
40.89,-8.26,0.072,0
41.05,-8.26,0.24,1
41.22,-8.26,0.095,0
41.39,-8.26,0.341,1
41.55,-8.26,0.374,1
41.72,-8.26,0.461,1
41.88,-8.26,0.48,1
42.05,-8.26,0.174,1
42.22,-8.26,0.263,1
42.38,-8.26,0.187,1
42.55,-8.26,0.122,1
42.72,-8.26,0.153,1
42.88,-8.26,0.385,1
43.05,-8.26,0.327,1
43.21,-8.26,0.369,1
43.38,-8.26,0.44,1
51.84,-8.26,0.975,1
52.01,-8.26,0.975,1
52.18,-8.26,0.971,1
52.34,-8.26,0.982,1
52.51,-8.26,0.986,1
52.67,-8.26,0.9,1
52.84,-8.26,0.953,1
53.01,-8.26,0.908,1
53.17,-8.26,0.974,1
53.34,-8.26,0.94,1
53.51,-8.26,0.952,1
53.67,-8.26,0.974,1
53.84,-8.26,0.958,1
54,-8.26,0.863,1
54.17,-8.26,0.665,1
54.34,-8.26,0.481,1
54.5,-8.26,0.203,1
54.67,-8.26,0.201,1
54.83,-8.26,0.112,1
55,-8.26,0.133,1
71.1,-8.26,0,0
37.24,-8.1,0,0
37.4,-8.1,0,0
37.57,-8.1,0,0
37.73,-8.1,0,0
37.9,-8.1,0,0
38.07,-8.1,0,0
38.23,-8.1,0,0
38.4,-8.1,0,0
38.56,-8.1,0,0
38.73,-8.1,0,0
38.9,-8.1,0,0
39.06,-8.1,0,0
39.23,-8.1,0,0
39.4,-8.1,0,0
39.56,-8.1,0,0
39.73,-8.1,0,0
39.89,-8.1,0,0
40.06,-8.1,0,0
40.23,-8.1,0.053,0
40.39,-8.1,0,0
40.56,-8.1,0,0
40.72,-8.1,0.175,1
40.89,-8.1,0.198,1
41.05,-8.1,0.213,1
41.22,-8.1,0.192,1
41.39,-8.1,0.299,1
41.55,-8.1,0.384,1
41.72,-8.1,0.423,1
41.88,-8.1,0.347,1
42.05,-8.1,0.045,0
42.22,-8.1,0.102,1
42.38,-8.1,0.109,1
42.55,-8.1,0.12,1
42.72,-8.1,0.131,1
42.88,-8.1,0.314,1
43.05,-8.1,0.36,1
43.21,-8.1,0.322,1
43.38,-8.1,0.284,1
43.55,-8.1,0.206,1
43.71,-8.1,0.337,1
52.01,-8.1,0.983,1
52.18,-8.1,0.977,1
52.34,-8.1,0.971,1
52.51,-8.1,0.846,1
52.67,-8.1,0.958,1
52.84,-8.1,0.819,1
53.01,-8.1,0.99,1
53.17,-8.1,0.892,1
53.34,-8.1,0.994,1
53.51,-8.1,0.96,1
53.67,-8.1,0.975,1
53.84,-8.1,0.967,1
54,-8.1,0.922,1
54.17,-8.1,0.551,1
54.34,-8.1,0.404,1
54.5,-8.1,0.171,1
54.67,-8.1,0.197,1
54.83,-8.1,0.111,1
55,-8.1,0.108,1
55.16,-8.1,0.136,1
71.1,-8.1,0,0
37.24,-7.93,0,0
37.4,-7.93,0,0
37.57,-7.93,0,0
37.73,-7.93,0,0
37.9,-7.93,0,0
38.07,-7.93,0,0
38.23,-7.93,0,0
38.4,-7.93,0,0
38.56,-7.93,0,0
38.73,-7.93,0,0
38.9,-7.93,0,0
39.06,-7.93,0,0
39.23,-7.93,0,0
39.4,-7.93,0,0
39.56,-7.93,0,0
39.73,-7.93,0,0
39.89,-7.93,0,0
40.06,-7.93,0,0
40.23,-7.93,0.048,0
40.39,-7.93,0,0
40.56,-7.93,0,0
40.72,-7.93,0.058,0
40.89,-7.93,0.101,1
41.05,-7.93,0.172,1
41.22,-7.93,0.231,1
41.39,-7.93,0.242,1
41.55,-7.93,0.343,1
41.72,-7.93,0.302,1
41.88,-7.93,0.222,1
42.05,-7.93,0.311,1
42.22,-7.93,0.25,1
42.38,-7.93,0.375,1
42.55,-7.93,0.518,1
42.72,-7.93,0.483,1
42.88,-7.93,0.601,1
43.05,-7.93,0.669,1
43.21,-7.93,0.666,1
43.38,-7.93,0.686,1
43.55,-7.93,0.673,1
43.71,-7.93,0.561,1
52.01,-7.93,0.961,1
52.18,-7.93,0.932,1
52.34,-7.93,0.86,1
52.51,-7.93,0.899,1
52.67,-7.93,0.964,1
52.84,-7.93,0.897,1
53.01,-7.93,0.982,1
53.17,-7.93,0.958,1
53.34,-7.93,0.956,1
53.51,-7.93,0.991,1
53.67,-7.93,0.95,1
53.84,-7.93,0.937,1
54,-7.93,0.94,1
54.17,-7.93,0.645,1
54.34,-7.93,0.262,1
54.5,-7.93,0.264,1
54.67,-7.93,0.142,1
54.83,-7.93,0.108,1
55,-7.93,0.115,1
55.16,-7.93,0.14,1
71.1,-7.93,0,0
37.24,-7.76,0,0
37.4,-7.76,0,0
37.57,-7.76,0,0
37.73,-7.76,0,0
37.9,-7.76,0,0
38.07,-7.76,0,0
38.23,-7.76,0,0
38.4,-7.76,0,0
38.56,-7.76,0,0
38.73,-7.76,0,0
38.9,-7.76,0,0
39.06,-7.76,0,0
39.23,-7.76,0,0
39.4,-7.76,0,0
39.56,-7.76,0,0
39.73,-7.76,0,0
39.89,-7.76,0,0
40.06,-7.76,0,0
40.23,-7.76,0.042,0
40.39,-7.76,0.042,0
40.56,-7.76,0,0
40.72,-7.76,0.047,0
40.89,-7.76,0.086,0
41.05,-7.76,0.106,1
41.22,-7.76,0.136,1
41.39,-7.76,0.159,1
41.55,-7.76,0.245,1
41.72,-7.76,0.208,1
41.88,-7.76,0.194,1
42.05,-7.76,0.216,1
42.22,-7.76,0.321,1
42.38,-7.76,0.263,1
42.55,-7.76,0.388,1
42.72,-7.76,0.465,1
42.88,-7.76,0.587,1
43.05,-7.76,0.645,1
43.21,-7.76,0.647,1
43.38,-7.76,0.67,1
43.55,-7.76,0.747,1
43.71,-7.76,0.725,1
43.88,-7.76,0.825,1
52.01,-7.76,0.925,1
52.18,-7.76,0.813,1
52.34,-7.76,0.632,1
52.51,-7.76,0.986,1
52.67,-7.76,0.946,1
52.84,-7.76,0.958,1
53.01,-7.76,0.969,1
53.17,-7.76,0.947,1
53.34,-7.76,0.976,1
53.51,-7.76,0.962,1
53.67,-7.76,0.93,1
53.84,-7.76,0.951,1
54,-7.76,0.84,1
54.17,-7.76,0.323,1
54.34,-7.76,0.235,1
54.5,-7.76,0.24,1
54.67,-7.76,0.195,1
54.83,-7.76,0.163,1
55,-7.76,0.205,1
55.16,-7.76,0.334,1
37.24,-7.6,0,0
37.4,-7.6,0,0
37.57,-7.6,0,0
37.73,-7.6,0,0
37.9,-7.6,0,0
38.07,-7.6,0,0
38.23,-7.6,0,0
38.4,-7.6,0,0
38.56,-7.6,0,0
38.73,-7.6,0,0
38.9,-7.6,0,0
39.06,-7.6,0,0
39.23,-7.6,0,0
39.4,-7.6,0,0
39.56,-7.6,0,0
39.73,-7.6,0,0
39.89,-7.6,0,0
40.06,-7.6,0,0
40.23,-7.6,0,0
40.39,-7.6,0.05,0
40.56,-7.6,0.041,0
40.72,-7.6,0.044,0
40.89,-7.6,0.054,0
41.05,-7.6,0.052,0
41.22,-7.6,0.085,0
41.39,-7.6,0.143,1
41.55,-7.6,0.107,1
41.72,-7.6,0.16,1
41.88,-7.6,0.139,1
42.05,-7.6,0.163,1
42.22,-7.6,0.216,1
42.38,-7.6,0.235,1
42.55,-7.6,0.311,1
42.72,-7.6,0.377,1
42.88,-7.6,0.491,1
43.05,-7.6,0.597,1
43.21,-7.6,0.611,1
43.38,-7.6,0.595,1
43.55,-7.6,0.757,1
43.71,-7.6,0.835,1
43.88,-7.6,0.753,1
52.01,-7.6,0.862,1
52.18,-7.6,0.67,1
52.34,-7.6,0.6,1
52.51,-7.6,0.971,1
52.67,-7.6,0.984,1
52.84,-7.6,0.949,1
53.01,-7.6,0.962,1
53.17,-7.6,0.957,1
53.34,-7.6,0.865,1
53.51,-7.6,0.92,1
53.67,-7.6,0.931,1
53.84,-7.6,0.908,1
54,-7.6,0.871,1
