"Lat","Lon","MeanFitness","pres"
52.18,-10.25,0.701,1
52.01,-10.09,0.698,1
52.18,-10.09,0.737,1
52.34,-10.09,0.625,1
51.84,-9.92,0.696,1
52.01,-9.92,0.678,1
52.18,-9.92,0.678,1
52.34,-9.92,0.655,1
53.51,-9.92,0.959,1
53.67,-9.92,0.946,1
54,-9.92,0.918,1
54.34,-9.92,0.941,1
51.84,-9.76,0.726,1
52.01,-9.76,0.646,1
52.18,-9.76,0.783,1
52.34,-9.76,0.704,1
53.51,-9.76,0.947,1
53.67,-9.76,0.89,1
53.84,-9.76,0.947,1
54,-9.76,0.915,1
54.17,-9.76,0.956,1
54.34,-9.76,0.944,1
51.68,-9.59,0.798,1
51.84,-9.59,0.717,1
52.01,-9.59,0.677,1
52.18,-9.59,0.803,1
52.34,-9.59,0.81,1
52.51,-9.59,0.893,1
52.67,-9.59,0.933,1
53.51,-9.59,0.946,1
53.67,-9.59,0.855,1
53.84,-9.59,0.897,1
54,-9.59,0.902,1
54.17,-9.59,0.905,1
54.34,-9.59,0.917,1
51.68,-9.42,0.833,1
51.84,-9.42,0.763,1
52.01,-9.42,0.783,1
52.18,-9.42,0.862,1
52.34,-9.42,0.88,1
52.51,-9.42,0.919,1
52.67,-9.42,0.945,1
52.84,-9.42,0.972,1
53.34,-9.42,0.985,1
53.51,-9.42,0.953,1
53.67,-9.42,0.87,1
53.84,-9.42,0.921,1
54,-9.42,0.915,1
54.17,-9.42,0.878,1
54.34,-9.42,0.875,1
38.9,-9.26,0.593,1
39.06,-9.26,0,0
39.23,-9.26,0,0
51.68,-9.26,0.457,1
51.84,-9.26,0.832,1
52.01,-9.26,0.779,1
52.18,-9.26,0.896,1
52.34,-9.26,0.893,1
52.51,-9.26,0.944,1
52.67,-9.26,0.975,1
52.84,-9.26,0.959,1
53.01,-9.26,0.964,1
53.34,-9.26,0.979,1
53.51,-9.26,0.967,1
53.67,-9.26,0.965,1
53.84,-9.26,0.946,1
54,-9.26,0.934,1
54.17,-9.26,0.924,1
54.34,-9.26,0.897,1
38.73,-9.09,0.351,1
38.9,-9.09,0,0
39.06,-9.09,0,0
39.23,-9.09,0,0
39.4,-9.09,0,0
39.56,-9.09,0,0
43.05,-9.09,0.508,1
43.21,-9.09,0.763,1
51.68,-9.09,0.784,1
51.84,-9.09,0.88,1
52.01,-9.09,0.881,1
52.18,-9.09,0.911,1
52.34,-9.09,0.884,1
52.51,-9.09,0.961,1
52.67,-9.09,0.984,1
52.84,-9.09,0.974,1
53.01,-9.09,0.977,1
53.17,-9.09,0.965,1
53.34,-9.09,0.99,1
53.51,-9.09,0.997,1
53.67,-9.09,0.994,1
53.84,-9.09,0.986,1
54,-9.09,0.976,1
54.17,-9.09,0.983,1
54.34,-9.09,0.868,1
38.56,-8.93,0,0
38.73,-8.93,0,0
38.9,-8.93,0,0
39.06,-8.93,0,0
39.23,-8.93,0,0
39.4,-8.93,0,0
39.56,-8.93,0,0
39.73,-8.93,0,0
42.72,-8.93,0,0
42.88,-8.93,0.281,1
43.05,-8.93,0.454,1
43.21,-8.93,0.505,1
51.68,-8.93,0.72,1
51.84,-8.93,0.976,1
52.01,-8.93,0.969,1
52.18,-8.93,0.977,1
52.34,-8.93,0.957,1
52.51,-8.93,0.991,1
52.67,-8.93,0.997,1
52.84,-8.93,0.995,1
53.01,-8.93,0.995,1
53.17,-8.93,0.99,1
53.34,-8.93,0.998,1
53.51,-8.93,0.998,1
53.67,-8.93,0.996,1
53.84,-8.93,0.989,1
54,-8.93,0.986,1
54.17,-8.93,0.976,1
54.34,-8.93,0.972,1
37.24,-8.76,0,0
37.4,-8.76,0,0
38.73,-8.76,0,0
38.9,-8.76,0,0
39.06,-8.76,0,0
39.23,-8.76,0,0
39.4,-8.76,0,0
39.56,-8.76,0,0
39.73,-8.76,0,0
39.89,-8.76,0,0
40.06,-8.76,0,0
40.23,-8.76,0,0
40.39,-8.76,0,0
42.05,-8.76,0,0
42.72,-8.76,0.142,1
42.88,-8.76,0.186,1
43.05,-8.76,0.373,1
43.21,-8.76,0.488,1
43.38,-8.76,0.386,1
51.68,-8.76,0.64,1
51.84,-8.76,0.99,1
52.01,-8.76,0.989,1
52.18,-8.76,0.989,1
52.34,-8.76,0.998,1
52.51,-8.76,0.998,1
52.67,-8.76,0.998,1
52.84,-8.76,0.998,1
53.01,-8.76,0.998,1
53.17,-8.76,0.998,1
53.34,-8.76,0.948,1
53.51,-8.76,0.998,1
53.67,-8.76,0.998,1
53.84,-8.76,0.992,1
54,-8.76,0.987,1
54.17,-8.76,0.901,1
54.34,-8.76,0.926,1
70.94,-8.76,0,0
37.24,-8.59,0.05,0
37.4,-8.59,0,0
37.57,-8.59,0,0
37.73,-8.59,0,0
37.9,-8.59,0,0
38.07,-8.59,0,0
38.23,-8.59,0,0
38.4,-8.59,0,0
38.56,-8.59,0,0
38.73,-8.59,0,0
38.9,-8.59,0,0
39.06,-8.59,0,0
39.23,-8.59,0,0
39.4,-8.59,0,0
39.56,-8.59,0,0
39.73,-8.59,0,0
39.89,-8.59,0,0
40.06,-8.59,0,0
40.23,-8.59,0,0
