"Lat","Lon","MeanDateLeaf","lodoy","daylength"
52.18,-10.25,103.7,103,13.7133359463384
52.01,-10.09,103.2,103,13.703135742826
52.18,-10.09,103.1,103,13.7133359463384
52.34,-10.09,108.1,108,14.0524271112435
51.84,-9.92,104.6,104,13.7580466665473
52.01,-9.92,105.3,105,13.8338476087933
52.18,-9.92,105.8,105,13.8448927223037
52.34,-9.92,107.1,107,13.9869543558417
53.51,-9.92,104.7,104,13.8654061478148
53.67,-9.92,105.6,105,13.9457199930381
54,-9.92,108.6,108,14.179287167639
54.34,-9.92,106.5,106,14.0647910766349
51.84,-9.76,104,104,13.7580466665473
52.01,-9.76,107.7,107,13.9637806613429
52.18,-9.76,103.4,103,13.7133359463384
52.34,-9.76,106.8,106,13.9212649676292
53.51,-9.76,105.9,105,13.9345317595446
53.67,-9.76,109.3,109,14.2219460252778
53.84,-9.76,106.9,106,14.0275373747462
54,-9.76,109,109,14.2489269724088
54.17,-9.76,106.1,106,14.0520165170018
54.34,-9.76,107.8,107,14.1358105627197
51.68,-9.59,101.6,101,13.5537779536736
51.84,-9.59,105.5,105,13.8228916142612
52.01,-9.59,108,108,14.0284267663072
52.18,-9.59,104.2,104,13.779206007612
52.34,-9.59,104.7,104,13.7892827809115
52.51,-9.59,103,103,13.7333745928822
52.67,-9.59,102.4,102,13.6759265911285
53.51,-9.59,107.6,107,14.0722046977198
53.67,-9.59,112.1,112,14.426670281338
53.84,-9.59,110.6,110,14.3047500124614
54,-9.59,110,110,14.3183318069989
54.17,-9.59,109.5,109,14.2630078262635
54.34,-9.59,109.4,109,14.2772146971191
51.68,-9.42,101.1,101,13.5537779536736
51.84,-9.42,103.6,103,13.6930174415994
52.01,-9.42,104.7,104,13.7685835908023
52.18,-9.42,103.6,103,13.7133359463384
52.34,-9.42,103.3,103,13.7230120122041
52.51,-9.42,103.3,103,13.7333745928822
52.67,-9.42,102.1,102,13.6759265911285
52.84,-9.42,101.4,101,13.618144112595
53.34,-9.42,103.7,103,13.7852187988973
53.51,-9.42,106.9,106,14.0034683803295
53.67,-9.42,110.8,110,14.2904424597276
53.84,-9.42,108.6,108,14.1665896955206
54,-9.42,108.6,108,14.179287167639
54.17,-9.42,110,110,14.3328874602976
54.34,-9.42,110.1,110,14.3475738885845
38.9,-9.26,92.7,92,12.6418458320934
39.06,-9.26,92.6,92,12.6450324304135
39.23,-9.26,92.9,92,12.6484354137412
51.68,-9.26,100.6,100,13.4886455967256
51.84,-9.26,104.2,104,13.7580466665473
52.01,-9.26,107.5,107,13.9637806613429
52.18,-9.26,104,104,13.779206007612
52.34,-9.26,104.6,104,13.7892827809115
52.51,-9.26,102.9,102,13.6665025070749
52.67,-9.26,100.8,100,13.5408934120508
52.84,-9.26,100.8,100,13.5501166997111
53.01,-9.26,101.9,101,13.6278824485658
53.34,-9.26,103.3,103,13.7852187988973
53.51,-9.26,104.9,104,13.8654061478148
53.67,-9.26,105,105,13.9457199930381
53.84,-9.26,106,106,14.0275373747462
54,-9.26,106.2,106,14.0393540756443
54.17,-9.26,107.6,107,14.1225596340753
54.34,-9.26,109.1,109,14.2772146971191
38.73,-9.09,96.5,96,12.8047279093703
38.9,-9.09,95,95,12.7674390492207
39.06,-9.09,94.2,94,12.7293333748465
39.23,-9.09,94.1,94,12.7332518559857
39.4,-9.09,94.2,94,12.7371908402695
39.56,-9.09,94.4,94,12.7409170481765
43.05,-9.09,94,94,12.827159415873
43.21,-9.09,94.6,94,12.8313605396226
51.68,-9.09,100.2,100,13.4886455967256
51.84,-9.09,104.2,104,13.7580466665473
52.01,-9.09,105.5,105,13.8338476087933
52.18,-9.09,105.2,105,13.8448927223037
52.34,-9.09,107.2,107,13.9869543558417
52.51,-9.09,103.6,103,13.7333745928822
52.67,-9.09,101.5,101,13.6084860267934
52.84,-9.09,101.8,101,13.618144112595
53.01,-9.09,101,101,13.6278824485658
53.17,-9.09,102.5,102,13.7058544290824
53.34,-9.09,101.1,101,13.6470197906773
53.51,-9.09,101,101,13.6570010511287
53.67,-9.09,101.2,101,13.6664728162101
53.84,-9.09,102.6,102,13.747136494377
54,-9.09,104,104,13.8986296660182
54.17,-9.09,104.6,104,13.9103515457938
54.34,-9.09,106.2,106,14.0647910766349
38.56,-8.93,97.2,97,12.8414280643085
38.73,-8.93,99.1,99,12.928347336282
38.9,-8.93,98.5,98,12.8921520885106
39.06,-8.93,96.5,96,12.8132675286007
39.23,-8.93,95.7,95,12.7755252214676
39.4,-8.93,95.9,95,12.7797227666901
39.56,-8.93,96,96,12.8263709282396
39.73,-8.93,96.6,96,12.8308722236115
42.72,-8.93,94.2,94,12.8185679219329
42.88,-8.93,94.2,94,12.8227212518442
43.05,-8.93,95.6,95,12.8755835849795
43.21,-8.93,96.6,96,12.9286526055321
51.68,-8.93,100.1,100,13.4886455967256
51.84,-8.93,101.5,101,13.5624469454923
52.01,-8.93,103.8,103,13.703135742826
52.18,-8.93,104.1,104,13.779206007612
52.34,-8.93,105.9,105,13.85537069203
52.51,-8.93,102.7,102,13.6665025070749
52.67,-8.93,100.6,100,13.5408934120508
52.84,-8.93,100,100,13.5501166997111
53.01,-8.93,99.5,99,13.4908087973201
53.17,-8.93,100.6,100,13.5682400791772
53.34,-8.93,98.2,98,13.4386226782828
53.51,-8.93,99.8,99,13.5173050502634
53.67,-8.93,101.6,101,13.6664728162101
53.84,-8.93,103.2,103,13.8174963997011
54,-8.93,104,104,13.8986296660182
54.17,-8.93,105.2,105,13.9812767173115
54.34,-8.93,105.1,105,13.9935759773207
37.24,-8.76,98.7,98,12.8453770469184
37.4,-8.76,98.4,98,12.8497877508686
38.73,-8.76,99.3,99,12.928347336282
38.9,-8.76,100,100,12.9747169664718
39.06,-8.76,100.2,100,12.9798267393316
39.23,-8.76,99.3,99,12.9435686208006
39.4,-8.76,98.3,98,12.90669971537
39.56,-8.76,96.8,96,12.8263709282396
39.73,-8.76,96.1,96,12.8308722236115
39.89,-8.76,96.8,96,12.8351305067149
40.06,-8.76,96.4,96,12.8396783117557
40.23,-8.76,96,96,12.8442504642822
40.39,-8.76,95.1,95,12.8046127722351
42.05,-8.76,94.4,94,12.8014206502946
42.72,-8.76,95,95,12.866430400925
42.88,-8.76,95.4,95,12.8708552878339
43.05,-8.76,96.4,96,12.923902527637
43.21,-8.76,97,97,12.9771333612085
43.38,-8.76,97.7,97,12.9825023198837
51.68,-8.76,99.1,99,13.4233673048369
51.84,-8.76,100.5,100,13.4969250289056
52.01,-8.76,101.8,101,13.5717293731816
52.18,-8.76,104.5,104,13.779206007612
52.34,-8.76,102.2,102,13.6565687097032
52.51,-8.76,101.4,101,13.5994683394121
52.67,-8.76,98.9,98,13.4052879244922
52.84,-8.76,98,98,13.4136434625447
53.01,-8.76,98.9,98,13.4220680730656
53.17,-8.76,98.1,98,13.4300611116777
53.34,-8.76,97.4,97,13.3688989587317
53.51,-8.76,99.7,99,13.5173050502634
53.67,-8.76,101.1,101,13.6664728162101
53.84,-8.76,102.8,102,13.747136494377
54,-8.76,103.1,103,13.8279986869261
54.17,-8.76,108.2,108,14.1928942121303
54.34,-8.76,107.7,107,14.1358105627197
70.94,-8.76,178,178,24
37.24,-8.59,99,99,12.8843016515956
37.4,-8.59,97.4,97,12.8105211611542
37.57,-8.59,96.9,96,12.7753672552469
37.73,-8.59,96.8,96,12.7793578200323
37.9,-8.59,95.7,95,12.7434198094508
38.07,-8.59,96.5,96,12.7878997826283
38.23,-8.59,97.5,97,12.832528243648
38.4,-8.59,98.8,98,12.8778220378208
38.56,-8.59,99.2,99,12.9232239761182
38.73,-8.59,99.2,99,12.928347336282
38.9,-8.59,99.7,99,12.9334968370931
39.06,-8.59,100.1,100,12.9798267393316
39.23,-8.59,100.8,100,12.9852830454011
39.4,-8.59,100.2,100,12.9907676482345
39.56,-8.59,98.2,98,12.9114020536153
39.73,-8.59,95.6,95,12.7879340469982
39.89,-8.59,96.9,96,12.8351305067149
40.06,-8.59,96.7,96,12.8396783117557
40.23,-8.59,96.6,96,12.8442504642822
40.39,-8.59,96.3,96,12.8485761484023
40.56,-8.59,95.5,95,12.8089655160094
40.72,-8.59,95.2,95,12.8130838923348
41.39,-8.59,95.3,95,12.8305629060507
41.55,-8.59,95,95,12.8347939289211
41.72,-8.59,94.7,94,12.7931165596618
41.88,-8.59,94.6,94,12.7971313312572
42.05,-8.59,94.8,94,12.8014206502946
42.22,-8.59,94.9,94,12.805734579173
42.38,-8.59,95.1,95,12.8571076838538
42.55,-8.59,94.9,94,12.8141799792006
42.72,-8.59,95.1,95,12.866430400925
42.88,-8.59,95.4,95,12.8708552878339
43.05,-8.59,96.5,96,12.923902527637
43.21,-8.59,97.7,97,12.9771333612085
43.38,-8.59,98.2,98,13.0311558609123
51.68,-8.59,98.2,98,13.357951808111
51.84,-8.59,99.7,99,13.4312575830169
52.01,-8.59,100.6,100,13.5057902122698
52.18,-8.59,102,102,13.6472928565908
52.34,-8.59,101.5,101,13.5899627630167
52.51,-8.59,100.5,100,13.5322815626153
52.67,-8.59,99.1,99,13.4731578151521
52.84,-8.59,99.3,99,13.4819469243089
53.01,-8.59,100.1,100,13.5594164765837
53.17,-8.59,98.3,98,13.4300611116777
53.34,-8.59,99.1,99,13.5082229584284
53.51,-8.59,98.6,98,13.4472563162187
53.67,-8.59,99.6,99,13.5259232682942
53.84,-8.59,100.1,100,13.605957098996
54,-8.59,105,105,13.9690850609356
54.17,-8.59,107.1,107,14.1225596340753
54.34,-8.59,110.8,110,14.3475738885845
54.83,-8.59,118.3,118,14.9547576365265
70.94,-8.59,170.1,170,24
37.24,-8.43,99.8,99,12.8843016515956
37.4,-8.43,96.7,96,12.7711474610567
37.57,-8.43,95.7,95,12.7356478262949
37.73,-8.43,96.5,96,12.7793578200323
37.9,-8.43,95.7,95,12.7434198094508
38.07,-8.43,96.7,96,12.7878997826283
