idstudy,continent,lat_deg,long_deg,delta_hrs,space_deglat,time_days
ashby62_exp1,north america,42.99,-89.41,4,18.2,-87
basler14_exp1,europe,46.31,8.27,1,6,-22
caffarra11b_exp2,europe,52.32,-6.93,2,7.5,-30
falusi90_exp1,europe,46.03,10.75,4,16,-82
falusi96_exp3,europe,38.27,15.99,4,21.6,-111
ghelardini10_exp1,europe,43.72,11.37,8,21.9,-999
heide05_exp1,europe,56.18,-4.32,14,-999,-999
heide08_exp1,europe,48.4,11.72,14,-999,-999
heide11_exp1,europe,59.67,10.67,10,-999,-117
heide12_exp1,europe,56.5,-3.06,5,8.9,-64
heide15_exp2,europe,56.5,-3.06,1,3.2,-13
heide93_exp1,europe,59.5,10.77,16,-999,-999
heide93a_exp1,europe,59.67,10.83,16,-999,-999
heide93a_exp3,europe,47.5,7.6,1,5.7,-18
howe95_exp1,north america,40.55,-124.1,2,13.1,-64
laube14a_exp1,europe,48.4,11.71,4,14.3,-87
myking95_exp1,europe,56.1,9.15,16,-999,-999
nienstaedt66_exp1,north america,44.17,-103.92,12,-999,-999
okie11_exp1,north america,32.12,-83.12,12,-999,-999
partanen01_exp1,europe,61.93,26.68,10,-999,-105
partanen05_exp1,europe,61.82,29.32,5,-999,-67
partanen98_exp1,europe,60.03,23.05,3.34,5.1,-37
pettersen71_exp1,europe,59.66,10.77,2,4,-23
Sanz-Perez09_exp1,europe,40.4,-3.48,6,23.6,-999
viheraaarnio06_exp1,europe,60.45,24.93,1,2.1,-12
viheraaarnio06_exp1,europe,67.73,24.93,1,-999,-5
viheraaarnio06_exp2,europe,60.45,24.93,4,5.1,-62
viheraaarnio06_exp2,europe,67.73,24.93,1,-999,-3
worrall67_exp 3,north america,41.31,-72.93,8,24.3,-999
zohner16_Exp1,europe,48.16,11.5,8,-999,-999
