Station	Provenance	year	doy
40	4	1993	198
44	4	1993	232
48	4	1993	267
52	4	1993	309
56	4	1993	337
60	4	1993	365
64	4	1994	16
1	4	1992	272
5	4	1992	300
9	4	1992	327
13	4	1992	355
17	4	1993	17
21	4	1993	45
25	4	1993	74
29	4	1993	114
33	4	1993	156
37	4	1993	198
41	4	1993	232
45	4	1993	267
49	4	1993	308
53	4	1993	336
57	4	1993	364
61	4	1994	15
2	4	1992	272
6	4	1992	300
10	4	1992	328
14	4	1992	356
18	4	1993	17
22	4	1993	45
26	4	1993	74
30	4	1993	114
34	4	1993	156
38	4	1993	198
42	4	1993	232
46	4	1993	267
50	4	1993	309
54	4	1993	337
58	4	1993	365
62	4	1994	15
3	4	1992	271
7	4	1992	299
11	4	1992	328
15	4	1992	355
19	4	1993	17
23	4	1993	45
4	4	1992	271
8	4	1992	299
12	4	1992	327
16	4	1992	355
20	4	1993	17
24	4	1993	45
28	4	1993	74
32	4	1993	114
36	4	1993	156
27	4	1993	74
31	4	1993	114
35	4	1993	156
39	4	1993	198
43	4	1993	232
47	4	1993	267
51	4	1993	309
55	4	1993	337
59	4	1993	364
63	4	1994	16
4	4	1992	272
8	4	1992	300
12	4	1992	328
16	4	1992	355
20	4	1993	18
24	4	1993	45
28	4	1993	74
32	4	1993	114
36	4	1993	156
40	4	1993	198
44	4	1993	232
48	4	1993	267
52	4	1993	309
56	4	1993	337
60	4	1993	364
64	4	1994	16
1	4	1992	272
5	4	1992	299
9	4	1992	327
13	4	1992	355
17	4	1993	18
21	4	1993	45
25	4	1993	74
29	4	1993	114
33	4	1993	156
37	4	1993	198
41	4	1993	232
45	4	1993	267
49	4	1993	309
53	4	1993	337
57	4	1993	365
61	4	1994	15
2	4	1992	272
6	4	1992	299
10	4	1992	327
14	4	1992	355
18	4	1993	17
22	4	1993	45
26	4	1993	74
30	4	1993	114
34	4	1993	156
38	4	1993	198
42	4	1993	232
46	4	1993	267
50	4	1993	309
54	4	1993	337
58	4	1993	364
62	4	1994	15
3	4	1992	272
7	4	1992	299
11	4	1992	327
15	4	1992	355
19	4	1993	18
23	4	1993	45
27	4	1993	74
31	4	1993	114
35	4	1993	156
39	4	1993	198
43	4	1993	232
47	4	1993	267
51	4	1993	309
55	4	1993	337
59	4	1993	365
63	4	1994	16
73	8	1996	250
69	1	1996	250
69	8	1996	250
65	8	1996	250
65	1	1996	250
73	1	1996	250
66	1	1996	280
70	8	1996	280
66	8	1996	280
74	1	1996	280
74	8	1996	280
70	1	1996	280
71	1	1996	295
71	8	1996	295
67	1	1996	295
67	8	1996	295
75	1	1996	295
75	8	1996	295
68	1	1996	304
76	1	1996	304
68	8	1996	304
72	1	1996	304
76	8	1996	304
72	8	1996	304
78	3	1996	307
81	3	1997	10
84	3	1997	66
87	3	1997	109
90	3	1997	137
93	3	1997	166
96	3	1997	193
78	3	1996	307
81	3	1997	10
84	3	1997	66
87	3	1997	109
90	3	1997	137
93	3	1997	166
96	3	1997	193
78	3	1996	307
81	3	1997	10
84	3	1997	66
87	3	1997	109
90	3	1997	137
93	3	1997	166
96	3	1997	193
78	3	1996	307
81	3	1997	10
84	3	1997	66
87	3	1997	109
90	3	1997	137
93	3	1997	166
96	3	1997	193
78	3	1996	307
81	3	1997	10
84	3	1997	66
87	3	1997	109
90	3	1997	137
93	3	1997	166
96	3	1997	193
78	3	1996	307
77	3	1996	307
80	3	1997	10
83	3	1997	66
86	3	1997	109
83	3	1997	66
86	3	1997	109
89	3	1997	137
92	3	1997	166
95	3	1997	193
77	3	1996	307
80	3	1997	10
83	3	1997	66
86	3	1997	109
89	3	1997	137
81	3	1997	10
84	3	1997	66
87	3	1997	109
90	3	1997	137
93	3	1997	166
96	3	1997	193
78	3	1996	307
81	3	1997	10
84	3	1997	66
87	3	1997	109
90	3	1997	137
93	3	1997	166
96	3	1997	193
78	3	1996	307
81	3	1997	10
84	3	1997	66
87	3	1997	109
90	3	1997	137
89	3	1997	137
86	3	1997	109
89	3	1997	137
92	3	1997	166
95	3	1997	193
77	3	1996	307
92	3	1997	166
95	3	1997	193
77	3	1996	307
80	3	1997	10
83	3	1997	66
86	3	1997	109
89	3	1997	137
92	3	1997	166
95	3	1997	193
77	3	1996	307
80	3	1997	10
83	3	1997	66
86	3	1997	109
89	3	1997	137
92	3	1997	166
95	3	1997	193
77	3	1996	307
80	3	1997	10
83	3	1997	66
86	3	1997	109
89	3	1997	137
92	3	1997	166
95	3	1997	193
93	3	1997	166
96	3	1997	193
79	3	1996	307
82	3	1997	10
85	3	1997	66
88	3	1997	109
91	3	1997	137
94	3	1997	166
97	3	1997	193
79	3	1996	307
82	3	1997	10
85	3	1997	66
88	3	1997	109
91	3	1997	137
94	3	1997	166
97	3	1997	193
79	3	1996	307
82	3	1997	10
85	3	1997	66
88	3	1997	109
91	3	1997	137
94	3	1997	166
97	3	1997	193
88	3	1997	109
91	3	1997	137
94	3	1997	166
97	3	1997	193
79	3	1996	307
82	3	1997	10
85	3	1997	66
88	3	1997	109
91	3	1997	137
94	3	1997	166
97	3	1997	193
80	3	1997	10
80	3	1997	10
83	3	1997	66
80	3	1997	10
92	3	1997	166
95	3	1997	193
77	3	1996	307
83	3	1997	66
86	3	1997	109
89	3	1997	137
92	3	1997	166
95	3	1997	193
77	3	1996	307
79	3	1996	307
82	3	1997	10
85	3	1997	66
88	3	1997	109
91	3	1997	137
94	3	1997	166
97	3	1997	193
79	3	1996	307
82	3	1997	10
85	3	1997	66
88	3	1997	109
91	3	1997	137
94	3	1997	166
97	3	1997	193
79	3	1996	307
82	3	1997	10
85	3	1997	66
88	3	1997	109
91	3	1997	137
94	3	1997	166
97	3	1997	193
79	3	1996	307
82	3	1997	10
85	3	1997	66
99	6	2005	101
99	6	2005	108
99	6	2005	115
99	6	2005	122
99	6	2005	129
99	6	2005	136
99	6	2005	143
99	6	2005	150
99	6	2005	157
99	6	2005	164
99	6	2005	171
99	6	2005	178
99	6	2005	185
99	6	2005	192
99	6	2005	199
98	6	2005	204
98	6	2005	80
98	6	2005	87
98	6	2005	94
98	6	2005	101
98	6	2005	108
98	6	2005	115
98	6	2005	122
98	6	2005	129
98	6	2005	136
98	6	2005	143
98	6	2005	150
98	6	2005	157
98	6	2005	164
98	6	2005	171
98	6	2005	178
98	6	2005	185
98	6	2005	192
98	6	2005	199
101	7	2005	80
101	7	2005	87
101	7	2005	94
101	7	2005	101
101	7	2005	108
101	7	2005	115
101	7	2005	122
101	7	2005	129
101	7	2005	136
101	7	2005	143
101	7	2005	150
101	7	2005	157
101	7	2005	164
101	7	2005	171
101	7	2005	178
101	7	2005	185
101	7	2005	192
101	7	2005	199
100	7	2005	204
100	7	2005	210
100	7	2005	80
100	7	2005	87
100	7	2005	94
100	7	2005	101
100	7	2005	108
100	7	2005	115
100	7	2005	122
100	7	2005	129
100	7	2005	136
100	7	2005	143
100	7	2005	150
100	7	2005	157
100	7	2005	164
100	7	2005	171
100	7	2005	178
100	7	2005	185
100	7	2005	192
100	7	2005	199
100	7	2005	205
99	7	2005	80
99	7	2005	87
99	7	2005	94
99	7	2005	101
99	7	2005	108
99	7	2005	115
99	7	2005	122
99	7	2005	129
99	7	2005	136
99	7	2005	143
99	7	2005	150
99	7	2005	157
99	7	2005	164
99	7	2005	171
99	7	2005	178
99	7	2005	185
99	7	2005	192
99	7	2005	199
98	7	2005	205
98	7	2005	210
98	7	2005	80
98	7	2005	87
98	7	2005	94
98	7	2005	101
98	7	2005	108
98	7	2005	115
98	7	2005	122
98	7	2005	129
98	7	2005	136
98	7	2005	143
98	7	2005	150
98	7	2005	157
98	7	2005	164
98	7	2005	171
98	7	2005	178
98	7	2005	185
98	7	2005	192
98	7	2005	199
101	6	2005	87
101	6	2005	94
101	6	2005	101
101	6	2005	108
101	6	2005	164
101	6	2005	171
101	6	2005	178
100	6	2005	94
100	6	2005	101
100	6	2005	108
100	6	2005	115
100	6	2005	122
100	6	2005	164
99	6	2005	87
99	6	2005	94
101	6	2005	80
101	6	2005	115
101	6	2005	122
101	6	2005	129
101	6	2005	136
101	6	2005	143
101	6	2005	150
101	6	2005	157
101	6	2005	185
101	6	2005	192
100	6	2005	87
100	6	2005	129
100	6	2005	136
100	6	2005	143
100	6	2005	150
100	6	2005	157
100	6	2005	171
100	6	2005	178
100	6	2005	185
100	6	2005	192
100	6	2005	199
99	6	2005	80
101	6	2005	199
100	6	2005	205
100	6	2005	80
105	5	2004	25
104	5	2004	55
109	5	2004	87
112	5	2004	101
112	5	2004	118
114	5	2004	118
114	5	2004	118
114	5	2004	118
104	5	2004	25
103	5	2004	55
108	5	2004	87
111	5	2004	101
111	5	2004	117
114	5	2004	117
114	5	2004	117
106	5	2004	25
107	5	2004	55
110	5	2004	86
102	5	2004	100
102	5	2004	118
113	5	2004	118
113	5	2004	118
113	5	2004	118
105	5	2004	27
104	5	2004	56
109	5	2004	87
112	5	2004	101
112	5	2004	118
114	5	2004	118
114	5	2004	118
114	5	2004	118
104	5	2004	27
103	5	2004	56
111	5	2004	101
111	5	2004	118
114	5	2004	118
114	5	2004	118
114	5	2004	118
106	5	2004	27
107	5	2004	56
110	5	2004	87
102	5	2004	101
102	5	2004	118
113	5	2004	118
113	5	2004	118
113	5	2004	118
105	5	2004	26
104	5	2004	56
109	5	2004	87
112	5	2004	118
114	5	2004	118
114	5	2004	118
104	5	2004	26
103	5	2004	56
108	5	2004	87
111	5	2004	118
114	5	2004	118
114	5	2004	118
106	5	2004	26
107	5	2004	56
110	5	2004	87
102	5	2004	118
113	5	2004	118
113	5	2004	118
105	5	2004	27
104	6	2004	58
109	6	2004	87
112	6	2004	101
114	6	2004	101
114	6	2004	101
114	6	2004	101
104	6	2004	27
103	6	2004	58
108	6	2004	87
111	6	2004	101
111	6	2004	109
111	6	2004	118
114	6	2004	118
114	6	2004	118
106	6	2004	27
107	6	2004	58
110	6	2004	87
102	6	2004	100
102	6	2004	118
113	6	2004	118
113	6	2004	118
113	6	2004	118
105	6	2004	28
104	6	2004	57
109	6	2004	87
112	6	2004	101
112	6	2004	118
114	6	2004	118
114	6	2004	118
114	6	2004	118
104	6	2004	28
103	6	2004	57
108	6	2004	87
111	6	2004	101
111	6	2004	118
114	6	2004	118
114	6	2004	118
114	6	2004	118
106	6	2004	28
107	6	2004	57
110	6	2004	87
102	6	2004	100
102	6	2004	118
113	6	2004	118
113	6	2004	118
113	6	2004	118
105	6	2004	25
104	6	2004	56
109	6	2004	87
112	6	2004	118
114	6	2004	118
114	6	2004	118
104	6	2004	25
103	6	2004	56
108	6	2004	87
111	6	2004	118
114	6	2004	118
106	6	2004	25
107	6	2004	56
110	6	2004	87
102	6	2004	118
113	6	2004	118
113	6	2004	118
105	6	2004	27
104	7	2004	57
109	7	2004	87
112	7	2004	101
112	7	2004	118
114	7	2004	118
114	7	2004	118
114	7	2004	118
104	7	2004	27
103	7	2004	57
108	7	2004	87
111	7	2004	101
111	7	2004	118
114	7	2004	118
114	7	2004	118
114	7	2004	118
106	7	2004	27
107	7	2004	57
110	7	2004	87
102	7	2004	101
102	7	2004	118
113	7	2004	118
113	7	2004	118
113	7	2004	118
105	7	2004	26
104	7	2004	56
109	7	2004	88
112	7	2004	101
112	7	2004	118
114	7	2004	118
114	7	2004	118
114	7	2004	118
104	7	2004	26
103	7	2004	56
108	7	2004	88
111	7	2004	101
111	7	2004	118
114	7	2004	118
114	7	2004	118
114	7	2004	118
106	7	2004	26
107	7	2004	56
110	7	2004	88
102	7	2004	101
102	7	2004	117
113	7	2004	117
113	7	2004	117
113	7	2004	117
105	7	2004	26
104	7	2004	56
109	7	2004	87
112	7	2004	118
114	7	2004	118
114	7	2004	118
104	7	2004	26
103	7	2004	56
108	7	2004	87
111	7	2004	118
114	7	2004	118
114	7	2004	118
106	7	2004	26
107	7	2004	56
110	7	2004	87
102	7	2004	118
113	7	2004	118
113	7	2004	118
115	9	2001	31
115	9	2001	52
115	9	2001	38
115	9	2001	45
115	9	2001	24
115	9	2001	17
115	9	2001	3
115	9	2001	10
115	9	2001	31
115	9	2001	38
115	9	2001	52
115	9	2001	3
115	9	2001	59
115	9	2001	45
