"datasetID","study","genus.species","woody","ID_fieldsample.date","fieldsample.date","Exp_Chilling_Hours","photoperiod_day","photoperiod_night","Total_Chilling_Hours","respvar.simple","response.time","forcetemp","provenance.lat","provenance.long","samplingdates.count","species.count","photoperiods.count","forcetemps.count","expchill.count","latitude.count","longitude.count"
"ashby62","exp1","Tilia.americana","yes","ashby62.",NA,NA,"8","16",1356,"growth","",NA,42.988,-89.412,4,1,3,NA,NA,3,3
"ashby62","exp1","Tilia.americana","yes","ashby62.",NA,NA,"8","16",1356,"othernums","",NA,42.988,-89.412,4,1,3,NA,NA,3,3
"ashby62","exp1","Tilia.americana","yes","ashby62.",NA,NA,"8","16",1356,"other","",NA,42.988,-89.412,4,1,3,NA,NA,3,3
"ashby62","exp2","Tilia.americana","yes","ashby62.1956-12-11","12/11/56",NA,"8","16",482,"daystobudburst","",NA,41.947,-86.334,4,1,3,NA,NA,3,3
"ashby62","exp2","Tilia.americana","yes","ashby62.1956-12-11","12/11/56",NA,"8","16",482,"othernums","",NA,41.947,-86.334,4,1,3,NA,NA,3,3
"basler12","exp1","Acer.psuedoplatanus","yes","basler12.",NA,NA,"shortday","shortday",2291,"daystobudburst","47.26","meandaily",46.2,7.033,NA,17,2,1,NA,2,2
"basler12","exp1","Betula.pendula","yes","basler12.",NA,NA,"shortday","shortday",2291,"daystobudburst","25.76","meandaily",46.2,7.033,NA,17,2,1,NA,2,2
"basler12","exp1","Aesculus.hippocastanum","yes","basler12.",NA,NA,"shortday","shortday",2291,"daystobudburst","28.87","meandaily",46.2,7.033,NA,17,2,1,NA,2,2
"basler12","exp1","Syringa.vulgaris","yes","basler12.",NA,NA,"shortday","shortday",2291,"daystobudburst","29.43","meandaily",46.2,7.033,NA,17,2,1,NA,2,2
"basler12","exp1","Corylus.avellana","yes","basler12.",NA,NA,"shortday","shortday",2291,"daystobudburst","35.29","meandaily",46.2,7.033,NA,17,2,1,NA,2,2
"basler12","exp1","Fraxinus.excelsior","yes","basler12.",NA,NA,"shortday","shortday",2291,"daystobudburst","46.72","meandaily",46.2,7.033,NA,17,2,1,NA,2,2
"basler12","exp1","Fagus.sylvatica","yes","basler12.",NA,NA,"shortday","shortday",2291,"daystobudburst","49.15","meandaily",46.2,7.033,NA,17,2,1,NA,2,2
"basler12","exp1","Picea.abies","yes","basler12.",NA,NA,"shortday","shortday",2291,"daystobudburst","54.06","meandaily",46.2,7.033,NA,17,2,1,NA,2,2
"basler12","exp1","Larix.decudia","yes","basler12.",NA,NA,"shortday","shortday",2291,"daystobudburst","22.45","meandaily",46.2,7.033,NA,17,2,1,NA,2,2
"basler12","exp1","Prunus.avium","yes","basler12.",NA,NA,"shortday","shortday",2291,"daystobudburst","21.32","meandaily",46.2,7.033,NA,17,2,1,NA,2,2
"basler12","exp1","Quercus.patraea","yes","basler12.",NA,NA,"shortday","shortday",2291,"daystobudburst","52.93","meandaily",46.2,7.033,NA,17,2,1,NA,2,2
"basler12","exp1","Tilia.cordata","yes","basler12.",NA,NA,"shortday","shortday",2291,"daystobudburst","60.38","meandaily",46.2,7.033,NA,17,2,1,NA,2,2
"basler12","exp1","Sorbus.aucuparia","yes","basler12.",NA,NA,"shortday","shortday",2291,"daystobudburst","21.98","meandaily",46.2,7.033,NA,17,2,1,NA,2,2
"basler12","exp1","Abies.alba","yes","basler12.",NA,NA,"shortday","shortday",2291,"daystobudburst","56.42","meandaily",46.2,7.033,NA,17,2,1,NA,2,2
"basler12","exp1","Acer.pseudoplatanus","yes","basler12.",NA,NA,"shortday","shortday",2291,"thermaltime","244.15","meandaily",46.2,7.033,NA,17,2,1,NA,2,2
"basler12","exp1","Betula.pendula","yes","basler12.",NA,NA,"shortday","shortday",2291,"thermaltime","202.08","meandaily",46.2,7.033,NA,17,2,1,NA,2,2
"basler12","exp1","Aesculus.hippocastanum","yes","basler12.",NA,NA,"shortday","shortday",2291,"thermaltime","218.99","meandaily",46.2,7.033,NA,17,2,1,NA,2,2
"basler12","exp1","Syringa.vulgaris","yes","basler12.",NA,NA,"shortday","shortday",2291,"thermaltime","220.77","meandaily",46.2,7.033,NA,17,2,1,NA,2,2
"basler12","exp1","Corylus.avellana","yes","basler12.",NA,NA,"shortday","shortday",2291,"thermaltime","252.44","meandaily",46.2,7.033,NA,17,2,1,NA,2,2
"basler12","exp1","Fraxinus.excelsior","yes","basler12.",NA,NA,"shortday","shortday",2291,"thermaltime","324.15","meandaily",46.2,7.033,NA,17,2,1,NA,2,2
"basler12","exp1","Fagus.sylvatica","yes","basler12.",NA,NA,"shortday","shortday",2291,"thermaltime","341.93","meandaily",46.2,7.033,NA,17,2,1,NA,2,2
"basler12","exp1","Picea.abies","yes","basler12.",NA,NA,"shortday","shortday",2291,"thermaltime","291.56","meandaily",46.2,7.033,NA,17,2,1,NA,2,2
"basler12","exp1","Larix.decidua","yes","basler12.",NA,NA,"shortday","shortday",2291,"thermaltime","104.89","meandaily",46.2,7.033,NA,17,2,1,NA,2,2
"basler12","exp1","Prunus.avium","yes","basler12.",NA,NA,"shortday","shortday",2291,"thermaltime","183.7","meandaily",46.2,7.033,NA,17,2,1,NA,2,2
"basler12","exp1","Quercus.petraea","yes","basler12.",NA,NA,"shortday","shortday",2291,"thermaltime","366.22","meandaily",46.2,7.033,NA,17,2,1,NA,2,2
"basler12","exp1","Tilia.cordata","yes","basler12.",NA,NA,"shortday","shortday",2291,"thermaltime","422.52","meandaily",46.2,7.033,NA,17,2,1,NA,2,2
"basler12","exp1","Sorbus.aucuparia","yes","basler12.",NA,NA,"shortday","shortday",2291,"thermaltime","186.94","meandaily",46.2,7.033,NA,17,2,1,NA,2,2
"basler12","exp1","Abies.alba","yes","basler12.",NA,NA,"shortday","shortday",2291,"thermaltime","392.88","meandaily",46.2,7.033,NA,17,2,1,NA,2,2
"basler14","exp1","Acer.pseudoplatanus","yes","basler14.2010-03-31","3/31/10",NA,"16","8",1214,"daystobudburst","34.62","21",46.315,8.265,3,4,3,3,NA,1,1
"basler14","exp1","Fagus.sylvatica","yes","basler14.2010-03-31","3/31/10",NA,"16","8",1214,"daystobudburst","22.3","21",46.315,8.265,3,4,3,3,NA,1,1
"basler14","exp1","Quercus.petraea","yes","basler14.2010-03-31","3/31/10",NA,"16","8",1214,"daystobudburst","20.6","21",46.315,8.265,3,4,3,3,NA,1,1
"basler14","exp1","Picea.abies","yes","basler14.2010-03-31","3/31/10",NA,"16","8",1214,"daystobudburst","39.05","21",46.315,8.265,3,4,3,3,NA,1,1
"basler14","exp1","Acer.pseudoplatanus","yes","basler14.2010-03-31","3/31/10",NA,"16","8",1214,"growth","","21",46.315,8.265,3,4,3,3,NA,1,1
"basler14","exp1","Fagus.sylvatica","yes","basler14.2010-03-31","3/31/10",NA,"16","8",1214,"growth","","21",46.315,8.265,3,4,3,3,NA,1,1
"basler14","exp1","Quercus.petraea","yes","basler14.2010-03-31","3/31/10",NA,"16","8",1214,"growth","","21",46.315,8.265,3,4,3,3,NA,1,1
"basler14","exp1","Picea.abies","yes","basler14.2010-03-31","3/31/10",NA,"16","8",1214,"growth","","21",46.315,8.265,3,4,3,3,NA,1,1
"biasi12","exp1","Actinidia.deliciosa","yes","biasi12.2009-05-13","5/13/09",NA,"16","",NA,"daystobudburst","32.4","25",-23.38,-49.13,18,2,1,1,NA,2,2
"biasi12","exp1","Vitis.vinifera","yes","biasi12.2009-05-13","5/13/09",NA,"16","",NA,"daystobudburst","15.6","25",-23.32,-49.25,18,2,1,1,NA,2,2
"boyer","exp2","Pinus.taeda","yes","boyer.1983-11-15","11/15/83",NA,"14","10",54,"other","365","ambient",32,-81,5,1,1,1,6,3,5
"boyer","exp2","Pinus.taeda","yes","boyer.1983-11-15","11/15/83",NA,"14","10",54,"growth","365","ambient",32,-81,5,1,1,1,6,3,5
"boyer","exp1","Pinus.taeda","yes","boyer.1983-09-15","9/15/83",240,"14","10",240,"daystobudburst","24","ambient",37,-76,5,1,1,1,6,3,5
"boyer","exp1","Pinus.taeda","yes","boyer.1983-09-15","9/15/83",240,"14","10",240,"percentbudburst","18","ambient",32,-81,5,1,1,1,6,3,5
"caffarra11a","exp1","Betula.pubescens","yes","caffarra11a.",NA,NA,"16","8",NA,"daystobudburst","1.77","22",52.32,-6.934,NA,4,2,6,5,1,1
"caffarra11a","exp1","Salix.smithiana","yes","caffarra11a.",NA,NA,"16","8",NA,"daystobudburst","3.75","22",52.32,-6.934,NA,4,2,6,5,1,1
"caffarra11a","exp1","Fagus.sylvatica","yes","caffarra11a.",NA,NA,"16","8",NA,"daystobudburst","3.99","22",52.32,-6.934,NA,4,2,6,5,1,1
"caffarra11a","exp1","Tilia.cordata","yes","caffarra11a.",NA,NA,"16","8",NA,"daystobudburst","7.78","22",52.32,-6.934,NA,4,2,6,5,1,1
"caffarra11a","exp3","Fagus.sylvatica","yes","caffarra11a.",NA,NA,"16","8",NA,"daystobudburst","57.4","18",52.32,-6.934,NA,4,2,6,5,1,1
"caffarra11a","exp3","Betula.pubescens","yes","caffarra11a.",NA,NA,"16","8",NA,"daystobudburst","38.43","18",52.32,-6.934,NA,4,2,6,5,1,1
"caffarra11a","exp3","Tilia.cordata","yes","caffarra11a.",NA,2520,"8","16",2520,"daystobudburst","6.05","18",52.32,-6.934,NA,4,2,6,5,1,1
"caffarra11a","exp3","Salix.smithiana","yes","caffarra11a.",NA,2520,"16","8",2520,"daystobudburst","1.6","18",52.32,-6.934,NA,4,2,6,5,1,1
"caffarra11a","exp2","Fagus.sylvatica","yes","caffarra11a.",NA,384,"16","8",384,"daystobudburst","28.99","6",52.32,-6.934,NA,4,2,6,5,1,1
"caffarra11a","exp2","Tilia.cordata","yes","caffarra11a.",NA,384,"16","8",384,"daystobudburst","2.94","24",52.32,-6.934,NA,4,2,6,5,1,1
"caffarra11a","exp2","Betula.pubescens","yes","caffarra11a.",NA,384,"16","8",384,"daystobudburst","7.7","12",52.32,-6.934,NA,4,2,6,5,1,1
"caffarra11a","exp2","Salix.smithiana","yes","caffarra11a.",NA,384,"16","8",384,"daystobudburst","15.72","6",52.32,-6.934,NA,4,2,6,5,1,1
"caffarra11b","exp2","Betula.pubescens","yes","caffarra11b.2004-06-01","6/1/04",NA,"10","14",NA,"daystobudburst","","22",52.32,-6.934,1,1,4,2,1,1,1
"caffarra11b","exp2","Betula.pubescens","yes","caffarra11b.2004-06-01","6/1/04",NA,"10","14",NA,"percentbudburst","270","22",52.32,-6.934,1,1,4,2,1,1,1
"caffarra11b","exp3","Betula.pubescens","yes","caffarra11b.2004-06-01","6/1/04",0,"16","8",0,"daystobudburst","26.03","20",52.32,-6.934,1,1,4,2,1,1,1
"caffarra11b","exp3","Betula.pubescens","yes","caffarra11b.2004-06-01","6/1/04",0,"16","8",0,"percentbudburst","50","20",52.32,-6.934,1,1,4,2,1,1,1
"calme94","exp1","Betula.alleghaniensis","yes","calme94.1992-10-05","10/5/92",NA,"16","8",213,"daystobudburst","23.1","24.4",46.5,-78.833,9,3,1,1,NA,3,3
"calme94","exp1","Acer.saccharum","yes","calme94.1992-10-05","10/5/92",NA,"16","8",213,"daystobudburst","35.3","24.4",46.133,-70.633,9,3,1,1,NA,3,3
"calme94","exp1","Quercus.rubra","yes","calme94.1992-10-05","10/5/92",NA,"16","8",213,"daystobudburst","32.3","24.4",45.633,-73.25,9,3,1,1,NA,3,3
"campbell75","exp1","Pseduotsuga.menziesii","yes","campbell75.1973-09-01","9/1/73",0,"16","8",0,"daystobudburst","60.9","18-27 (20 average)",45.37,-124.5,1,1,1,5,8,6,6
"campbell75","exp3","Pseduotsuga.menziesii","yes","campbell75.1973-09-01","9/1/73",432,"16","8",432,NA,"1.439","18",48.2,-123.25,1,1,1,5,8,6,6
"cannell83","exp1","Picea.sitchensis","yes","cannell83.",NA,NA,"ambient","ambient",3473,"growth","","ambient",55.333,-3.44,NA,1,1,1,NA,2,2
"cannell83","exp2","Picea.sitchensis","yes","cannell83.",NA,NA,"ambient","ambient",3473,"growth","","ambient",57.683,-3.497,NA,1,1,1,NA,2,2
"cannell83","exp1","Picea.sitchensis","yes","cannell83.",NA,NA,"ambient","ambient",3473,"phenstage","","ambient",55.333,-3.44,NA,1,1,1,NA,2,2
"charrier11","exp2","Juglans.spp","yes","charrier11.",NA,NA,"16","8",2493,"daystobudburst","175.88","5",45.7722,NA,NA,1,2,6,NA,2,2
"charrier11","exp1","Juglans.spp","yes","charrier11.",NA,NA,"ambient","ambient",2493,"daystobudburst","117","ambient",45.7722,3.14722,NA,1,2,6,NA,2,2
"chavarria09","exp2","Prunus.persica","yes","chavarria09.2004-05-01","5/1/04",0,"ambient","ambient",0,"percentbudburst","21","20",31.683,-52.35,2,1,1,1,5,1,1
"chavarria09","exp1","Prunus.persica","yes","chavarria09.2004-06-01","6/1/04",0,"ambient","ambient",0,"percentbudburst","28","20",31.683,-52.35,2,1,1,1,5,1,1
"cook00b","exp1","Malus.domestica","yes","cook00b.1995-04-12","4/12/95",NA,"24","0",NA,"daystobudburst","7.034","25",-33.08,19.41,22,1,1,1,NA,2,2
"cook05","exp1","Malus.domestica","yes","cook05.",NA,NA,"24","0",NA,"daystobudburst",NA,"25",-34.076,18.8418,NA,1,1,1,NA,2,2
"cronje03","exp1","Malus.domestica","yes","cronje03.2001-05-01","5/1/01",2400,"constant","",2400,"daystobudburst","3.703703704",NA,-33.08,19.402,1,1,1,NA,31,1,1
