"datasetID","genus","species","study","prov.lat","prov.long","field.sample","force","photo","chill","chilltime","spp","wein","gen.spa"
"chavarria09","Prunus","persica","exp1",1,1,"1","1","1","3","4","1",0,"Prunus_persica"
"falusi03","Fagus","sylvatica","exp1",1,1,"5","2","1","0","0","1",1,"Fagus_sylvatica"
"falusi90","Fagus","sylvatica","exp1",1,1,"0","1","2","2","0","1",0,"Fagus_sylvatica"
"falusi90","Fagus","sylvatica","exp1",1,1,"0","1","2","2","2","1",0,"Fagus_sylvatica"
"falusi96","Fagus","sylvatica","exp1",3,3,"1","16","3","0","0","1",1,"Fagus_sylvatica"
"falusi96","Fagus","sylvatica","exp2",3,2,"2","1","2","0","0","1",1,"Fagus_sylvatica"
"falusi96","Fagus","sylvatica","exp2",3,2,"0","1","2","0","0","1",1,"Fagus_sylvatica"
"falusi96","Fagus","sylvatica","exp3",2,2,"0","1","2","0","0","1",1,"Fagus_sylvatica"
"falusi96","Fagus","sylvatica","exp3",2,2,"2","1","2","0","0","1",1,"Fagus_sylvatica"
"falusi97","Fagus","sylvatica","exp2",1,1,"2","2","1","0","0","1",1,"Fagus_sylvatica"
"falusi97","Fagus","sylvatica","exp1",1,1,"1","1","1","0","1","1",1,"Fagus_sylvatica"
"falusi97","Fagus","sylvatica","exp2",1,1,"2","2","1","0","2","1",1,"Fagus_sylvatica"
"guak98","Pseudotsuga","menziesii","exp1",1,1,"1","43","1","0","0","1",0,"Pseudotsuga_menziesii"
"heide93","Betula","pendula","exp1",1,1,"5","3","2","0","0","6",1,"Betula_pendula"
"heide93","Prunus","padus","exp1",1,1,"4","3","2","0","0","6",1,"Prunus_padus"
"heide93","Populus","tremula","exp1",1,1,"4","3","2","0","0","6",1,"Populus_tremula"
"heide93","Alnus","incana","exp1",1,1,"3","3","2","0","0","6",1,"Alnus_incana"
"heide93","Populus","tremula","exp2",1,1,"4","3","2","0","0","6",1,"Populus_tremula"
"heide93","Alnus","incana","exp2",1,1,"3","3","2","0","0","6",1,"Alnus_incana"
"heide93","Betula","pubescens","exp1",1,1,"5","3","2","0","0","6",1,"Betula_pubescens"
"heide93","Alnus","glutinosa","exp1",1,1,"2","3","2","0","0","6",1,"Alnus_glutinosa"
"heide93","Betula","pubescens","exp2",1,1,"5","3","2","0","0","6",1,"Betula_pubescens"
"heide93","Betula","pendula","exp2",1,1,"5","3","2","0","0","6",1,"Betula_pendula"
"heide93","Prunus","padus","exp2",1,1,"4","3","2","0","0","6",1,"Prunus_padus"
"heide93","Alnus","glutinosa","exp2",1,1,"2","3","2","0","0","6",1,"Alnus_glutinosa"
"jones12","Ribes","nigrum","exp2",1,1,"1","1","1","5","1","1",1,"Ribes_nigrum"
"jones12","Ribes","nigrum","exp1",3,3,"1","1","2","3","5","1",1,"Ribes_nigrum"
"jones12","Ribes","nigrum","exp1",3,3,"1","1","2","0","5","1",1,"Ribes_nigrum"
"jones12","Ribes","nigrum","exp2",1,1,"1","1","1","0","1","1",1,"Ribes_nigrum"
"junttila12","Betula","pendula","exp1",2,2,"0","3","1","0","0","3",0,"Betula_pendula"
"junttila12","Betula","pubescens","exp1",2,2,"0","3","1","0","0","3",0,"Betula_pubescens"
"junttila12","Betula","pendula,pubescens","exp1",2,2,"0","5","1","1","0","3",0,"Betula_pendula,pubescens"
"junttila12","Betula","pendula,pubescens","exp1",2,2,"0","5","1","1","4","3",0,"Betula_pendula,pubescens"
"li05","Betula","pendula","exp1",3,3,"0","1","1","0","0","1",0,"Betula_pendula"
"li05","Betula","pendula","exp1",3,3,"0","1","1","2","2","1",0,"Betula_pendula"
"man10","Picea","glauca","exp1",1,1,"1","6","1","1","1","1",0,"Picea_glauca"
"ramos99","Olea","europaea","exp1",1,1,"6","2","1","0","0","1",1,"Olea_europaea"
"rinne94","Betula","pubescens","exp1",1,1,"0","1","1","1","2","1",0,"Betula_pubescens"
"rinne97","Betula","pendula","exp1",1,1,"0","1","2","1","4","1",0,"Betula_pendula"
"Sanz-Perez09","Quercus","faginea","exp1",1,1,"1","2","2","0","0","2",0,"Quercus_faginea"
"Sanz-Perez09","Quercus","ilex","exp1",1,1,"1","2","2","0","0","2",0,"Quercus_ilex"
"sanzperez10","Quercus","coccifera","exp1",1,1,"1","8","1","0","0","3",0,"Quercus_coccifera"
"sanzperez10","Quercus","faginea","exp1",1,1,"1","13","1","0","0","3",0,"Quercus_faginea"
"sanzperez10","Quercus","ilex","exp1",1,1,"1","7","1","0","0","3",0,"Quercus_ilex"
"spann04","Vaccinium","corymbosum","exp1",1,1,"1","1","1","1","1","1",0,"Vaccinium_corymbosum"
"ashby62","Tilia","americana","exp1",3,3,"0","0","3","0","0","1",0,"Tilia_americana"
"ashby62","Tilia","americana","exp2",1,1,"4","0","3","0","0","1",1,"Tilia_americana"
"basler12","Acer","pseudoplatanus","exp1",2,2,"1","2","2","0","0","14",0,"Acer_pseudoplatanus"
"basler12","Betula","pendula","exp1",2,2,"1","2","2","0","0","14",0,"Betula_pendula"
"basler12","Aesculus","hippocastanum","exp1",2,2,"1","2","2","0","0","14",0,"Aesculus_hippocastanum"
"basler12","Syringa","vulgaris","exp1",2,2,"1","2","2","0","0","14",0,"Syringa_vulgaris"
"basler12","Corylus","avellana","exp1",2,2,"1","2","2","0","0","14",0,"Corylus_avellana"
"basler12","Fraxinus","excelsior","exp1",2,2,"1","2","2","0","0","14",0,"Fraxinus_excelsior"
"basler12","Fagus","sylvatica","exp1",2,2,"1","2","2","0","0","14",0,"Fagus_sylvatica"
"basler12","Picea","abies","exp1",2,2,"1","2","2","0","0","14",0,"Picea_abies"
"basler12","Larix","decidua","exp1",2,2,"1","2","2","0","0","14",0,"Larix_decidua"
"basler12","Prunus","avium","exp1",2,2,"1","2","2","0","0","14",0,"Prunus_avium"
"basler12","Quercus","petraea","exp1",2,2,"1","2","2","0","0","14",0,"Quercus_petraea"
"basler12","Tilia","cordata","exp1",2,2,"1","2","2","0","0","14",0,"Tilia_cordata"
"basler12","Sorbus","aucuparia","exp1",2,2,"1","2","2","0","0","14",0,"Sorbus_aucuparia"
"basler12","Abies","alba","exp1",2,2,"1","2","2","0","0","14",0,"Abies_alba"
"basler14","Acer","pseudoplatanus","exp1",1,1,"3","3","3","0","3","4",1,"Acer_pseudoplatanus"
"basler14","Fagus","sylvatica","exp1",1,1,"3","3","3","0","3","4",1,"Fagus_sylvatica"
"basler14","Quercus","petraea","exp1",1,1,"3","3","3","0","3","4",1,"Quercus_petraea"
"basler14","Picea","abies","exp1",1,1,"3","3","3","0","3","4",1,"Picea_abies"
"biasi12","Actinidia","deliciosa","exp1",1,1,"18","1","1","0","0","2",1,"Actinidia_deliciosa"
"biasi12","Vitis","vinifera","exp1",1,1,"14","1","1","0","0","2",1,"Vitis_vinifera"
"boyer","Pinus","taeda","exp2",3,4,"4","0","1","0","0","1",1,"Pinus_taeda"
"boyer","Pinus","taeda","exp1",2,2,"1","24","1","1","5","1",1,"Pinus_taeda"
"boyer","Pinus","taeda","exp1",2,2,"1","0","1","1","5","1",1,"Pinus_taeda"
"boyer","Pinus","taeda","exp2",3,4,"4","0","1","2","2","1",1,"Pinus_taeda"
"caffarra11a","Betula","pubescens","exp1",1,1,"0","1","1","0","0","4",0,"Betula_pubescens"
"caffarra11a","Salix","smithiana","exp1",1,1,"0","1","1","0","0","4",0,"Salix_smithiana"
"caffarra11a","Fagus","sylvatica","exp1",1,1,"0","1","1","0","0","4",0,"Fagus_sylvatica"
"caffarra11a","Tilia","cordata","exp1",1,1,"0","1","1","0","0","4",0,"Tilia_cordata"
"caffarra11a","Fagus","sylvatica","exp3",1,1,"0","1","2","1","0","4",0,"Fagus_sylvatica"
