"mean","25%","75%","2.5%","97.5%","mean","25%","75%","2.5%","97.5%","mean","25%","75%","2.5%","97.5%"
"62.85","60.12","65.65","54.93","70.67","67.04","64.09","70.1","57.95","76.16","62.6","60.86","64.38","57.62","67.52"
"-0.79","-0.92","-0.66","-1.17","-0.4","-0.85","-0.99","-0.72","-1.26","-0.44","-1.04","-1.12","-0.95","-1.29","-0.78"
"-0.54","-0.67","-0.4","-0.93","-0.16","-0.53","-0.65","-0.41","-0.91","-0.19","-0.14","-0.22","-0.07","-0.35","0.07"
"-2.85","-3.15","-2.55","-3.77","-1.95","-0.25","-0.28","-0.22","-0.33","-0.16","-2.46","-2.6","-2.32","-2.9","-2.05"
"19.2","17.37","20.75","14.7","24.77","22.06","19.99","23.96","16.75","28.33","17.63","16.74","18.44","15.25","20.2"
"0.91","0.8","1.01","0.63","1.27","1","0.87","1.1","0.71","1.38","0.71","0.66","0.76","0.57","0.87"
"0.78","0.67","0.88","0.5","1.16","0.7","0.6","0.79","0.46","1.03","0.59","0.54","0.64","0.44","0.74"
"2.06","1.82","2.27","1.48","2.84","0.21","0.18","0.23","0.15","0.29","1.24","1.13","1.34","0.95","1.58"
"15.82","15.64","16.01","15.29","16.4","15.53","15.34","15.71","15","16.08","15.17","15.03","15.3","14.78","15.57"
"37","","","","","37","","","","","203","","","",""
