"spname","stnum","studies"
"Abies.alba",2,"basler12, laube14a"
"Abies.homolepis",1,"laube14a"
"Acer.barbinerve",1,"zohner16"
"Acer.campestre",1,"zohner16"
"Acer.ginnala",1,"zohner16"
"Acer.negundo",1,"laube14a"
"Acer.platanoides",1,"zohner16"
"Acer.pseudoplatanus",3,"basler12, basler14, laube14a"
"Acer.saccharinum",1,"webb78"
"Acer.saccharum",3,"calme94, laube14a, webb78"
"Acer.tataricum",1,"laube14a"
"Actinidia.deliciosa",2,"biasi12, guerriero90"
"Aesculus.flava",1,"zohner16"
"Aesculus.hippocastanum",3,"basler12, laube14a, zohner16"
"Aesculus.parviflora",1,"zohner16"
"Alnus.glutinosa",2,"heide93, myking98"
"Alnus.incana",2,"heide93, zohner16"
"Alnus.maximowiczii",1,"zohner16"
"Amelanchier.alnifolia",1,"zohner16"
"Amelanchier.florida",1,"zohner16"
"Amelanchier.laevis",1,"zohner16"
"Amorpha.fruticosa",1,"laube14a"
"Aronia.melanocarpa",1,"zohner16"
"Berberis.dielsiana",1,"zohner16"
"Betula.alleghaniensis",1,"calme94"
"Betula.lenta",1,"zohner16"
"Betula.nana",1,"zohner16"
"Betula.pendula",10,"heide93, li05, rinne97, basler12, laube14a, laube14b, linkosalo06, myking95, myking95, skuterud94"
"Betula.populifolia",1,"zohner16"
"Betula.pubescens",6,"heide93, rinne94, caffarra11a, caffarra11b, myking95, myking97, , , , "
"Buddleja.albiflora",1,"zohner16"
"Buddleja.alternifolia",1,"zohner16"
"Buddleja.davidii",1,"zohner16"
"Caragana.pygmaea",1,"zohner16"
"Carpinus.betulus",3,"heide93a, laube14a, zohner16"
"Carpinus.laxiflora",1,"zohner16"
"Carpinus.monbeigiana",1,"zohner16"
"Carya.cordiformis",1,"zohner16"
"Carya.laciniosa",1,"zohner16"
"Carya.ovata",1,"zohner16"
"Castanea.sativa",1,"zohner16"
"Cedrus.libani",1,"zohner16"
"Celtis.caucasica",1,"zohner16"
"Celtis.laevigata",1,"zohner16"
"Celtis.occidentalis",1,"zohner16"
"Cephalanthus.occidentalis",1,"zohner16"
"Cercidiphyllum.japonicum",1,"zohner16"
"Cercidiphyllum.magnificum",1,"zohner16"
"Cercis.canadensis",1,"zohner16"
"Cercis.chinensis",1,"zohner16"
"Cladrastis.lutea",1,"zohner16"
"Cornus.alba",2,"laube14a, zohner16"
"Cornus.kousa",1,"zohner16"
"Cornus.mas",2,"laube14a, laube14b"
"Corylopsis.sinensis",1,"zohner16"
"Corylopsis.spicata",1,"zohner16"
"Corylus.avellana",4,"basler12, heide93, laube14a, zohner16"
"Corylus.heterophylla",1,"zohner16"
"Corylus.sieboldiana",1,"zohner16"
"Decaisnea.fargesii",1,"zohner16"
"Deutzia.gracilis",1,"zohner16"
"Deutzia.scabra",1,"zohner16"
"Elaeagnus.ebbingei",1,"zohner16"
"Eleutherococcus.senticosus",1,"zohner16"
"Eleutherococcus.setchuenensis",1,"zohner16"
"Eleutherococcus.sieboldianus",1,"zohner16"
"Euonymus.europaeus",1,"zohner16"
"Euonymus.latifolius",1,"zohner16"
"Fagus.crenata",1,"zohner16"
"Fagus.engleriana",1,"zohner16"
"Fagus.orientalis",1,"zohner16"
"Fagus.sylvatica",10,"falusi03, falusi90, falusi96, falusi97, basler12, basler14, caffarra11a, heide93a, heide93a, zohner16"
"Forsythia.ovata",1,"zohner16"
"Forsythia.suspensa",1,"zohner16"
"Fraxinus.americana",1,"webb78"
"Fraxinus.chinensis",1,"laube14a"
"Fraxinus.excelsior",2,"basler12, laube14a"
"Fraxinus.latifolia",1,"zohner16"
"Fraxinus.ornus",1,"zohner16"
"Fraxinus.pennsylvanica",1,"laube14a"
"Ginkgo.biloba",1,"zohner16"
"Hamamelis.japonica",1,"zohner16"
"Hamamelis.vernalis",1,"zohner16"
"Heptacodium.miconioides",1,"zohner16"
"Hibiscus.syriacus",1,"zohner16"
"Hydrangea.arborescens",1,"zohner16"
"Hydrangea.involucrata",1,"zohner16"
"Hydrangea.serrata",1,"zohner16"
"Juglans.ailantifolia",1,"laube14a"
"Juglans.cinerea",1,"laube14a"
"Juglans.regia",1,"laube14a"
"Larix.decidua",4,"basler12, gomory15, laube14a, laube14b"
"Larix.gmelinii",1,"zohner16"
"Larix.kaempferi",1,"zohner16"
"Ligustrum.tschonoskii",1,"zohner16"
"Liquidambar.orientalis",1,"zohner16"
"Liquidambar.styraciflua",1,"zohner16"
"Liriodendron.tulipifera",1,"zohner16"
"Lonicera.alpigena",1,"zohner16"
"Lonicera.caerulea",1,"zohner16"
"Lonicera.maximowiczii",1,"zohner16"
"Malus.domestica",3,"cook00b, gianfagna85, swartz81"
"Metasequoia.glyptostroboides",1,"zohner16"
"Nothofagus.antarctica",1,"zohner16"
"Oemleria.cerasiformis",1,"zohner16"
"Olea.europaea",1,"ramos99"
"Orixa.japonica",1,"zohner16"
"Ostrya.carpinifolia",1,"zohner16"
"Ostrya.virginiana",1,"zohner16"
"Paeonia.rockii",1,"zohner16"
"Parrotia.persica",1,"zohner16"
"Parrotiopsis.jaquemontiana",1,"zohner16"
"Photinia.villosa",1,"zohner16"
"Picea.abies",9,"basler12, basler14, gomory15, laube14a, laube14b, partanen01, partanen98, worrall67, worrall67, "
"Picea.glauca",1,"man10"
"Pinus.nigra",1,"laube14a"
"Pinus.strobus",1,"laube14a"
"Pinus.sylvestris",1,"laube14a"
"Pinus.wallichiana",1,"laube14a"
"Populus.deltoides",1,"thielges75"
"Populus.koreana",1,"zohner16"
"Populus.tremula",3,"heide93, laube14a, laube14b"
"Prinsepia.sinensis",1,"zohner16"
"Prinsepia.uniflora",1,"zohner16"
"Prunus.avium",2,"basler12, laube14a"
