year,species,bb.doy,l75.doy,fbb.doy,fopn.doy,sd.bb.doy,sd.l75.doy,sd.fbb.doy,sd.fopn.doy
1990,ACPE,125,148,142,143,3.67818782696298,6.61751774320372,8.02080627701064,8.28790446655707
1991,ACPE,119,148,126,130,5.35646076465812,7.2312088096183,4.38178046004133,6.19564798880233
1992,ACPE,136,163,138,139,6.41260034137504,2.13305142689298,10.6066017177982,NA
1993,ACPE,120,146,130,130,5.06021397424205,2.27354029278686,13.5123400391395,9.10736791196352
1994,ACPE,127,148,133,139,NA,NA,NA,NA
1995,ACPE,127,147,137,139,7.64784722594598,4.07682591988919,NA,NA
1996,ACPE,131,149,140,141,6.51468449004853,4.34703095874749,NA,NA
1997,ACPE,133,152,143,145,3.97414116664031,1.66934708611699,NA,NA
1998,ACPE,118,137,125,126,2.7041900526878,2.0791721265829,6.64580067912563,5.30721600016235
1999,ACPE,125,143,144,144,2.96577438898467,3.14794132809021,NA,NA
2000,ACPE,127,149,129,132,9.96670577221764,0,NA,NA
2001,ACPE,124,143,124,128,3.06792520675463,3.15050029355622,NA,NA
2002,ACPE,121,147,130,133,3.91531160014959,3.18114706002617,NA,NA
2003,ACPE,132,153,133,138,0.491974171252716,2.17497752539059,NA,NA
2004,ACPE,125,140,128,130,2.27041808939546,0,7.77817459305202,4.91580263755081
2005,ACPE,131,156,132,133,1.01044885236381,0.179891696332575,3.53553390593274,0.759860746366789
2006,ACPE,126,150,129,132,2.31356523619006,0.984260113209643,2.59807621135332,3.36011580501326
2007,ACPE,129,147,130,133,NA,NA,NA,NA
2008,ACPE,128,149,132,133,NA,NA,NA,NA
2009,ACPE,121,143,124,127,0.959803259527661,0.907420527263705,NA,NA
2010,ACPE,114,135,114,119,2.85661079108585,NA,NA,NA
2011,ACPE,128,149,132,135,0.096605411472764,4.61224017857513,NA,NA
2012,ACPE,112,140,118,120,2.72643480836822,0.847439630133803,NA,NA
2013,ACPE,127,145,129,132,4.86250031178422,1.23710615432877,NA,NA
2014,ACPE,133,150,134,136,2.31735367944699,6.61553657913312,0,NA
2015,ACPE,128,149,129,130,0.748528332017308,0,NA,NA
2016,ACPE,131,152,133,135,3.33162222618187,1.88933046754848,0,2.74371530880097
2017,ACPE,123,149,128,129,0,2.78564695058354,2.47487373415292,3.36677142218843
2018,ACPE,128,148,131,132,2.89595865929677,0.984260113209643,NA,NA
2019,ACPE,130,151,135,136,1.10623498372985,3.63132366776719,13.5177352639659,4.95895947274547
2020,ACPE,136,153,142,145,1.73725510092139,1.55039179522052,NA,NA
2021,ACPE,124,148,128,131,2.38465915833917,2.0190219533216,NA,NA
1990,ACRU,123,149,100,109,0.0464802324011657,0.937444687223433,2.82842712474619,2.30584431626405
1991,ACRU,121,148,98,98,6.30695951254394,3.44114928969789,1.56524758424985,3.08339607439684
1992,ACRU,134,165,117,120,0.298903560084431,4.71927495011015,NA,NA
1993,ACRU,120,148,107,110,4.8772179324918,9.33004477618297,7.0059498523279,3.75748075913751
1994,ACRU,129,147,107,113,0.820701490875863,8.40459203355017,6.01040764008565,NA
1995,ACRU,130,148,110,117,9.63112391592798,2.63494929308659,5.34633831078181,2.02071439640118
1996,ACRU,123,147,106,113,6.19347515106979,1.41591493043691,NA,NA
1997,ACRU,133,152,110,112,0.04647523452787,9.89026573442169,4.95605690039975,3.24996875022068
1998,ACRU,118,137,93,96,5.60067120808411,3.87902205971367,4.46047456369088,2.65742972149913
1999,ACRU,126,144,98,105,4.57985095425131,1.08279120280501,NA,NA
2000,ACRU,129,152,93,97,0,9.51991663619594,2.3094010767585,1.54475980643236
2001,ACRU,123,140,110,114,6.92343275039525,5.51188357027299,NA,NA
2002,ACRU,125,147,100,104,3.74076185108183,4.31250581412544,NA,NA
2003,ACRU,132,153,108,111,6.56286397540425,5.67927643302222,NA,NA
2004,ACRU,126,141,106,110,1.94184651061417,7.43033572348132,NA,NA
2005,ACRU,128,156,101,107,0.947178427842528,6.69446872821272,5,4.49966468059884
2006,ACRU,128,150,95,105,3.27583449378139,7.0059401581478,4.27200187265877,7.89125749766478
2007,ACRU,129,145,112,113,5.58111129973724,5.82955010526782,2.88675134594813,2.63742556891579
2008,ACRU,126,149,108,111,12.7736888703441,2.76419996903842,4.94974746830583,7.07102184969488
2009,ACRU,123,144,105,112,2.34014134365922,7.35298692512374,12.0208152801713,11.1529505040259
2010,ACRU,113,134,94,96,12.8833417339085,6.35063356688663,NA,NA
2011,ACRU,128,149,108,112,1.75000875004375,3.26926397205884,NA,NA
2012,ACRU,115,141,82,83,3.65933015939221,1.12023716957174,12.8484759148054,7.76197445913907
2013,ACRU,125,143,106,111,0,6.06250603089252,NA,NA
2014,ACRU,135,152,111,115,8.1026630451461,4.98489386594948,NA,NA
2015,ACRU,129,148,111,114,2.77953238296352,3.45347881816697,2.12132034355964,1.25341314079525
2016,ACRU,132,150,90,99,7.62201571840747,4.5575407912376,8.83883476483184,4.75323797573272
2017,ACRU,127,151,104,105,4.36684291101631,1.73201327961374,2.02072594216369,3.60542369442325
2018,ACRU,128,148,112,119,32.188520496402,10.3207613483354,12.0208152801713,4.17696428090064
2019,ACRU,131,152,107,109,5.68632541118532,3.1977733113245,NA,NA
2020,ACRU,136,153,97,102,3.23837126754935,2.46378331812357,5.48482755730144,2.34484086674152
2021,ACRU,129,150,95,99,1.15456774715338,2.27812504819371,0,4.75335111338338
1990,ACSA,122,143,112,125,0.0882610130986674,7.69878187355256,NA,NA
1991,ACSA,114,134,114,114,2.30936066203758,15.8132692368968,3.57071421427143,2.02068985864719
1992,ACSA,129,159,130,136,3.55066349393001,7.70236332494935,4.10791918128875,3.77448679387734
1993,ACSA,118,132,134,134,5.07688661472093,6.105102189573,NA,NA
1994,ACSA,123,140,121,122,8.6710637593024,3.75274932545765,NA,NA
