year,tree.id,species,lc.doy,lf.doy
1991,ACPE-01,ACPE,272,291
1992,ACPE-01,ACPE,NA,300
1993,ACPE-01,ACPE,290,301
1994,ACPE-01,ACPE,284,295
1995,ACPE-01,ACPE,264,281
1996,ACPE-01,ACPE,287,297
1997,ACPE-01,ACPE,285,297
1998,ACPE-01,ACPE,285,296
1999,ACPE-01,ACPE,289,299
2000,ACPE-01,ACPE,285,296
2001,ACPE-01,ACPE,285,296
2002,ACPE-01,ACPE,290,307
2003,ACPE-01,ACPE,285,296
2004,ACPE-01,ACPE,286,304
2005,ACPE-01,ACPE,289,305
2006,ACPE-01,ACPE,282,295
2007,ACPE-01,ACPE,282,295
2008,ACPE-01,ACPE,283,296
2009,ACPE-01,ACPE,281,296
2010,ACPE-01,ACPE,274,293
2011,ACPE-01,ACPE,293,300
2012,ACPE-01,ACPE,286,298
2013,ACPE-01,ACPE,288,300
2014,ACPE-01,ACPE,280,291
2015,ACPE-01,ACPE,294,304
2016,ACPE-01,ACPE,287,300
2017,ACPE-01,ACPE,285,296
2018,ACPE-01,ACPE,297,305
2019,ACPE-01,ACPE,283,295
2020,ACPE-01,ACPE,278,294
2021,ACPE-01,ACPE,291,303
1991,ACPE-02,ACPE,280,291
1992,ACPE-02,ACPE,284,285
1993,ACPE-02,ACPE,282,294
1994,ACPE-02,ACPE,282,290
1995,ACPE-02,ACPE,274,283
1996,ACPE-02,ACPE,282,290
1997,ACPE-02,ACPE,278,284
1998,ACPE-02,ACPE,279,291
1999,ACPE-02,ACPE,283,291
2000,ACPE-02,ACPE,284,291
2001,ACPE-02,ACPE,282,290
2002,ACPE-02,ACPE,286,297
2003,ACPE-02,ACPE,284,293
2004,ACPE-02,ACPE,282,289
2005,ACPE-02,ACPE,285,297
2006,ACPE-02,ACPE,279,286
2007,ACPE-02,ACPE,278,288
2008,ACPE-02,ACPE,282,291
2009,ACPE-02,ACPE,277,288
2010,ACPE-02,ACPE,271,285
2011,ACPE-02,ACPE,285,295
2012,ACPE-02,ACPE,277,286
2013,ACPE-02,ACPE,276,287
2014,ACPE-02,ACPE,275,285
2015,ACPE-02,ACPE,279,287
2016,ACPE-02,ACPE,289,296
2017,ACPE-02,ACPE,285,292
2018,ACPE-02,ACPE,287,298
2019,ACPE-02,ACPE,280,294
2020,ACPE-02,ACPE,283,295
2021,ACPE-02,ACPE,287,295
1991,ACPE-03,ACPE,278,289
1992,ACPE-03,ACPE,275,285
1993,ACPE-03,ACPE,273,286
1994,ACPE-03,ACPE,276,289
1995,ACPE-03,ACPE,274,281
1996,ACPE-03,ACPE,276,286
1997,ACPE-03,ACPE,277,282
1998,ACPE-03,ACPE,277,287
1999,ACPE-03,ACPE,281,291
2000,ACPE-03,ACPE,280,290
2001,ACPE-03,ACPE,279,286
2002,ACPE-03,ACPE,284,292
2003,ACPE-03,ACPE,282,290
2004,ACPE-03,ACPE,282,287
2005,ACPE-03,ACPE,284,293
2006,ACPE-03,ACPE,276,285
2007,ACPE-03,ACPE,277,286
2008,ACPE-03,ACPE,278,289
2009,ACPE-03,ACPE,275,285
2010,ACPE-03,ACPE,279,287
2011,ACPE-03,ACPE,282,289
2012,ACPE-03,ACPE,282,287
2013,ACPE-03,ACPE,278,288
2014,ACPE-03,ACPE,282,289
2015,ACPE-03,ACPE,285,291
2016,ACPE-03,ACPE,282,292
2017,ACPE-03,ACPE,279,291
2018,ACPE-03,ACPE,291,298
2019,ACPE-03,ACPE,282,292
2020,ACPE-03,ACPE,279,290
2021,ACPE-03,ACPE,284,291
1991,ACPE-04,ACPE,273,280
1992,ACPE-04,ACPE,275,285
1993,ACPE-04,ACPE,272,285
1994,ACPE-04,ACPE,273,284
1995,ACPE-04,ACPE,269,280
1996,ACPE-04,ACPE,272,282
1997,ACPE-04,ACPE,271,279
1998,ACPE-04,ACPE,272,286
1999,ACPE-04,ACPE,280,290
2000,ACPE-04,ACPE,273,284
2001,ACPE-04,ACPE,276,286
2002,ACPE-04,ACPE,275,287
2003,ACPE-04,ACPE,280,289
2004,ACPE-04,ACPE,282,288
2005,ACPE-04,ACPE,282,289
2006,ACPE-04,ACPE,269,277
2007,ACPE-04,ACPE,275,283
2008,ACPE-04,ACPE,280,291
2009,ACPE-04,ACPE,274,285
2010,ACPE-04,ACPE,270,282
2011,ACPE-04,ACPE,279,288
2012,ACPE-04,ACPE,275,281
2013,ACPE-04,ACPE,281,281
2014,ACPE-04,ACPE,280,290
2015,ACPE-04,ACPE,281,291
2016,ACPE-04,ACPE,279,288
2017,ACPE-04,ACPE,278,284
2018,ACPE-04,ACPE,290,298
2019,ACPE-04,ACPE,279,290
2020,ACPE-04,ACPE,274,281
2021,ACPE-04,ACPE,283,286
1991,ACRU-01,ACRU,272,279
1992,ACRU-01,ACRU,265,285
1993,ACRU-01,ACRU,272,284
1994,ACRU-01,ACRU,274,282
1995,ACRU-01,ACRU,269,275
1996,ACRU-01,ACRU,272,282
1997,ACRU-01,ACRU,276,283
1998,ACRU-01,ACRU,275,281
1999,ACRU-01,ACRU,281,289
2000,ACRU-01,ACRU,276,283
2001,ACRU-01,ACRU,274,284
2002,ACRU-01,ACRU,275,288
2003,ACRU-01,ACRU,280,285
2004,ACRU-01,ACRU,277,283
2005,ACRU-01,ACRU,280,284
2006,ACRU-01,ACRU,272,280
2007,ACRU-01,ACRU,277,287
2008,ACRU-01,ACRU,272,283
2009,ACRU-01,ACRU,275,283
2010,ACRU-01,ACRU,274,288
2011,ACRU-01,ACRU,277,285
2012,ACRU-01,ACRU,272,282
2013,ACRU-01,ACRU,271,280
2014,ACRU-01,ACRU,276,288
2015,ACRU-01,ACRU,279,291
2016,ACRU-01,ACRU,277,292
2017,ACRU-01,ACRU,277,296
2018,ACRU-01,ACRU,278,289
2019,ACRU-01,ACRU,262,290
2020,ACRU-01,ACRU,272,290
2021,ACRU-01,ACRU,278,289
1991,ACRU-02,ACRU,266,279
1992,ACRU-02,ACRU,265,285
1993,ACRU-02,ACRU,270,274
1994,ACRU-02,ACRU,275,283
1995,ACRU-02,ACRU,264,273
1996,ACRU-02,ACRU,264,276
1997,ACRU-02,ACRU,271,281
1998,ACRU-02,ACRU,270,275
1999,ACRU-02,ACRU,273,284
2000,ACRU-02,ACRU,272,282
2001,ACRU-02,ACRU,272,279
2002,ACRU-02,ACRU,276,283
2003,ACRU-02,ACRU,275,283
2004,ACRU-02,ACRU,265,281
2005,ACRU-02,ACRU,274,284
2006,ACRU-02,ACRU,271,279
2007,ACRU-02,ACRU,278,280
2008,ACRU-02,ACRU,270,281
2009,ACRU-02,ACRU,271,280
2010,ACRU-02,ACRU,264,273
2011,ACRU-02,ACRU,277,282
2012,ACRU-02,ACRU,271,279
2013,ACRU-02,ACRU,269,278
2014,ACRU-02,ACRU,270,278
2015,ACRU-02,ACRU,279,287
2016,ACRU-02,ACRU,270,285
2017,ACRU-02,ACRU,277,285
2018,ACRU-02,ACRU,274,283
2019,ACRU-02,ACRU,270,285
2020,ACRU-02,ACRU,270,284
2021,ACRU-02,ACRU,275,287
1991,ACRU-03,ACRU,261,274
1992,ACRU-03,ACRU,263,285
1993,ACRU-03,ACRU,272,273
1994,ACRU-03,ACRU,259,265
1995,ACRU-03,ACRU,264,274
1996,ACRU-03,ACRU,270,278
