"","post.mean","l-95% CI","u-95% CI","eff.samp","pMCMC","H2_2.5","H2_50","H2_97.5"
"X.Intercept.",30.4727137097732,-23.9652689255308,95.4264059998713,1000,0.278,"0.869","0.905","0.934"
"force.z",-6.51610784872427,-7.20053767197533,-5.95185367467639,1000,0.001,"","",""
"chill.z",-4.19708120349473,-4.72784121521545,-3.61265181695489,1000,0.001,"","",""
"photo.z",-1.76914980625501,-2.32008466166735,-1.09147776500322,900.97326184306,0.001,"","",""
"X.Intercept..1",34.3306025616085,-31.651264678454,83.0617776454892,1000,0.232,"0.868","0.905","0.932"
"force.z.1",-6.94006595261951,-7.53962545286049,-6.30687111658335,1134.06419432957,0.001,"","",""
"X.Intercept..2",32.3739005572348,-19.8622582196258,95.7318648546352,1000,0.296,"0.856","0.899","0.928"
"chill.z.1",-4.26022666481311,-4.80949474485533,-3.60761646342871,1148.25076385106,0.001,"","",""
"X.Intercept..3",33.6529702479864,-29.5297640079807,93.4144633958349,1582.73831068338,0.278,"0.862","0.904","0.933"
"photo.z.1",-2.76181612142236,-3.41794761907113,-2.09556816410623,1000,0.001,"","",""
