model,crops,gymno,n,term,estimate,std.error,lower,upper,H2,H2.up,H2.low,lambda,lambda.up,lambda.low,R2,R2.error,elpd_loo,elpd_loo.SE,p_loo,p_loo.SE
Spp on intercept and slopes,yes,yes,235,b_Intercept,30.93194343,1.260715442,28.90498579,33.04322277,NA,NA,NA,NA,NA,NA,0.662910136,0.005840458,-17092.86611,111.2987905,296.4047909,20.85935004
,yes,yes,,b_force.z,-7.020311292,0.91676482,-8.499735376,-5.512270567,0.362794289,0.558444768,0.155940019,0.337147774,0.547120057,0.131387891,NA,NA,NA,NA,NA,NA
,yes,yes,,b_chill.z,-9.149437255,1.152322566,-11.01196688,-7.22172718,0.351019607,0.542190841,0.160117162,0.33117914,0.526273818,0.133628372,NA,NA,NA,NA,NA,NA
,yes,yes,,b_photo.z,-1.351883886,0.507170276,-2.20346409,-0.529628285,0.233988363,0.450881944,0.035370493,1.00E-06,0.493058673,NA,NA,NA,NA,NA,NA,NA
Phylo on intercept Spp on slopes,yes,yes,235,b_Intercept,30.36819492,9.844740114,14.07819306,46.62542631,NA,NA,NA,NA,NA,NA,0.662956373,0.005810134,-17087.79193,111.0067872,293.6288875,20.287477
,yes,yes,,b_force.z,-6.549108365,0.96396043,-8.157943382,-4.993750098,0.18861409,0.416610144,0.006027789,1.00E-06,0.404344117,NA,NA,NA,NA,NA,NA,NA
,yes,yes,,b_chill.z,-9.107203283,1.141183889,-10.96527111,-7.231454268,0.34861251,0.537410644,0.149331806,0.325545376,0.52345503,0.12519433,NA,NA,NA,NA,NA,NA
,yes,yes,,b_photo.z,-1.429752526,0.526205649,-2.293223334,-0.554492745,0.239776875,0.446605296,0.024888555,1.00E-06,0.503574887,NA,NA,NA,NA,NA,NA,NA
Spp on intercept and slopes,yes,no,216,b_Intercept,31.06030322,1.246720244,28.99477367,33.04697249,NA,NA,NA,NA,NA,NA,0.673611086,0.005848167,-15242.05891,109.56051,291.6362505,22.03360786
,yes,no,,b_force.z,-7.661313208,0.990351407,-9.275884899,-5.981363617,0.247143623,0.411948693,0.107691889,0.222582117,0.396977572,0.088842839,NA,NA,NA,NA,NA,NA
,yes,no,,b_chill.z,-9.302702367,1.208879555,-11.22825012,-7.272796156,0.210172168,0.360855032,0.082177538,0.196271496,0.346871284,0.079878526,NA,NA,NA,NA,NA,NA
