"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"Intercept",28.1028166914928,17.98313518491,-7.51631807096432,63.9589483548755,1.00034285227255,1983,2120
"within_species",-5.59821539561046,7.63995869144556,-20.6825870715118,9.13608249761975,1.00152625797072,2175,2147
"withinsp.chillmeans",-2.88740295651822,7.59365435730596,-18.0203804329097,11.8287948762812,1.00081581064435,1978,2014
"withinsp.photomeans",-1.83874339548357,5.4875680859774,-12.6004808702008,9.10634382018597,1.0005290065549,2321,2043
"sd(Intercept)",31.580426780429,5.97687196333656,20.9138854338292,44.4738245155788,0.999675061118464,1081,1899
"sd(within_species)",13.9506561932231,1.93812163858207,10.5102492762704,17.979617546262,1.00061823946262,1901,2152
"sd(withinsp.chillmeans)",13.9205586988894,2.5949260500717,9.36104573163549,19.6384714385255,1.00074645989536,1709,2318
"sd(withinsp.photomeans)",10.0061628917767,2.1472767860076,6.34371598610225,14.8040721548389,1.00151088636625,2098,2628
"cor(Intercept,within_species)",-0.55289326576198,0.166753221850123,-0.817560861989124,-0.17638917989369,1.00158384352611,923,1372
"cor(Intercept,withinsp.chillmeans)",0.555455230336371,0.194687917538712,0.0937250120690362,0.849170288305667,1.00395220576087,753,1320
"cor(within_species,withinsp.chillmeans)",-0.434084371327507,0.165579077627106,-0.708293763953853,-0.0651321976685925,1.00171541365147,1676,1731
"cor(Intercept,withinsp.photomeans)",0.406100436115924,0.215141471150001,-0.0921821047531203,0.74638593615888,1.00247460718444,1039,1613
"cor(within_species,withinsp.photomeans)",-0.678450375373613,0.132640220654389,-0.874958520454643,-0.353632661328371,1.00024846151656,2146,2231
"cor(withinsp.chillmeans,withinsp.photomeans)",0.685676532624755,0.143756111332476,0.339957759206698,0.893298814628249,0.999972167996379,2273,2530
"sd(Intercept)",12.2575146363808,2.07174185496715,8.29313445413097,16.5091013287355,1.0009177441507,1227,1561
"sigma",13.6530228391219,0.166260352927141,13.3382741628229,13.9830843450241,1.00110231538644,4942,1909
