"","HMM","PMM","leftoutclade"
"Betula",0.251843410374222,0.251575185776293,"Betula"
"Fagus",0.266510205395069,0.266355652234849,"Fagus"
"Quercus",0.198403602921731,0.198332382222768,"Quercus"
"Acer",0.245897092193272,0.245915526099394,"Acer"
"Ulmus",0.244124858604764,0.244095489713507,"Ulmus"
"Viburnum",0.246161577669224,0.246368450375049,"Viburnum"
"Populus",0.242605547245577,0.242591016532483,"Populus"
"Prunus",0.241037976727369,0.240961272621262,"Prunus"
"Alnus",0.238586547282727,0.238762458226296,"Alnus"
"Fraxinus",0.239760382038864,0.239924183977139,"Fraxinus"
"Tilia",0.24349690820688,0.243597784953189,"Tilia"
"Sorbus",0.248858228893949,0.248835825969908,"Sorbus"
"Ilex",NA,NA,"Ilex"
"Carpinus",0.243495015676672,0.243460621258347,"Carpinus"
"Aesculus",0.24206998344007,0.241872130223653,"Aesculus"
"Cornus",0.243925782636042,0.243877594165435,"Cornus"
"Rhamnus",0.244039264924315,0.244183929416348,"Rhamnus"
"Syringa",0.240154427804107,0.240098354279726,"Syringa"
"Lonicera",0.243247391425652,0.243483901770106,"Lonicera"
"Rhododendron",0.244017742526635,0.244089410098954,"Rhododendron"
"Salix",0.247431270518853,0.247499120680191,"Salix"
"Hamamelis",0.240973482568992,0.241069971154274,"Hamamelis"
"Juglans",0.246979496165728,0.246912668599738,"Juglans"
"Celtis",0.245121812738715,0.24506622318847,"Celtis"
"Corylus",NA,NA,"Corylus"
