"","Temp.Mean","Temp.SD","Geo.Mean","Geo.SD","species","variable"
"GDD",110.066397856328,55.284277773887,110.384438829323,41.5614046956256,"Abies_alba","GDD"
"GDD.lastfrost",0.77332669692131,2.01460740771059,0.776582022267518,2.17077901639367,"Abies_alba","GDD.lastfrost"
"DayLastFrost",75.7799275995138,21.0473205004752,75.3606470889913,19.1783352106017,"Abies_alba","DayLastFrost"
"MeanTmins",3.30984172936756,1.71000495698634,3.31096608355424,1.00411077042646,"Abies_alba","MeanTmins"
"SDev.Tmins",6.62756932985324,0.618010719680759,6.63937990517762,0.606293652247267,"Abies_alba","SDev.Tmins"
"Mean.Chill.Utah",1314.0172472855,297.424646376721,1312.48168369144,251.852428933138,"Abies_alba","Mean.Chill.Utah"
"Mean.Chill.Portions",82.6390295971445,9.42418403472585,82.5464035743831,8.3554899764123,"Abies_alba","Mean.Chill.Portions"
"GDD.1",159.227547330081,80.7612941394108,158.575557646406,49.8348294773459,"Acer_pseudoplatanus","GDD"
"GDD.lastfrost.1",0.815680504057412,2.26684494402555,0.813922715185435,2.22521998954256,"Acer_pseudoplatanus","GDD.lastfrost"
"DayLastFrost.1",67.5409445958052,21.6827261904141,66.1581401345578,19.3079843518524,"Acer_pseudoplatanus","DayLastFrost"
"MeanTmins.1",4.48412112396094,1.95454629059594,4.4751477248642,0.983384793814255,"Acer_pseudoplatanus","MeanTmins"
"SDev.Tmins.1",6.63569485586944,0.750280819677374,6.65105641506365,0.607441958575222,"Acer_pseudoplatanus","SDev.Tmins"
"Mean.Chill.Utah.1",1421.46880718071,345.450260942307,1422.90669569902,265.252380324897,"Acer_pseudoplatanus","Mean.Chill.Utah"
"Mean.Chill.Portions.1",84.3279345450234,10.0367720923539,84.3090100293933,8.41715847469247,"Acer_pseudoplatanus","Mean.Chill.Portions"
"GDD.2",151.833118936843,61.6059782564388,151.919326691533,51.4661684340421,"Aesculus_hippocastanum","GDD"
"GDD.lastfrost.2",0.619202858658606,0.622480224343122,0.619699595904386,2.09403878600428,"Aesculus_hippocastanum","GDD.lastfrost"
"DayLastFrost.2",58.1638548178574,9.67109272308939,58.3896822592901,20.2590032929178,"Aesculus_hippocastanum","DayLastFrost"
"MeanTmins.2",4.89330653173988,1.39377196828106,4.89512481719024,1.21883012726126,"Aesculus_hippocastanum","MeanTmins"
"SDev.Tmins.2",5.63721692024943,0.191221931178596,5.63716272935887,0.531189414978407,"Aesculus_hippocastanum","SDev.Tmins"
"Mean.Chill.Utah.2",1666.90286504549,106.785834248414,1666.7042042042,261.559562990174,"Aesculus_hippocastanum","Mean.Chill.Utah"
"Mean.Chill.Portions.2",92.3349576389451,2.51367604164167,92.3292154244846,5.85186745515801,"Aesculus_hippocastanum","Mean.Chill.Portions"
"GDD.3",145.407987217313,100.490004562807,139.991588823399,46.3123337779467,"Alnus_glutinosa","GDD"
"GDD.lastfrost.3",0.628472260233722,2.40160802543529,0.599504783373072,1.83311157292248,"Alnus_glutinosa","GDD.lastfrost"
"DayLastFrost.3",77.9069188828792,25.9557005615579,75.9094772727159,16.0351904081471,"Alnus_glutinosa","DayLastFrost"
