"complex","min","max","distance"
"Abies_alba",1682429.63880418,3238856.05260386,1556426.41379968
"Acer_pseudoplatanus",1640807.20555489,3637280.97579928,1996473.77024439
"Aesculus_hippocastanum",1810861.1232865,1977551.51519135,166690.391904853
"Alnus_glutinosa",1445535.83516832,5092617.13987612,3647081.3047078
"Betula_pendula",1890650.50048596,10426156.6486581,8535506.14817212
"Betula_pubescens",2030134.64956011,9059854.47307674,7029719.82351662
"Carpinus_betulus",1800993.57199454,3787887.45370306,1986893.88170852
"Cornus_mas",1544062.67189719,3224262.2659025,1680199.59400531
"Corylus_avellana",1464289.02352685,4917914.6341142,3453625.61058734
"Fraxinus_excelsior",1854631.76651295,4567686.30013161,2713054.53361866
"Picea_abies",2138570.4269867,5320614.15189217,3182043.72490547
"Populus_tremula",1653113.13536724,10198930.7736145,8545817.63824727
"Prunus_avium",1420155.3017377,4577040.51290038,3156885.21116267
"Prunus_padus",31.4323893464125,71.4679883781845,40.035599031772
"Quercus_petraea",1860468.42773917,4148552.94106946,2288084.51333029
"Quercus_robur",1903671.68890633,4726915.85471119,2823244.16580486
"Sorbus_aucuparia",1679456.73944949,10306537.4620802,8627080.7226307
"Tilia_cordata",1940239.39449282,5598117.05054522,3657877.6560524
