"LastName","FirstName","DatasetID","Dataset","SpeciesName","AccSpeciesID","AccSpeciesName","ObservationID","ObsDataID","TraitID","TraitName","DataID","DataName","OriglName","OrigValueStr","OrigUnitStr","ValueKindName","OrigUncertaintyStr","UncertaintyName","Replicates","StdValue","UnitName","RelUncertaintyPercent","OrigObsDataID","ErrorRisk"
"White","Michael",79,"BIOME-BGC Parameterization Database","Picea abies",41907,"Picea abies",927664,5329853,146,"Leaf carbon/nitrogen (C/N) ratio",455,"Leaf carbon/nitrogen (C/N) ratio","Leaf C to leaf nitrogen","58.8","kg C per kg N","Single",NA,"",NA,58.8,"g/g",NA,NA,4.51812
"White","Michael",79,"BIOME-BGC Parameterization Database","Picea abies",41907,"Picea abies",927664,5329854,NA,"",113,"Reference / source / PI","Source","Berg 1988","","",NA,"",NA,NA,"",NA,NA,NA
"White","Michael",79,"BIOME-BGC Parameterization Database","Picea abies",41907,"Picea abies",927665,5329855,146,"Leaf carbon/nitrogen (C/N) ratio",455,"Leaf carbon/nitrogen (C/N) ratio","Leaf C to leaf nitrogen","28.1","kg C per kg N","Single",NA,"",NA,28.1,"g/g",NA,NA,1.52663
"White","Michael",79,"BIOME-BGC Parameterization Database","Picea abies",41907,"Picea abies",927665,5329856,NA,"",113,"Reference / source / PI","Source","Reich et al. 1995a","","",NA,"",NA,NA,"",NA,NA,NA
"White","Michael",79,"BIOME-BGC Parameterization Database","Pseudotsuga menziesii",44567,"Pseudotsuga menziesii",927683,5329891,146,"Leaf carbon/nitrogen (C/N) ratio",455,"Leaf carbon/nitrogen (C/N) ratio","Leaf C to leaf nitrogen","50","kg C per kg N","Single",NA,"",NA,50,"g/g",NA,NA,2.06976
"White","Michael",79,"BIOME-BGC Parameterization Database","Pseudotsuga menziesii",44567,"Pseudotsuga menziesii",927683,5329892,NA,"",113,"Reference / source / PI","Source","Brix 1981","","",NA,"",NA,NA,"",NA,NA,NA
"White","Michael",79,"BIOME-BGC Parameterization Database","Pseudotsuga menziesii",44567,"Pseudotsuga menziesii",927684,5329893,146,"Leaf carbon/nitrogen (C/N) ratio",455,"Leaf carbon/nitrogen (C/N) ratio","Leaf C to leaf nitrogen","40","kg C per kg N","Single",NA,"",NA,40,"g/g",NA,NA,1.50873
"White","Michael",79,"BIOME-BGC Parameterization Database","Pseudotsuga menziesii",44567,"Pseudotsuga menziesii",927684,5329894,NA,"",113,"Reference / source / PI","Source","Mitchell and Hinckley 1993","","",NA,"",NA,NA,"",NA,NA,NA
"White","Michael",79,"BIOME-BGC Parameterization Database","Larix decidua",32364,"Larix decidua",927688,5329901,146,"Leaf carbon/nitrogen (C/N) ratio",455,"Leaf carbon/nitrogen (C/N) ratio","Leaf C to leaf nitrogen","26","kg C per kg N","Single",NA,"",NA,26,"g/g",NA,NA,1.53407
"White","Michael",79,"BIOME-BGC Parameterization Database","Larix decidua",32364,"Larix decidua",927688,5329902,NA,"",113,"Reference / source / PI","Source","Kloeppel et al. 1998","","",NA,"",NA,NA,"",NA,NA,NA
"White","Michael",79,"BIOME-BGC Parameterization Database","Larix decidua",32364,"Larix decidua",927689,5329903,146,"Leaf carbon/nitrogen (C/N) ratio",455,"Leaf carbon/nitrogen (C/N) ratio","Leaf C to leaf nitrogen","27.8","kg C per kg N","Single",NA,"",NA,27.8,"g/g",NA,NA,1.24869
"White","Michael",79,"BIOME-BGC Parameterization Database","Larix decidua",32364,"Larix decidua",927689,5329904,NA,"",113,"Reference / source / PI","Source","Kloeppel et al. 1998","","",NA,"",NA,NA,"",NA,NA,NA
"White","Michael",79,"BIOME-BGC Parameterization Database","Larix decidua",32364,"Larix decidua",927690,5329905,146,"Leaf carbon/nitrogen (C/N) ratio",455,"Leaf carbon/nitrogen (C/N) ratio","Leaf C to leaf nitrogen","33.6","kg C per kg N","Single",NA,"",NA,33.6,"g/g",NA,NA,2.30667
"White","Michael",79,"BIOME-BGC Parameterization Database","Larix decidua",32364,"Larix decidua",927690,5329906,NA,"",113,"Reference / source / PI","Source","Kloeppel et al. 1998","","",NA,"",NA,NA,"",NA,NA,NA
"White","Michael",79,"BIOME-BGC Parameterization Database","Larix decidua",32364,"Larix decidua",927691,5329907,146,"Leaf carbon/nitrogen (C/N) ratio",455,"Leaf carbon/nitrogen (C/N) ratio","Leaf C to leaf nitrogen","26.3","kg C per kg N","Single",NA,"",NA,26.3,"g/g",NA,NA,1.48516
"White","Michael",79,"BIOME-BGC Parameterization Database","Larix decidua",32364,"Larix decidua",927691,5329908,NA,"",113,"Reference / source / PI","Source","Kloeppel et al. 1998","","",NA,"",NA,NA,"",NA,NA,NA
"White","Michael",79,"BIOME-BGC Parameterization Database","Larix decidua",32364,"Larix decidua",927692,5329909,146,"Leaf carbon/nitrogen (C/N) ratio",455,"Leaf carbon/nitrogen (C/N) ratio","Leaf C to leaf nitrogen","29.8","kg C per kg N","Single",NA,"",NA,29.8,"g/g",NA,NA,1.32414
"White","Michael",79,"BIOME-BGC Parameterization Database","Larix decidua",32364,"Larix decidua",927692,5329910,NA,"",113,"Reference / source / PI","Source","Kloeppel et al. 1998","","",NA,"",NA,NA,"",NA,NA,NA
"White","Michael",79,"BIOME-BGC Parameterization Database","Larix decidua",32364,"Larix decidua",927693,5329911,146,"Leaf carbon/nitrogen (C/N) ratio",455,"Leaf carbon/nitrogen (C/N) ratio","Leaf C to leaf nitrogen","23.7","kg C per kg N","Single",NA,"",NA,23.7,"g/g",NA,NA,1.92894
"White","Michael",79,"BIOME-BGC Parameterization Database","Larix decidua",32364,"Larix decidua",927693,5329912,NA,"",113,"Reference / source / PI","Source","Kloeppel et al. 1998","","",NA,"",NA,NA,"",NA,NA,NA
"White","Michael",79,"BIOME-BGC Parameterization Database","Larix decidua",32364,"Larix decidua",927694,5329913,146,"Leaf carbon/nitrogen (C/N) ratio",455,"Leaf carbon/nitrogen (C/N) ratio","Leaf C to leaf nitrogen","18.9","kg C per kg N","Single",NA,"",NA,18.9,"g/g",NA,NA,2.89376
"White","Michael",79,"BIOME-BGC Parameterization Database","Larix decidua",32364,"Larix decidua",927694,5329914,NA,"",113,"Reference / source / PI","Source","Kloeppel et al. 1998","","",NA,"",NA,NA,"",NA,NA,NA
"White","Michael",79,"BIOME-BGC Parameterization Database","Larix decidua",32364,"Larix decidua",927695,5329915,146,"Leaf carbon/nitrogen (C/N) ratio",455,"Leaf carbon/nitrogen (C/N) ratio","Leaf C to leaf nitrogen","20","kg C per kg N","Single",NA,"",NA,20,"g/g",NA,NA,2.65259
"White","Michael",79,"BIOME-BGC Parameterization Database","Larix decidua",32364,"Larix decidua",927695,5329916,NA,"",113,"Reference / source / PI","Source","Matyssek and Schulze 1987","","",NA,"",NA,NA,"",NA,NA,NA
"White","Michael",79,"BIOME-BGC Parameterization Database","Acer rubrum",859,"Acer rubrum",927718,5329961,146,"Leaf carbon/nitrogen (C/N) ratio",455,"Leaf carbon/nitrogen (C/N) ratio","Leaf C to leaf nitrogen","23.8","kg C per kg N","Single",NA,"",NA,23.8,"g/g",NA,NA,0.560084
"White","Michael",79,"BIOME-BGC Parameterization Database","Acer rubrum",859,"Acer rubrum",927718,5329962,NA,"",113,"Reference / source / PI","Source","Reich et al. 1995a","","",NA,"",NA,NA,"",NA,NA,NA
"White","Michael",79,"BIOME-BGC Parameterization Database","Acer rubrum",859,"Acer rubrum",927719,5329963,146,"Leaf carbon/nitrogen (C/N) ratio",455,"Leaf carbon/nitrogen (C/N) ratio","Leaf C to leaf nitrogen","25.6","kg C per kg N","Single",NA,"",NA,25.6,"g/g",NA,NA,0.567295
"White","Michael",79,"BIOME-BGC Parameterization Database","Acer rubrum",859,"Acer rubrum",927719,5329964,NA,"",113,"Reference / source / PI","Source","Reich et al. 1995a","","",NA,"",NA,NA,"",NA,NA,NA
"White","Michael",79,"BIOME-BGC Parameterization Database","Acer saccharum",863,"Acer saccharum",927720,5329965,146,"Leaf carbon/nitrogen (C/N) ratio",455,"Leaf carbon/nitrogen (C/N) ratio","Leaf C to leaf nitrogen","25.6","kg C per kg N","Single",NA,"",NA,25.6,"g/g",NA,NA,0.63619
"White","Michael",79,"BIOME-BGC Parameterization Database","Acer saccharum",863,"Acer saccharum",927720,5329966,NA,"",113,"Reference / source / PI","Source","Reich et al. 1995a","","",NA,"",NA,NA,"",NA,NA,NA
