"LastName","FirstName","DatasetID","Dataset","SpeciesName","AccSpeciesID","AccSpeciesName","ObservationID","ObsDataID","TraitID","TraitName","DataID","DataName","OriglName","OrigValueStr","OrigUnitStr","ValueKindName","OrigUncertaintyStr","UncertaintyName","Replicates","StdValue","UnitName","RelUncertaintyPercent","OrigObsDataID","ErrorRisk"
"Atkin","Owen",286,"Global Respiration Database","Acer saccharum",863,"Acer saccharum",2459898,19959881,NA,"",1412,"Location Country","Country","USA-PN","","",NA,"",NA,NA,"",NA,NA,NA
"Atkin","Owen",286,"Global Respiration Database","Acer saccharum",863,"Acer saccharum",2459898,19959882,NA,"",193,"Vegetation type / Biome","Biome","TeDF","","",NA,"",NA,NA,"",NA,NA,NA
"Atkin","Owen",286,"Global Respiration Database","Acer saccharum",863,"Acer saccharum",2459898,19959883,NA,"",1736,"Location Name","Site","40?47'N_77?53'W","","",NA,"",NA,NA,"",NA,NA,NA
"Atkin","Owen",286,"Global Respiration Database","Acer saccharum",863,"Acer saccharum",2459898,19959884,NA,"",59,"Latitude","Latitude","40.78","degrees","",NA,"",NA,40.78,"",NA,NA,NA
"Atkin","Owen",286,"Global Respiration Database","Acer saccharum",863,"Acer saccharum",2459898,19959885,NA,"",60,"Longitude","Longitude","-77.88","degrees","",NA,"",NA,-77.88,"",NA,NA,NA
"Atkin","Owen",286,"Global Respiration Database","Acer saccharum",863,"Acer saccharum",2459898,19959886,NA,"",61,"Altitude","Altitude","348","m","",NA,"",NA,348,"m",NA,NA,NA
"Atkin","Owen",286,"Global Respiration Database","Acer saccharum",863,"Acer saccharum",2459898,19959887,NA,"",3801,"Atmospheric pressure","Atm_Press","97.23","Pa","",NA,"",NA,NA,"",NA,NA,NA
"Atkin","Owen",286,"Global Respiration Database","Acer saccharum",863,"Acer saccharum",2459898,19959888,NA,"",113,"Reference / source / PI","Responsible","Niinemets","","",NA,"",NA,NA,"",NA,NA,NA
"Atkin","Owen",286,"Global Respiration Database","Acer saccharum",863,"Acer saccharum",2459898,19959889,NA,"",846,"Family","Family","Sapindaceae","","",NA,"",NA,NA,"",NA,NA,NA
"Atkin","Owen",286,"Global Respiration Database","Acer saccharum",863,"Acer saccharum",2459898,19959896,NA,"",3806,"Hemisphere where site is found","H.sphere","North","","",NA,"",NA,NA,"",NA,NA,NA
"Atkin","Owen",286,"Global Respiration Database","Acer saccharum",863,"Acer saccharum",2459898,19959897,NA,"",527,"growth temperature","Temp.class","4th~20to25","","",NA,"",NA,NA,"",NA,NA,NA
"Atkin","Owen",286,"Global Respiration Database","Acer saccharum",863,"Acer saccharum",2459898,19959898,53,"Leaf photosynthesis rate per leaf area",68,"Photosynthesis per leaf area at leaf temperature (A_area)","Aa_sat","2.3","micro mol CO2 m-2 s-1","Single",NA,"",NA,2.3,"micro mol m-2 s-1",NA,2338056,3.50594
"Atkin","Owen",286,"Global Respiration Database","Acer saccharum",863,"Acer saccharum",2459898,19959899,45,"Stomata conductance per leaf area",50,"Stomatal conductance to water vapour per leaf area","gs_sat","0.035","mol/m2/s","Single",NA,"",NA,35,"milli mol m-2 s-1",NA,2338062,1.84408
"Atkin","Owen",286,"Global Respiration Database","Acer saccharum",863,"Acer saccharum",2459898,19959901,NA,"",1666,"Leaf temperature during measurement","LfT_sat","25","∞C","",NA,"",NA,NA,"",NA,NA,NA
"Atkin","Owen",286,"Global Respiration Database","Acer saccharum",863,"Acer saccharum",2459898,19959903,NA,"",51,"Temperature during respiration measurements","LfT_Rdark","25","∞C","",NA,"",NA,NA,"",NA,NA,NA
"Atkin","Owen",286,"Global Respiration Database","Acer saccharum",863,"Acer saccharum",2459898,19959906,NA,"",3807,"Leaf respiration: fixed Q10 for temperature standardization","FixedQ10","2.23","","",NA,"",NA,NA,"",NA,NA,NA
"Atkin","Owen",286,"Global Respiration Database","Acer saccharum",863,"Acer saccharum",2459898,19959907,NA,"",3808,"Leaf respiration: variable Q10 for temperature standardization","varQ10","2.02","","",NA,"",NA,NA,"",NA,NA,NA
"Atkin","Owen",286,"Global Respiration Database","Acer saccharum",863,"Acer saccharum",2459898,19959923,NA,"",62,"Mean annual temperature (MAT)","MAT","9.5","∞C","",NA,"",NA,NA,"",NA,NA,NA
"Atkin","Owen",286,"Global Respiration Database","Acer saccharum",863,"Acer saccharum",2459898,19959924,NA,"",3820,"Mean temperature of warmest quarter","MeanT_WarmestQtr","20.6","∞C","",NA,"",NA,NA,"",NA,NA,NA
"Atkin","Owen",286,"Global Respiration Database","Acer saccharum",863,"Acer saccharum",2459898,19959925,NA,"",80,"Mean sum of annual precipitation (PPT / MAP / TAP)","Annual_Precip","986","mm","",NA,"",NA,NA,"",NA,NA,NA
"Atkin","Owen",286,"Global Respiration Database","Acer saccharum",863,"Acer saccharum",2459898,19959926,NA,"",3821,"Precipitation of warmest quarter","Precip_Warmest_Qtr","285","mm","",NA,"",NA,NA,"",NA,NA,NA
"Atkin","Owen",286,"Global Respiration Database","Acer saccharum",863,"Acer saccharum",2459898,19959927,NA,"",911,"Wetness/Humidity/Aridity of area where samples were taken","ai_yr","0.986","","",NA,"",NA,NA,"",NA,NA,NA
"Atkin","Owen",286,"Global Respiration Database","Acer saccharum",863,"Acer saccharum",2459898,19959928,NA,"",92,"Mean annual sum of potential evapotranspiration (PET)","pet_yr","1000","mm ","",NA,"",NA,NA,"",NA,NA,NA
"Atkin","Owen",286,"Global Respiration Database","Acer saccharum",863,"Acer saccharum",2459900,19959977,NA,"",1412,"Location Country","Country","USA-PN","","",NA,"",NA,NA,"",NA,NA,NA
"Atkin","Owen",286,"Global Respiration Database","Acer saccharum",863,"Acer saccharum",2459900,19959978,NA,"",193,"Vegetation type / Biome","Biome","TeDF","","",NA,"",NA,NA,"",NA,NA,NA
"Atkin","Owen",286,"Global Respiration Database","Acer saccharum",863,"Acer saccharum",2459900,19959979,NA,"",1736,"Location Name","Site","40?48'N_77?50'W","","",NA,"",NA,NA,"",NA,NA,NA
"Atkin","Owen",286,"Global Respiration Database","Acer saccharum",863,"Acer saccharum",2459900,19959980,NA,"",59,"Latitude","Latitude","40.8","degrees","",NA,"",NA,40.8,"",NA,NA,NA
"Atkin","Owen",286,"Global Respiration Database","Acer saccharum",863,"Acer saccharum",2459900,19959981,NA,"",60,"Longitude","Longitude","-77.83","degrees","",NA,"",NA,-77.83,"",NA,NA,NA
"Atkin","Owen",286,"Global Respiration Database","Acer saccharum",863,"Acer saccharum",2459900,19959982,NA,"",61,"Altitude","Altitude","335","m","",NA,"",NA,335,"m",NA,NA,NA
"Atkin","Owen",286,"Global Respiration Database","Acer saccharum",863,"Acer saccharum",2459900,19959983,NA,"",3801,"Atmospheric pressure","Atm_Press","97.38","Pa","",NA,"",NA,NA,"",NA,NA,NA
"Atkin","Owen",286,"Global Respiration Database","Acer saccharum",863,"Acer saccharum",2459900,19959984,NA,"",113,"Reference / source / PI","Responsible","Niinemets","","",NA,"",NA,NA,"",NA,NA,NA
"Atkin","Owen",286,"Global Respiration Database","Acer saccharum",863,"Acer saccharum",2459900,19959985,NA,"",846,"Family","Family","Sapindaceae","","",NA,"",NA,NA,"",NA,NA,NA
"Atkin","Owen",286,"Global Respiration Database","Acer saccharum",863,"Acer saccharum",2459900,19959992,NA,"",3806,"Hemisphere where site is found","H.sphere","North","","",NA,"",NA,NA,"",NA,NA,NA
"Atkin","Owen",286,"Global Respiration Database","Acer saccharum",863,"Acer saccharum",2459900,19959993,NA,"",527,"growth temperature","Temp.class","4th~20to25","","",NA,"",NA,NA,"",NA,NA,NA
"Atkin","Owen",286,"Global Respiration Database","Acer saccharum",863,"Acer saccharum",2459900,19959994,53,"Leaf photosynthesis rate per leaf area",68,"Photosynthesis per leaf area at leaf temperature (A_area)","Aa_sat","2.42","micro mol CO2 m-2 s-1","Single",NA,"",NA,2.42,"micro mol m-2 s-1",NA,2338024,3.32777
"Atkin","Owen",286,"Global Respiration Database","Acer saccharum",863,"Acer saccharum",2459900,19959995,45,"Stomata conductance per leaf area",50,"Stomatal conductance to water vapour per leaf area","gs_sat","0.032","mol/m2/s","Single",NA,"",NA,32,"milli mol m-2 s-1",NA,2338030,2.02313
"Atkin","Owen",286,"Global Respiration Database","Acer saccharum",863,"Acer saccharum",2459900,19959997,NA,"",1666,"Leaf temperature during measurement","LfT_sat","25","∞C","",NA,"",NA,NA,"",NA,NA,NA
