"LastName","FirstName","DatasetID","Dataset","SpeciesName","AccSpeciesID","AccSpeciesName","ObservationID","ObsDataID","TraitID","TraitName","DataID","DataName","OriglName","OrigValueStr","OrigUnitStr","ValueKindName","OrigUncertaintyStr","UncertaintyName","Replicates","StdValue","UnitName","RelUncertaintyPercent","OrigObsDataID","ErrorRisk"
"Wright","Ian",340,"Global leaf size dataset","Acer pensylvanicum",852,"Acer pensylvanicum",2389130,19696545,NA,"",469,"Identifier within contributed dataset (ID)","ID","1","","",NA,"",NA,NA,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Acer pensylvanicum",852,"Acer pensylvanicum",2389130,19696546,NA,"",112,"Location Site ID","SiteNum","537","","",NA,"",NA,NA,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Acer pensylvanicum",852,"Acer pensylvanicum",2389130,19696547,NA,"",114,"Location","Site","Royer_HB","","",NA,"",NA,NA,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Acer pensylvanicum",852,"Acer pensylvanicum",2389130,19696548,NA,"",113,"Reference / source / PI","ref","Royer et al 2005 Am J Bot","","",NA,"",NA,NA,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Acer pensylvanicum",852,"Acer pensylvanicum",2389130,19696549,NA,"",846,"Family","Family","Sapindaceae","","",NA,"",NA,NA,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Acer pensylvanicum",852,"Acer pensylvanicum",2389130,19696551,38,"Plant woodiness",43,"Woodiness","woody","woody","","",NA,"",NA,NA,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Acer pensylvanicum",852,"Acer pensylvanicum",2389130,19696556,NA,"",59,"Latitude","Latitude","43.9","","",NA,"",NA,43.9,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Acer pensylvanicum",852,"Acer pensylvanicum",2389130,19696557,NA,"",60,"Longitude","Longitude","-71.75","","",NA,"",NA,-71.75,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Acer pensylvanicum",852,"Acer pensylvanicum",2389130,19696558,NA,"",61,"Altitude","Elevation (m)","618","","",NA,"",NA,618,"m",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Acer rubrum",859,"Acer rubrum",2389131,19696560,NA,"",469,"Identifier within contributed dataset (ID)","ID","4","","",NA,"",NA,NA,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Acer rubrum",859,"Acer rubrum",2389131,19696561,NA,"",112,"Location Site ID","SiteNum","537","","",NA,"",NA,NA,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Acer rubrum",859,"Acer rubrum",2389131,19696562,NA,"",114,"Location","Site","Royer_HB","","",NA,"",NA,NA,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Acer rubrum",859,"Acer rubrum",2389131,19696563,NA,"",113,"Reference / source / PI","ref","Royer et al 2005 Am J Bot","","",NA,"",NA,NA,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Acer rubrum",859,"Acer rubrum",2389131,19696564,NA,"",846,"Family","Family","Sapindaceae","","",NA,"",NA,NA,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Acer rubrum",859,"Acer rubrum",2389131,19696566,38,"Plant woodiness",43,"Woodiness","woody","woody","","",NA,"",NA,NA,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Acer rubrum",859,"Acer rubrum",2389131,19696571,NA,"",59,"Latitude","Latitude","43.9","","",NA,"",NA,43.9,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Acer rubrum",859,"Acer rubrum",2389131,19696572,NA,"",60,"Longitude","Longitude","-71.75","","",NA,"",NA,-71.75,"",NA,NA,NA
"Wright","Ian",340,"Global leaf size dataset","Acer rubrum",859,"Acer rubrum",2389131,19696573,NA,"",61,"Altitude","Elevation (m)","618","","",NA,"",NA,618,"m",NA,NA,NA
