"LastName","FirstName","DatasetID","Dataset","SpeciesName","AccSpeciesID","AccSpeciesName","ObservationID","ObsDataID","TraitID","TraitName","DataID","DataName","OriglName","OrigValueStr","OrigUnitStr","ValueKindName","OrigUncertaintyStr","UncertaintyName","Replicates","StdValue","UnitName","RelUncertaintyPercent","OrigObsDataID","ErrorRisk"
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Acer pseudoplatanus",855,"Acer pseudoplatanus",1354666,9632176,NA,"",2069,"Change Index","Change Index ","-0.39809","","",NA,"",NA,NA,"",NA,NA,NA
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Acer pseudoplatanus",855,"Acer pseudoplatanus",1354666,9632177,3106,"Plant height vegetative",1937,"Plant height (unspecified if vegetative or reproductive)","Height (terrestrial) ","3000","cm","Maximum",NA,"",NA,30,"m",NA,NA,3.65023
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Acer pseudoplatanus",855,"Acer pseudoplatanus",1354666,9632181,NA,"",2074,"January mean temperature","January mean temperature ","3.56826972","","",NA,"",NA,NA,"",NA,NA,NA
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Acer pseudoplatanus",855,"Acer pseudoplatanus",1354666,9632182,NA,"",2075,"July mean temperature","July mean temperature ","14.5665564","","",NA,"",NA,NA,"",NA,NA,NA
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Acer pseudoplatanus",855,"Acer pseudoplatanus",1354666,9632183,NA,"",2076,"Annual precipitation","Annual precipitation","1082.828391","","",NA,"",NA,NA,"",NA,NA,NA
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Acer pseudoplatanus",855,"Acer pseudoplatanus",1354666,9632189,NA,"",113,"Reference / source / PI","Source for max height","Bean (1950-1) - ""at its best over 100 ft""","","",NA,"",NA,NA,"",NA,NA,NA
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Acer pseudoplatanus",855,"Acer pseudoplatanus",1354666,9632193,38,"Plant woodiness",43,"Woodiness","Woodiness ","Woody","","",NA,"",NA,NA,"",NA,NA,NA
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Acer pseudoplatanus",855,"Acer pseudoplatanus",1354666,9632195,NA,"",193,"Vegetation type / Biome","Major Biome (European distribution)","Temperate","","",NA,"",NA,NA,"",NA,NA,NA
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Aesculus hippocastanum",1571,"Aesculus hippocastanum",1354678,9632473,NA,"",2069,"Change Index","Change Index ","1.07688","","",NA,"",NA,NA,"",NA,NA,NA
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Aesculus hippocastanum",1571,"Aesculus hippocastanum",1354678,9632474,3106,"Plant height vegetative",1937,"Plant height (unspecified if vegetative or reproductive)","Height (terrestrial) ","3200","cm","Maximum",NA,"",NA,32,"m",NA,NA,3.70104
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Aesculus hippocastanum",1571,"Aesculus hippocastanum",1354678,9632478,NA,"",2074,"January mean temperature","January mean temperature ","3.557871179","","",NA,"",NA,NA,"",NA,NA,NA
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Aesculus hippocastanum",1571,"Aesculus hippocastanum",1354678,9632479,NA,"",2075,"July mean temperature","July mean temperature ","14.83813683","","",NA,"",NA,NA,"",NA,NA,NA
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Aesculus hippocastanum",1571,"Aesculus hippocastanum",1354678,9632480,NA,"",2076,"Annual precipitation","Annual precipitation","1014.273199","","",NA,"",NA,NA,"",NA,NA,NA
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Aesculus hippocastanum",1571,"Aesculus hippocastanum",1354678,9632486,NA,"",113,"Reference / source / PI","Source for max height","average of CTW & Stace","","",NA,"",NA,NA,"",NA,NA,NA
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Aesculus hippocastanum",1571,"Aesculus hippocastanum",1354678,9632490,38,"Plant woodiness",43,"Woodiness","Woodiness ","Woody","","",NA,"",NA,NA,"",NA,NA,NA
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Alnus glutinosa",2710,"Alnus glutinosa",1354725,9633653,NA,"",2069,"Change Index","Change Index ","-0.32251","","",NA,"",NA,NA,"",NA,NA,NA
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Alnus glutinosa",2710,"Alnus glutinosa",1354725,9633654,3106,"Plant height vegetative",1937,"Plant height (unspecified if vegetative or reproductive)","Height (terrestrial) ","2000","cm","Maximum",NA,"",NA,20,"m",NA,NA,3.33106
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Alnus glutinosa",2710,"Alnus glutinosa",1354725,9633662,NA,"",2074,"January mean temperature","January mean temperature ","3.491072378","","",NA,"",NA,NA,"",NA,NA,NA
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Alnus glutinosa",2710,"Alnus glutinosa",1354725,9633663,NA,"",2075,"July mean temperature","July mean temperature ","14.54472378","","",NA,"",NA,NA,"",NA,NA,NA
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Alnus glutinosa",2710,"Alnus glutinosa",1354725,9633664,NA,"",2076,"Annual precipitation","Annual precipitation","1099.503928","","",NA,"",NA,NA,"",NA,NA,NA
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Alnus glutinosa",2710,"Alnus glutinosa",1354725,9633670,NA,"",113,"Reference / source / PI","Source for max height","CTW (1962)","","",NA,"",NA,NA,"",NA,NA,NA
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Alnus glutinosa",2710,"Alnus glutinosa",1354725,9633672,NA,"",2068,"Species rarity status","Rarity status ","Present, not rare or scarce","","",NA,"",NA,NA,"",NA,NA,NA
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Alnus glutinosa",2710,"Alnus glutinosa",1354725,9633675,38,"Plant woodiness",43,"Woodiness","Woodiness ","Woody","","",NA,"",NA,NA,"",NA,NA,NA
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Alnus glutinosa",2710,"Alnus glutinosa",1354725,9633677,NA,"",193,"Vegetation type / Biome","Major Biome (European distribution)","Temperate","","",NA,"",NA,NA,"",NA,NA,NA
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Alnus incana",2712,"Alnus incana",1354726,9633679,3106,"Plant height vegetative",1937,"Plant height (unspecified if vegetative or reproductive)","Height (terrestrial) ","2000","cm","Maximum",NA,"",NA,20,"m",NA,NA,3.33106
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Alnus incana",2712,"Alnus incana",1354726,9633683,NA,"",2074,"January mean temperature","January mean temperature ","3.412547771","","",NA,"",NA,NA,"",NA,NA,NA
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Alnus incana",2712,"Alnus incana",1354726,9633684,NA,"",2075,"July mean temperature","July mean temperature ","15.00168153","","",NA,"",NA,NA,"",NA,NA,NA
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Alnus incana",2712,"Alnus incana",1354726,9633685,NA,"",2076,"Annual precipitation","Annual precipitation","983.7368981","","",NA,"",NA,NA,"",NA,NA,NA
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Alnus incana",2712,"Alnus incana",1354726,9633691,NA,"",113,"Reference / source / PI","Source for max height","CTW (1962)","","",NA,"",NA,NA,"",NA,NA,NA
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Alnus incana",2712,"Alnus incana",1354726,9633695,38,"Plant woodiness",43,"Woodiness","Woodiness ","Woody","","",NA,"",NA,NA,"",NA,NA,NA
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Alnus incana",2712,"Alnus incana",1354726,9633697,NA,"",193,"Vegetation type / Biome","Major Biome (European distribution)","Boreal-montane","","",NA,"",NA,NA,"",NA,NA,NA
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Betula pendula",7356,"Betula pendula",1354849,9636751,NA,"",2069,"Change Index","Change Index ","-0.22589","","",NA,"",NA,NA,"",NA,NA,NA
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Betula pendula",7356,"Betula pendula",1354849,9636752,3106,"Plant height vegetative",1937,"Plant height (unspecified if vegetative or reproductive)","Height (terrestrial) ","2500","cm","Maximum",NA,"",NA,25,"m",NA,NA,3.50672
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Betula pendula",7356,"Betula pendula",1354849,9636760,NA,"",2074,"January mean temperature","January mean temperature ","3.278802686","","",NA,"",NA,NA,"",NA,NA,NA
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Betula pendula",7356,"Betula pendula",1354849,9636761,NA,"",2075,"July mean temperature","July mean temperature ","14.61938829","","",NA,"",NA,NA,"",NA,NA,NA
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Betula pendula",7356,"Betula pendula",1354849,9636762,NA,"",2076,"Annual precipitation","Annual precipitation","1073.009407","","",NA,"",NA,NA,"",NA,NA,NA
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Betula pendula",7356,"Betula pendula",1354849,9636768,NA,"",113,"Reference / source / PI","Source for max height","CTW (1962)","","",NA,"",NA,NA,"",NA,NA,NA
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Betula pendula",7356,"Betula pendula",1354849,9636770,NA,"",2068,"Species rarity status","Rarity status ","Present, not rare or scarce","","",NA,"",NA,NA,"",NA,NA,NA
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Betula pendula",7356,"Betula pendula",1354849,9636773,38,"Plant woodiness",43,"Woodiness","Woodiness ","Woody","","",NA,"",NA,NA,"",NA,NA,NA
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Betula pendula",7356,"Betula pendula",1354849,9636775,NA,"",193,"Vegetation type / Biome","Major Biome (European distribution)","Boreo-temperate","","",NA,"",NA,NA,"",NA,NA,NA
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Betula pendula",7356,"Betula pendula",1354849,9636777,NA,"",1863,"Habitat / plot description","Broad Habitats ","Broadleaved, mixed and yew woodland","","",NA,"",NA,NA,"",NA,NA,NA
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Betula pubescens",7359,"Betula pubescens",1354850,9636778,NA,"",2069,"Change Index","Change Index ","0.40089","","",NA,"",NA,NA,"",NA,NA,NA
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Betula pubescens",7359,"Betula pubescens",1354850,9636779,3106,"Plant height vegetative",1937,"Plant height (unspecified if vegetative or reproductive)","Height (terrestrial) ","2000","cm","Maximum",NA,"",NA,20,"m",NA,NA,3.33106
