"LastName","FirstName","DatasetID","Dataset","SpeciesName","AccSpeciesID","AccSpeciesName","ObservationID","ObsDataID","TraitID","TraitName","DataID","DataName","OriglName","OrigValueStr","OrigUnitStr","ValueKindName","OrigUncertaintyStr","UncertaintyName","Replicates","StdValue","UnitName","RelUncertaintyPercent","OrigObsDataID","ErrorRisk"
"Mencuccini","Maurizio",199,"Whole Plant Hydraulic Conductance","Pseudotsuga menziesii",44567,"Pseudotsuga menziesii",1415129,10322342,21,"Stem diameter",24,"Stem diameter at breast height (1.3 m, DBH)","Stem diameter","16.11694193","cm","Single",NA,"",NA,0.161169419,"m",NA,NA,1.77657
"Mencuccini","Maurizio",199,"Whole Plant Hydraulic Conductance","Pseudotsuga menziesii",44567,"Pseudotsuga menziesii",1415129,10322343,3106,"Plant height vegetative",448,"Plant height observed","plant height","14.2","m","Single",NA,"",NA,14.2,"m",NA,14834828,2.84373
"Mencuccini","Maurizio",199,"Whole Plant Hydraulic Conductance","Pseudotsuga menziesii",44567,"Pseudotsuga menziesii",1415130,10322346,NA,"",113,"Reference / source / PI","source","Phillips et al., 2001","","",NA,"",NA,NA,"",NA,NA,NA
"Mencuccini","Maurizio",199,"Whole Plant Hydraulic Conductance","Pseudotsuga menziesii",44567,"Pseudotsuga menziesii",1415130,10322349,21,"Stem diameter",24,"Stem diameter at breast height (1.3 m, DBH)","Stem diameter","105","cm","Single",NA,"",NA,1.05,"m",NA,NA,3.41946
"Mencuccini","Maurizio",199,"Whole Plant Hydraulic Conductance","Pseudotsuga menziesii",44567,"Pseudotsuga menziesii",1415130,10322350,3106,"Plant height vegetative",448,"Plant height observed","plant height","60","m","Single",NA,"",NA,60,"m",NA,NA,4.64061
"Mencuccini","Maurizio",199,"Whole Plant Hydraulic Conductance","Acer rubrum",859,"Acer rubrum",1415138,10322404,21,"Stem diameter",24,"Stem diameter at breast height (1.3 m, DBH)","Stem diameter","6.691472635","cm","Single",NA,"",NA,0.0669,"m",NA,NA,0.337405
"Mencuccini","Maurizio",199,"Whole Plant Hydraulic Conductance","Acer rubrum",859,"Acer rubrum",1415138,10322405,3106,"Plant height vegetative",448,"Plant height observed","plant height","5","m","Single",NA,"",NA,5,"m",NA,NA,1.3864
"Mencuccini","Maurizio",199,"Whole Plant Hydraulic Conductance","Acer saccharum",863,"Acer saccharum",1415139,10322410,21,"Stem diameter",24,"Stem diameter at breast height (1.3 m, DBH)","Stem diameter","11.01727551","cm","Single",NA,"",NA,0.110172755,"m",NA,NA,0.979787
"Mencuccini","Maurizio",199,"Whole Plant Hydraulic Conductance","Acer saccharum",863,"Acer saccharum",1415139,10322411,3106,"Plant height vegetative",448,"Plant height observed","plant height","9","m","Single",NA,"",NA,9,"m",NA,NA,2.60703
"Mencuccini","Maurizio",199,"Whole Plant Hydraulic Conductance","Quercus petraea",45457,"Quercus petraea",1415141,10322420,NA,"",113,"Reference / source / PI","source","Breda et al., 1993","","",NA,"",NA,NA,"",NA,NA,NA
"Mencuccini","Maurizio",199,"Whole Plant Hydraulic Conductance","Quercus petraea",45457,"Quercus petraea",1415141,10322424,21,"Stem diameter",24,"Stem diameter at breast height (1.3 m, DBH)","Stem diameter","11.25","cm","Single",NA,"",NA,0.1125,"m",NA,NA,1.28434
"Mencuccini","Maurizio",199,"Whole Plant Hydraulic Conductance","Quercus petraea",45457,"Quercus petraea",1415141,10322425,3106,"Plant height vegetative",448,"Plant height observed","plant height","14.8","m","Single",NA,"",NA,14.8,"m",NA,NA,5.42905
"Mencuccini","Maurizio",199,"Whole Plant Hydraulic Conductance","Pseudotsuga menziesii",44567,"Pseudotsuga menziesii",1415184,10322613,NA,"",113,"Reference / source / PI","source","Waring & Running, 1978","","",NA,"",NA,NA,"",NA,NA,NA
"Mencuccini","Maurizio",199,"Whole Plant Hydraulic Conductance","Pseudotsuga menziesii",44567,"Pseudotsuga menziesii",1415184,10322617,21,"Stem diameter",24,"Stem diameter at breast height (1.3 m, DBH)","Stem diameter","50","cm","Single",NA,"",NA,0.5,"m",NA,NA,2.46955
"Mencuccini","Maurizio",199,"Whole Plant Hydraulic Conductance","Pseudotsuga menziesii",44567,"Pseudotsuga menziesii",1415184,10322618,3106,"Plant height vegetative",448,"Plant height observed","plant height","55","m","Single",NA,"",NA,55,"m",NA,12650168,4.53212
