"LastName","FirstName","DatasetID","Dataset","SpeciesName","AccSpeciesID","AccSpeciesName","ObservationID","ObsDataID","TraitID","TraitName","DataID","DataName","OriglName","OrigValueStr","OrigUnitStr","ValueKindName","OrigUncertaintyStr","UncertaintyName","Replicates","StdValue","UnitName","RelUncertaintyPercent","OrigObsDataID","ErrorRisk"
"Manzoni","Stefano",197,"Plant Hydraulic Traits","Quercus rubra",45473,"Quercus rubra",1414080,10313743,NA,"",2202,"Native embolism present or emboli flushed before measurement","Flushed emboli=1 No flushing=0","flushed embolism","","",NA,"",NA,NA,"",NA,NA,NA
"Manzoni","Stefano",197,"Plant Hydraulic Traits","Quercus rubra",45473,"Quercus rubra",1414080,10313744,NA,"",59,"Latitude","LAT","36","","",NA,"",NA,36,"",NA,NA,NA
"Manzoni","Stefano",197,"Plant Hydraulic Traits","Quercus rubra",45473,"Quercus rubra",1414080,10313745,NA,"",60,"Longitude","LONG","-79","","",NA,"",NA,-79,"",NA,NA,NA
"Manzoni","Stefano",197,"Plant Hydraulic Traits","Quercus rubra",45473,"Quercus rubra",1414080,10313746,NA,"",62,"Mean annual temperature (MAT)","T (degC)","15","degC","",NA,"",NA,NA,"",NA,NA,NA
"Manzoni","Stefano",197,"Plant Hydraulic Traits","Quercus rubra",45473,"Quercus rubra",1414080,10313747,NA,"",80,"Mean sum of annual precipitation (PPT / MAP / TAP)","P (mm)","1220","mm","",NA,"",NA,NA,"",NA,NA,NA
"Manzoni","Stefano",197,"Plant Hydraulic Traits","Quercus rubra",45473,"Quercus rubra",1414080,10313748,NA,"",61,"Altitude","Elev (m)","150","m","Single",NA,"",NA,150,"m",NA,NA,NA
"Manzoni","Stefano",197,"Plant Hydraulic Traits","Quercus rubra",45473,"Quercus rubra",1414080,10313749,38,"Plant woodiness",43,"Woodiness","woodiness","woody","","",NA,"",NA,NA,"",NA,NA,NA
"Manzoni","Stefano",197,"Plant Hydraulic Traits","Picea abies",41907,"Picea abies",1414436,10316964,NA,"",2202,"Native embolism present or emboli flushed before measurement","Flushed emboli=1 No flushing=0","flushed embolism","","",NA,"",NA,NA,"",NA,NA,NA
"Manzoni","Stefano",197,"Plant Hydraulic Traits","Picea abies",41907,"Picea abies",1414436,10316965,NA,"",59,"Latitude","LAT","48.7","","",NA,"",NA,48.7,"",NA,NA,NA
"Manzoni","Stefano",197,"Plant Hydraulic Traits","Picea abies",41907,"Picea abies",1414436,10316966,NA,"",60,"Longitude","LONG","6.2","","",NA,"",NA,6.2,"",NA,NA,NA
"Manzoni","Stefano",197,"Plant Hydraulic Traits","Picea abies",41907,"Picea abies",1414436,10316967,NA,"",61,"Altitude","Elev (m)","250","m","Single",NA,"",NA,250,"m",NA,NA,NA
