origin,weight
N2,16.3631
N1,15.0372
C1,14.9345
S1,12.5571
C2,16.102
C1,14.6557
N1,15.1905
S2,8.6955
C2,15.288
N1,15.1905
C2,16.5274
N2,16.5002
S1,12.6886
N2,16.8713
C1,14.7579
S2,8.788
S1,12.4988
S2,9.2235
N2,16.3291
N2,16.5613
C1,14.6206
S2,8.5546
S1,12.1294
S1,12.6082
C1,14.6523
S2,8.6499
S2,8.9113
N1,16.0354
N1,15.0084
C2,16.2861
C2,16.3101
S1,13.0345
C1,15.2997
C2,16.4272
N2,16.0457
N1,16.0457
C2,15.5474
C1,15.2399
S1,12.5624
N1,15.4418
S2,8.71162
C2,15.3841
S2,8.7595
N2,16.2447
N1,15.427
C1,14.9946
S1,11.9948
N2,16.244
C2,16.4583
S2,9.5047
C1,15.2208
S1,12.4476
N1,15.2106
N2,15.543
C2,16.9602
C2,15.6944
C1,15.2229
S1,12.3653
N2,16.625
N2,16.1659
C2,17.0427
S2,8.7043
N2,16.3401
S1,12.5943
N1,15.7214
S2,8.464
N1,15.8777
S1,12.68
N1,15.0838
C1,15.8032
S2,8.5649
C1,15.165
S2,8.6252
N2,16.3664
C2,14.694
S1,12.6496
S1,12.14
N1,15.8681
C1,15.8058
S2,8.7829
N1,15.1402
S2,8.5236
S1,12.9558
N2,15.7216
C2,15.8075
C2,16.4903
N1,14.4337
C1,14.8314
N2,18.2254
C1,15.0447
S1,12.6343
C1,15.3474
N2,15.1643
S1,12.3735
C2,16.1841
C1,14.799
N1,15.4768
S2,8.9213
N2,16.3216
N2,14.7169
N1,14.99
S1,12.7726
S2,8.3838
N1,17.6
C2,15.3591
C2,15.3471
C1,15.2188
S2,8.653
S2,8.9876
C1,14.3388
N2,15.9705
C1,14.297
N1,15.1888
S2,8.6428
C2,15.1343
N2,16.7201
S1,12.6308
S2,8.2497
C1,15.0453
N2,16.01785
S1,12.9283
C2,15.9528
N1,14.4523
N1,14.3415
S1,10.9859
C2,15.5712
S2,8.8246
N1,15.1655
C2,16.3166
N2,16.1626
C1,15.2822
S2,8.6361
S1,12.6421
N2,15.9017
C2,16.9146
N1,14.7601
S1,13.4621
C2,15.6134
S2,8.8154
S1,12.76
N2,16.1833
N1,15.4441
C1,14.1123
C1,15.6417
C1,15.5865
C2,15.1717
N2,15.861
S1,12.6975
S1,15.6944
N2,15.907
S2,8.6826
S1,13.3829
N1,16.0168
C2,15.5234
S2,9.0846
N2,16.2076
C1,14.9854
N1,14.3555
S2,8.7727
C1,15.3365
C2,15.2029
N1,14.1616
C2,15.3682
S1,12.5741
N2,16.7561
N1,15.5748
C1,15.0136
S2,8.8448
N1,16.4059
S1,12.6902
C2,15.7884
S2,8.7283
N1,14.3842
C1,15.5449
C2,16.8058
S2,8.8018
C1,15.3201
N2,16.3325
S1,12.4111
N2,16.0721
N1,13.6556
S1,12.646
C2,15.4456
S2,8.8422
C1,15.0978
N1,12.7741
N2,15.4887
S1,13.3676
S2,8.6672
C1,14.778
N2,16.3024
C1,14.9522
S2,8.6965
C2,16.7549
N2,16.6075
C2,16.7549
S1,14.7687
N1,15.2771
S2,8.8158
C2,15.6515
C2,14.1663
N1,16.4828
S2,8.5213
C1,14.6631
S2,8.845
S1,13.4398
N1,14.9398
C1,14.7734
C2,14.4425
C1,15.5163
N1,15.4175
S1,13.3424
N2,15.9063
S1,13.2471
N2,15.8522
N2,16.538
