"LastName","FirstName","DatasetID","Dataset","SpeciesName","AccSpeciesID","AccSpeciesName","ObservationID","ObsDataID","TraitID","TraitName","DataID","DataName","OriglName","OrigValueStr","OrigUnitStr","ValueKindName","OrigUncertaintyStr","UncertaintyName","Replicates","StdValue","UnitName","RelUncertaintyPercent","OrigObsDataID","ErrorRisk"
"Bond-Lamberty","Benjamin",156,"Plant Traits of Canadian Forests","Betula papyrifera","7355","Betula papyrifera","1320487","9353510",NA,"","112","Location Site ID","Site ","D1989","","","","","","","","","",""
"Bond-Lamberty","Benjamin",156,"Plant Traits of Canadian Forests","Betula papyrifera","7355","Betula papyrifera","1320487","9353511",NA,"","1907","Site burned year","YearOfBurn","1989","","","","","","","","","",""
"Bond-Lamberty","Benjamin",156,"Plant Traits of Canadian Forests","Betula papyrifera","7355","Betula papyrifera","1320487","9353512",NA,"","1920","Height of measurement: stem diameter"," tree rings"," bark thickness","Where","D0","","","","","","","",""
"Bond-Lamberty","Benjamin",156,"Plant Traits of Canadian Forests","Betula papyrifera","7355","Betula papyrifera","1320487","9353513",21,"Stem diameter","1908","Stem diameter at base (basal diameter)","Diameter at soil surface","1.27635","cm","Single","","","","0.0127635","m","","","1.46138"
"Bond-Lamberty","Benjamin",156,"Plant Traits of Canadian Forests","Betula papyrifera","7355","Betula papyrifera","1320487","9353515",NA,"","441","Plant ID / Individual ID","TreeNum","10","","","","","","","","","",""
"Bond-Lamberty","Benjamin",156,"Plant Traits of Canadian Forests","Betula papyrifera","7355","Betula papyrifera","1320487","9353516",NA,"","1919","Number of tree rings visible in core","RingCount","9","","","","","","","","","",""
"Bond-Lamberty","Benjamin",156,"Plant Traits of Canadian Forests","Betula papyrifera","7355","Betula papyrifera","1320487","9353517",NA,"","59","Latitude","Latitude","55.90644","","","","","","55.90644","","","",""
"Bond-Lamberty","Benjamin",156,"Plant Traits of Canadian Forests","Betula papyrifera","7355","Betula papyrifera","1320487","9353518",NA,"","60","Longitude","Longitude","-98.97953","","","","","","-98.97953","","","",""
"Bond-Lamberty","Benjamin",156,"Plant Traits of Canadian Forests","Betula papyrifera","7355","Betula papyrifera","1320487","9353519",NA,"","61","Altitude","Elevation","150","m","Single","","","","150","m","","",""
"Bond-Lamberty","Benjamin",156,"Plant Traits of Canadian Forests","Betula papyrifera","7355","Betula papyrifera","1320488","9353520",NA,"","112","Location Site ID","Site ","D1989","","","","","","","","","",""
