"LastName","FirstName","DatasetID","Dataset","SpeciesName","AccSpeciesID","AccSpeciesName","ObservationID","ObsDataID","TraitID","TraitName","DataID","DataName","OriglName","OrigValueStr","OrigUnitStr","ValueKindName","OrigUncertaintyStr","UncertaintyName","Replicates","StdValue","UnitName","RelUncertaintyPercent","OrigObsDataID","ErrorRisk"
"Rollinson","Emily",325,"Rollinson DBH","Acer rubrum","859","Acer rubrum","2478125","20241411",NA,"","59","Latitude","Latitude","43.0191","","","","","","43.0191","","","",""
"Rollinson","Emily",325,"Rollinson DBH","Acer rubrum","859","Acer rubrum","2478125","20241412",NA,"","60","Longitude","Longitude","-73.8302","","","","","","-73.8302","","","",""
"Rollinson","Emily",325,"Rollinson DBH","Acer rubrum","859","Acer rubrum","2478125","20241413",NA,"","241","Measurement date / sampling date","Sampling Date","8_13_2012","","","","","","","","","",""
"Rollinson","Emily",325,"Rollinson DBH","Acer rubrum","859","Acer rubrum","2478125","20241414",NA,"","327","Exposition","Exposition","natural environment","","","","","","","","","",""
"Rollinson","Emily",325,"Rollinson DBH","Acer rubrum","859","Acer rubrum","2478125","20241417",21,"Stem diameter","24","Stem diameter at breast height (1.3 m"," DBH)","Stem Diameter at 1.3 m (DBH)","0.1","cm","Single","","","","0.001","m","",""
"Rollinson","Emily",325,"Rollinson DBH","Acer rubrum","859","Acer rubrum","2478125","20241418",NA,"","1863","Habitat / plot description","Habitat","riparian","","","","","","","","","",""
"Rollinson","Emily",325,"Rollinson DBH","Acer rubrum","859","Acer rubrum","2478126","20241419",NA,"","59","Latitude","Latitude","42.8823","","","","","","42.8823","","","",""
"Rollinson","Emily",325,"Rollinson DBH","Acer rubrum","859","Acer rubrum","2478126","20241420",NA,"","60","Longitude","Longitude","-73.9401","","","","","","-73.9401","","","",""
"Rollinson","Emily",325,"Rollinson DBH","Acer rubrum","859","Acer rubrum","2478126","20241421",NA,"","241","Measurement date / sampling date","Sampling Date","8_9_2012","","","","","","","","","",""
"Rollinson","Emily",325,"Rollinson DBH","Acer rubrum","859","Acer rubrum","2478126","20241422",NA,"","327","Exposition","Exposition","natural environment","","","","","","","","","",""
"Rollinson","Emily",325,"Rollinson DBH","Acer rubrum","859","Acer rubrum","2478126","20241425",21,"Stem diameter","24","Stem diameter at breast height (1.3 m"," DBH)","Stem Diameter at 1.3 m (DBH)","2.5","cm","Single","","","","0.025","m","",""
"Rollinson","Emily",325,"Rollinson DBH","Acer rubrum","859","Acer rubrum","2478126","20241426",NA,"","1863","Habitat / plot description","Habitat","riparian","","","","","","","","","",""
"Rollinson","Emily",325,"Rollinson DBH","Acer rubrum","859","Acer rubrum","2478127","20241427",NA,"","59","Latitude","Latitude","42.8823","","","","","","42.8823","","","",""
"Rollinson","Emily",325,"Rollinson DBH","Acer rubrum","859","Acer rubrum","2478127","20241428",NA,"","60","Longitude","Longitude","-73.9401","","","","","","-73.9401","","","",""
"Rollinson","Emily",325,"Rollinson DBH","Acer rubrum","859","Acer rubrum","2478127","20241429",NA,"","241","Measurement date / sampling date","Sampling Date","8_9_2012","","","","","","","","","",""
"Rollinson","Emily",325,"Rollinson DBH","Acer rubrum","859","Acer rubrum","2478127","20241430",NA,"","327","Exposition","Exposition","natural environment","","","","","","","","","",""
"Rollinson","Emily",325,"Rollinson DBH","Acer rubrum","859","Acer rubrum","2478127","20241433",21,"Stem diameter","24","Stem diameter at breast height (1.3 m"," DBH)","Stem Diameter at 1.3 m (DBH)","4.9","cm","Single","","","","0.049","m","",""
"Rollinson","Emily",325,"Rollinson DBH","Acer rubrum","859","Acer rubrum","2478127","20241434",NA,"","1863","Habitat / plot description","Habitat","riparian","","","","","","","","","",""
"Rollinson","Emily",325,"Rollinson DBH","Acer rubrum","859","Acer rubrum","2478128","20241435",NA,"","59","Latitude","Latitude","42.8823","","","","","","42.8823","","","",""
"Rollinson","Emily",325,"Rollinson DBH","Acer rubrum","859","Acer rubrum","2478128","20241436",NA,"","60","Longitude","Longitude","-73.9401","","","","","","-73.9401","","","",""
