"LastName","FirstName","DatasetID","Dataset","SpeciesName","AccSpeciesID","AccSpeciesName","ObservationID","ObsDataID","TraitID","TraitName","DataID","DataName","OriglName","OrigValueStr","OrigUnitStr","ValueKindName","OrigUncertaintyStr","UncertaintyName","Replicates","StdValue","UnitName","RelUncertaintyPercent","OrigObsDataID","ErrorRisk"
"Cornelissen","Johannes",37,"Sheffield Database","Abies alba","29","Abies alba","16000","454129",4,"Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)","4","Wood density; stem specific density; wood specific gravity","Wood density","410","kg/m3","Single","","","","0.41","g/cm3","","5827305","1.32439"
"Cornelissen","Johannes",37,"Sheffield Database","Abies alba","29","Abies alba","16000","454130",NA,"","113","Reference / source","Reference","(Brzeziecki & Kienast 94)","","","","","","","","","",""
"Cornelissen","Johannes",37,"Sheffield Database","Picea abies","41907","Picea abies","16003","454135",4,"Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)","4","Wood density; stem specific density; wood specific gravity","Wood density","430","kg/m3","Single","","","","0.43","g/cm3","","","0.925226"
"Cornelissen","Johannes",37,"Sheffield Database","Picea abies","41907","Picea abies","16003","454136",NA,"","113","Reference / source","Reference","(Brzeziecki & Kienast 94)","","","","","","","","","",""
"Cornelissen","Johannes",37,"Sheffield Database","Populus tremula","43532","Populus tremula","16004","454137",4,"Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)","4","Wood density; stem specific density; wood specific gravity","Wood density","450","kg/m3","Single","","","","0.45","g/cm3","","","0.87531"
"Cornelissen","Johannes",37,"Sheffield Database","Populus tremula","43532","Populus tremula","16004","454138",NA,"","113","Reference / source","Reference","(Brzeziecki & Kienast 94)","","","","","","","","","",""
"Cornelissen","Johannes",37,"Sheffield Database","Tilia cordata","54325","Tilia cordata","16007","454143",4,"Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)","4","Wood density; stem specific density; wood specific gravity","Wood density","490","kg/m3","Single","","","","0.49","g/cm3","","","1.05349"
"Cornelissen","Johannes",37,"Sheffield Database","Tilia cordata","54325","Tilia cordata","16007","454144",NA,"","113","Reference / source","Reference","(Brzeziecki & Kienast 94)","","","","","","","","","",""
"Cornelissen","Johannes",37,"Sheffield Database","Alnus glutinosa","2710","Alnus glutinosa","16009","454147",4,"Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)","4","Wood density; stem specific density; wood specific gravity","Wood density","510","kg/m3","Single","","","","0.51","g/cm3","","","0.984898"
"Cornelissen","Johannes",37,"Sheffield Database","Alnus glutinosa","2710","Alnus glutinosa","16009","454148",NA,"","113","Reference / source","Reference","(Brzeziecki & Kienast 94)","","","","","","","","","",""
"Cornelissen","Johannes",37,"Sheffield Database","Alnus incana","2712","Alnus incana","16010","454149",4,"Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)","4","Wood density; stem specific density; wood specific gravity","Wood density","510","kg/m3","Single","","","","0.51","g/cm3","","","0.790929"
"Cornelissen","Johannes",37,"Sheffield Database","Alnus incana","2712","Alnus incana","16010","454150",NA,"","113","Reference / source","Reference","(Brzeziecki & Kienast 94)","","","","","","","","","",""
"Cornelissen","Johannes",37,"Sheffield Database","Larix decidua","32364","Larix decidua","16011","454151",4,"Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)","4","Wood density; stem specific density; wood specific gravity","Wood density","550","kg/m3","Single","","","","0.55","g/cm3","","","0.817651"
"Cornelissen","Johannes",37,"Sheffield Database","Larix decidua","32364","Larix decidua","16011","454152",NA,"","113","Reference / source","Reference","(Brzeziecki & Kienast 94)","","","","","","","","","",""
"Cornelissen","Johannes",37,"Sheffield Database","Prunus avium","44304","Prunus avium","16012","454153",4,"Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)","4","Wood density; stem specific density; wood specific gravity","Wood density","550","kg/m3","Single","","","","0.55","g/cm3","","","0.563495"
"Cornelissen","Johannes",37,"Sheffield Database","Prunus avium","44304","Prunus avium","16012","454154",NA,"","113","Reference / source","Reference","(Brzeziecki & Kienast 94)","","","","","","","","","",""
"Cornelissen","Johannes",37,"Sheffield Database","Acer pseudoplatanus","855","Acer pseudoplatanus","16013","454155",4,"Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)","4","Wood density; stem specific density; wood specific gravity","Wood density","590","kg/m3","Single","","","","0.59","g/cm3","","","1.27045"
"Cornelissen","Johannes",37,"Sheffield Database","Acer pseudoplatanus","855","Acer pseudoplatanus","16013","454156",NA,"","113","Reference / source","Reference","(Brzeziecki & Kienast 94)","","","","","","","","","",""
"Cornelissen","Johannes",37,"Sheffield Database","Betula pendula","7356","Betula pendula","16017","454163",4,"Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)","4","Wood density; stem specific density; wood specific gravity","Wood density","610","kg/m3","Single","","","","0.61","g/cm3","","5828570","0.315853"
"Cornelissen","Johannes",37,"Sheffield Database","Betula pendula","7356","Betula pendula","16017","454164",NA,"","113","Reference / source","Reference","(Brzeziecki & Kienast 94)","","","","","","","","","",""
"Cornelissen","Johannes",37,"Sheffield Database","Betula pubescens","7359","Betula pubescens","16018","454165",4,"Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)","4","Wood density; stem specific density; wood specific gravity","Wood density","610","kg/m3","Single","","","","0.61","g/cm3","","","0.293322"
"Cornelissen","Johannes",37,"Sheffield Database","Betula pubescens","7359","Betula pubescens","16018","454166",NA,"","113","Reference / source","Reference","(Brzeziecki & Kienast 94)","","","","","","","","","",""
"Cornelissen","Johannes",37,"Sheffield Database","Ulmus minor","55465","Ulmus minor","16022","454173",4,"Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)","4","Wood density; stem specific density; wood specific gravity","Wood density","640","kg/m3","Single","","","","0.64","g/cm3","","","0.367486"
"Cornelissen","Johannes",37,"Sheffield Database","Ulmus minor","55465","Ulmus minor","16022","454174",NA,"","113","Reference / source","Reference","(Brzeziecki & Kienast 94)","","","","","","","","","",""
"Cornelissen","Johannes",37,"Sheffield Database","Fraxinus excelsior","25247","Fraxinus excelsior","16023","454175",4,"Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)","4","Wood density; stem specific density; wood specific gravity","Wood density","650","kg/m3","Single","","","","0.65","g/cm3","","5828201","0.404583"
"Cornelissen","Johannes",37,"Sheffield Database","Fraxinus excelsior","25247","Fraxinus excelsior","16023","454176",NA,"","113","Reference / source","Reference","(Brzeziecki & Kienast 94)","","","","","","","","","",""
"Cornelissen","Johannes",37,"Sheffield Database","Quercus petraea","45457","Quercus petraea","16024","454177",4,"Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)","4","Wood density; stem specific density; wood specific gravity","Wood density","650","kg/m3","Single","","","","0.65","g/cm3","","5839855","0.706061"
"Cornelissen","Johannes",37,"Sheffield Database","Quercus petraea","45457","Quercus petraea","16024","454178",NA,"","113","Reference / source","Reference","(Brzeziecki & Kienast 94)","","","","","","","","","",""
"Cornelissen","Johannes",37,"Sheffield Database","Sorbus aucuparia","50997","Sorbus aucuparia","16031","454191",4,"Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)","4","Wood density; stem specific density; wood specific gravity","Wood density","730","kg/m3","Single","","","","0.73","g/cm3","","","1.35847"
"Cornelissen","Johannes",37,"Sheffield Database","Sorbus aucuparia","50997","Sorbus aucuparia","16031","454192",NA,"","113","Reference / source","Reference","(Brzeziecki & Kienast 94)","","","","","","","","","",""
"Cornelissen","Johannes",37,"Sheffield Database","Carpinus betulus","10773","Carpinus betulus","16032","454193",4,"Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)","4","Wood density; stem specific density; wood specific gravity","Wood density","790","kg/m3","Single","","","","0.79","g/cm3","","","1.224"
"Cornelissen","Johannes",37,"Sheffield Database","Carpinus betulus","10773","Carpinus betulus","16032","454194",NA,"","113","Reference / source","Reference","(Brzeziecki & Kienast 94)","","","","","","","","","",""
"Cornelissen","Johannes",37,"Sheffield Database","Corylus avellana","14688","Corylus avellana","16036","454201",4,"Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume)","4","Wood density; stem specific density; wood specific gravity","Wood density","600","kg/m3","Single","","","","0.6","g/cm3","","5836781","0.213064"
"Cornelissen","Johannes",37,"Sheffield Database","Corylus avellana","14688","Corylus avellana","16036","454202",NA,"","113","Reference / source","Reference","Sch¸tt et al. 1994"," Enzyklop‰die der Holzgew‰chse","","","","","","","","",""
