"LastName","FirstName","DatasetID","Dataset","SpeciesName","AccSpeciesID","AccSpeciesName","ObservationID","ObsDataID","TraitID","TraitName","DataID","DataName","OriglName","OrigValueStr","OrigUnitStr","ValueKindName","OrigUncertaintyStr","UncertaintyName","Replicates","StdValue","UnitName","RelUncertaintyPercent","OrigObsDataID","ErrorRisk"
"Benavides","Raquel",373,"Leaf vein density of Fagus sylvatica L. and Quercus faginea Lam.","Quercus faginea Lam.","45374","Quercus faginea","2547000","22168367",NA,"","441","Plant ID / Individual ID","Tree ID","SP-01-QUFA-15","","","","","","","","","",""
"Benavides","Raquel",373,"Leaf vein density of Fagus sylvatica L. and Quercus faginea Lam.","Quercus faginea Lam.","45374","Quercus faginea","2547000","22168368",NA,"","1965","Collector / recorder / operator","Collector","R. Benavides","","","","","","","","","",""
"Benavides","Raquel",373,"Leaf vein density of Fagus sylvatica L. and Quercus faginea Lam.","Quercus faginea Lam.","45374","Quercus faginea","2547000","22168369",NA,"","1412","Location Country","Country","Spain","","","","","","","","","",""
"Benavides","Raquel",373,"Leaf vein density of Fagus sylvatica L. and Quercus faginea Lam.","Quercus faginea Lam.","45374","Quercus faginea","2547000","22168370",NA,"","1736","Location Name","Geography hierarchy","Alto Tajo Natural Park (Guadalajara)","","","","","","","","","",""
"Benavides","Raquel",373,"Leaf vein density of Fagus sylvatica L. and Quercus faginea Lam.","Quercus faginea Lam.","45374","Quercus faginea","2547000","22168371",NA,"","59","Latitude","Latitude","40.659","","","","","","40.659","","","",""
"Benavides","Raquel",373,"Leaf vein density of Fagus sylvatica L. and Quercus faginea Lam.","Quercus faginea Lam.","45374","Quercus faginea","2547000","22168372",NA,"","60","Longitude","Longitude","-2.27","","","","","","-2.27","","","",""
"Benavides","Raquel",373,"Leaf vein density of Fagus sylvatica L. and Quercus faginea Lam.","Quercus faginea Lam.","45374","Quercus faginea","2547000","22168373",NA,"","61","Altitude","Altitude","1224","","","","","","1224","m","","",""
"Benavides","Raquel",373,"Leaf vein density of Fagus sylvatica L. and Quercus faginea Lam.","Quercus faginea Lam.","45374","Quercus faginea","2547000","22168374",NA,"","1863","Habitat / plot description","Habitat","Coniferous and broadleaf Mediterranean forests","","","","","","","","","",""
"Benavides","Raquel",373,"Leaf vein density of Fagus sylvatica L. and Quercus faginea Lam.","Quercus faginea Lam.","45374","Quercus faginea","2547000","22168375",NA,"","241","Measurement date / sampling date","Sampling date","2/06/2013-18/06/2013","dd/mm/yyyy ","","","","","","","","",""
"Benavides","Raquel",373,"Leaf vein density of Fagus sylvatica L. and Quercus faginea Lam.","Quercus faginea Lam.","45374","Quercus faginea","2547000","22168376",NA,"","327","Exposition","Exposition","natural environment","","","","","","","","","",""
"Benavides","Raquel",373,"Leaf vein density of Fagus sylvatica L. and Quercus faginea Lam.","Quercus faginea Lam.","45374","Quercus faginea","2547000","22168377",NA,"","443","Canopy position: sun vers. Shade leaf qualifier"," light exposure","Light exposure","sun","","","","","","","","",""
"Benavides","Raquel",373,"Leaf vein density of Fagus sylvatica L. and Quercus faginea Lam.","Quercus faginea Lam.","45374","Quercus faginea","2547000","22168379",740,"Leaf vein density","1573","Leaf vein density: primary veins","Vein density_1∞","5.53E-02","mm/mm≤","Single","","","","5.53E-02","unknown","","","1.85907"
"Benavides","Raquel",373,"Leaf vein density of Fagus sylvatica L. and Quercus faginea Lam.","Quercus faginea Lam.","45374","Quercus faginea","2547000","22168380",740,"Leaf vein density","1574","Leaf vein density: secondary veins","Vein density_2∞","0.27301481","mm/mm≤","Single","","","","0.27301481","unknown","","","2.04542"
"Benavides","Raquel",373,"Leaf vein density of Fagus sylvatica L. and Quercus faginea Lam.","Quercus faginea Lam.","45374","Quercus faginea","2547000","22168381",740,"Leaf vein density","1575","Leaf vein density: tertiary veins","Vein density_3∞","0.543928408","mm/mm≤","Single","","","","0.543928408","unknown","","","0.795357"
"Benavides","Raquel",373,"Leaf vein density of Fagus sylvatica L. and Quercus faginea Lam.","Quercus faginea Lam.","45374","Quercus faginea","2547000","22168382",740,"Leaf vein density","1576","Leaf vein density: major veins","MajorVLA","0.87225817","mm/mm≤","Single","","","","0.87225817","unknown","","","1.41417"
"Benavides","Raquel",373,"Leaf vein density of Fagus sylvatica L. and Quercus faginea Lam.","Quercus faginea Lam.","45374","Quercus faginea","2547000","22168383",NA,"","1489","Image ID"," photo ID"," picture ID"," url","Name of leaf image in Cleared Leaf Image Database","0-161-01","","","","","","",""
