"LastName","FirstName","DatasetID","Dataset","SpeciesName","AccSpeciesID","AccSpeciesName","ObservationID","ObsDataID","TraitID","TraitName","DataID","DataName","OriglName","OrigValueStr","OrigUnitStr","ValueKindName","OrigUncertaintyStr","UncertaintyName","Replicates","StdValue","UnitName","RelUncertaintyPercent","OrigObsDataID","ErrorRisk"
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Acer pseudoplatanus","855","Acer pseudoplatanus","1354666","9632176",NA,"","2069","Change Index","Change Index ","-0.39809","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Acer pseudoplatanus","855","Acer pseudoplatanus","1354666","9632177",3106,"Plant height vegetative","1937","Plant height (unspecified if vegetative or reproductive)","Height (terrestrial) ","3000","cm","Maximum","","","","30","m","","","3.61258"
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Acer pseudoplatanus","855","Acer pseudoplatanus","1354666","9632181",NA,"","2074","January mean temperature","January mean temperature ","3.56826972","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Acer pseudoplatanus","855","Acer pseudoplatanus","1354666","9632182",NA,"","2075","July mean temperature","July mean temperature ","14.5665564","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Acer pseudoplatanus","855","Acer pseudoplatanus","1354666","9632183",NA,"","2076","Annual precipitation","Annual precipitation","1082.828391","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Acer pseudoplatanus","855","Acer pseudoplatanus","1354666","9632189",NA,"","113","Reference / source","Source for max height","Bean (1950-1) - ""at its best over 100 ft""","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Acer pseudoplatanus","855","Acer pseudoplatanus","1354666","9632193",38,"Plant woodiness","43","Woodiness","Woodiness ","Woody","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Acer pseudoplatanus","855","Acer pseudoplatanus","1354666","9632195",NA,"","193","Vegetation type / Biome","Major Biome (European distribution)","Temperate","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Aesculus hippocastanum","1571","Aesculus hippocastanum","1354678","9632473",NA,"","2069","Change Index","Change Index ","1.07688","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Aesculus hippocastanum","1571","Aesculus hippocastanum","1354678","9632474",3106,"Plant height vegetative","1937","Plant height (unspecified if vegetative or reproductive)","Height (terrestrial) ","3200","cm","Maximum","","","","32","m","","","3.6628"
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Aesculus hippocastanum","1571","Aesculus hippocastanum","1354678","9632478",NA,"","2074","January mean temperature","January mean temperature ","3.557871179","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Aesculus hippocastanum","1571","Aesculus hippocastanum","1354678","9632479",NA,"","2075","July mean temperature","July mean temperature ","14.83813683","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Aesculus hippocastanum","1571","Aesculus hippocastanum","1354678","9632480",NA,"","2076","Annual precipitation","Annual precipitation","1014.273199","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Aesculus hippocastanum","1571","Aesculus hippocastanum","1354678","9632486",NA,"","113","Reference / source","Source for max height","average of CTW & Stace","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Aesculus hippocastanum","1571","Aesculus hippocastanum","1354678","9632490",38,"Plant woodiness","43","Woodiness","Woodiness ","Woody","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Alnus glutinosa","2710","Alnus glutinosa","1354725","9633653",NA,"","2069","Change Index","Change Index ","-0.32251","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Alnus glutinosa","2710","Alnus glutinosa","1354725","9633654",3106,"Plant height vegetative","1937","Plant height (unspecified if vegetative or reproductive)","Height (terrestrial) ","2000","cm","Maximum","","","","20","m","","","3.29708"
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Alnus glutinosa","2710","Alnus glutinosa","1354725","9633662",NA,"","2074","January mean temperature","January mean temperature ","3.491072378","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Alnus glutinosa","2710","Alnus glutinosa","1354725","9633663",NA,"","2075","July mean temperature","July mean temperature ","14.54472378","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Alnus glutinosa","2710","Alnus glutinosa","1354725","9633664",NA,"","2076","Annual precipitation","Annual precipitation","1099.503928","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Alnus glutinosa","2710","Alnus glutinosa","1354725","9633670",NA,"","113","Reference / source","Source for max height","CTW (1962)","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Alnus glutinosa","2710","Alnus glutinosa","1354725","9633672",NA,"","2068","Species rarity status","Rarity status ","Present"," not rare or scarce","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Alnus glutinosa","2710","Alnus glutinosa","1354725","9633675",38,"Plant woodiness","43","Woodiness","Woodiness ","Woody","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Alnus glutinosa","2710","Alnus glutinosa","1354725","9633677",NA,"","193","Vegetation type / Biome","Major Biome (European distribution)","Temperate","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Alnus incana","2712","Alnus incana","1354726","9633679",3106,"Plant height vegetative","1937","Plant height (unspecified if vegetative or reproductive)","Height (terrestrial) ","2000","cm","Maximum","","","","20","m","","","3.29708"
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Alnus incana","2712","Alnus incana","1354726","9633683",NA,"","2074","January mean temperature","January mean temperature ","3.412547771","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Alnus incana","2712","Alnus incana","1354726","9633684",NA,"","2075","July mean temperature","July mean temperature ","15.00168153","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Alnus incana","2712","Alnus incana","1354726","9633685",NA,"","2076","Annual precipitation","Annual precipitation","983.7368981","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Alnus incana","2712","Alnus incana","1354726","9633691",NA,"","113","Reference / source","Source for max height","CTW (1962)","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Alnus incana","2712","Alnus incana","1354726","9633695",38,"Plant woodiness","43","Woodiness","Woodiness ","Woody","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Alnus incana","2712","Alnus incana","1354726","9633697",NA,"","193","Vegetation type / Biome","Major Biome (European distribution)","Boreal-montane","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Betula pendula","7356","Betula pendula","1354849","9636751",NA,"","2069","Change Index","Change Index ","-0.22589","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Betula pendula","7356","Betula pendula","1354849","9636752",3106,"Plant height vegetative","1937","Plant height (unspecified if vegetative or reproductive)","Height (terrestrial) ","2500","cm","Maximum","","","","25","m","","","3.47071"
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Betula pendula","7356","Betula pendula","1354849","9636760",NA,"","2074","January mean temperature","January mean temperature ","3.278802686","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Betula pendula","7356","Betula pendula","1354849","9636761",NA,"","2075","July mean temperature","July mean temperature ","14.61938829","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Betula pendula","7356","Betula pendula","1354849","9636762",NA,"","2076","Annual precipitation","Annual precipitation","1073.009407","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Betula pendula","7356","Betula pendula","1354849","9636768",NA,"","113","Reference / source","Source for max height","CTW (1962)","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Betula pendula","7356","Betula pendula","1354849","9636770",NA,"","2068","Species rarity status","Rarity status ","Present"," not rare or scarce","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Betula pendula","7356","Betula pendula","1354849","9636773",38,"Plant woodiness","43","Woodiness","Woodiness ","Woody","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Betula pendula","7356","Betula pendula","1354849","9636775",NA,"","193","Vegetation type / Biome","Major Biome (European distribution)","Boreo-temperate","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Betula pendula","7356","Betula pendula","1354849","9636777",NA,"","1863","Habitat / plot description","Broad Habitats ","Broadleaved"," mixed and yew woodland","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Betula pubescens","7359","Betula pubescens","1354850","9636778",NA,"","2069","Change Index","Change Index ","0.40089","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Betula pubescens","7359","Betula pubescens","1354850","9636779",3106,"Plant height vegetative","1937","Plant height (unspecified if vegetative or reproductive)","Height (terrestrial) ","2000","cm","Maximum","","","","20","m","","","3.29708"
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Betula pubescens","7359","Betula pubescens","1354850","9636787",NA,"","2074","January mean temperature","January mean temperature ","3.393389991","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Betula pubescens","7359","Betula pubescens","1354850","9636788",NA,"","2075","July mean temperature","July mean temperature ","14.43134718","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Betula pubescens","7359","Betula pubescens","1354850","9636789",NA,"","2076","Annual precipitation","Annual precipitation","1123.346667","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Betula pubescens","7359","Betula pubescens","1354850","9636795",NA,"","113","Reference / source","Source for max height","CTW (1962)","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Betula pubescens","7359","Betula pubescens","1354850","9636797",NA,"","2068","Species rarity status","Rarity status ","Present"," not rare or scarce","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Betula pubescens","7359","Betula pubescens","1354850","9636800",38,"Plant woodiness","43","Woodiness","Woodiness ","Woody","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Betula pubescens","7359","Betula pubescens","1354850","9636802",NA,"","193","Vegetation type / Biome","Major Biome (European distribution)","Boreo-temperate","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Betula pubescens","7359","Betula pubescens","1354850","9636804",NA,"","1863","Habitat / plot description","Broad Habitats ","Broadleaved"," mixed and yew woodland","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Carpinus betulus","10773","Carpinus betulus","1355003","9640743",NA,"","2069","Change Index","Change Index ","0.84123","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Carpinus betulus","10773","Carpinus betulus","1355003","9640744",3106,"Plant height vegetative","1937","Plant height (unspecified if vegetative or reproductive)","Height (terrestrial) ","3000","cm","Maximum","","","","30","m","","","3.61258"
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Carpinus betulus","10773","Carpinus betulus","1355003","9640752",NA,"","2074","January mean temperature","January mean temperature ","3.553156533","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Carpinus betulus","10773","Carpinus betulus","1355003","9640753",NA,"","2075","July mean temperature","July mean temperature ","15.38366753","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Carpinus betulus","10773","Carpinus betulus","1355003","9640754",NA,"","2076","Annual precipitation","Annual precipitation","894.5293807","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Carpinus betulus","10773","Carpinus betulus","1355003","9640760",NA,"","113","Reference / source","Source for max height","CTW (1962)","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Carpinus betulus","10773","Carpinus betulus","1355003","9640762",NA,"","2068","Species rarity status","Rarity status ","Present"," not rare or scarce","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Carpinus betulus","10773","Carpinus betulus","1355003","9640765",38,"Plant woodiness","43","Woodiness","Woodiness ","Woody","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Carpinus betulus","10773","Carpinus betulus","1355003","9640767",NA,"","193","Vegetation type / Biome","Major Biome (European distribution)","Temperate","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Carpinus betulus","10773","Carpinus betulus","1355003","9640769",NA,"","1863","Habitat / plot description","Broad Habitats ","Broadleaved"," mixed and yew woodland","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Corylus avellana","14688","Corylus avellana","1355115","9643508",NA,"","2069","Change Index","Change Index ","-0.53798","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Corylus avellana","14688","Corylus avellana","1355115","9643509",3106,"Plant height vegetative","1937","Plant height (unspecified if vegetative or reproductive)","Height (terrestrial) ","600","cm","Maximum","","","","6","m","","","2.36024"
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Corylus avellana","14688","Corylus avellana","1355115","9643517",NA,"","2074","January mean temperature","January mean temperature ","3.517758827","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Corylus avellana","14688","Corylus avellana","1355115","9643518",NA,"","2075","July mean temperature","July mean temperature ","14.5740006","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Corylus avellana","14688","Corylus avellana","1355115","9643519",NA,"","2076","Annual precipitation","Annual precipitation","1094.454904","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Corylus avellana","14688","Corylus avellana","1355115","9643525",NA,"","113","Reference / source","Source for max height","Stace (1991)","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Corylus avellana","14688","Corylus avellana","1355115","9643527",NA,"","2068","Species rarity status","Rarity status ","Present"," not rare or scarce","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Corylus avellana","14688","Corylus avellana","1355115","9643530",38,"Plant woodiness","43","Woodiness","Woodiness ","Woody","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Corylus avellana","14688","Corylus avellana","1355115","9643532",NA,"","193","Vegetation type / Biome","Major Biome (European distribution)","Temperate","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Fraxinus excelsior","25247","Fraxinus excelsior","1355360","9649637",NA,"","2069","Change Index","Change Index ","-0.73251","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Fraxinus excelsior","25247","Fraxinus excelsior","1355360","9649638",3106,"Plant height vegetative","1937","Plant height (unspecified if vegetative or reproductive)","Height (terrestrial) ","2500","cm","Maximum","","","","25","m","","","3.47071"
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Fraxinus excelsior","25247","Fraxinus excelsior","1355360","9649646",NA,"","2074","January mean temperature","January mean temperature ","3.574319858","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Fraxinus excelsior","25247","Fraxinus excelsior","1355360","9649647",NA,"","2075","July mean temperature","July mean temperature ","14.65524639","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Fraxinus excelsior","25247","Fraxinus excelsior","1355360","9649648",NA,"","2076","Annual precipitation","Annual precipitation","1068.529229","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Fraxinus excelsior","25247","Fraxinus excelsior","1355360","9649654",NA,"","113","Reference / source","Source for max height","CTW (1962)","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Fraxinus excelsior","25247","Fraxinus excelsior","1355360","9649656",NA,"","2068","Species rarity status","Rarity status ","Present"," not rare or scarce","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Fraxinus excelsior","25247","Fraxinus excelsior","1355360","9649659",38,"Plant woodiness","43","Woodiness","Woodiness ","Woody","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Fraxinus excelsior","25247","Fraxinus excelsior","1355360","9649661",NA,"","193","Vegetation type / Biome","Major Biome (European distribution)","Temperate","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Fraxinus excelsior","25247","Fraxinus excelsior","1355360","9649663",NA,"","1863","Habitat / plot description","Broad Habitats ","Broadleaved"," mixed and yew woodland","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Larix decidua","32364","Larix decidua","1355583","9655253",NA,"","2069","Change Index","Change Index ","2.90948","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Larix decidua","32364","Larix decidua","1355583","9655254",3106,"Plant height vegetative","1937","Plant height (unspecified if vegetative or reproductive)","Height (terrestrial) ","4600","cm","Maximum","","","","46","m","","","3.94518"
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Larix decidua","32364","Larix decidua","1355583","9655258",NA,"","2074","January mean temperature","January mean temperature ","3.271531449","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Larix decidua","32364","Larix decidua","1355583","9655259",NA,"","2075","July mean temperature","July mean temperature ","14.66578396","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Larix decidua","32364","Larix decidua","1355583","9655260",NA,"","2076","Annual precipitation","Annual precipitation","1049.198105","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Larix decidua","32364","Larix decidua","1355583","9655266",NA,"","113","Reference / source","Source for max height","Stace (1991)","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Larix decidua","32364","Larix decidua","1355583","9655270",38,"Plant woodiness","43","Woodiness","Woodiness ","Woody","","","","","","","","","",""
"Biological Records Centre (BRC)","",178,"PLANTATT - Attributes of British and Irish Plants","Larix decidua x kaempferi (L. x marschlinsii)","32364","Larix decidua","1355584","9655273",3106,"Plant height vegetative","1937","Plant height (unspecified if vegetative or reproductive)","Height (terrestrial) ","3000","cm","Maximum","","","","30","m","","","3.61258"
