"LastName","FirstName","DatasetID","Dataset","SpeciesName","AccSpeciesID","AccSpeciesName","ObservationID","ObsDataID","TraitID","TraitName","DataID","DataName","OriglName","OrigValueStr","OrigUnitStr","ValueKindName","OrigUncertaintyStr","UncertaintyName","Replicates","StdValue","UnitName","RelUncertaintyPercent","OrigObsDataID","ErrorRisk"
"Dickie","Ian",189,"Mycorrhiza Database","Picea abies",41907,"Picea abies",1435180,10702625,38,"Plant woodiness",43,"Woodiness","woody","Woody","","",NA,"",NA,NA,"",NA,NA,NA
"Dickie","Ian",189,"Mycorrhiza Database","Alnus glutinosa",2710,"Alnus glutinosa",1435524,10703313,38,"Plant woodiness",43,"Woodiness","woody","Woody","","",NA,"",NA,NA,"",NA,NA,NA
"Dickie","Ian",189,"Mycorrhiza Database","Alnus glutinosa x A. incana",2710,"Alnus glutinosa",1435525,10703315,38,"Plant woodiness",43,"Woodiness","woody","Woody","","",NA,"",NA,NA,"",NA,NA,NA
"Dickie","Ian",189,"Mycorrhiza Database","Alnus incana",2712,"Alnus incana",1435526,10703317,38,"Plant woodiness",43,"Woodiness","woody","Woody","","",NA,"",NA,NA,"",NA,NA,NA
"Dickie","Ian",189,"Mycorrhiza Database","Betula alba",7359,"Betula pubescens",1435531,10703327,38,"Plant woodiness",43,"Woodiness","woody","Woody","","",NA,"",NA,NA,"",NA,NA,NA
"Dickie","Ian",189,"Mycorrhiza Database","Betula pendula",7356,"Betula pendula",1435544,10703353,38,"Plant woodiness",43,"Woodiness","woody","Woody","","",NA,"",NA,NA,"",NA,NA,NA
"Dickie","Ian",189,"Mycorrhiza Database","Betula pubescens",7359,"Betula pubescens",1435547,10703359,38,"Plant woodiness",43,"Woodiness","woody","Woody","","",NA,"",NA,NA,"",NA,NA,NA
"Dickie","Ian",189,"Mycorrhiza Database","Carpinus betulus",10773,"Carpinus betulus",1435551,10703367,38,"Plant woodiness",43,"Woodiness","woody","Woody","","",NA,"",NA,NA,"",NA,NA,NA
"Dickie","Ian",189,"Mycorrhiza Database","Corylus avellana",14688,"Corylus avellana",1435574,10703413,38,"Plant woodiness",43,"Woodiness","woody","Woody","","",NA,"",NA,NA,"",NA,NA,NA
"Dickie","Ian",189,"Mycorrhiza Database","Quercus borealis",45473,"Quercus rubra",1435611,10703487,38,"Plant woodiness",43,"Woodiness","woody","Woody","","",NA,"",NA,NA,"",NA,NA,NA
"Dickie","Ian",189,"Mycorrhiza Database","Quercus rubra",45473,"Quercus rubra",1435643,10703551,38,"Plant woodiness",43,"Woodiness","woody","Woody","","",NA,"",NA,NA,"",NA,NA,NA
"Dickie","Ian",189,"Mycorrhiza Database","Populus tremula",43532,"Populus tremula",1435723,10703711,38,"Plant woodiness",43,"Woodiness","woody","Woody","","",NA,"",NA,NA,"",NA,NA,NA
"Dickie","Ian",189,"Mycorrhiza Database","Prunus padus",44388,"Prunus padus",1435882,10704029,38,"Plant woodiness",43,"Woodiness","woody","Woody","","",NA,"",NA,NA,"",NA,NA,NA
