"LastName","FirstName","DatasetID","Dataset","SpeciesName","AccSpeciesID","AccSpeciesName","ObservationID","ObsDataID","TraitID","TraitName","DataID","DataName","OriglName","OrigValueStr","OrigUnitStr","ValueKindName","OrigUncertaintyStr","UncertaintyName","Replicates","StdValue","UnitName","RelUncertaintyPercent","OrigObsDataID","ErrorRisk"
"Enquist","Brian",129,"The Americas N&P database","Alnus glutinosa",2710,"Alnus glutinosa",963827,6105326,NA,"",1490,"Family APG","FamilyAPG","Betulaceae","","",NA,"",NA,NA,"",NA,NA,NA
"Enquist","Brian",129,"The Americas N&P database","Alnus glutinosa",2710,"Alnus glutinosa",963827,6105327,NA,"",846,"Family","Family","Betulaceae","","",NA,"",NA,NA,"",NA,NA,NA
"Enquist","Brian",129,"The Americas N&P database","Alnus glutinosa",2710,"Alnus glutinosa",963827,6105328,NA,"",1422,"Genus","Genus","Alnus","","",NA,"",NA,NA,"",NA,NA,NA
"Enquist","Brian",129,"The Americas N&P database","Alnus glutinosa",2710,"Alnus glutinosa",963827,6105330,38,"Plant woodiness",43,"Woodiness","Habit: woodiness","woody","","",NA,"",NA,NA,"",NA,NA,NA
"Enquist","Brian",129,"The Americas N&P database","Alnus incana",2712,"Alnus incana",963828,6105331,NA,"",1490,"Family APG","FamilyAPG","Betulaceae","","",NA,"",NA,NA,"",NA,NA,NA
"Enquist","Brian",129,"The Americas N&P database","Alnus incana",2712,"Alnus incana",963828,6105332,NA,"",846,"Family","Family","Betulaceae","","",NA,"",NA,NA,"",NA,NA,NA
"Enquist","Brian",129,"The Americas N&P database","Alnus incana",2712,"Alnus incana",963828,6105333,NA,"",1422,"Genus","Genus","Alnus","","",NA,"",NA,NA,"",NA,NA,NA
"Enquist","Brian",129,"The Americas N&P database","Alnus incana",2712,"Alnus incana",963828,6105337,38,"Plant woodiness",43,"Woodiness","Habit: woodiness","woody","","",NA,"",NA,NA,"",NA,NA,NA
"Enquist","Brian",129,"The Americas N&P database","Betula alba",7359,"Betula pubescens",963832,6105357,NA,"",1490,"Family APG","FamilyAPG","Betulaceae","","",NA,"",NA,NA,"",NA,NA,NA
"Enquist","Brian",129,"The Americas N&P database","Betula alba",7359,"Betula pubescens",963832,6105358,NA,"",846,"Family","Family","Betulaceae","","",NA,"",NA,NA,"",NA,NA,NA
"Enquist","Brian",129,"The Americas N&P database","Betula alba",7359,"Betula pubescens",963832,6105359,NA,"",1422,"Genus","Genus","Betula","","",NA,"",NA,NA,"",NA,NA,NA
