"","LastName","FirstName","DatasetID","Dataset","SpeciesName","ObservationID","Reference / source","Woodiness"
"1","Wright","Ian",57,"Categorical Plant Traits Database","Abies alba",327810,"leafSize","woody"
"2","Wright","Ian",57,"Categorical Plant Traits Database","Acer pensylvanicum",327996,"leafSize","woody"
"3","Wright","Ian",57,"Categorical Plant Traits Database","Acer pensylvanicum",327997,"USforestTrees","woody"
"4","Wright","Ian",57,"Categorical Plant Traits Database","Acer pseudoplatanus",328000,"leafSize","woody"
"5","Wright","Ian",57,"Categorical Plant Traits Database","Acer rubrum",328002,"leafSize","woody"
"6","Wright","Ian",57,"Categorical Plant Traits Database","Acer rubrum",328003,"USforestTrees","woody"
"7","Wright","Ian",57,"Categorical Plant Traits Database","Acer saccharum",328006,"leafSize","woody"
"8","Wright","Ian",57,"Categorical Plant Traits Database","Acer saccharum",328007,"USforestTrees","woody"
"9","Wright","Ian",57,"Categorical Plant Traits Database","Aesculus hippocastanum",328100,"leafSize","woody"
"10","Wright","Ian",57,"Categorical Plant Traits Database","Alnus glutinosa",328227,"leafSize","woody"
"11","Wright","Ian",57,"Categorical Plant Traits Database","Alnus incana",328229,"leafSize","woody"
"12","Wright","Ian",57,"Categorical Plant Traits Database","Betula alleghaniensis",328889,"leafSize","woody"
"13","Wright","Ian",57,"Categorical Plant Traits Database","Betula alleghaniensis",328890,"USforestTrees","woody"
"14","Wright","Ian",57,"Categorical Plant Traits Database","Betula lenta",328893,"leafSize","woody"
"15","Wright","Ian",57,"Categorical Plant Traits Database","Betula lutea",328894,"leafSize","woody"
"16","Wright","Ian",57,"Categorical Plant Traits Database","Betula papyrifera",328900,"leafSize","woody"
"17","Wright","Ian",57,"Categorical Plant Traits Database","Betula papyrifera",328901,"USforestTrees","woody"
"18","Wright","Ian",57,"Categorical Plant Traits Database","Betula pendula",328902,"leafSize","woody"
"19","Wright","Ian",57,"Categorical Plant Traits Database","Betula pubescens",328906,"leafSize","woody"
"20","Wright","Ian",57,"Categorical Plant Traits Database","Carpinus betulus",329362,"leafSize","woody"
"21","Wright","Ian",57,"Categorical Plant Traits Database","Corylus avellana",330259,"leafSize","woody"
"22","Wright","Ian",57,"Categorical Plant Traits Database","Corylus cornuta",330260,"leafSize","woody"
"23","Wright","Ian",57,"Categorical Plant Traits Database","Fagus grandifolia",331471,"leafSize","woody"
"24","Wright","Ian",57,"Categorical Plant Traits Database","Fagus grandifolia",331472,"USforestTrees","woody"
"25","Wright","Ian",57,"Categorical Plant Traits Database","Fraxinus excelsior",331637,"leafSize","woody"
"26","Wright","Ian",57,"Categorical Plant Traits Database","Fraxinus nigra",331639,"USforestTrees","woody"
"27","Wright","Ian",57,"Categorical Plant Traits Database","Hamamelis virginiana",332149,"leafSize","woody"
"28","Wright","Ian",57,"Categorical Plant Traits Database","Hamamelis virginiana",332150,"USforestTrees","woody"
"29","Wright","Ian",57,"Categorical Plant Traits Database","Larix decidua",332926,"leafSize","woody"
"30","Wright","Ian",57,"Categorical Plant Traits Database","Larix decidua",332927,"USforestTrees","woody"
"31","Wright","Ian",57,"Categorical Plant Traits Database","Lyonia cf_ligustrina",333321,"leafSize","woody"
"32","Wright","Ian",57,"Categorical Plant Traits Database","Lyonia ligustrina",333325,"leafSize","woody"
"33","Wright","Ian",57,"Categorical Plant Traits Database","Malus domestica",333473,"leafSize","woody"
"34","Wright","Ian",57,"Categorical Plant Traits Database","Nyssa sylvatica",334221,"leafSize","woody"
"35","Wright","Ian",57,"Categorical Plant Traits Database","Nyssa sylvatica",334222,"USforestTrees","woody"
"36","Wright","Ian",57,"Categorical Plant Traits Database","Padus avium",334532,"leafSize","woody"
"37","Wright","Ian",57,"Categorical Plant Traits Database","Photinia melanocarpa",334868,"leafSize","woody"
"38","Wright","Ian",57,"Categorical Plant Traits Database","Picea abies",334911,"leafSize","woody"
"39","Wright","Ian",57,"Categorical Plant Traits Database","Picea abies",334912,"USforestTrees","woody"
"40","Wright","Ian",57,"Categorical Plant Traits Database","Picea abies_x_obovata",334913,"leafSize","woody"
"41","Wright","Ian",57,"Categorical Plant Traits Database","Populus grandidentata",335268,"leafSize","woody"
"42","Wright","Ian",57,"Categorical Plant Traits Database","Populus grandidentata",335269,"USforestTrees","woody"
"43","Wright","Ian",57,"Categorical Plant Traits Database","Populus tremula",335272,"leafSize","woody"
"44","Wright","Ian",57,"Categorical Plant Traits Database","Prunus avium",335556,"leafSize","woody"
"45","Wright","Ian",57,"Categorical Plant Traits Database","Prunus padus",335571,"leafSize","woody"
"46","Wright","Ian",57,"Categorical Plant Traits Database","Prunus pensylvanica",335572,"leafSize","woody"
"47","Wright","Ian",57,"Categorical Plant Traits Database","Prunus pensylvanica",335573,"USforestTrees","woody"
