"","LastName","FirstName","DatasetID","Dataset","SpeciesName","ObservationID","20"
"1","Hawkins","Bradford",184,"Cold Tolerance","Seed Size and Height of North American Forest Tree Species","Acer pensylvanicum","Height (m)"
"2","Hawkins","Bradford",184,"Cold Tolerance","Seed Size and Height of North American Forest Tree Species","Acer rubrum","Height (m)"
"3","Hawkins","Bradford",184,"Cold Tolerance","Seed Size and Height of North American Forest Tree Species","Acer saccharum","Height (m)"
"4","Hawkins","Bradford",184,"Cold Tolerance","Seed Size and Height of North American Forest Tree Species","Alnus incana","Height (m)"
"5","Hawkins","Bradford",184,"Cold Tolerance","Seed Size and Height of North American Forest Tree Species","Betula alleghaniensis","Height (m)"
"6","Hawkins","Bradford",184,"Cold Tolerance","Seed Size and Height of North American Forest Tree Species","Betula lenta","Height (m)"
"7","Hawkins","Bradford",184,"Cold Tolerance","Seed Size and Height of North American Forest Tree Species","Betula papyrifera","Height (m)"
"8","Hawkins","Bradford",184,"Cold Tolerance","Seed Size and Height of North American Forest Tree Species","Fagus grandifolia","Height (m)"
"9","Hawkins","Bradford",184,"Cold Tolerance","Seed Size and Height of North American Forest Tree Species","Fraxinus nigra","Height (m)"
"10","Hawkins","Bradford",184,"Cold Tolerance","Seed Size and Height of North American Forest Tree Species","Hamamelis virginiana","Height (m)"
"11","Hawkins","Bradford",184,"Cold Tolerance","Seed Size and Height of North American Forest Tree Species","Nyssa sylvatica","Height (m)"
"12","Hawkins","Bradford",184,"Cold Tolerance","Seed Size and Height of North American Forest Tree Species","Populus tremula","Height (m)"
"13","Hawkins","Bradford",184,"Cold Tolerance","Seed Size and Height of North American Forest Tree Species","Prunus pensylvanica","Height (m)"
"14","Hawkins","Bradford",184,"Cold Tolerance","Seed Size and Height of North American Forest Tree Species","Quercus alba","Height (m)"
"15","Hawkins","Bradford",184,"Cold Tolerance","Seed Size and Height of North American Forest Tree Species","Quercus rubra","Height (m)"
"16","Hawkins","Bradford",184,"Cold Tolerance","Seed Size and Height of North American Forest Tree Species","Quercus velutina","Height (m)"
"17","Hawkins","Bradford",184,"Cold Tolerance","Seed Size and Height of North American Forest Tree Species","Robinia pseudoacacia","Height (m)"
