"","LastName","FirstName","DatasetID","Dataset","SpeciesName","Altitude","Latitude","Leaf lifespan (longevity","Longitude","Photosynthesis per leaf area at leaf temperature (A_area)","Plant height vegetative","Reference / source","Stomata conductance to water vapour per leaf area"
"1","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Abies alba","150","-51.15","LL)","18.06","5.31918702",NA,"Oleksyn",NA
"2","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Acer pensylvanicum","340","-42.53",NA,"-72.18","9.9",NA,"Bassow",NA
"3","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Acer pseudoplatanus","100","-53.4",NA,"-1.5",NA,"35","CornelUK",NA
"4","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Acer pseudoplatanus","150","-51.15","LL)","18.06","4.4",NA,"Oleksyn","106"
"5","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Acer rubrum","340","-42.53",NA,"-72.18","12.9",NA,"Bassow",NA
"6","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Acer rubrum","217","-45.56",NA,"-84.78","8.288",NA,"Jurik86",NA
"7","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Acer rubrum","775","-35.5","LL)","-83.5","7.7","35","Reich","237"
"8","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Acer rubrum","275","-42.5","LL)","-90","6.5","35","Reich",NA
"9","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Acer rubrum","116","-45.32","LL)","-75.59","5.946846",NA,"Small",NA
"10","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Acer saccharum","340","-42.53",NA,"-72.18","6.9",NA,"Bassow",NA
"11","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Acer saccharum","217","-45.56",NA,"-84.78","5.059",NA,"Jurik86",NA
"12","Wright","Ian",20,"GLOPNET - Global Plant Trait Network Database","Acer saccharum","275","-42.5","LL)","-90","7.6","37","Reich",NA
