"","LastName","FirstName","DatasetID","Dataset","SpeciesName","ObservationID","Latitude","Location","Longitude","Plant developmental status / plant age / maturity / plant life stage","Stem diameter at breast height (1.3 m, DBH)","Treatment exposition"
"1","Gonzalez","Erika",348,"Specific leaf area for woody species at Smithsonian-ForestGEO plot - Virginia, USA","Acer rubrum",2508582,"38.8935","Smithsonian Conservation Biology Institute-ForestGEO Forest Dynamic Plot. Front Royal, Virginia. USA","78.1454","juvenile","46.8","natural environment"
"2","Gonzalez","Erika",348,"Specific leaf area for woody species at Smithsonian-ForestGEO plot - Virginia, USA","Acer rubrum",2508583,"38.8935","Smithsonian Conservation Biology Institute-ForestGEO Forest Dynamic Plot. Front Royal, Virginia. USA","78.1454","juvenile","46.8","natural environment"
"3","Gonzalez","Erika",348,"Specific leaf area for woody species at Smithsonian-ForestGEO plot - Virginia, USA","Acer rubrum",2508584,"38.8935","Smithsonian Conservation Biology Institute-ForestGEO Forest Dynamic Plot. Front Royal, Virginia. USA","78.1454","juvenile","46.8","natural environment"
"4","Gonzalez","Erika",348,"Specific leaf area for woody species at Smithsonian-ForestGEO plot - Virginia, USA","Acer rubrum",2508585,"38.8935","Smithsonian Conservation Biology Institute-ForestGEO Forest Dynamic Plot. Front Royal, Virginia. USA","78.1454","juvenile","46.8","natural environment"
"5","Gonzalez","Erika",348,"Specific leaf area for woody species at Smithsonian-ForestGEO plot - Virginia, USA","Acer rubrum",2508586,"38.8935","Smithsonian Conservation Biology Institute-ForestGEO Forest Dynamic Plot. Front Royal, Virginia. USA","78.1454","mature","125.1","natural environment"
"6","Gonzalez","Erika",348,"Specific leaf area for woody species at Smithsonian-ForestGEO plot - Virginia, USA","Acer rubrum",2508587,"38.8935","Smithsonian Conservation Biology Institute-ForestGEO Forest Dynamic Plot. Front Royal, Virginia. USA","78.1454","mature","125.1","natural environment"
"7","Gonzalez","Erika",348,"Specific leaf area for woody species at Smithsonian-ForestGEO plot - Virginia, USA","Acer rubrum",2508588,"38.8935","Smithsonian Conservation Biology Institute-ForestGEO Forest Dynamic Plot. Front Royal, Virginia. USA","78.1454","mature","125.1","natural environment"
"8","Gonzalez","Erika",348,"Specific leaf area for woody species at Smithsonian-ForestGEO plot - Virginia, USA","Acer rubrum",2508589,"38.8935","Smithsonian Conservation Biology Institute-ForestGEO Forest Dynamic Plot. Front Royal, Virginia. USA","78.1454","mature","125.1","natural environment"
"9","Gonzalez","Erika",348,"Specific leaf area for woody species at Smithsonian-ForestGEO plot - Virginia, USA","Acer rubrum",2508590,"38.8935","Smithsonian Conservation Biology Institute-ForestGEO Forest Dynamic Plot. Front Royal, Virginia. USA","78.1454","mature","125.1","natural environment"
"10","Gonzalez","Erika",348,"Specific leaf area for woody species at Smithsonian-ForestGEO plot - Virginia, USA","Acer rubrum",2508591,"38.8935","Smithsonian Conservation Biology Institute-ForestGEO Forest Dynamic Plot. Front Royal, Virginia. USA","78.1454","mature","240.9","natural environment"
