"","LastName","FirstName","SpeciesName","ObservationID","DatasetID","Dataset","Latitude","Leaf carbon content per dry mass","Leaf photosynthesis at saturating light and ambient CO2 per leaf area (Asat)","Longitude","LDMC"
"1","Wang","Han","Padus avium",2764257,443,"The China Plant Trait Database","42.28385333","266.22",NA,"128.0992067",NA
"2","Wang","Han","Prunus padus",2762003,443,"The China Plant Trait Database","42.98371667","459.894",NA,"130.0811833","260.6172341"
"3","Wang","Han","Robinia pseudoacacia",2762701,443,"The China Plant Trait Database","36.24225","286",NA,"117.0238","393.4040441"
"4","Wang","Han","Robinia pseudoacacia",2763822,443,"The China Plant Trait Database","36.76666667",NA,"6.16","109.25",NA
"5","Wang","Han","Robinia pseudoacacia",2763868,443,"The China Plant Trait Database","36.06666667",NA,"6.24","108.5333333",NA
"6","Wang","Han","Robinia pseudoacacia",2763894,443,"The China Plant Trait Database","37.85",NA,"4.96","110.1666667",NA
"7","Wang","Han","Robinia pseudoacacia",2763895,443,"The China Plant Trait Database","37.85",NA,"4.3","110.1666667",NA
"8","Wang","Han","Robinia pseudoacacia",2763948,443,"The China Plant Trait Database","33.43333333",NA,"14.21","108.4333333",NA
"9","Wang","Han","Robinia pseudoacacia",2764006,443,"The China Plant Trait Database","34.26666667",NA,"10.65","108.0666667",NA
"10","Wang","Han","Robinia pseudoacacia",2764022,443,"The China Plant Trait Database","34.81666667",NA,"14.93","108.0333333",NA
"11","Wang","Han","Sorbus pohuashanensis",2764324,443,"The China Plant Trait Database","42.07172833","267.88",NA,"128.0656183",NA
"12","Wang","Han","Sorbus pohuashanensis",2764330,443,"The China Plant Trait Database","42.06047833","282.58",NA,"128.063265",NA
"13","Wang","Han","Ulmus parvifolia",2762750,443,"The China Plant Trait Database","32.0546","395.614",NA,"118.8596667","466.7075163"
"14","Wang","Han","Ulmus pumila",2763394,443,"The China Plant Trait Database","43.926",NA,NA,"88.113","482.2695035"
"15","Wang","Han","Ulmus pumila",2763830,443,"The China Plant Trait Database","36.76666667",NA,"7.54","109.25",NA
"16","Wang","Han","Ulmus pumila",2763877,443,"The China Plant Trait Database","36.06666667",NA,"6.59","108.5333333",NA
"17","Wang","Han","Ulmus pumila",2763898,443,"The China Plant Trait Database","37.85",NA,"5.93","110.1666667",NA
"18","Wang","Han","Ulmus pumila",2763967,443,"The China Plant Trait Database","38.78333333",NA,"14.1","110.35",NA
