"datasetID","study","Entered.By","genus","species","varetc","woody","population","population.detail","provenance.lat","provenance.long","population.altitude.m","continent","year","material","fieldchill","fieldsample.date","chilltemp","chillphotoperiod","chilldays","forcetemp","forcetemp_night","photoperiod_day","photoperiod_night","respvar","response","response.time","n","error.type","resp.error","figure.table..if.applicable.","growing.lat","growing.long","field.chill.units","cu.model"
"prevey18","exp1","cjc","Alnus","rubra","","yes","Webster Nursery","Washington",38.898556,-77.037852,"","North America",2016,"cuttings","yes","01-Nov-2016","4","ambient","90","16","16","ambient","ambient","daystoflower",1,46.8571428571429,7,"standard deviation",4.25944329025016,"","","","NA",""
"prevey18","exp1","cjc","Alnus","rubra","","yes","Webster Nursery","Washington",38.898556,-77.037852,"","North America",2016,"cuttings","yes","01-Nov-2016","4","ambient","90","16","16","ambient","ambient","daystoflower",1,44.7777777777778,9,"standard deviation",4.20647648804132,"","","","NA",""
"prevey18","exp1","cjc","Alnus","rubra","","yes","Webster Nursery","Washington",38.898556,-77.037852,"","North America",2016,"cuttings","yes","01-Nov-2016","9","ambient","90","16","16","ambient","ambient","daystoflower",1,57.3333333333333,3,"standard deviation",4.04145188432738,"","","","NA",""
"prevey18","exp1","cjc","Alnus","rubra","","yes","Webster Nursery","Washington",38.898556,-77.037852,"","North America",2016,"cuttings","yes","01-Nov-2016","9","ambient","90","16","16","ambient","ambient","daystoflower",1,55.6666666666667,3,"standard deviation",10.9696551146029,"","","","NA",""
"prevey18","exp1","cjc","Alnus","rubra","","yes","Webster Nursery","Washington",38.898556,-77.037852,"","North America",2016,"cuttings","yes","01-Nov-2016","ambient","ambient","","ambient","ambient","ambient","ambient","daystoflower",1,65.4545454545455,11,"standard deviation",12.5089059182939,"","","","NA",""
"prevey18","exp1","cjc","Alnus","rubra","","yes","Webster Nursery","Washington",38.898556,-77.037852,"","North America",2016,"cuttings","yes","12-Jan-2017","ambient","ambient","90","16","16","ambient","ambient","daystoflower",1,53.5,4,"standard deviation",5.44671154612273,"","","","NA",""
"prevey18","exp1","cjc","Alnus","rubra","","yes","Webster Nursery","Washington",38.898556,-77.037852,"","North America",2016,"cuttings","yes","12-Jan-2017","ambient","ambient","90","16","16","ambient","ambient","daystoflower",1,53.1666666666667,6,"standard deviation",7.67897562612792,"","","","NA",""
"prevey18","exp1","cjc","Alnus","rubra","","yes","Webster Nursery","Washington",38.898556,-77.037852,"","North America",2016,"cuttings","yes","01-Nov-2016","ambient","ambient","","ambient","ambient","ambient","ambient","daystoflower",1,67.3333333333333,9,"standard deviation",1.3228756555323,"","","","NA",""
"prevey18","exp1","cjc","Alnus","rubra","","yes","Webster Nursery","Washington",38.898556,-77.037852,"","North America",2016,"cuttings","yes","01-Nov-2016","ambient","ambient","","ambient","ambient","ambient","ambient","daystoflower",1,72.1111111111111,9,"standard deviation",2.97676184991529,"","","","NA",""
"prevey18","exp1","cjc","Alnus","rubra","","yes","Webster Nursery","Washington",38.898556,-77.037852,"","North America",2016,"cuttings","yes","12-Jan-2017","ambient","ambient","90","14.4","14.4","ambient","ambient","daystoflower",1,45.5,4,"standard deviation",3,"","","","NA",""
"prevey18","exp1","cjc","Alnus","rubra","","yes","Webster Nursery","Washington",38.898556,-77.037852,"","North America",2016,"cuttings","yes","12-Jan-2017","ambient","ambient","90","14.4","14.4","ambient","ambient","daystoflower",1,34,6,"standard deviation",5.01996015920445,"","","","NA",""
