datasetID,study,genus,species,varetc,population,population detail,population latlong,population altitude m,material,forcetemp,dormancy_induction_temp,dormancy_induction_days,,photoperiod_day,photoperiod_night,fieldchill,chilltemp,chillphotoperiod,chilldays,number.longdays,irradiance,irradiance units,humidity,respvar,response (pre-treatment),response (post-treatment,response,response time,n,error type,resp_error,figure/table (if applicable)
gutterman88,,Colchicum,tunicatum,,need to check citation more,,,,,15,,,,continuous,continuous,,,,,,,,,percentflowering_on11Sep1983,,,3,,,,,table2
gutterman88,,Colchicum,tunicatum,,need to check citation more,,,,,15,,,,14,12,,,,,,,,,percentflowering_on11Sep1983,,,0,,,,,table2
gutterman88,,Colchicum,tunicatum,,need to check citation more,,,,,15,,,,12,12,,,,,,,,,percentflowering_on11Sep1983,,,0,,,,,table2
gutterman88,,Colchicum,tunicatum,,need to check citation more,,,,,15,,,,8,16,,,,,,,,,percentflowering_on11Sep1983,,,0,,,,,table2
gutterman88,,Colchicum,tunicatum,,need to check citation more,,,,,30,,,,8,16,,,,,,,,,percentflowering_on11Sep1983,,,15,,,,,table2
gutterman88,,Colchicum,tunicatum,,need to check citation more,,,,,30,,,,continuous,continuous,,,,,,,,,percentflowering_on11Sep1983,,,0,,,,,table2
gutterman88,,Colchicum,tunicatum,,need to check citation more,,,,,15,,,,continuous,continuous,,,,,,,,,percentflowering_on18Sep1983,,,30,,,,,table2
gutterman88,,Colchicum,tunicatum,,need to check citation more,,,,,15,,,,14,12,,,,,,,,,percentflowering_on18Sep1983,,,10,,,,,table2
gutterman88,,Colchicum,tunicatum,,need to check citation more,,,,,15,,,,12,12,,,,,,,,,percentflowering_on18Sep1983,,,0,,,,,table2
gutterman88,,Colchicum,tunicatum,,need to check citation more,,,,,15,,,,8,16,,,,,,,,,percentflowering_on18Sep1983,,,0,,,,,table2
gutterman88,,Colchicum,tunicatum,,need to check citation more,,,,,30,,,,8,16,,,,,,,,,percentflowering_on18Sep1983,,,30,,,,,table2
gutterman88,,Colchicum,tunicatum,,need to check citation more,,,,,30,,,,continuous,continuous,,,,,,,,,percentflowering_on18Sep1983,,,0,,,,,table2
gutterman88,,** I did not enter all data from this reference! **,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
basler12,,Acer,psuedoplatanus,,low/west,,,,,meandaily,,,,shortday,shortday,,,,,,,,,daystobudburst,,,47.26,,,SD,4.34,fig3
basler12,,Acer,psuedoplatanus,,low/west,,,,,meandaily,,,,longday,longday,,,,,,,,,daystobudburst,,,46.23,,,SD,4.529,fig3
basler12,,Acer,psuedoplatanus,,high/west,,,,,meandaily,,,,shortday,shortday,,,,,,,,,daystobudburst,,,36.79,,,SD,4.245,fig3
basler12,,Acer,psuedoplatanus,,high/west,,,,,meandaily,,,,longday,longday,,,,,,,,,daystobudburst,,,36.23,,,SD,5.378,fig3
basler12,,Acer,psuedoplatanus,,high/east,,,,,meandaily,,,,shortday,shortday,,,,,,,,,daystobudburst,,,57.26,,,SD,4.622,fig3
basler12,,Acer,psuedoplatanus,,high/east,,,,,meandaily,,,,longday,longday,,,,,,,,,daystobudburst,,,56.7,,,SD,4.151,fig3
basler12,,Acer,psuedoplatanus,,low/east,,,,,meandaily,,,,shortday,shortday,,,,,,,,,daystobudburst,,,34.81,,,SD,3.867,fig3
basler12,,Acer,psuedoplatanus,,low/east,,,,,meandaily,,,,longday,longday,,,,,,,,,daystobudburst,,,34.72,,,SD,5,fig3
basler12,,Betula,pendula,,low/west,,,,,meandaily,,,,shortday,shortday,,,,,,,,,daystobudburst,,,25.76,,,SD,1.32,fig3
basler12,,Betula,pendula,,low/west,,,,,meandaily,,,,longday,longday,,,,,,,,,daystobudburst,,,25.47,,,SD,1.698,fig3
basler12,,Betula,pendula,,high/west,,,,,meandaily,,,,shortday,shortday,,,,,,,,,daystobudburst,,,24.62,,,SD,3.207,fig3
basler12,,Betula,pendula,,high/west,,,,,meandaily,,,,longday,longday,,,,,,,,,daystobudburst,,,24.06,,,SD,3.585,fig3
basler12,,Betula,pendula,,high/east,,,,,meandaily,,,,shortday,shortday,,,,,,,,,daystobudburst,,,30.28,,,SD,5.094,fig3
basler12,,Betula,pendula,,high/east,,,,,meandaily,,,,longday,longday,,,,,,,,,daystobudburst,,,30.28,,,SD,2.924,fig3
basler12,,Betula,pendula,,low/east,,,,,meandaily,,,,shortday,shortday,,,,,,,,,daystobudburst,,,30.38,,,SD,2.453,fig3
basler12,,Betula,pendula,,low/east,,,,,meandaily,,,,longday,longday,,,,,,,,,daystobudburst,,,28.49,,,SD,3.491,fig3
basler12,,Aesculus,hippocastanum,,low/west,,,,,meandaily,,,,shortday,shortday,,,,,,,,,daystobudburst,,,28.87,,,SD,2.169,fig3
basler12,,Aesculus,hippocastanum,,low/west,,,,,meandaily,,,,longday,longday,,,,,,,,,daystobudburst,,,29.06,,,SD,2.83,fig3
basler12,,Aesculus,hippocastanum,,high/west,,,,,meandaily,,,,shortday,shortday,,,,,,,,,daystobudburst,,,28.4,,,SD,3.208,fig3
basler12,,Aesculus,hippocastanum,,high/west,,,,,meandaily,,,,longday,longday,,,,,,,,,daystobudburst,,,28.02,,,SD,1.793,fig3
basler12,,Aesculus,hippocastanum,,high/east,,,,,meandaily,,,,shortday,shortday,,,,,,,,,daystobudburst,,,NA,,,SD,NA,fig3
basler12,,Aesculus,hippocastanum,,high/east,,,,,meandaily,,,,longday,longday,,,,,,,,,daystobudburst,,,NA,,,SD,NA,fig3
basler12,,Aesculus,hippocastanum,,low/east,,,,,meandaily,,,,shortday,shortday,,,,,,,,,daystobudburst,,,NA,,,SD,NA,fig3
basler12,,Aesculus,hippocastanum,,low/east,,,,,meandaily,,,,longday,longday,,,,,,,,,daystobudburst,,,NA,,,SD,NA,fig3
basler12,,Syringa,vulgaris,,low/west,,,,,meandaily,,,,shortday,shortday,,,,,,,,,daystobudburst,,,29.43,,,SD,2.83,fig3
basler12,,Syringa,vulgaris,,low/west,,,,,meandaily,,,,longday,longday,,,,,,,,,daystobudburst,,,29.25,,,SD,2.736,fig3
basler12,,Syringa,vulgaris,,high/west,,,,,meandaily,,,,shortday,shortday,,,,,,,,,daystobudburst,,,30.47,,,SD,3.868,fig3
basler12,,Syringa,vulgaris,,high/west,,,,,meandaily,,,,longday,longday,,,,,,,,,daystobudburst,,,30.66,,,SD,3.302,fig3
basler12,,Syringa,vulgaris,,high/east,,,,,meandaily,,,,shortday,shortday,,,,,,,,,daystobudburst,,,NA,,,SD,NA,fig3
basler12,,Syringa,vulgaris,,high/east,,,,,meandaily,,,,longday,longday,,,,,,,,,daystobudburst,,,NA,,,SD,NA,fig3
basler12,,Syringa,vulgaris,,low/east,,,,,meandaily,,,,shortday,shortday,,,,,,,,,daystobudburst,,,NA,,,SD,NA,fig3
basler12,,Syringa,vulgaris,,low/east,,,,,meandaily,,,,longday,longday,,,,,,,,,daystobudburst,,,NA,,,SD,NA,fig3
basler12,,Corylus,avellana,,low/west,,,,,meandaily,,,,shortday,shortday,,,,,,,,,daystobudburst,,,35.29,,,SD,4.202,fig3
basler12,,Corylus,avellana,,low/west,,,,,meandaily,,,,longday,longday,,,,,,,,,daystobudburst,,,33.61,,,SD,5.042,fig3
basler12,,Corylus,avellana,,high/west,,,,,meandaily,,,,shortday,shortday,,,,,,,,,daystobudburst,,,36.56,,,SD,4.117,fig3
basler12,,Corylus,avellana,,high/west,,,,,meandaily,,,,longday,longday,,,,,,,,,daystobudburst,,,37.65,,,SD,4.538,fig3
basler12,,Corylus,avellana,,high/east,,,,,meandaily,,,,shortday,shortday,,,,,,,,,daystobudburst,,,37.56,,,SD,4.874,fig3
basler12,,Corylus,avellana,,high/east,,,,,meandaily,,,,longday,longday,,,,,,,,,daystobudburst,,,35.97,,,SD,4.37,fig3
basler12,,Corylus,avellana,,low/east,,,,,meandaily,,,,shortday,shortday,,,,,,,,,daystobudburst,,,38.82,,,SD,4.369,fig3
basler12,,Corylus,avellana,,low/east,,,,,meandaily,,,,longday,longday,,,,,,,,,daystobudburst,,,38.4,,,SD,2.605,fig3
basler12,,Fraxinus,excelsior,,low/west,,,,,meandaily,,,,shortday,shortday,,,,,,,,,daystobudburst,,,46.72,,,SD,4.37,fig3
basler12,,Fraxinus,excelsior,,low/west,,,,,meandaily,,,,longday,longday,,,,,,,,,daystobudburst,,,44.71,,,SD,4.202,fig3
basler12,,Fraxinus,excelsior,,high/west,,,,,meandaily,,,,shortday,shortday,,,,,,,,,daystobudburst,,,46.22,,,SD,6.219,fig3
