"datasetID","study","genus","species","provenance.lat","forcetemp","forcetemp_night","photoperiod_day","response","response.time","chilltemp","chilldays","fieldsample.date","force","photo","chill","resp","force_type","photo_type","chill_type","chill.hrs","chill.ports"
"chavarria09","exp1","Prunus","persica",-31.683,"20","20","13","80.6",28,"10","10.4","1-Jun-2004",20,13,120,28,"exp","amb","exp",0,7.09525380406581
"chavarria09","exp1","Prunus","persica",-31.683,"20","20","13","71.2",28,"10","14.6","1-Jun-2004",20,13,180,28,"exp","amb","exp",0,11.1496973567267
"chavarria09","exp1","Prunus","persica",-31.683,"20","20","13","82.6",21,"10","20.8","1-Jun-2004",20,13,252,21,"exp","amb","exp",0,16.2177517975528
"chavarria09","exp1","Prunus","persica",-31.683,"20","20","13","71.1",28,"10","6.3","1-Jun-2004",20,13,72,28,"exp","amb","exp",0,4.05442113957014
"chavarria09","exp1","Prunus","persica",-31.683,"20","20","13","76.2",28,"15","10.4","1-Jun-2004",20,13,0,28,"exp","amb","exp",0,0
"chavarria09","exp1","Prunus","persica",-31.683,"20","20","13","78.7",28,"15","14.6","1-Jun-2004",20,13,0,28,"exp","amb","exp",0,0
"chavarria09","exp1","Prunus","persica",-31.683,"20","20","13","59.5",21,"15","20.8","1-Jun-2004",20,13,0,21,"exp","amb","exp",0,0
"chavarria09","exp1","Prunus","persica",-31.683,"20","20","13","78.8",28,"15","6.3","1-Jun-2004",20,13,0,28,"exp","amb","exp",0,0
"chavarria09","exp1","Prunus","persica",-31.683,"20","20","13","88.7",28,"5","10.4","1-Jun-2004",20,13,240,28,"exp","amb","exp",240,7.55514101563415
"chavarria09","exp1","Prunus","persica",-31.683,"20","20","13","83.7",28,"5","14.6","1-Jun-2004",20,13,360,28,"exp","amb","exp",360,11.7511269693337
"chavarria09","exp1","Prunus","persica",-31.683,"20","20","13","87.1",28,"5","20.8","1-Jun-2004",20,13,504,28,"exp","amb","exp",504,15.9471129230295
"chavarria09","exp1","Prunus","persica",-31.683,"20","20","13","68.9",28,"5","6.3","1-Jun-2004",20,13,144,28,"exp","amb","exp",144,4.19835222180761
"falusi03","exp1","Fagus","sylvatica",43.732105,"15","","12","88.31",60,"","","24-Mar-1997",15,12,2145.5,60,"exp","exp","fldest",1710,111.466592216462
"falusi03","exp1","Fagus","sylvatica",43.732105,"15","","12","87.53",60,"","","18-Dec-1996",15,12,710,60,"exp","exp","fldest",531,44.1353256727981
"falusi03","exp1","Fagus","sylvatica",43.732105,"15","","12","94.03",60,"","","17-Feb-1997",15,12,1682.5,60,"exp","exp","fldest",1336,89.140516279768
"falusi03","exp1","Fagus","sylvatica",43.732105,"15","","12","87.45",60,"","","20-Nov-1996",15,12,205.5,60,"exp","exp","fldest",118,22.0926417078738
"falusi03","exp1","Fagus","sylvatica",43.732105,"15","","12","100.26",60,"","","24-Mar-1997",15,12,2145.5,60,"exp","exp","fldest",1710,111.466592216462
"falusi03","exp1","Fagus","sylvatica",43.732105,"15","","12","67.01",60,"","","18-Dec-1996",15,12,710,60,"exp","exp","fldest",531,44.1353256727981
"falusi03","exp1","Fagus","sylvatica",43.732105,"15","","12","100.13",60,"","","17-Feb-1997",15,12,1682.5,60,"exp","exp","fldest",1336,89.140516279768
"falusi03","exp1","Fagus","sylvatica",43.732105,"25","","12","66.49",60,"","","18-Dec-1996",25,12,710,60,"exp","exp","fldest",531,44.1353256727981
"falusi03","exp1","Fagus","sylvatica",43.732105,"25","","12","93.08",60,"","","17-Feb-1997",25,12,1682.5,60,"exp","exp","fldest",1336,89.140516279768
"falusi03","exp1","Fagus","sylvatica",43.732105,"25","","12","93.22",60,"","","24-Mar-1997",25,12,2145.5,60,"exp","exp","fldest",1710,111.466592216462
"falusi03","exp1","Fagus","sylvatica",43.732105,"25","","12","80.05",60,"","","18-Sep-1996",25,12,-64,60,"exp","exp","fldest",14,0
"falusi03","exp1","Fagus","sylvatica",43.732105,"25","","12","99.46",60,"","","24-Mar-1997",25,12,2145.5,60,"exp","exp","fldest",1710,111.466592216462
"falusi03","exp1","Fagus","sylvatica",43.732105,"25","","12","85.66",60,"","","18-Dec-1996",25,12,710,60,"exp","exp","fldest",531,44.1353256727981
"falusi03","exp1","Fagus","sylvatica",43.732105,"25","","12","86.33",60,"","","17-Feb-1997",25,12,1682.5,60,"exp","exp","fldest",1336,89.140516279768
"falusi90","exp1","Fagus","sylvatica",46.03333,"24","13","9","89.32",190,"16","0","",17.125,9,0,190,"exp","exp","exp",0,0
"falusi90","exp1","Fagus","sylvatica",46.03333,"24","13","13","89.79",130,"16","0","",18.9583333333333,13,0,130,"exp","exp","exp",0,0
"falusi90","exp1","Fagus","sylvatica",46.03333,"24","13","9","57.3",108,"16","0","",17.125,9,0,108,"exp","exp","exp",0,0
"falusi90","exp1","Fagus","sylvatica",46.03333,"24","13","9","62.7",108,"16","0","",17.125,9,0,108,"exp","exp","exp",0,0
"falusi90","exp1","Fagus","sylvatica",46.03333,"24","13","9","41.9",108,"16","0","",17.125,9,0,108,"exp","exp","exp",0,0
"falusi90","exp1","Fagus","sylvatica",46.03333,"24","13","9","62.5",94,"16","0","",17.125,9,0,94,"exp","exp","exp",0,0
"falusi90","exp1","Fagus","sylvatica",46.03333,"24","13","9","56.1",108,"16","0","",17.125,9,0,108,"exp","exp","exp",0,0
"falusi90","exp1","Fagus","sylvatica",46.03333,"24","13","13","71.9",94,"16","0","",18.9583333333333,13,0,94,"exp","exp","exp",0,0
"falusi90","exp1","Fagus","sylvatica",46.03333,"24","13","13","62.5",108,"16","0","",18.9583333333333,13,0,108,"exp","exp","exp",0,0
"falusi90","exp1","Fagus","sylvatica",46.03333,"24","13","13","61",108,"16","0","",18.9583333333333,13,0,108,"exp","exp","exp",0,0
"falusi90","exp1","Fagus","sylvatica",46.03333,"24","13","13","87.5",94,"16","0","",18.9583333333333,13,0,94,"exp","exp","exp",0,0
"falusi90","exp1","Fagus","sylvatica",46.03333,"24","13","13","73.9",108,"16","0","",18.9583333333333,13,0,108,"exp","exp","exp",0,0
"falusi96","exp1","Fagus","sylvatica",43.81666667,"12.9022219338351","ambient","12","45.21",8.03,"","","30-Apr-1988",12.9022219338351,12,2838,8.03,"amb","amb","fldest",2519,146.201521804813
"falusi96","exp1","Fagus","sylvatica",43.81666667,"13.9166663556049","ambient","12","85.8",11.1,"","","30-Apr-1988",13.9166663556049,12,2838,11.1,"amb","amb","fldest",2519,146.201521804813
"falusi96","exp1","Fagus","sylvatica",43.81666667,"13.993333020558","ambient","12","89.97",14.26,"","","30-Apr-1988",13.993333020558,12,2838,14.26,"amb","amb","fldest",2519,146.201521804813
"falusi96","exp1","Fagus","sylvatica",43.81666667,"13.7127774712733","ambient","12","93.91",17.27,"","","30-Apr-1988",13.7127774712733,12,2838,17.27,"amb","amb","fldest",2519,146.201521804813
"falusi96","exp1","Fagus","sylvatica",43.81666667,"13.8445235000746","ambient","12","98.08",20.37,"","","30-Apr-1988",13.8445235000746,12,2838,20.37,"amb","amb","fldest",2519,146.201521804813
"falusi96","exp1","Fagus","sylvatica",43.81666667,"13.6729163610532","ambient","12","100",23.46,"","","30-Apr-1988",13.6729163610532,12,2838,23.46,"amb","amb","fldest",2519,146.201521804813
"falusi96","exp1","Fagus","sylvatica",43.81666667,"13.5601848820914","ambient","12","100",26.47,"","","30-Apr-1988",13.5601848820914,12,2838,26.47,"amb","amb","fldest",2519,146.201521804813
"falusi96","exp1","Fagus","sylvatica",43.81666667,"13.7984996915795","ambient","13","100",29.46,"","","30-Apr-1988",13.7984996915795,13,2838,29.46,"amb","amb","fldest",2519,146.201521804813
"falusi96","exp1","Fagus","sylvatica",43.81666667,"13.8383330240225","ambient","13","100",32.52,"","","30-Apr-1988",13.8383330240225,13,2838,32.52,"amb","amb","fldest",2519,146.201521804813
"falusi96","exp1","Fagus","sylvatica",43.81666667,"13.9862496873829","ambient","13","100",35.62,"","","30-Apr-1988",13.9862496873829,13,2838,35.62,"amb","amb","fldest",2519,146.201521804813
