"","uniqueid","trayloc","substrate","germdate","doy","daysfromstart","sp","strat","temp","individual","location","origin","germinated","treatment","uniqind"
"1","10a10Soil","10a10","Soil",2016-01-29,29,67,"PLAMAJ",30,16,"US205","USA--Arnold Arboretum ","USA",1,"16_30","PLAMAJ_US205"
"2","10a11Soil","10a11","Soil",2015-12-05,339,12,"PLAMAJ",30,16,"EU01","Europe--Schaan, Liechtenstein","Europe",1,"16_30","PLAMAJ_EU01"
"4","10a1Soil","10a1","Soil",NA,NA,NA,"PLALAN",30,16,"EU20","Europe--Copenhagen, Denmark","Europe",0,"16_30","PLALAN_EU20"
"6","10a2Soil","10a2","Soil",2015-11-29,333,6,"PLALAN",30,16,"EU35","Europe--Zell Am See, Austria","Europe",1,"16_30","PLALAN_EU35"
"8","10a3Soil","10a3","Soil",NA,NA,NA,"PLALAN",30,16,"EU22","Europe--Copenhagen, Denmark","Europe",0,"16_30","PLALAN_EU22"
"10","10a4Soil","10a4","Soil",2015-11-27,331,4,"PLALAN",30,16,"EU44","Europe--Podhom, Slovenia","Europe",1,"16_30","PLALAN_EU44"
"12","10a5Soil","10a5","Soil",2015-12-17,351,24,"CHEMAJ",30,16,"EU29","Europe--Grenoble, France","Europe",1,"16_30","CHEMAJ_EU29"
"14","10a6Soil","10a6","Soil",2015-12-07,341,14,"RUMCRI",30,16,"EU03","Europe--Grenoble, France","Europe",1,"16_30","RUMCRI_EU03"
"16","10a7Soil","10a7","Soil",2015-12-05,339,12,"RUMCRI",30,16,"EU05","Europe--Grenoble, France","Europe",1,"16_30","RUMCRI_EU05"
"17","10a8Soil","10a8","Soil",2015-11-29,333,6,"TAROFF",30,16,"EU01","Europe--Grenoble, France","Europe",1,"16_30","TAROFF_EU01"
"18","10a9Soil","10a9","Soil",NA,NA,NA,"TAROFF",30,16,"EU11","Europe--Arna, Norway","Europe",0,"16_30","TAROFF_EU11"
"19","10b10Soil","10b10","Soil",2015-12-05,339,12,"PLAMAJ",30,16,"US205","USA--Arnold Arboretum ","USA",1,"16_30","PLAMAJ_US205"
"20","10b11Soil","10b11","Soil",2015-12-03,337,10,"PLAMAJ",30,16,"EU01","Europe--Schaan, Liechtenstein","Europe",1,"16_30","PLAMAJ_EU01"
"22","10b1Soil","10b1","Soil",2015-12-07,341,14,"PLALAN",30,16,"EU21","Europe--Copenhagen, Denmark","Europe",1,"16_30","PLALAN_EU21"
"24","10b2Soil","10b2","Soil",2015-11-29,333,6,"PLALAN",30,16,"EU37","Europe--Zell Am See, Austria","Europe",1,"16_30","PLALAN_EU37"
"26","10b3Soil","10b3","Soil",NA,NA,NA,"PLALAN",30,16,"EU22","Europe--Copenhagen, Denmark","Europe",0,"16_30","PLALAN_EU22"
"28","10b4Soil","10b4","Soil",2015-12-05,339,12,"PLALAN",30,16,"EU45","Europe--Podhom, Slovenia","Europe",1,"16_30","PLALAN_EU45"
"30","10b5Soil","10b5","Soil",2015-12-26,360,33,"CHEMAJ",30,16,"EU29","Europe--Grenoble, France","Europe",1,"16_30","CHEMAJ_EU29"
"32","10b6Soil","10b6","Soil",2015-12-07,341,14,"RUMCRI",30,16,"EU03","Europe--Grenoble, France","Europe",1,"16_30","RUMCRI_EU03"
"34","10b7Soil","10b7","Soil",2015-12-05,339,12,"RUMCRI",30,16,"EU05","Europe--Grenoble, France","Europe",1,"16_30","RUMCRI_EU05"
"35","10b8Soil","10b8","Soil",2015-12-01,335,8,"TAROFF",30,16,"EU01","Europe--Grenoble, France","Europe",1,"16_30","TAROFF_EU01"
"36","10b9Soil","10b9","Soil",NA,NA,NA,"PLAMAJ",30,16,"US25","USA--Walden","USA",0,"16_30","PLAMAJ_US25"
"37","10c10Soil","10c10","Soil",NA,NA,NA,"PLAMAJ",30,16,"US205","USA--Arnold Arboretum ","USA",0,"16_30","PLAMAJ_US205"
"38","10c11Soil","10c11","Soil",2015-12-05,339,12,"PLAMAJ",30,16,"EU01","Europe--Schaan, Liechtenstein","Europe",1,"16_30","PLAMAJ_EU01"
"40","10c1Soil","10c1","Soil",2015-12-05,339,12,"PLALAN",30,16,"EU22","Europe--Copenhagen, Denmark","Europe",1,"16_30","PLALAN_EU22"
"42","10c2Soil","10c2","Soil",2015-12-03,337,10,"PLALAN",30,16,"EU38","Europe--Just below Enzianhutte, above Zell Am See, Austria","Europe",1,"16_30","PLALAN_EU38"
"44","10c3Soil","10c3","Soil",NA,NA,NA,"PLALAN",30,16,"EU22","Europe--Copenhagen, Denmark","Europe",0,"16_30","PLALAN_EU22"
"46","10c4Soil","10c4","Soil",2015-11-29,333,6,"PLALAN",30,16,"EU46","Europe--Podhom, Slovenia","Europe",1,"16_30","PLALAN_EU46"
"48","10c5Soil","10c5","Soil",2015-12-17,351,24,"CHEMAJ",30,16,"EU29","Europe--Grenoble, France","Europe",1,"16_30","CHEMAJ_EU29"
"50","10c6Soil","10c6","Soil",2015-12-05,339,12,"RUMCRI",30,16,"EU03","Europe--Grenoble, France","Europe",1,"16_30","RUMCRI_EU03"
"52","10c7Soil","10c7","Soil",2015-12-05,339,12,"RUMCRI",30,16,"EU05","Europe--Grenoble, France","Europe",1,"16_30","RUMCRI_EU05"
"53","10c8Soil","10c8","Soil",2015-12-07,341,14,"TAROFF",30,16,"EU11","Europe--Arna, Norway","Europe",1,"16_30","TAROFF_EU11"
"54","10c9Soil","10c9","Soil",2015-12-01,335,8,"PLAMAJ",30,16,"US25","USA--Walden","USA",1,"16_30","PLAMAJ_US25"
"55","10d10Soil","10d10","Soil",2015-12-05,339,12,"PLAMAJ",30,16,"US205","USA--Arnold Arboretum ","USA",1,"16_30","PLAMAJ_US205"
"56","10d11Soil","10d11","Soil",2015-12-03,337,10,"PLAMAJ",30,16,"EU01","Europe--Schaan, Liechtenstein","Europe",1,"16_30","PLAMAJ_EU01"
"58","10d1Soil","10d1","Soil",NA,NA,NA,"PLALAN",30,16,"EU28","Europe--Zell Am See, Austria","Europe",0,"16_30","PLALAN_EU28"
"60","10d2Soil","10d2","Soil",2015-12-01,335,8,"PLALAN",30,16,"EU39","Europe--Just below Enzianhutte, above Zell Am See, Austria","Europe",1,"16_30","PLALAN_EU39"
"62","10d3Soil","10d3","Soil",NA,NA,NA,"PLALAN",30,16,"EU22","Europe--Copenhagen, Denmark","Europe",0,"16_30","PLALAN_EU22"
"64","10d4Soil","10d4","Soil",2015-11-27,331,4,"PLALAN",30,16,"EU49","Europe--Podhom, Slovenia","Europe",1,"16_30","PLALAN_EU49"
"66","10d5Soil","10d5","Soil",2015-12-17,351,24,"CHEMAJ",30,16,"EU29","Europe--Grenoble, France","Europe",1,"16_30","CHEMAJ_EU29"
"68","10d6Soil","10d6","Soil",2015-12-07,341,14,"RUMCRI",30,16,"EU03","Europe--Grenoble, France","Europe",1,"16_30","RUMCRI_EU03"
"70","10d7Soil","10d7","Soil",2015-12-03,337,10,"TAROFF",30,16,"EU01","Europe--Grenoble, France","Europe",1,"16_30","TAROFF_EU01"
"71","10d8Soil","10d8","Soil",2015-12-05,339,12,"TAROFF",30,16,"EU11","Europe--Arna, Norway","Europe",1,"16_30","TAROFF_EU11"
"72","10d9Soil","10d9","Soil",2015-12-01,335,8,"PLAMAJ",30,16,"US25","USA--Walden","USA",1,"16_30","PLAMAJ_US25"
"73","10e10Soil","10e10","Soil",NA,NA,NA,"PLAMAJ",30,16,"US205","USA--Arnold Arboretum ","USA",0,"16_30","PLAMAJ_US205"
"75","10e1Soil","10e1","Soil",NA,NA,NA,"PLALAN",30,16,"EU29","Europe--Zell Am See, Austria","Europe",0,"16_30","PLALAN_EU29"
"81","10e2Soil","10e2","Soil",2015-12-09,343,16,"PLALAN",30,16,"EU40","Europe--Just below Enzianhutte, above Zell Am See, Austria","Europe",1,"16_30","PLALAN_EU40"
"83","10e3Soil","10e3","Soil",NA,NA,NA,"PLALAN",30,16,"EU22","Europe--Copenhagen, Denmark","Europe",0,"16_30","PLALAN_EU22"
"85","10e4Soil","10e4","Soil",2015-12-07,341,14,"PLALAN",30,16,"EU52","Europe--Podhom, Slovenia","Europe",1,"16_30","PLALAN_EU52"
"87","10e5Soil","10e5","Soil",2015-12-17,351,24,"CHEMAJ",30,16,"EU29","Europe--Grenoble, France","Europe",1,"16_30","CHEMAJ_EU29"
"93","10e6Soil","10e6","Soil",2015-12-07,341,14,"RUMCRI",30,16,"EU05","Europe--Grenoble, France","Europe",1,"16_30","RUMCRI_EU05"
"95","10e7Soil","10e7","Soil",2015-12-03,337,10,"TAROFF",30,16,"EU01","Europe--Grenoble, France","Europe",1,"16_30","TAROFF_EU01"
"96","10e8Soil","10e8","Soil",NA,NA,NA,"TAROFF",30,16,"EU11","Europe--Arna, Norway","Europe",0,"16_30","TAROFF_EU11"
"97","10e9Soil","10e9","Soil",2015-12-01,335,8,"PLAMAJ",30,16,"US25","USA--Walden","USA",1,"16_30","PLAMAJ_US25"
"98","10f10Soil","10f10","Soil",2015-12-05,339,12,"PLAMAJ",30,16,"EU01","Europe--Schaan, Liechtenstein","Europe",1,"16_30","PLAMAJ_EU01"
"100","10f1Soil","10f1","Soil",NA,NA,NA,"PLALAN",30,16,"EU34","Europe--Zell Am See, Austria","Europe",0,"16_30","PLALAN_EU34"
"106","10f2Soil","10f2","Soil",2015-11-27,331,4,"PLALAN",30,16,"EU41","Europe--Just below Enzianhutte, above Zell Am See, Austria","Europe",1,"16_30","PLALAN_EU41"
"108","10f3Soil","10f3","Soil",2015-12-07,341,14,"PLALAN",30,16,"EU42","Europe--Just below Enzianhutte, above Zell Am See, Austria","Europe",1,"16_30","PLALAN_EU42"
"110","10f4Soil","10f4","Soil",2015-11-29,333,6,"PLALAN",30,16,"EU53","Europe--Divaca Kras, Slovenia","Europe",1,"16_30","PLALAN_EU53"
"112","10f5Soil","10f5","Soil",2015-12-07,341,14,"RUMCRI",30,16,"EU03","Europe--Grenoble, France","Europe",1,"16_30","RUMCRI_EU03"
"114","10f6Soil","10f6","Soil",2015-12-11,345,18,"RUMCRI",30,16,"EU05","Europe--Grenoble, France","Europe",1,"16_30","RUMCRI_EU05"
"116","10f7Soil","10f7","Soil",NA,NA,NA,"TAROFF",30,16,"EU01","Europe--Grenoble, France","Europe",0,"16_30","TAROFF_EU01"
"117","10f8Soil","10f8","Soil",2015-12-01,335,8,"TAROFF",30,16,"EU11","Europe--Arna, Norway","Europe",1,"16_30","TAROFF_EU11"
"118","10f9Soil","10f9","Soil",2015-12-01,335,8,"PLAMAJ",30,16,"US25","USA--Walden","USA",1,"16_30","PLAMAJ_US25"
"132","11a10Soil","11a10","Soil",2015-12-13,347,20,"PLAMAJ",30,20.7,"US205","USA--Arnold Arboretum ","USA",1,"20.7_30","PLAMAJ_US205"
"133","11a11Soil","11a11","Soil",NA,NA,NA,"PLAMAJ",30,20.7,"EU01","Europe--Schaan, Liechtenstein","Europe",0,"20.7_30","PLAMAJ_EU01"
"135","11a1Soil","11a1","Soil",NA,NA,NA,"PLALAN",30,20.7,"EU20","Europe--Copenhagen, Denmark","Europe",0,"20.7_30","PLALAN_EU20"
"137","11a2Soil","11a2","Soil",2016-01-29,29,67,"PLALAN",30,20.7,"EU35","Europe--Zell Am See, Austria","Europe",1,"20.7_30","PLALAN_EU35"
"139","11a3Soil","11a3","Soil",NA,NA,NA,"PLALAN",30,20.7,"EU22","Europe--Copenhagen, Denmark","Europe",0,"20.7_30","PLALAN_EU22"
"141","11a4Soil","11a4","Soil",2015-11-29,333,6,"PLALAN",30,20.7,"EU44","Europe--Podhom, Slovenia","Europe",1,"20.7_30","PLALAN_EU44"
"143","11a5Soil","11a5","Soil",2015-12-26,360,33,"CHEMAJ",30,20.7,"EU29","Europe--Grenoble, France","Europe",1,"20.7_30","CHEMAJ_EU29"
"145","11a6Soil","11a6","Soil",2016-01-29,29,67,"RUMCRI",30,20.7,"EU03","Europe--Grenoble, France","Europe",1,"20.7_30","RUMCRI_EU03"
"147","11a7Soil","11a7","Soil",2016-01-29,29,67,"RUMCRI",30,20.7,"EU05","Europe--Grenoble, France","Europe",1,"20.7_30","RUMCRI_EU05"
"148","11a8Soil","11a8","Soil",2015-12-01,335,8,"TAROFF",30,20.7,"EU01","Europe--Grenoble, France","Europe",1,"20.7_30","TAROFF_EU01"
"149","11a9Soil","11a9","Soil",2015-12-01,335,8,"TAROFF",30,20.7,"EU11","Europe--Arna, Norway","Europe",1,"20.7_30","TAROFF_EU11"
"150","11b10Soil","11b10","Soil",2015-11-29,333,6,"PLAMAJ",30,20.7,"US205","USA--Arnold Arboretum ","USA",1,"20.7_30","PLAMAJ_US205"
"151","11b11Soil","11b11","Soil",2015-11-29,333,6,"PLAMAJ",30,20.7,"EU01","Europe--Schaan, Liechtenstein","Europe",1,"20.7_30","PLAMAJ_EU01"
"153","11b1Soil","11b1","Soil",NA,NA,NA,"PLALAN",30,20.7,"EU21","Europe--Copenhagen, Denmark","Europe",0,"20.7_30","PLALAN_EU21"
"155","11b2Soil","11b2","Soil",2015-11-29,333,6,"PLALAN",30,20.7,"EU37","Europe--Zell Am See, Austria","Europe",1,"20.7_30","PLALAN_EU37"
"157","11b3Soil","11b3","Soil",2015-11-29,333,6,"PLALAN",30,20.7,"EU22","Europe--Copenhagen, Denmark","Europe",1,"20.7_30","PLALAN_EU22"
"159","11b4Soil","11b4","Soil",2015-11-29,333,6,"PLALAN",30,20.7,"EU45","Europe--Podhom, Slovenia","Europe",1,"20.7_30","PLALAN_EU45"
"161","11b5Soil","11b5","Soil",NA,NA,NA,"CHEMAJ",30,20.7,"EU29","Europe--Grenoble, France","Europe",0,"20.7_30","CHEMAJ_EU29"
"163","11b6Soil","11b6","Soil",2015-12-05,339,12,"RUMCRI",30,20.7,"EU03","Europe--Grenoble, France","Europe",1,"20.7_30","RUMCRI_EU03"
"165","11b7Soil","11b7","Soil",NA,NA,NA,"RUMCRI",30,20.7,"EU05","Europe--Grenoble, France","Europe",0,"20.7_30","RUMCRI_EU05"
"166","11b8Soil","11b8","Soil",2015-11-29,333,6,"TAROFF",30,20.7,"EU01","Europe--Grenoble, France","Europe",1,"20.7_30","TAROFF_EU01"
